MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
5.431184319344478e-6,-1.5262889188627504e-7,0
5.632430006415126e-6,4.8593484123782284e-8,0.005
5.467804198907913e-6,-1.1582960414258103e-7,0.105
5.675741274448959e-6,9.198303921431616e-8,0.005
5.028522624810636e-6,-5.549907470919769e-7,0
5.647679560855667e-6,6.414504450547032e-8,-0.39
5.348552451437592e-6,-2.3471605324343335e-7,0
5.684775848810347e-6,1.009369178095465e-7,0
6.102667997201652e-6,5.190760392415062e-7,0.06
5.794860460388407e-6,2.1115349575384633e-7,0.02
5.4334207696284e-6,-1.4964031572972657e-7,0
5.822676352782425e-6,2.390993330653179e-7,0.16
5.310122338561608e-6,-2.733182841052617e-7,0
5.639350448007878e-6,5.589545395479067e-8,0
6.052770734881913e-6,4.6886232914045147e-7,0
6.56867490496164e-6,9.850858205512348e-7,0.02
5.699306394065165e-6,1.1586166273946929e-7,0
5.832636425859945e-6,2.4905474515724e-7,0.095
5.284347754233829e-6,-2.9928706404058756e-7,0.195
6.276552621372343e-6,6.93210173391412e-7,0
4.8592949309075435e-6,-7.245647362030815e-7,0.005
6.16068165348219e-6,5.77351754486588e-7,0
4.9814198671087154e-6,-6.020311787463539e-7,0
4.883856624402635e-6,-6.995667375719883e-7,0
5.590562361505565e-6,6.874276574087013e-9,0.02
5.927847226691239e-6,3.441157807315687e-7,0.005
6.519546281384203e-6,9.361183987549593e-7,-0.45
5.0867061920710995e-6,-4.96602600332241e-7,0
6.864970801292221e-6,1.2812891805613625e-6,0
4.9110772004240244e-6,-6.727414779905682e-7,0.005
5.220465986149241e-6,-3.6328372334692994e-7,0.015
5.298307862322157e-6,-2.852548937959387e-7,0
4.836220821528574e-6,-7.473341635472197e-7,0
5.941356678214119e-6,3.579803560183059e-7,0
3.956601746427614e-6,-1.6272586956883607e-6,0.025
5.338333655544746e-6,-2.455449088822892e-7,0
4.641183022796972e-6,-9.426422871661177e-7,0.01
4.747493841576375e-6,-8.360985799843456e-7,0
6.4311815364042705e-6,8.474496695032307e-7,0
6.0553196649253425e-6,4.7197259941123006e-7,0
6.332745054782392e-6,7.492861533120454e-7,-0.59
4.688494763256831e-6,-8.952059856515149e-7,0.19
5.763228542577663e-6,1.795367761997513e-7,0.02
6.325649555472956e-6,7.419494005139748e-7,0.01
5.420009043009303e-6,-1.6325352995449903e-7,0
5.50628708143782e-6,-7.742435177593432e-8,0.025
5.290153096441776e-6,-2.935539004433885e-7,0.045
5.41136930971177e-6,-1.7232377241827024e-7,0.045
5.701230449879908e-6,1.1795737294872933e-7,0
4.902568790285046e-6,-6.808860136103822e-7,0
6.310032133635129e-6,7.265885386620318e-7,-0.17
5.3468390431050326e-6,-2.3675853752846976e-7,0.285
4.697775776751295e-6,-8.853948879328221e-7,0
5.523338939312141e-6,-6.045800685416935e-8,0
5.313197600721742e-6,-2.704910515088921e-7,0.03
5.9738501092430526e-6,3.900333073392215e-7,0
5.152589243084124e-6,-4.311843986082309e-7,0.015
5.395539445325978e-6,-1.8814561495883452e-7,0.04
6.170557494360565e-6,5.873860402288989e-7,0
5.833441712262618e-6,2.4990325641960354e-7,0.275
6.42101761319871e-6,8.375164112600642e-7,0.17
5.759379800757435e-6,1.7578441105225994e-7,0.1
4.854922015397734e-6,-7.286680110180077e-7,0
6.330510509638735e-6,7.467415489403884e-7,0
5.741096631321808e-6,1.5728903296263752e-7,0
6.662661479529176e-6,1.0794713906475683e-6,0
5.726747138658444e-6,1.4302592834414263e-7,0.015
5.736649624582118e-6,1.531910230051503e-7,0
4.93396992020514e-6,-6.492819439374298e-7,0
5.56873640061478e-6,-1.4644934626661944e-8,0
4.781278815958865e-6,-8.019516483626088e-7,0
5.218474779075558e-6,-3.651663255233029e-7,0.15
6.618508297451679e-6,1.0352557007309304e-6,0
5.706576843666649e-6,1.230106612615245e-7,0.23
5.6877684470919755e-6,1.0420779976316741e-7,0.285
6.413745237884319e-6,8.303040069790324e-7,-0.44
5.0395824975077144e-6,-5.440476000012628e-7,-0.62
6.037898697330748e-6,4.542545632979511e-7,0.05
5.404674537665914e-6,-1.7922778629664294e-7,0
5.691392541245858e-6,1.0801037796714929e-7,0
5.6181576289315125e-6,3.45571661575228e-8,0.15
6.222286211510483e-6,6.385927722185603e-7,0.01
5.4397930969044156e-6,-1.4394063961142845e-7,0.015
6.523481040927586e-6,9.401723000762585e-7,0
5.7766443330870975e-6,1.9290961497941962e-7,0.01
5.0353619857317236e-6,-5.478865693958612e-7,0
5.057216862744956e-6,-5.264070452531966e-7,-0.59
6.224611756482477e-6,6.412577980846601e-7,0
4.5313983872045116e-6,-1.052107772065991e-6,0
4.890717818400854e-6,-6.927959729885469e-7,0
4.838555333201059e-6,-7.453313431005082e-7,0
5.100911441149395e-6,-4.824502209055392e-7,0
5.1910599408574744e-6,-3.9286552571904385e-7,0
5.141216737352899e-6,-4.425601236618393e-7,0.01
6.165208457041948e-6,5.822574313579798e-7,0
5.603794537417625e-6,2.014999756771996e-8,0.05
5.6820088601204374e-6,9.864223570854592e-8,0
5.990138808399505e-6,4.069219910896038e-7,0
5.288068301534345e-6,-2.95262936094165e-7,0
5.710240392206907e-6,1.2705829004588943e-7,0
