MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.2445396770477948e-6,-1.0695730248921897e-7,0
2.4256628498148276e-6,7.420580312667013e-8,0.035
2.2527560501871196e-6,-9.875828127836605e-8,0
2.2547505608834365e-6,-9.66274406138945e-8,0
1.9725911171413556e-6,-3.788173708407783e-7,0
2.4480459115869666e-6,9.662571539559295e-8,0
2.599430309159072e-6,2.4801656101580694e-7,0
2.474696309482316e-6,1.2327071401196933e-7,-0.36
2.569191398913097e-6,2.1770500770013078e-7,0
2.3781022035790772e-6,2.669935287191727e-8,0
2.5650951538727547e-6,2.1365700716979852e-7,0.095
1.819685260579134e-6,-5.317851151193098e-7,0.11
2.6393332920867602e-6,2.878658554356095e-7,0.015
2.1822307886763197e-6,-1.692281776277671e-7,0.06
2.466758346633525e-6,1.1532493610910688e-7,0.225
2.104273351333201e-6,-2.4717847652178103e-7,0.215
2.349321527745767e-6,-2.141270928346373e-9,0.02
2.3350073907021734e-6,-1.64200503494083e-8,0
2.0501632897503297e-6,-3.013043120708714e-7,0.035
2.4767835622218253e-6,1.253552223962062e-7,-0.63
2.3018415798639485e-6,-4.9628653689959276e-8,0.02
1.9487711248287563e-6,-4.0271435207128724e-7,0.015
2.2867546223136912e-6,-6.470379646350554e-8,0.025
2.2925703818961595e-6,-5.890312146872301e-8,0.01
2.142107101937725e-6,-2.0928104742745647e-7,0
2.789924658402502e-6,4.385637192633185e-7,0
2.257773944293108e-6,-9.37073283879819e-8,0
2.108322538951495e-6,-2.431783846101876e-7,0
2.3618253864894008e-6,1.0382453972668238e-8,0.14
2.6026262220620307e-6,2.512111135916095e-7,0
2.826153491193573e-6,4.746865743976425e-7,0
2.157728864236983e-6,-1.937341425978234e-7,0.015
2.4931880272227205e-6,1.4179896200283704e-7,0
2.200109740137687e-6,-1.5134926135196292e-7,0.045
2.5330451684429234e-6,1.8158221070041502e-7,0.005
2.356502687205041e-6,5.070425706521497e-9,-0.435
2.1898800916155404e-6,-1.6149814503096938e-7,0
2.749231223907693e-6,3.977765962009938e-7,0.01
2.485779616143073e-6,1.3438789353226177e-7,0
2.5539542394672066e-6,2.0257525019939937e-7,0
2.487065711045873e-6,1.3566298798783904e-7,0
2.346985175648643e-6,-4.50031953591612e-9,0
2.375199263375571e-6,2.3745619129877938e-8,0.045
2.3437116094661224e-6,-7.74628357402829e-9,0.045
1.9849108301665685e-06,-3.665707945771368e-7,0.01
2.5473176291198705e-6,1.9585039561009766e-7,0
2.523402572962728e-6,1.719681490247593e-7,0.125
1.901471607147672e-6,-4.4997080536846034e-7,0
2.3152611145435265e-6,-3.620736752696363e-8,0.005
2.5405421090701333e-6,1.8914453668972265e-7,0
1.913392019741798e-6,-4.380230197209567e-7,0
1.8311867517570393e-6,-5.202337171034132e-7,0
2.2424964747673024e-6,-1.08890873623535e-7,0
2.709598833816392e-6,3.5821547043568544e-7,0
2.6439697074675943e-6,2.925534347830716e-7,-0.375
2.5829979615048602e-6,2.3166636796689844e-7,0
2.4718552920023772e-6,1.2045160481477522e-7,0
1.6972954286946123e-6,-6.542224562855469e-7,0
2.1797877677318687e-6,-1.717073595419727e-7,0
2.2487522778175464e-6,-1.0269102837745514e-7,0.25
2.0616389319410987e-6,-2.898187097377658e-7,0.125
2.8267277900642493e-6,4.7531526239430465e-7,0.29
2.1063437116188032e-6,-2.450916792923197e-7,0
2.2426810553045136e-6,-1.0875838988289032e-7,-0.505
1.8705350075562264e-6,-4.809817746498357e-7,0.005
2.3709472427875696e-6,1.951801497146466e-8,0
2.166218104415956e-6,-1.8521297009410632e-7,0
2.206076269171243e-6,-1.4540712411137414e-7,0
2.2280691068163977e-6,-1.2335393701601304e-7,0
2.2621371230566686e-6,-8.929552523129215e-8,0
2.2487162626099866e-6,-1.0275986235208645e-7,0.015
2.715670778478698e-6,3.642191661828997e-7,0.01
2.441956826245935e-6,9.052687846011765e-8,-0.63
2.653407343037963e-6,3.019761845235447e-7,0.1
2.4585719595987334e-6,1.0716378200215093e-7,0
2.649481394748201e-6,2.980145076253438e-7,0.005
2.278425009732429e-6,-7.304611829628271e-8,0.005
2.606918080673189e-6,2.5548133703534593e-7,0.07
2.2543217943766135e-6,-9.711704153203549e-8,-0.545
2.3907925093778397e-6,3.929308854955238e-8,0
2.5081858688257355e-6,1.5687456826285473e-7,0
2.2134773991076557e-6,-1.380133809336659e-7,0
2.416885935201887e-6,6.546568784737694e-8,0
2.428529788395418e-6,7.712968428885692e-8,0
2.427072472164462e-6,7.562439706065849e-8,0.04
2.160071570279437e-6,-1.9139220842623316e-7,0.025
2.2612045808290375e-6,-9.025055257405601e-8,0.045
2.4698417049383246e-6,1.1847963264366435e-7,0
2.0791935114125637e-6,-2.7218831034736547e-7,0
2.0509272002268347e-6,-3.0053871748925155e-7,0.025
2.532128441461866e-6,1.8077018659967692e-7,0
2.3044808945361766e-6,-4.6980799183748976e-8,0.03
2.5857351969427217e-6,2.343256336079236e-7,0
2.0025140994853985e-6,-3.48975497784787e-7,0
2.343073274769958e-6,-8.355544724447661e-9,0
2.1290495597105672e-6,-2.2238428353305028e-7,0
2.202981314492252e-6,-1.4848145274137802e-7,0.03
2.257696047090461e-6,-9.370332049174479e-8,0
2.197877480330402e-6,-1.536389054135334e-7,0
2.5332890814364274e-6,1.8186769948691505e-7,-0.21
