MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.2528992670322025e-6,9.971346824788618e-8,0
2.1929296282455156e-6,3.969479214882554e-8,-0.66
2.153283404553818e-6,8.568766585170822e-11,0
2.3245610708218013e-6,1.7137383605370093e-7,0
2.09554434431254e-6,-5.774770272970464e-8,0
2.119017149852925e-6,-3.4192822506717843e-08,0
2.220662901666362e-6,6.742735286724422e-8,0.265
1.9272593415542386e-6,-2.2600576067066668e-7,0.025
2.4259962224272013e-6,2.727402779784116e-7,0.005
2.3682383413209756e-6,2.1499624064058587e-7,0.04
2.0949691976658766e-6,-5.828670250229706e-8,0.055
1.9680176468980263e-6,-1.8526087423031967e-7,0
2.0570472674341133e-6,-9.618944199596413e-8,0
2.1637114563198813e-6,1.0504036935254924e-8,0
2.080261940135148e-6,-7.296493183261976e-8,0
2.075836942877452e-6,-7.74199371816886e-8,0.035
2.012824332552909e-6,-1.4040762398304095e-7,0
1.967677500712758e-6,-1.855523337995768e-7,0
2.1922401846530645e-6,3.899100692761337e-8,0.04
1.8321172082612698e-6,-3.2105571907414807e-7,0
2.1496070544922063e-6,-3.6332466785138345e-9,0.19
1.7227726338852864e-6,-4.30503985776598e-7,0.02
1.9388877721643124e-6,-2.1431844756558683e-7,0
2.1836780153184216e-6,3.0412394560475065e-8,0
2.30157526151334e-6,1.4833393407576168e-7,0.05
2.069147812179122e-6,-8.407549193512053e-8,0
2.4902330672859715e-6,3.369760528476595e-7,0.01
1.984436103868574e-6,-1.6880168085875446e-7,0
2.061391969602066e-6,-9.18046387665683e-8,0
2.2795534497250104e-6,1.263419983288383e-7,0
1.8048743115762369e-6,-3.4837697839351647e-7,-0.405
2.2351077982546496e-6,8.188019824550974e-8,0
1.5078111862203782e-6,-6.454491222657177e-7,0
2.024827333055637e-6,-1.28386454094076e-7,0
2.3325181268221213e-6,1.7930051227743604e-7,0
2.643471308945798e-6,4.902586276034349e-7,-0.59
2.0900555196110705e-6,-6.31966885644708e-8,0.045
2.4643524328860387e-6,3.1110609853557403e-7,0.02
2.1631760455902042e-6,9.946597281373926e-9,0
2.574143136839102e-6,4.2091384284514977e-7,0.1
1.6863776986695252e-6,-4.6688121883853295e-7,-0.645
2.3455229059632296e-6,1.9230701321704126e-7,0
2.487879374153121e-6,3.3466801115378254e-7,0
2.2151254374539517e-6,6.192726814957527e-8,0
2.5545245744943757e-6,4.0130225358314676e-7,0.17
2.2610908272551036e-6,1.0780486126460431e-7,0
2.044700668331258e-6,-1.085177233939305e-7,0
1.9648047775140343e-6,-1.88444390549769e-7,0.19
1.8514349463462858e-6,-3.018124453196824e-7,0
2.3165153717345492e-6,1.6327441531294173e-7,0.075
2.206894617209161e-6,5.3636567636794476e-8,0.01
2.391949290183417e-6,2.387585089125288e-7,0
2.091340806704498e-6,-6.185729678920282e-8,0
2.148282100374794e-6,-4.9978701599506795e-9,0
2.1548720155200517e-6,1.6240789058041825e-9,0.065
1.9384176270284815e-6,-2.1481478768847762e-7,0
2.0866292752860007e-6,-6.660553099280264e-8,0
2.198336028914769e-6,4.508450080042969e-8,0.04
2.1885632221430112e-6,3.539203833669013e-8,0
2.2697711612345745e-6,1.1650034043797498e-7,0
2.4147747689653653e-6,2.6155195486043947e-7,-0.57
2.20243210214701e-6,4.9169720907626944e-8,0.005
2.2398391079787633e-6,8.667043371712868e-8,0
2.1866536542275766e-6,3.342965036401413e-8,0
2.2494502887520754e-6,9.620827327361248e-8,0.1
1.9376355170467633e-6,-2.1561442429707255e-7,0.215
1.8613172253132184e-6,-2.9196806898668107e-7,0.005
2.5977388813836174e-6,4.4450390855377276e-7,0.04
2.189163337541141e-6,3.592205392699555e-8,0.115
2.2208574015793817e-6,6.761751451422882e-8,0.155
2.1261930086213822e-6,-2.705574454031634e-8,0.07
2.2934764661147223e-6,1.4022209528952168e-7,0.02
2.004575808514963e-6,-1.486682352663804e-7,-0.68
2.280406138135099e-6,1.271653244383497e-7,0.08
2.379272374782783e-6,2.2604229995171198e-7,0.225
2.6158504858228693e-6,4.6262107274042117e-7,0.045
2.137899772218922e-6,-1.530645371727868e-8,0
2.123052496680694e-6,-3.022856749468339e-8,0
2.1736141072216497e-6,2.0367081661754048e-8,0.075
1.9164701465780412e-6,-2.3671944040792868e-7,0
2.4448964698991783e-6,2.9163035637380654e-7,0
2.0986886466181265e-6,-5.457322346247295e-8,0.03
2.125119810010231e-6,-2.809026005912152e-8,0
1.8657018090904215e-6,-2.874994881779669e-7,0
2.048901351603461e-6,-1.0432988395647768e-7,0
2.318816445910861e-6,1.6560621299954725e-7,0
2.5184252572759023e-6,3.6519927091138714e-7,0.12
2.138211187278935e-6,-1.498719520265368e-8,0
1.8549045391927204e-6,-2.983312629317725e-7,0
2.196997168231744e-6,4.378597100673787e-8,0
2.0592720818658157e-6,-9.397835038060798e-8,0.08
2.2086160836161143e-6,5.5440818532703773e-8,0
2.1176127419244723e-6,-3.557345136129264e-8,0
1.991784646253773e-6,-1.6148356441147982e-7,0.02
2.0219185707108126e-6,-1.3126227021154068e-7,0
2.095788259225594e-6,-5.748583289555409e-8,0.005
2.2156158134892467e-6,6.234114184211493e-8,0
2.3583755841556145e-6,2.0514474001476213e-7,0.215
2.454028605808356e-6,3.0085269655477644e-7,0
2.050193218810992e-6,-1.0305630715523595e-7,0.11
