MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
4.773263359593062e-6,-1.5084893052330627e-6,0.07
5.647221669131176e-6,-6.339322833764927e-7,0
6.477894747048761e-6,1.964693826744801e-7,-0.34
6.1518753695771854e-6,-1.2977370918765275e-7,0.045
5.899938038205306e-6,-3.816998481986911e-7,0.06
6.3250541530434645e-6,4.370625716954013e-8,0
5.307086788904219e-6,-9.746302423652154e-7,0.04
5.852336073141767e-6,-4.2928643815387523e-7,0.095
6.812875934722311e-6,5.313525903083427e-7,0.065
6.930833600816866e-6,6.490766889089005e-7,0.005
6.516487562781479e-6,2.3535571061716887e-7,0
6.503711103732982e-6,2.220581860745696e-7,0.015
6.648023064575877e-6,3.665271874503384e-7,0.11
6.225306636151516e-6,-5.6437759274330365e-8,0.005
5.9425105863962305e-6,-3.392664425522218e-7,0.005
5.675556415271774e-6,-6.060846755373551e-7,0.065
6.186472726313502e-6,-9.510112463584353e-8,0.085
4.9432149070122146e-6,-1.3386161119538498e-6,0.01
6.234500719257056e-6,-4.724035528091974e-8,0
6.9144481032123985e-6,6.326744720541733e-7,0
6.153272045014273e-6,-1.2787674956715734e-7,0
6.758070128888426e-6,4.7653731154506665e-7,0.05
6.414622097129238e-6,1.3331675720540392e-7,0
5.93051667281326e-6,-3.5149403784018316e-7,0
5.698871544047107e-6,-5.828710651772928e-7,0.015
6.200064446271704e-6,-8.187204091458788e-8,0
5.679233767276186e-6,-6.019744579555119e-7,0
6.846530362263439e-6,5.648915786043984e-7,0.01
6.27374118089323e-6,-7.791367707121744e-9,0.135
6.373403649862615e-6,9.20737988580056e-8,0
5.6546811625398974e-6,-6.273265390932536e-7,0
6.857632211956132e-6,5.766296703119122e-7,0
5.73274485453323e-6,-5.487498919787281e-7,0
5.663787337507251e-6,-6.178673124834777e-7,0.065
6.595415559233144e-6,3.1374918274928996e-7,0.005
6.299895542773587e-6,1.8487163596647703e-8,0
6.508374314082297e-6,2.271381714546994e-7,0
6.4498083386409244e-6,1.685401409662335e-7,0
6.786383023441801e-6,5.046126607310963e-7,0
6.909939929972142e-6,6.284674505446786e-7,0.08
6.29673606015748e-6,1.536079771047305e-8,0
6.535671782797552e-6,2.54336209656314e-7,0
6.742286248520976e-6,4.6081480667647945e-7,0.125
6.769076826001356e-6,4.877539862030433e-7,0
5.994018833594317e-6,-2.875537000135431e-7,0.125
5.510911388633127e-6,-7.707733514433767e-7,0.06
6.410535384560745e-6,1.2866219940899094e-7,0
5.47728538000901e-6,-8.046153168705939e-7,0
7.2926311130466384e-6,1.010989648173033e-6,0.01
7.112915726279336e-6,8.314224420724603e-7,0.035
7.764651696066844e-6,1.4831939582410359e-6,0.035
6.265592125893238e-6,-1.5808666252725702e-8,0
6.266248527673227e-6,-1.4638206736750093e-8,0
7.307925992164922e-6,1.0260203129663913e-6,0
6.198628603717361e-6,-8.294426471988636e-8,0.105
5.142547301247655e-6,-1.1393253427866012e-6,0.005
6.4152577707896525e-6,1.33755187561313e-7,0.2
6.946720239133103e-6,6.656308216590467e-7,0
5.682295058052025e-6,-5.983376331025747e-7,0
5.3380904342789e-6,-9.437896402963997e-7,0
6.668575732165076e-6,3.87492276557877e-7,0
6.468541364474054e-6,1.870708710322022e-7,0.275
5.537221296495631e-6,-7.442832756704432e-7,0
6.036637523499737e-6,-2.4481767153750055e-7,0
5.5522320898575995e-6,-7.291352021404629e-7,0
6.703939529137182e-6,4.2260009319894375e-7,0
6.107860261332142e-6,-1.7390827208585423e-7,0.005
6.12599449703311e-6,-1.5561325836632723e-7,0.065
7.095290456652605e-6,8.140634775827272e-7,0
6.096833623279932e-6,-1.8500424673717486e-7,0.01
6.003325360915095e-6,-2.7823355905731704e-7,0.185
5.5121591264533105e-6,-7.695506349852943e-7,0.045
5.937267578834161e-6,-3.439547089018058e-7,0
6.414414701156267e-6,1.3261121909913242e-7,0
7.602006814304644e-6,1.3208194912750492e-6,0
5.837297059092236e-6,-4.4419608311085935e-7,0
6.4009308817649475e-6,1.1953740887138408e-7,0
5.620106761524105e-6,-6.612995106414221e-7,0
5.993263759511295e-6,-2.8807149559717526e-7,0
5.8934240947900434e-6,-3.8770348385175345e-7,0
6.810843582772778e-6,5.291972994647676e-7,0.015
5.841746929246094e-6,-4.3973754318527017e-7,0
6.668006501728263e-6,3.865646386813637e-7,0.26
6.267841328492903e-6,-1.3695605214913974e-8,0.125
6.808717876370898e-6,5.269361348159141e-7,0
5.1841747749185094e-6,-1.0973533755731512e-6,0
5.555522699102294e-6,-7.260667726999292e-7,-0.71
5.863311275266698e-6,-4.184205949359088e-7,0.01
7.3818981579732455e-6,1.100935912728973e-6,0
6.0527436595595955e-6,-2.28697245877596e-7,0
6.588681471087802e-6,3.072311446661313e-7,0.28
6.708861179928943e-6,4.2714810902899635e-7,0.005
5.15414202486447e-6,-1.127414513360514e-6,0
5.015921762627874e-6,-1.2660017284160663e-6,0
5.759305320437227e-6,-5.226999961560619e-7,0
6.742874200728538e-6,4.6129807574901703e-7,0.045
5.8802126147187814e-06,-4.01284087582221e-7,0
7.460848988944413e-6,1.179675337860675e-6,0
5.916444854393843e-6,-3.652428656608642e-7,0.02
7.206143633240961e-6,9.245800392021497e-7,0.015
