MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
4.573110591800172e-6,-1.708547437714314e-6,0
6.618234472727262e-6,3.367725487285478e-7,0.18
6.636478721755977e-6,3.5485327508522067e-7,0.01
5.773000482680874e-6,-5.088290986321464e-7,0.005
6.250561654164929e-6,-3.111043412939996e-8,0.02
5.6312571643241305e-6,-6.503473873231691e-7,0.17
5.688905388636654e-6,-5.929399622706111e-7,0
5.759634559909825e-6,-5.221454024939565e-7,0.005
6.033851202813302e-6,-2.4750492640890356e-7,0
7.129719211667578e-6,8.481472348997876e-7,0.015
7.019538929246923e-6,7.382625057261727e-7,0
6.072494094417369e-6,-2.0917922746943596e-7,0.03
6.706990673986542e-6,4.253657647318443e-7,0.015
6.665558542889863e-6,3.838064891553694e-7,0.005
5.385384012575781e-6,-8.964721744153525e-7,0
5.475242891420789e-6,-8.061734454622993e-7,0
6.705516398698821e-6,4.237373595095129e-7,0.005
4.693341897729765e-6,-1.5881826807861988e-6,0
5.915371869548915e-6,-3.6645676820379336e-7,0.005
7.454882141115726e-6,1.1732209943743354e-6,0.01
6.8945496309800735e-6,6.13773988905053e-7,0
6.527699231410949e-6,2.461605441117509e-7,0.085
5.978540228329224e-6,-3.025605923057118e-7,0
6.587294135828025e-6,3.055017665865023e-7,0.005
6.757923756427563e-6,4.764632338671859e-7,0.175
6.289938850487405e-6,8.086293593612126e-9,0.005
6.739798655829071e-6,4.5872750202957667e-7,0
6.181376406230405e-6,-1.0017272020157453e-7,0.115
5.916550475499544e-6,-3.6509061310585624e-7,0.055
6.305362539961445e-6,2.395953152656283e-8,0
5.738577725143742e-6,-5.433807424604087e-7,0
6.0984000218990136e-6,-1.8268968821455457e-7,0
6.401674521243256e-6,1.1999915205229694e-7,0.015
5.470453588807906e-6,-8.112078176131243e-7,0.105
7.116078624713216e-6,8.342067280930898e-7,0
6.83606224919455e-6,5.547770638414384e-7,0
6.0889679987834765e-6,-1.92294198674281e-7,0
6.555122792262862e-6,2.7369991429493367e-7,-0.41
6.395582093081867e-6,1.1370301721602693e-7,0
6.006589083850496e-6,-2.749686777253624e-7,0.165
6.498335229345275e-6,2.1705614046296784e-7,0
5.849014068846285e-6,-4.31975662063544e-7,0
6.108554819640388e-6,-1.7293990285049964e-7,-0.575
6.7197853582096695e-6,4.3842542613192757e-7,0
5.988450738554314e-6,-2.9318293842672816e-7,0.04
6.002684095780635e-6,-2.788826834160263e-7,0.15
6.922301970675364e-6,6.405168026202279e-7,0
5.62261989425952e-6,-6.591142557144103e-7,0.015
6.4845275007266905e-6,2.0269652738380551e-7,0
6.829407290530742e-6,5.480126369300508e-7,-0.555
7.0425028823820915e-6,7.610629988641371e-7,0.125
5.518400578931232e-6,-7.631658278917097e-7,-0.42
6.403215126528688e-6,1.2223847521919406e-7,0
7.48580373437348e-6,1.2042953560154058e-6,0.015
7.2187465244054525e-6,9.37521910403527e-7,0
5.532327763114855e-6,-7.494190403894985e-7,0.025
6.243355074997211e-6,-3.821444824803066e-8,0.085
7.5223250740575195e-6,1.2412032264119688e-6,0
5.9178110613803675e-6,-3.632160299560372e-7,0
5.325229357471017e-6,-9.568344085719715e-7,0
6.6638105436623944e-6,3.8253401309695787e-7,0
5.5404806704611155e-6,-7.41015365827713e-7,0
4.99884831505894e-6,-1.2826747918404102e-6,0
6.0460472252535745e-6,-2.3517056294719563e-7,0
6.394644535372267e-6,1.1343188346724098e-7,0
6.8159357066956105e-6,5.346198540989722e-7,0
5.70643131833905e-6,-5.754055891815657e-7,0.01
5.726078654632275e-6,-5.553779735956166e-7,0
6.978750608484085e-6,6.972646775998959e-7,0.075
5.640006371933009e-6,-6.419367033316803e-7,0
6.223251145578529e-6,-5.836821948601578e-8,0.065
4.783098651660776e-6,-1.4987509799019305e-6,0.01
6.693192403517867e-6,4.120753782110853e-7,0
6.9865068957177775e-6,7.050763190979969e-7,0.155
7.463739162305707e-6,1.1824224451223443e-6,0.35
5.6452913559904204e-6,-6.360937129779031e-7,0
5.622370347095507e-6,-6.595542948806266e-7,0
5.132448831473903e-6,-1.1489735921471623e-6,0
6.115630529636155e-6,-1.6593368756478988e-7,0.135
6.323959940926582e-6,4.2887492662790903e-8,0
7.282837726555485e-6,1.001411592026491e-6,0.065
5.981334884720397e-6,-3.000589258117525e-7,0
6.215923213088176e-6,-6.544478884928928e-8,0
6.230149718382791e-6,-5.1351958477718895e-8,0.29
7.2695699876038205e-6,9.879424111880476e-7,0
5.70794012465854e-6,-5.7394883680284e-7,0.005
6.247258777286365e-6,-3.423689111214934e-8,0.255
6.343156063296376e-6,6.120407024523544e-8,0
6.619248004288257e-6,3.3772906219031727e-7,0.1
6.394044007323017e-6,1.1265475443944517e-7,0
6.847408205709968e-6,5.658890440518594e-7,0.05
6.856726168134386e-6,5.75249381384868e-7,0.125
4.887700288354673e-6,-1.394038532087083e-6,0.075
5.682519582366907e-6,-5.993380581637009e-7,0.005
6.126182256494489e-6,-1.5534885249857134e-7,0.195
7.048157394762707e-6,7.665585037713863e-7,0.02
5.907265573445079e-6,-3.7398204813465784e-7,0
7.179092560863532e-6,8.977251680519771e-7,0.26
6.06519512686149e-6,-2.1673741018912729e-7,0
5.68407512999887e-6,-5.974047812934425e-7,0
