MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
5.102766227861698e-6,-1.1791773657576776e-6,0.025
5.707603031981305e-6,-5.735085884844837e-7,0
6.068531821129445e-6,-2.1324109524878398e-7,0.025
5.930907277284893e-6,-3.5078515425335245e-07,0.15
5.6721753173548685e-6,-6.096815003692191e-7,0.015
6.318144395365415e-6,3.674704210254731e-8,0
5.317274706903208e-6,-9.646276363561857e-7,0.005
6.224233322890266e-6,-5.7598213147880275e-8,0.01
6.838508415439309e-6,5.570454652936708e-7,0
6.23921087129979e-6,-4.2849178646942046e-8,0.005
6.63672840103794e-6,3.5524275936338333e-7,0
6.5610954846396444e-6,2.793556071450931e-7,0.02
6.70074946094008e-6,4.1911268249872346e-7,0.08
6.66503642176812e-6,3.832524167074469e-7,0.01
6.77596274896635e-6,4.940315498813685e-7,0
5.63722959994334e-6,-6.446118678515855e-7,0.02
6.756041552893939e-6,4.7442742455494625e-7,0.1
5.222230229145598e-6,-1.0596224454734181e-6,0.055
5.828835615491858e-6,-4.530574031497148e-7,0.01
6.8276884861236836e-6,5.460706603893639e-7,0.07
5.545953540314434e-6,-7.354922441255018e-7,0
6.8386378200266074e-6,5.570749963879074e-7,0.2
6.293198742841134e-6,1.1443383667875118e-8,0.025
6.2781224318885145e-6,-3.79761105007148e-9,0
6.3112846474507045e-6,2.9658004495614066e-8,0.23
5.950957327226604e-6,-3.310854191851398e-7,0
5.10226190608907e-6,-1.1791157800483676e-6,0
6.879521018670101e-6,5.978615019203159e-7,0.02
5.952238683655934e-6,-3.294904454248515e-7,0.085
5.7713187592032685e-6,-5.1020548846481e-7,0
5.440206526439865e-6,-8.417930708459753e-7,0
6.497540463756195e-6,2.1617584457067628e-7,0
5.5170029359351405e-6,-7.645380302034876e-7,0
5.952345886592617e-6,-3.294917180624024e-7,0.015
5.6874524676047746e-6,-5.944172114175084e-7,0.01
6.5093332362371815e-6,2.2776027376103513e-7,0.315
6.973060450868176e-6,6.916779130328177e-7,0
6.982894760936016e-6,7.014688262402258e-7,0
6.299967757718651e-6,1.796242541929338e-8,0
6.452585765930842e-6,1.7109782264268514e-7,0
5.654866182120665e-6,-6.265222700624351e-7,0
6.551075033253119e-6,2.6939946877024834e-7,0.06
6.1825584155402795e-6,-9.91548672513165e-8,0.055
6.439508882977832e-6,1.5799149504835962e-7,0
6.505517256900019e-6,2.2388807240369958e-7,0.13
5.0224486550339215e-6,-1.259302366598547e-6,-0.315
7.1706221455682665e-6,8.888374815441136e-7,0.015
5.993582801747825e-6,-2.88170625354911e-7,0.05
6.395078918589092e-6,1.13330980509585e-7,0.03
7.313647431873848e-6,1.0319839791816943e-6,0.01
7.84654996797998e-6,1.5650830579744258e-6,0.115
6.400687018813743e-6,1.1937748479629028e-7,0
6.00590573567144e-6,-2.75454807900366e-7,0
7.025647028975876e-6,7.436692639639641e-7,0
6.398319010133389e-6,1.164780852336289e-7,0.005
5.316856969303205e-6,-9.65010418981782e-7,0.02
6.530818299533478e-6,2.491745963562053e-7,0.09
7.2558455307309384e-6,9.747555276679032e-7,0
5.893870667821696e-6,-3.8691455418404794e-7,0
5.724823234501205e-6,-5.570410046285001e-7,0.015
6.79822166539812e-6,5.169167365026706e-7,0
6.583063915329265e-6,3.014014792396269e-7,0.055
5.937693060585033e-6,-3.438418840356894e-7,0
6.189344814361355e-6,-9.207254741794291e-8,0
5.2179839703747426e-6,-1.0635714937412556e-6,0
7.014274357115645e-6,7.328625702651692e-7,0
5.898083185414581e-6,-3.839283631401624e-7,0
6.21986939228018e-6,-6.205197879027846e-8,0.005
7.633585701625725e-6,1.352334216069284e-6,0
5.710659733813574e-6,-5.713311401411846e-7,0
5.959189842628625e-6,-3.2240861464361003e-7,0
5.624896448191939e-6,-6.568334073575599e-7,0.17
5.7884995864525194e-6,-4.928790702979358e-7,0
7.038710571727772e-6,7.569114496719376e-7,0.01
7.441211167375116e-6,1.1601217388806928e-6,0
6.2367853222974696e-6,-4.4987567802134976e-8,0.025
5.800853196371833e-6,-4.807601653117333e-7,0
5.60838434134058e-6,-6.733463176739063e-7,0.18
6.268973181564897e-6,-1.2397301092370582e-8,0
6.298694301728949e-6,1.7291583198630887e-8,0
6.29637538057155e-6,1.4708473872193651e-8,0.11
5.90377422465838e-6,-3.780239652712014e-7,0.04
6.6735466624605045e-6,3.9209705371634484e-7,0
5.9603225792934836e-6,-3.213340572416623e-7,0.255
7.11890234587898e-6,8.37108808159348e-7,0.005
5.483166738521496e-6,-7.982874180617605e-7,0
5.340002776696277e-6,-9.418896452167979e-7,0.015
6.1342728116142755e-6,-1.47403653993905e-7,0.11
7.67343915458748e-6,1.3927049173806384e-6,0
5.608519268219836e-6,-6.730222341599923e-7,0
6.343488691659109e-6,6.182667782739238e-8,0.105
6.809479803616398e-6,5.275894996248365e-7,0
5.0468704367470405e-6,-1.2350045357156781e-6,0.035
5.3870854635794925e-6,-8.948941084863104e-7,0
5.7358322170936154e-6,-5.461074917012532e-7,0
6.076282744325456e-6,-2.0530416317388057e-7,0
6.700326777974236e-6,4.189540287474758e-7,0
7.394746179425863e-6,1.1134796691536497e-6,0
6.197190741026304e-6,-8.446065999423435e-8,0.19
7.043694872252451e-6,7.618146570054218e-7,0.005
