MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.3585716800255337e-6,-6.887791518250808e-9,0
2.5126153461140435e-6,1.4707797062696316e-7,0
2.496623374522831e-6,1.3105111388078683e-7,0.06
2.40533909390342e-6,3.9714421281589194e-8,0
2.3971683051510393e-6,3.157656152497079e-8,0.015
2.7328254205441443e-6,3.672196765214242e-7,0
2.608037303034059e-6,2.425196354588488e-7,0
2.588450026171276e-6,2.2282988782151847e-7,0.005
2.236748456823972e-6,-1.2880095070666452e-7,0
2.400452249339293e-6,3.485013411297366e-8,0.01
2.388270243897491e-6,2.2706987067855345e-8,-0.63
2.2091898006981434e-6,-1.5638494878067454e-7,0.27
2.143856617847753e-6,-2.2174624364212913e-7,0.025
2.2251860012136457e-6,-1.4044573450666676e-7,0
2.561018551904513e-6,1.9541387684784973e-7,0
2.274239907448896e-6,-9.136457060576752e-8,0
2.490069111083225e-6,1.2444862564908732e-7,0
2.183897211869773e-6,-1.8172541299210643e-7,0
2.2833729338852036e-6,-8.21872334694218e-8,0
2.5598007096758806e-6,1.9420708128048415e-7,0.005
2.823884567805941e-6,4.582959419935362e-7,0.01
2.7994834861468e-6,4.339237927469819e-7,0.035
2.3433758414333876e-6,-2.2198260372086054e-8,0.115
2.1126166509080023e-6,-2.529520137850572e-7,0
2.460749732762195e-6,9.51900326839894e-8,-0.675
2.3111094983923547e-6,-5.449587160977209e-8,0
2.0208916156468064e-6,-3.446609098017861e-7,0
2.1102895419049107e-6,-2.5529049401229463e-7,0.24
2.2211573207491144e-6,-1.4438592159660147e-7,0
2.63325179492458e-6,2.6770821602573047e-7,0
2.435965192652682e-6,7.042204375251604e-8,0
2.301972809602293e-6,-6.358160679786895e-8,0
2.739212774014844e-6,3.7367637771457127e-7,0
2.4489038773779524e-6,8.336545961051822e-8,0
2.7040979958961394e-6,3.3853288245344614e-7,0.06
2.286144635410839e-6,-7.942820827611108e-8,0.21
2.0469094212452622e-6,-3.1863553330568894e-7,0
2.703045802559549e-6,3.3747215015256237e-7,0.02
2.657978712104499e-6,2.924831478889889e-7,0
2.0548769968144836e-6,-3.1072227082040715e-7,0.03
2.1238749707152284e-6,-2.415950628570362e-7,0
2.5291951498060136e-6,1.6367945436746023e-7,0
2.4385315113929637e-6,7.29359519430206e-8,0.01
2.36636461435911e-6,7.352237108015913e-10,0
2.3446794005343816e-6,-2.0865914012180296e-8,0
2.4593398496686194e-6,9.371749474240687e-8,0
2.238288325875816e-6,-1.272760344450674e-7,0
2.3492794641113e-6,-1.628249940155424e-8,-0.465
2.151752182889415e-6,-2.1377272517442147e-7,0
2.506985227109908e-6,1.4134897080353426e-7,0
2.663037665505131e-6,2.9751227187402307e-7,0
2.3494366428202257e-6,-1.604233331509164e-8,0
2.2989473097154715e-6,-6.661592969525731e-8,-0.21
2.3239966848484745e-6,-4.157570264173849e-8,0.145
2.469786452099097e-6,1.0422304034585217e-7,0.205
2.3058276775973305e-6,-5.974456524393545e-8,0.135
2.6130046208550654e-6,2.475322813694225e-7,0
2.3424127016341804e-6,-2.3180131838995698e-8,0.02
2.4334683292344785e-6,6.786888293253135e-8,0.005
2.1288228228979547e-6,-2.3677830555790534e-7,0.005
2.062813197939535e-6,-3.027700234004005e-7,0.235
2.698756162360393e-6,3.3320547702941905e-7,0.235
2.1657490063832735e-6,-1.9984596525801646e-7,0.025
2.3860530003098316e-6,2.0473417361444034e-8,0.035
2.3587195067118298e-6,-6.837127107806041e-9,0
1.9149229722470846e-6,-4.506930737896431e-7,0.01
2.536810972356797e-6,1.712418220106704e-7,0.07
2.0348133879105303e-6,-3.3072047191551323e-7,0
2.696829032813002e-6,3.313941920451979e-7,0
2.3430183926680397e-6,-2.2540439763019114e-8,0
2.523854303589928e-6,1.5825244116918214e-7,0
2.010003911429063e-6,-3.555655223436149e-7,0
2.671261583738437e-6,3.057120375576927e-7,0.305
2.2934372456828477e-6,-7.210839004345714e-8,0
2.8656005673001772e-6,5.001270619631182e-7,0
2.207349743739645e-6,-1.5823612936838316e-7,0.06
2.3031775627729213e-6,-6.236811871951354e-8,0
2.7552585079539358e-6,3.897412064507444e-7,0
2.6645397844132606e-6,2.9901415613042827e-7,0
2.7986219895981347e-6,4.3309084762854776e-7,0
2.4810386337795764e-6,1.1549999466176076e-7,0
2.162568591410255e-6,-2.0301105320197355e-7,0.2
2.7663850088088327e-6,4.008969220142822e-7,0
1.995899422758324e-6,-3.6971717982781095e-7,0
2.031273329326412e-6,-3.343012832307535e-7,0
2.4385260858464414e-6,7.298005959222031e-8,0
2.195043240711608e-6,-1.7051602996087655e-7,0
2.226646709015213e-6,-1.3893316408830626e-7,0.115
2.421907260822651e-6,5.629639273641018e-8,0
2.252831167775891e-6,-1.1272707481191358e-7,0
1.93397670763444e-6,-4.316203746029812e-7,0.08
1.8270690050177781e-6,-5.384773303401813e-7,0
2.3690036288131014e-6,3.4096703549479913e-9,0
2.5021867709139668e-6,1.36616902537412e-7,0.07
2.3914270671041145e-6,2.582521624328038e-8,0.015
2.3111222101734788e-6,-5.4428880826296044e-8,0
2.075340925344913e-6,-2.9027758689514903e-7,0
2.7161968464829512e-6,3.506121100577131e-7,0.005
2.3591647216959346e-6,-6.356135216489811e-9,0
2.2373469774507954e-6,-1.2825832508056577e-7,0.01
