MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
5.4265521228294144e-5,3.29187471638237e-6,0.01
4.4938715874949966e-5,-6.031108309887956e-6,0.155
5.282059216461865e-5,1.8671708624418137e-6,0
5.096243909328655e-5,6.943668562908732e-9,0
5.552120119572204e-5,4.59081579921361e-6,0
4.3682254348078284e-5,-7.2913754624737145e-6,0.075
4.358716033739699e-5,-7.3846198488863865e-6,0.13
5.7393564877593266e-5,6.420556663702115e-6,0
4.7792123741982216e-5,-3.1662226590151166e-6,0
5.0013499726114205e-5,-9.736747747612906e-7,0
5.326196162430854e-5,2.3149510588349466e-6,0
5.273173411964354e-5,1.762228806199695e-6,0.02
4.606974254699223e-5,-4.888291298977832e-6,0
4.965255550903763e-5,-1.332947027602449e-6,0
5.110797778450187e-5,1.2941949700917554e-7,0
5.383126154786824e-5,2.8737556410651786e-6,0.29
4.716043697745417e-5,-3.8030825750884345e-6,-0.495
5.916346584465113e-5,8.201228455547716e-6,0.03
5.1862446959213793e-5,9.337301077910753e-7,0
5.680573845423182e-5,5.833533283605696e-6,0.005
5.516979095580102e-5,4.230036583341423e-6,0
5.72879485030028e-5,6.3428681471711104e-6,0
5.864090427566806e-5,7.68678867890893e-6,0.215
6.0656662648414374e-5,9.695819516161719e-6,0.03
5.015077023255932e-5,-8.116772073368806e-7,0.245
4.8071964394034114e-5,-2.879120898545695e-6,0
5.177742530430034e-5,8.353673281169538e-7,0
4.384410405294409e-5,-7.120835992577846e-6,0
5.732685183242015e-5,6.3814549740237594e-6,0
4.846016875944389e-5,-2.5113556524686276e-6,0.025
4.809302118866479e-5,-2.867158631297273e-6,0
4.5971503198546346e-5,-4.977367364041863e-6,0
5.800468085490487e-5,7.0426484860491856e-6,0.06
4.124740015792227e-5,-9.741646360542089e-6,0.005
4.4221840127236505e-5,-6.7004097391237804e-6,0
5.0014985582081374e-5,-9.602433977345947e-7,0.01
5.366954271414236e-5,2.6944067165107776e-6,0.01
5.3328242387495236e-5,2.3818031536276816e-6,0
5.504504625985164e-5,4.0744770661427235e-6,0.015
5.3130992770215876e-5,2.1771908241408068e-6,0
5.611156000555102e-5,5.160341629942278e-6,0
4.552081306060361e-5,-5.415844322514407e-6,0
6.434839725954434e-5,1.3398103634211789e-5,0.115
5.68233849811461e-5,5.8463685026066695e-6,0
5.7539215322465166e-5,6.5906399870951925e-6,0
4.9868798889104166e-5,-1.0927374544850156e-6,-0.64
5.434382285887179e-5,3.3893940020912616e-6,-0.28
5.488311363485838e-5,3.925723421097093e-6,0.24
5.6686378366858934e-5,5.711675450981169e-6,0
5.594332947229026e-5,4.992923668898919e-6,0
5.0271647325071604e-5,-6.643004658318797e-7,0
4.7169952054744586e-5,-3.7972164109406626e-6,0.135
4.1527179642870855e-5,-9.446799256476734e-6,0.125
4.9128615101931054e-5,-1.8343368194084774e-6,0.32
4.822330198822559e-5,-2.759200393907535e-6,0.015
4.9699729109062364e-5,-1.2444639003472702e-6,0
4.764171798768682e-5,-3.3393666030268055e-6,0.005
4.584012673102604e-5,-5.136446211458923e-6,0.02
4.4866107755684096e-5,-6.131196237613157e-6,0
4.129556106219647e-5,-9.690795674767161e-6,0
5.328402503194358e-5,2.3440262497181897e-6,0
5.632064554958614e-5,5.357884766567511e-6,0.045
5.432517959490865e-5,3.3834150081024638e-6,0
6.118237116699578e-5,1.0224416025376714e-5,0.055
6.003175981908479e-5,9.084797083234731e-6,0
5.440932792534495e-5,3.455340888205982e-6,-0.07
4.2577880643589656e-5,-8.370456918873615e-6,0
5.2365552993922203e-5,1.3893072383064364e-6,0.005
6.046882237863197e-5,9.549023329942785e-6,0
5.322174348904887e-5,2.2659722049173104e-6,-0.29
5.2320023342407096e-5,1.3483914759809812e-6,0.02
5.6763236962923715e-5,5.80455392951984e-6,0.08
5.5671358919689355e-5,4.701825548152349e-6,0.01
4.485285029073722e-5,-6.121716210958361e-6,0.035
4.794129212848178e-5,-3.03457107191929e-6,0.025
4.1754177072911286e-5,-9.186012819895061e-6,0
4.7649993678416985e-5,-3.292590594353162e-6,0
5.1732585159708454e-5,7.827073796856654e-7,0
4.710325169505948e-5,-3.866243106774858e-6,0.11
6.0504338287881135e-5,9.56565238406315e-6,0
5.4763646303675485e-5,3.8019062969674166e-6,0.075
4.667358812207621e-5,-4.280161567013496e-6,0
5.76845493797549e-5,6.709827110045752e-6,0.005
5.097183786529958e-5,7.439737432224369e-9,0.115
5.724797383853996e-5,6.288206247615502e-6,0.07
5.659482246782752e-5,5.640842951404878e-6,-0.655
5.025475344596014e-5,-7.225258740634067e-7,0.005
5.0841265995369993e-5,-1.1358526128046885e-7,0
4.861978405864224e-5,-2.365394612174887e-6,0.005
5.297389153387413e-5,2.012775242192788e-6,0.19
5.009841054818236e-5,-8.483077460347266e-7,0
4.552624316674146e-5,-5.449264524566288e-6,0.02
4.7365018140867116e-5,-3.6076679415047997e-6,0.03
4.570613332168091e-5,-5.2746340698256455e-6,0.005
4.533248210294966e-5,-5.608098475429202e-6,0
4.8134710676932346e-5,-2.850813285047993e-6,0
4.997696039035533e-5,-9.862760334278242e-7,0.2
5.1008890118904796e-5,3.8747952709194953e-8,0.03
5.093557937097677e-5,-1.1338464480648016e-8,0
5.0201803219958606e-5,-7.653892896403169e-7,0.065
