MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.1823367461370795e-6,9.209939866305916e-8,0
1.808041171345233e-6,-2.822204397351369e-7,0
2.130878643319736e-6,4.0671229752375914e-8,0
2.1631477927918414e-6,7.282412940456951e-8,0
1.4324592131531419e-6,-6.578370023702096e-7,0.045
2.363283577129012e-6,2.7301653353184464e-7,0.005
2.0193660688804203e-6,-7.089697854234522e-8,0.205
1.9836310367830806e-6,-1.0667529666719133e-7,0
2.327793892440525e-6,2.3752770363538733e-7,0.02
2.2335273221568033e-6,1.4324210784177893e-7,0
2.029477755883641e-6,-6.079182191476295e-8,0.07
2.448195525486901e-6,3.57941418533958e-7,0.055
1.837246617616656e-6,-2.5302270242888447e-7,-0.705
2.2192572470323055e-6,1.2895815716729154e-7,0.005
1.9994635705826594e-6,-9.076413401143402e-8,0
2.195395619310997e-6,1.0519099255756892e-7,0
2.138146479775499e-6,4.78711225748718e-8,0.025
1.990524517822006e-6,-9.97585363560205e-8,0.02
2.0642597075922225e-6,-2.5982378389910467e-8,0
1.8515661739676591e-6,-2.387632730094236e-7,0
2.233074991145219e-6,1.4281577628449948e-7,0.075
2.261404237731823e-6,1.7115450355764673e-7,0.3
1.895387889560169e-6,-1.9486043986272073e-7,0
1.8493594727943521e-6,-2.408919184376801e-7,0
2.074947462815677e-6,-1.527684452218292e-8,0
1.985520503486237e-6,-1.0476499615830193e-7,0.01
1.9970602861819105e-6,-9.31588765418212e-8,0
2.3235262580866036e-6,2.3327307550335963e-7,0.105
1.9842157268512377e-6,-1.060282471931906e-7,0
2.0457632000260004e-6,-4.4511835393112873e-8,0.005
2.2840439498225305e-6,1.9378396221791937e-7,0.06
2.3237316012945337e-6,2.33474482631002e-7,0.075
2.2377216452391685e-6,1.4745693972251229e-7,0.05
2.3394526865572493e-6,2.492196684217296e-7,0
1.7333728494409119e-6,-3.5685532668416897e-7,0
2.2396904869746265e-6,1.494713415539639e-7,0
2.03919231892193e-6,-5.1061044345490635e-8,0
2.3292931337859355e-6,2.390428968401803e-7,0.17
2.057522955242818e-6,-3.2707099595352676e-8,0
2.062754137801969e-6,-2.7556865506150884e-8,0
2.6804106175381104e-6,5.901738257585443e-7,0.135
2.3071783986614094e-6,2.169445148153537e-7,0
2.09829878543682e-6,8.062881027837143e-9,0
1.8843767566952212e-6,-2.058626112766415e-7,0
2.1119596112181495e-6,2.171983594145832e-8,0
2.4080615662508543e-6,3.178036281992203e-7,0.04
1.935111675165692e-6,-1.551449641662428e-7,0
2.0571554526995626e-6,-3.3142100032135244e-8,0
2.3049949234085734e-6,2.1470805469603337e-7,0.005
2.228037719862177e-6,1.3774456121384836e-7,0
2.120585408059699e-6,3.031756702798205e-8,0.04
1.9564221588128706e-6,-1.3379232125021458e-7,0
2.232586189312287e-6,1.4236436959136344e-7,0
2.3145051317538412e-6,2.2426347942028358e-7,0
2.2308226213237543e-6,1.4052831577182622e-7,0
1.8910655948979118e-6,-1.9922903984059825e-7,0.005
2.1649273397342823e-6,7.47078047880212e-8,0
1.8998708413915806e-6,-1.903926989532678e-7,-0.44
2.115419547746896e-6,2.512770396922992e-8,0.005
1.7525297309323216e-6,-3.377727742054359e-7,0.015
2.3383337569787133e-6,2.4808517983754277e-7,0.23
2.111120434797457e-6,2.0888894818882342e-8,0
2.762345203725028e-6,6.721132864034863e-7,0.165
2.1066792817423924e-6,1.6383661224361744e-8,0
1.987757556588658e-6,-1.0249097295245147e-7,0
2.0456946583026894e-6,-4.455814146542281e-8,0
2.138817466135799e-6,4.8534559327073626e-8,0
1.98485746802451e-6,-1.0535872926265011e-7,0
2.0766161182816914e-6,-1.3625827251506628e-8,0
2.4848942419707886e-6,3.946686743133698e-7,0
2.1098934319515e-6,1.962242614450549e-8,0.045
2.272631146769507e-6,1.8235902154328799e-7,0.015
1.8718923718130578e-6,-2.1834726632918856e-7,0
1.976694802239732e-6,-1.1356352325297969e-7,0
2.3295595366795206e-6,2.393144918722001e-7,-0.62
2.2156847315605834e-6,1.2545291601551157e-7,0
1.880105907241934e-6,-2.1009247701153644e-7,0
2.103907014454239e-6,1.3674669208096901e-8,0
2.1747895304424433e-6,8.458856359361278e-8,0
2.6160360876612597e-6,5.258033140037588e-7,0.295
2.388013578512384e-6,2.977836411399704e-7,0
1.919149321724163e-6,-1.7113307549110336e-7,0.03
1.9680559924583425e-6,-1.2218197660729403e-7,0
1.9539380718335746e-6,-1.3631461301732983e-7,0
1.84735621029453e-6,-2.429148432359085e-7,0.195
2.01572925982892e-6,-7.453341671570524e-8,0.235
1.889668342743663e-6,-2.0056680683944172e-7,0
2.172990539369694e-6,8.270191916626146e-8,0
2.1013538379288217e-6,1.1178395123434549e-8,0
1.8347422431423551e-6,-2.555301059392612e-7,0.175
1.92153594710113e-6,-1.6874493212359898e-7,0.02
2.205092363631202e-6,1.1481680392610993e-7,0.015
2.102604880876549e-6,1.236311135910384e-8,0
2.1753142376083967e-6,8.509323595418117e-8,0
1.9885040033969644e-6,-1.0178712773090126e-7,0
1.9771409975385555e-6,-1.1310181351420478e-7,0
1.801691054892959e-6,-2.8856230831320054e-7,0
1.982550353594132e-6,-1.0773018628618125e-7,0.015
1.9982504391314962e-6,-9.19948629246603e-8,0
1.9590841159084527e-6,-1.3112056319319887e-7,0
