MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.3484206896283377e-6,2.5785156513136174e-7,0.155
1.926902845414987e-6,-1.6370121198983067e-7,0.01
2.3218366716583916e-6,2.31279578520871e-7,0
1.938422380456688e-6,-1.521749814054063e-7,0.04
2.077578701953414e-6,-1.2994999102344807e-8,-0.455
2.141040658605051e-6,5.0456441078039485e-8,0.07
2.4195437329864064e-6,3.2895479444738916e-7,0.01
2.1734066936099796e-6,8.283694575006439e-8,-0.475
2.020347704904492e-6,-7.01666713004423e-8,0
2.1895765622008206e-6,9.897753224463734e-8,0.02
1.7143799975161152e-6,-3.7616532243767154e-7,0
2.246415942299591e-6,1.5580991825414613e-7,0
2.210515724318208e-6,1.199074925173349e-7,0
2.3077225073962483e-6,2.1714452736076862e-7,0.065
2.5323081474782135e-6,4.418067543832116e-7,0
2.014897729616512e-6,-7.562950999573382e-8,0
1.8218925212132468e-6,-2.6873056011345045e-7,0
1.8936504373294171e-6,-1.9692412400573732e-7,0
2.0590029122770396e-6,-3.1576526356436043e-8,0.225
2.1529895007172976e-6,6.236420974081724e-8,0
2.209400732045861e-6,1.188191936635219e-7,0.05
2.2293564899110197e-6,1.3875662941920109e-7,0.005
2.1946728378704208e-6,1.0414480031362139e-7,0
2.121554037561361e-6,3.100952715440197e-8,0
2.1087462985519845e-6,1.812238219600637e-8,0
2.167100059873161e-6,7.652519432577165e-8,0.22
1.9354803661028197e-6,-1.551018285400607e-7,-0.57
2.293949423427528e-6,2.0335085790024188e-7,0.005
2.141500173094835e-6,5.098310979445575e-8,0
2.013824727518031e-6,-7.677788907756166e-8,0.005
2.2901311940297776e-6,1.9956421009326152e-7,0.355
1.6918906026123682e-6,-3.9869317184526577e-7,0
2.4976071132138245e-6,4.0703205570036263e-7,0.025
2.4433316886371616e-6,3.5276939185202585e-7,0.225
1.7428199238931226e-6,-3.4778466822593667e-7,0.045
2.160376111195485e-6,6.981078579215705e-8,0
2.345423389620057e-6,2.548485509235032e-7,0.08
2.332239409323586e-6,2.416577784414287e-7,0.04
1.8019512853559983e-6,-2.886600026186237e-7,0.02
2.03361763347822e-6,-5.697805327331551e-8,0.015
2.304139460885435e-6,2.136033264499293e-7,0
2.1343881490241336e-6,4.3777205724349064e-8,0.005
2.3048709837861178e-6,2.1436674357222517e-7,0
2.6462774338601066e-6,5.557496477903711e-7,0
2.029822339942829e-6,-6.081021542314601e-8,0
1.9381353047303223e-6,-1.5246039768934682e-7,0.04
2.5675608716593066e-6,4.769894771566863e-7,0.05
1.9474451287260444e-6,-1.4315840812906266e-7,0.015
1.6552881193010944e-6,-4.3531373885741244e-7,0.13
2.1047005986168227e-6,1.4093929210923229e-8,0.005
2.042198953960879e-6,-4.839995254690699e-8,0.02
1.9659729490964405e-6,-1.2462148491487745e-7,0.035
2.1345367369162698e-6,4.396828847175182e-8,0
2.043135206507615e-6,-4.743843962373706e-8,0
2.4215553278772937e-6,3.3097959529826415e-7,0.05
2.030860705823534e-6,-5.975860330909023e-8,0.005
2.0955440658619566e-6,4.9533568868831425e-9,0.055
2.013429007318872e-6,-7.71615660538627e-8,0.055
2.1395505090774304e-6,4.9010441779406834e-8,0
2.073626428073066e-6,-1.690336407622617e-8,0
1.9145118838548604e-6,-1.7608276014102752e-7,0.045
2.1855780946508227e-6,9.502445690479088e-8,0
2.005073250186626e-6,-8.551575848336768e-8,0.075
2.1215111549269047e-6,3.0897442075961125e-8,0.01
2.0965016493883834e-6,5.913735085516514e-9,0.05
2.238782322196827e-6,1.482199092539549e-7,0
2.1215599095058607e-6,3.0966223651951455e-8,0.025
2.0586490140933687e-6,-3.195176114356713e-8,0.005
1.7854336355886242e-6,-3.0515791135499183e-7,0.245
2.209592612006415e-6,1.1901611573383875e-7,0.145
2.22080231552284e-6,1.3022176198196344e-7,0.06
1.9017147310081155e-6,-1.888333395982933e-7,0
2.386568744122418e-6,2.9602055923838577e-7,0
1.9992779228373613e-6,-9.129800698615132e-8,0
1.8990246266806879e-6,-1.9155673170456743e-7,-0.16
2.1408696048245438e-6,5.028238243387495e-8,0.05
2.1914821729087946e-6,1.0095335543525153e-7,0
1.8568982529158798e-6,-2.3369807555739806e-7,0.075
2.176814348822515e-6,8.62548441715738e-8,0
2.0656362201093247e-6,-2.4932819275846895e-8,0
2.118795040092754e-6,2.820844017425994e-8,0.07
2.0173549991607972e-06,-7.325589594819881e-8,0.01
1.6260341271382193e-6,-4.645468638775352e-7,0
2.3007513127649496e-6,2.1020028837026584e-7,0
1.7396307939536526e-6,-3.509883203667297e-7,0
2.3351625297393103e-6,2.4461725216862183e-7,0
1.7406557012963076e-6,-3.4993639879132844e-7,-0.705
2.001963984749784e-6,-8.866786140648841e-8,0
2.2286740323028462e-6,1.380810970968982e-7,0.025
1.947671915200612e-6,-1.4292359549694656e-7,0.04
2.134765977949054e-6,4.419534077371168e-8,-0.3
2.0027476478303126e-6,-8.779410444859081e-8,0
1.958123773197198e-6,-1.324506486283239e-7,0
2.3816818543224676e-6,2.9113123422797036e-7,0
1.8100521004457137e-6,-2.8051678509444233e-7,0
2.351024625795655e-6,2.6043307320533507e-7,0.015
2.266004195195401e-6,1.7549431309771268e-7,0
1.9758852369110786e-6,-1.1469747567049993e-7,0.255
2.3864417519593077e-6,2.958914667611223e-7,0
2.0035517373359895e-6,-8.70397575586379e-8,0.05
