MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
5.7139784033392676e-5,6.1972799578963175e-6,0
5.042660062113211e-5,-5.46218903187401e-7,0.015
4.9310981810202515e-5,-1.6623799197018617e-6,0.03
5.1220351432703096e-5,2.448139643074221e-7,0
4.799579214803487e-5,-2.968803338701531e-6,0.135
4.776899841245656e-5,-3.189583412581132e-6,0
5.662725678196099e-5,5.721061114193904e-6,0
4.797106010292864e-5,-2.9856703573821753e-6,0
5.6828112523611684e-5,5.859392379956585e-6,0
3.945168129707961e-5,-1.1511574527782176e-5,0
4.9421448783959823e-5,-1.5350632821575783e-6,0
4.4949032409089375e-5,-6.0324066468808726e-6,0
5.315024079419103e-5,2.1684196948568157e-6,0
5.0111015060575246e-5,-8.495258511176384e-7,0.205
5.6350209476256214e-5,5.4169605842241395e-6,0
5.1766276146715844e-5,7.874230817195293e-7,0
4.342529232483488e-5,-7.536245092495953e-6,0
5.754216199131657e-5,6.580610011977517e-6,0.035
5.704214108351684e-5,6.11948826587494e-6,0
4.65832819100993e-5,-4.39553062061171e-6,0.005
5.666441824764726e-5,5.696317016254393e-6,0.005
5.220105861597566e-5,1.241133798879912e-6,0.125
5.7621390306974345e-5,6.671325831641428e-6,-0.655
4.98471216293235e-5,-1.10278742280423e-6,0
5.081826775891179e-5,-1.657107131369795e-7,0
4.676613192427747e-5,-4.201515575227299e-6,0.07
5.1836865085039366e-5,8.770715809741647e-7,0.185
4.2952160632573586e-5,-8.019071882551243e-6,0.08
5.535925328424514e-5,4.398325860162089e-6,0.065
5.6358313737533726e-5,5.412318964790885e-6,0
4.865406738951426e-5,-2.300088665400102e-6,0
4.495814058401832e-5,-6.015141595409612e-6,0.03
5.2629573625888414e-5,1.6590463157917235e-6,0
6.077368369378721e-5,9.851230040149316e-6,0
5.4510441672845675e-5,3.5856289755320512e-6,0
4.850653557398952e-5,-2.446680198187057e-6,0
4.6544198459589915e-5,-4.444189127760234e-6,0
5.079791757400937e-5,-1.6953901794070082e-7,0.03
5.0917136504353055e-5,-5.6590487003127516e-8,0
4.662766504844411e-5,-4.345012631303824e-6,0.01
4.7232723464481395e-5,-3.745063039576335e-6,0.005
5.220224684013488e-5,1.2428118404600451e-6,0.16
5.5896372523907034e-5,4.94720486348521e-6,0
4.187999122406797e-5,-9.107760327358161e-6,0
5.828102763342408e-5,7.32664360720725e-6,0.09
4.694659545213575e-5,-4.0163230983325525e-6,0.315
5.2843303091926315e-5,1.8796967183332125e-6,0.05
5.086413810280055e-5,-1.1235662152608849e-7,0.005
4.400181064720947e-5,-6.9729435424115135e-6,0.02
4.662176745954188e-5,-4.341415241310154e-6,0.285
4.777379538296005e-5,-3.204711381784575e-6,0.005
4.900801463877634e-5,-1.9281329652598433e-6,0
5.281738714961231e-5,1.8528546185181404e-6,0.035
5.3870537466861616e-5,2.895862829693785e-6,0.005
5.209417657133595e-5,1.138651310576e-6,-0.545
3.99344378127369e-5,-1.1066484974109336e-5,0
4.8023979641683716e-5,-2.9295916772176244e-6,0
4.18581606663049e-5,-9.112149981694295e-6,0.16
4.943292310302225e-5,-1.5438549645596654e-6,0
4.899773760111711e-5,-1.95374014797689e-6,0
4.64093467822256e-5,-4.5636462158843425e-6,0.03
5.6957533673944856e-5,5.994811030609059e-6,0.01
5.991778099098995e-5,8.960248548523508e-6,0.025
4.9179913066082646e-5,-1.7759921199828055e-6,0
4.625958081770297e-5,-4.703089074573619e-6,-0.585
5.42116737873853e-5,3.263099155739746e-6,0
4.719236580702427e-5,-3.7874931807047043e-6,0
5.2620092349282146e-5,1.651649711674752e-6,0.02
5.1130385644641695e-5,1.46717612280467e-7,0
5.5587606642990285e-5,4.626664598503805e-6,0.055
6.017790798147875e-5,9.224514421811714e-6,0.105
4.410883092889965e-5,-6.844847414841371e-6,0
4.1933390462454456e-5,-9.060154689218836e-6,0
4.3934756069128694e-5,-7.043444962716028e-6,0.025
4.1770177550355496e-5,-9.178076805749224e-6,0
5.2026257391866426e-5,1.0531438249850035e-6,0.005
3.8382642161247164e-5,-1.25980857659741e-5,0.025
5.2688099053982574e-5,1.7350961998091608e-6,0
5.1179648815082266e-5,2.387673737003215e-7,0
5.345994946741961e-5,2.493422896852615e-6,0.035
5.0605999560465215e-5,-3.593544671698368e-7,0.045
5.0331397930265395e-5,-6.263156063207597e-7,-0.585
5.1878335656729584e-5,9.02867059612289e-7,0
4.7559090535756406e-5,-3.3936871307016502e-6,0
5.66305480428856e-5,5.715892248157606e-6,0
4.835798980422643e-5,-2.6230775022734187e-6,0.005
5.032317761543934e-5,-6.238054883789257e-7,0
4.798282912011606e-5,-3.0003425081592815e-6,0
4.6462971173093866e-5,-4.498210491676313e-6,-0.32
5.559491591903876e-5,4.643584824944314e-6,-0.52
5.418708245540007e-5,3.224097331553377e-6,0.045
4.8084861024567755e-5,-2.881693030320487e-6,0.07
5.5447531979873116e-5,4.4954555165821475e-6,-0.645
4.749553958399989e-5,-3.4518310117892527e-6,0
5.627287657581125e-5,5.356278256772318e-6,0
5.933865680683057e-5,8.419998960482177e-6,0
4.959176426831836e-5,-1.367086443231913e-6,-0.585
4.9512279179924726e-5,-1.4562507412807513e-6,0.03
4.998488395628776e-5,-9.461076945166402e-7,0
4.899439465851166e-5,-1.9686290505749327e-6,0.125
