MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
5.7857155662358964e-5,3.080268621055704e-6,0.035
5.890906689609353e-5,4.127735919502995e-6,0.015
5.237091404637843e-5,-2.390489597581813e-6,0
6.269898056705873e-5,7.918072481596372e-6,0
5.853148151933416e-5,3.7683887604994526e-6,-0.245
5.330193880349662e-5,-1.5109553438386047e-6,0
4.9302451977013294e-5,-5.472026543767439e-6,-0.17
4.37143065039688e-5,-1.1084078033751777e-5,0.01
5.7517873975761775e-5,2.723296772645378e-6,0
4.855695994019643e-5,-6.234590377844907e-6,0.01
4.927552726678459e-5,-5.4864657010550435e-6,0
6.633527425214063e-5,1.1575293796888819e-5,0.17
5.829974451690872e-5,3.5520471102529207e-6,0
6.266236937614828e-5,7.890165484565337e-6,0.03
4.640963057766322e-5,-8.375597728721984e-6,0.08
5.783958214371065e-5,3.1051148470834233e-6,0
4.9662451023389934e-5,-5.1354173116924255e-6,0
5.464132960204217e-5,-9.175671776773253e-8,0
5.4749865032204125e-5,-3.521321986055259e-8,0.015
4.950152597799735e-5,-5.267703342817787e-6,0
5.79298156780203e-5,3.1783338089452773e-6,0
4.711317042437994e-5,-7.685020912004958e-6,0.015
5.6177594901677156e-5,1.3994202524669763e-6,0.055
6.0163338406861195e-5,5.395161611626009e-6,0.155
4.851410922251098e-5,-6.276730319066948e-6,0.02
4.8994726699575365e-5,-5.799236834607146e-6,0.005
5.470896711367026e-5,-8.743463816351938e-8,0.005
4.638783397328682e-5,-8.4177572414168e-6,0
6.432369402719779e-5,9.595808559137442e-6,0
6.79631964632801e-5,1.3192518532257336e-5,0.015
5.6817948751053335e-5,2.05111342256592e-6,-0.57
6.3512680650783e-5,8.772631684693666e-6,0
5.2212064381522256e-5,-2.584549958016824e-6,0
4.885148951665583e-5,-5.918902060031428e-6,0
5.387087656974039e-5,-9.383717952149428e-7,0
6.59219214393833e-5,1.1168681288916682e-5,0
5.223663132367859e-5,-2.5031630682570418e-6,0
6.19028729639359e-5,7.143383166909323e-6,-0.41
5.018989375017698e-5,-4.606735777632487e-6,0
5.3001644327129984e-5,-1.738915251000006e-6,0
6.351104069448657e-5,8.72585958831773e-6,0.01
5.1658981271486666e-5,-3.132436659084581e-6,0.01
6.391006866547138e-5,9.130091308285349e-6,0.01
5.018173431283038e-5,-4.610112215652773e-6,0.015
6.254495819687498e-5,7.768558895152044e-6,0.025
4.906670058786629e-5,-5.7191086259145155e-6,0.05
5.534293565512378e-5,5.481187283001843e-7,0.005
5.742206475106156e-5,2.6448639844206536e-6,0.035
5.245526615806683e-5,-2.33206472791847e-6,0.02
5.2876949111351896e-5,-1.8477937810068568e-6,0
5.433163248647129e-5,-4.5161463186338404e-7,0.02
5.2002946122729344e-5,-2.7736474008660527e-6,0.15
4.601472271685288e-5,-8.78002313083881e-6,0.02
6.08095754944159e-5,6.038992921197361e-6,0.07
6.392824820263298e-5,9.172011430889082e-6,-0.235
5.219380890676488e-5,-2.5997695695195723e-06,0.025
4.585027396837217e-5,-8.92848690999204e-6,-0.03
5.0866265382454114e-5,-3.9154631523796726e-6,0.08
4.445643600925859e-5,-1.0333213182209811e-5,0.055
5.798308493621144e-5,3.208409210527785e-6,0.04
5.042640032743649e-5,-4.362360416604316e-6,0.025
7.203585135550646e-5,1.7254449941874196e-5,0.01
4.7482507051845414e-5,-7.2957670008449995e-6,-0.59
5.568147834364012e-5,8.842274427589558e-7,0
5.6182193136402635e-5,1.3837280035899902e-6,0.005
4.8684490996478443e-5,-6.11768451158401e-6,0
5.062666849579019e-5,-4.122148970612249e-6,0
6.215318893175169e-5,7.367530322306415e-6,0.01
6.071468618735791e-5,5.949034845794121e-6,0.215
5.9531811361006054e-5,4.804617241700449e-6,0
5.3732401691674775e-5,-1.0078196843521514e-6,0
5.4756579149578374e-5,-3.0599765441508e-8,0.015
4.5951227592807184e-5,-8.819097059574733e-6,0
6.0440072394193996e-5,5.675558086171151e-6,0.27
5.342344554992764e-5,-1.3474680334990553e-6,-0.5
4.6652561038225175e-5,-8.101552317653638e-6,0
5.2933840918908606e-5,-1.8456004628841782e-6,0.06
5.414189788730548e-5,-6.32979057498817e-7,0.125
6.230152652757924e-5,7.52546901933604e-6,0.03
5.1920890416774924e-5,-2.8355860301293444e-6,0
5.3289722361763766e-5,-1.49589007807982e-6,0.015
6.575807056855229e-5,1.1000028113351546e-5,0.27
5.348780130272152e-5,-1.3206451506808658e-6,0
5.6507730817616065e-5,1.7516993823069037e-6,0
6.179573858717054e-5,7.023010402169017e-6,0.065
5.011843401570245e-5,-4.630080131277636e-6,0
5.659569922558445e-5,1.820924549069125e-6,0.065
5.160366448161037e-5,-3.166806924695953e-6,0
5.7156267748726036e-5,2.4437351030842658e-6,0
5.242394550851019e-5,-2.3764617020971545e-6,0
5.7574116273855556e-5,2.8192698597107046e-6,0
5.9981224343448855e-5,5.2126252621165215e-6,0.13
5.288204445617172e-5,-1.8640652064383367e-6,0
4.809347633068929e-5,-6.692987106319826e-6,0.04
5.050783480582444e-5,-4.310601806252201e-6,0
6.604461084500985e-5,1.1303811268626452e-5,0
5.1133321305265915e-5,-3.657878528651737e-6,0.005
5.538847072739328e-5,6.044360622103895e-7,0.005
4.852755419676051e-5,-6.217295639226461e-6,0
5.839802960367834e-5,3.6613842788696396e-6,0
