MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
1.8507834471914372e-6,-2.6994007101710513e-7,0.005
1.9027584294354369e-6,-2.1798391556582252e-7,0
2.0982971778870863e-6,-2.239079942012445e-8,0.195
2.1359982031848814e-6,1.5334772324737677e-8,0
1.9736024800940687e-6,-1.471155003901492e-7,0.01
1.9392118754920618e-6,-1.81500533387724e-7,0.015
2.1112451636848353e-6,-9.418563485796839e-9,0
2.1539692709404354e-6,3.3282936134915177e-8,0.185
2.3863659630026678e-6,2.657001838179962e-7,0
2.3170779063100263e-6,1.9642213962778322e-7,0
1.909393186381367e-6,-2.113208315313031e-7,0.015
1.939014954346542e-6,-1.816862103470873e-7,0.07
2.4220588795141753e-6,3.013991189415588e-7,0
2.214834639689585e-6,9.417794524291257e-8,0
1.9838173008396172e-6,-1.3689690804508102e-7,0.005
2.067492793992841e-6,-5.319829556094113e-8,0.14
1.901152001539061e-6,-2.194879994249499e-7,0
2.023265996555704e-6,-9.74363535216627e-8,0.04
2.0172980370324686e-6,-1.0341449546813486e-7,0.01
2.2259706300268593e-6,1.0530311070566789e-7,0
2.1753108095795674e-06,5.4578168322549916e-8,0
2.343520674930155e-6,2.2284978448916526e-7,-0.52
2.022192441916867e-6,-9.84918790714051e-8,-0.115
1.8741351013486885e-6,-2.466018995594954e-7,0
1.8041317523042297e-6,-3.1660038491976293e-7,0.005
1.7918384681313466e-6,-3.2886100719331515e-7,-0.695
2.2843501042353544e-6,1.6366364101516596e-7,0.095
1.9230589538171224e-6,-1.9766538922216803e-7,0
2.020048176796261e-6,-1.0063098688117833e-7,0
2.052957700202092e-6,-6.776022913435043e-8,0.01
2.337790816007925e-6,2.171034934139726e-7,0.05
2.3323286220720147e-6,2.1162770836802292e-7,0.005
1.9356555439240314e-6,-1.8504464902646679e-7,0.07
2.214273648504795e-6,9.357236018081583e-8,0.02
2.095998338821422e-6,-2.4707332658135962e-8,0.03
2.1318732284229237e-6,1.1183359199251619e-8,0.12
1.8224532417630592e-6,-2.9822702421467007e-7,0
2.007266523825331e-6,-1.1343452230583306e-7,0.05
1.8833150300387572e-6,-2.3744143154313946e-7,0
1.989342981347102e-6,-1.3139338612133677e-7,0.005
1.9812114243834905e-6,-1.3950366195614185e-7,0.005
2.373274070191812e-6,2.526781651018828e-7,0
2.136595407394844e-6,1.5896344475740954e-8,0.03
2.2698095342117107e-6,1.4913651905756886e-7,-0.33
2.277091994322167e-6,1.56511344903687e-7,0
2.027002104985113e-6,-9.368485406335836e-8,-0.63
2.306442586062846e-6,1.858720950920212e-7,0
2.3453998463698456e-6,2.2474668486649473e-7,0
2.0787103090415827e-6,-4.1948225602550514e-8,0
1.916969726505708e-6,-2.0375704029129694e-7,0
2.0411574050552537e-6,-7.954312650104711e-8,0.045
2.1044243689841083e-6,-1.6239237433657294e-8,0
1.7698662452061092e-6,-3.508547802605344e-7,0.005
2.2771522846445257e-6,1.5642034658536198e-7,0
1.7978550738757621e-6,-3.2283748218564503e-7,0
1.933636494405618e-6,-1.8704716439277292e-7,0
2.3064317321639817e-6,1.8578234028232554e-7,0
2.1052193947068334e-6,-1.5492441762243737e-8,0.005
2.3219873242555873e-6,2.0127808681991154e-7,0
2.156188012875426e-6,3.55150762032519e-8,0
2.0789595695104497e-6,-4.171235037819798e-8,0
1.8967265741477994e-6,-2.2398626353448137e-7,0.03
2.248197719672659e-6,1.275210382656322e-7,-0.6
2.1001698972190853e-6,-2.0532855533050843e-8,0.025
1.9612881542466066e-6,-1.5942970933546795e-7,0.01
2.251534317231426e-6,1.3091290259836797e-7,0
1.950735821575953e-6,-1.6992201099297332e-7,0
2.1337981899398672e-6,1.3120911943609315e-8,0
2.053193666436939e-6,-6.75122834026265e-8,0.035
1.762743965222464e-6,-3.579330682101922e-7,0
1.947178817601757e-6,-1.7352274740645156e-7,0.06
2.1156858048308357e-6,-5.032304768448625e-9,0
1.972760595267466e-6,-1.4796888502699446e-7,0
1.734943110672818e-6,-3.8579377387604196e-7,0
2.3683503317309496e-6,2.476415897390005e-7,0
1.860924580440474e-6,-2.5976712642095113e-7,0
2.075311975177628e-6,-4.5411864270095136e-8,0
2.377263392418593e-6,2.566305357387666e-7,0
2.2242920384548547e-6,1.0358285657763311e-7,0
2.1831171682580866e-6,6.241671164142204e-8,0.025
2.3681248853334093e-6,2.474122024953562e-7,0.005
2.3969098857599538e-6,2.76195655820044e-7,0.01
2.0988644665395286e-6,-2.1801953842826016e-8,0
2.0436713550035236e-6,-7.702143842047704e-8,0.155
2.2053805602771465e-6,8.473285989740731e-8,0
2.429847305381808e-6,3.091700695423416e-7,0.11
1.9487644446409224e-6,-1.7193590346964438e-7,0.08
1.933923005419181e-6,-1.8677721811022342e-7,0.1
1.9924183885765783e-6,-1.282140004094101e-7,0
2.093762056081062e-6,-2.692427319317403e-8,0.245
2.369670787792986e-6,2.490288266238094e-7,0
2.4281995633617056e-6,3.074900179156348e-7,0
2.305657931722241e-6,1.8496438913884196e-7,0.04
2.0891739181083888e-6,-3.15351109669848e-8,0.02
2.4211568517308413e-6,3.005537622191579e-7,0
2.248505768360817e-6,1.2781135698303192e-7,0.04
1.8797770813151473e-6,-2.4092795700592084e-7,0.06
2.237134916612405e-6,1.1649889093079402e-7,0
2.0759698642225313e-6,-4.4692707358851005e-8,0
1.8833295276694257e-6,-2.373448029918679e-7,0
