MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.023711251710779e-6,-9.70037337111318e-8,0
1.6986108340920685e-6,-4.22104530719003e-7,0.035
2.2688752828278226e-6,1.4816929522432076e-7,0.005
2.1402925707217564e-6,1.9648576556341447e-8,0
1.929586823930592e-6,-1.9111974776275798e-7,0.045
1.8817664046765653e-6,-2.389391422186193e-7,0.03
2.13588988353482e-6,1.5185345898505175e-8,0.02
2.1367755752656008e-6,1.610431026144443e-8,0
2.053785951412026e-6,-6.6895014855239415e-08,0
2.264110616462172e-6,1.434001046241029e-7,0.005
2.0668960202065147e-6,-5.3822003075465475e-8,0
1.9322048545950516e-6,-1.8851228043348377e-7,0.005
2.6198558689788886e-6,4.991940912957294e-7,0.285
2.231215184841962e-6,1.1055256555592142e-7,0
1.8407751868827456e-6,-2.799112490425859e-7,0
2.5847936038548443e-6,4.641718572384601e-7,0
2.0251697722974442e-6,-9.549695383359591e-8,0
2.289643758538117e-6,1.6894607146655806e-7,0.02
1.957949656497999e-6,-1.627391399172673e-7,-0.395
2.389111911378225e-6,2.684682233616842e-7,0
2.454657826593131e-6,3.3394817991361234e-7,0.005
2.539476698636071e-6,4.1885464547475327e-7,0
2.23688822490917e-6,1.1617568431321334e-7,0.005
2.0575742023054907e-6,-6.315257847222533e-8,0
2.0951950660695282e-6,-2.5490246534087825e-8,0.31
2.12680170309721e-6,6.073281184626467e-9,0
2.102649479977364e-6,-1.806545794180714e-8,0.005
2.0686355944676834e-06,-5.206365333909613e-8,0.04
2.120943630756695e-6,2.604365439973223e-10,-0.685
1.847832392830566e-6,-2.7290320077200116e-7,0
2.027285587378182e-6,-9.341144096008946e-8,0.09
1.9382920539100137e-6,-1.823855983246192e-7,0
1.934451362644206e-6,-1.8623589825461638e-7,0
2.4950209102655174e-6,3.743172401188266e-7,0.005
2.114311831409924e-6,-6.403428820522806e-9,0
2.4622892864520606e-6,3.416101077291511e-7,0.085
2.1468393195359727e-6,2.6146497422163684e-8,0.065
2.372318834211903e-6,2.516347945408226e-7,0.065
2.167228732086818e-6,4.652725365372756e-8,0.02
2.3535185125161885e-6,2.3281266118557742e-7,0.005
1.9516334833908766e-6,-1.6905938577782554e-7,0.26
2.417001126943891e-6,2.963955692247833e-7,0
2.129718253951378e-6,9.038141170480963e-9,-0.35
2.028278183408681e-6,-9.243936465341828e-8,0.01
2.1171854551835094e-6,-3.408227298162814e-9,0
1.8490002140567192e-6,-2.7168858191206624e-7,0
2.3894890013982046e-6,2.6886143385529416e-7,0
2.338449226885261e-6,2.1783112986006882e-7,0
2.2278193451744196e-6,1.0713470701695372e-7,0.13
2.0656929770512203e-6,-5.500289527060609e-8,0.08
1.9447321424640742e-6,-1.7598509113425643e-7,0.01
2.112294167890755e-6,-8.367762402983203e-9,0
2.2513478350079523e-6,1.3066531741989795e-7,0.16
2.1089709989653894e-6,-1.1773581626295381e-8,0
1.9284778446555653e-6,-1.922491998862519e-7,0
2.034257056556813e-6,-8.644053841433407e-8,0.08
2.0955407988720514e-6,-2.5149789026346347e-8,0.13
2.0344167223731123e-6,-8.627787117354568e-8,0.105
2.308762746438933e-6,1.880669346476793e-7,0.025
2.0451479079408384e-6,-7.557072174924073e-8,0
2.146119911655161e-6,2.54764002810548e-8,0
1.9889520930867054e-6,-1.317648604060029e-7,0.005
2.3017903383736436e-6,1.8113015116505427e-7,0
2.3172822606857408e-6,1.9660441409385943e-7,0.2
2.061175942312385e-6,-5.948751681472686e-8,0
2.2395784457574594e-6,1.1895999604716323e-7,0
1.9802745452214667e-6,-1.4037562630908606e-7,0
2.189148979293981e-6,6.849829256416751e-8,0
2.1582624032807616e-6,3.757022354278217e-8,0.07
1.7326174660084076e-6,-3.881074749534363e-7,0.015
1.9612274808843796e-6,-1.5946160567548162e-7,-0.51
2.0894100473123163e-6,-3.128913034555758e-8,0.035
1.9564950958749032e-6,-1.6420257162641505e-7,0.125
2.1996719308687046e-6,7.90050618093563e-8,0
2.2535372032236706e-6,1.3282518390556052e-7,0.005
1.947763962398396e-6,-1.729504718278596e-7,0.005
1.8919665572337658e-6,-2.2873753139363017e-7,0.07
2.3041762994614525e-6,1.8352430631141115e-7,0
2.2043545755295647e-6,8.37076234128098e-8,0
1.8366090297911628e-6,-2.8409147343366747e-7,0.19
2.3461994081317116e-6,2.2553834447047727e-7,0
2.1559407090777506e-6,3.526341833148816e-8,0
2.159389079884579e-6,3.869811323109484e-8,0.08
2.435833059148203e-6,3.1511555838137363e-7,0
2.4167756714059162e-6,2.960835436688347e-7,0.025
2.190349131026507e-6,6.965824316917946e-8,0.075
1.9351273401311105e-6,-1.8556396643609752e-7,-0.58
2.4208213422789084e-6,3.0013585609889315e-7,0.055
2.0477457235426392e-6,-7.289495570106385e-8,0
1.9032557744353111e-6,-2.1743006337393566e-7,0
2.441828751251742e-6,3.211429705707314e-7,0.035
2.388373479532826e-6,2.676857244504616e-7,0.055
2.1417353865749223e-6,2.1054044656021454e-8,-0.56
1.8240321360193085e-6,-2.9668614517919245e-7,0.02
2.0409564032625264e-6,-7.969956974052117e-8,0
2.4103948797875174e-6,2.8971520116161107e-7,0.095
2.1615142553570224e-6,4.086174754669436e-8,0
2.2120062706978114e-6,9.133593516674754e-8,0
1.7468353530894193e-6,-3.738655456803075e-7,-0.625
2.050120287560722e-6,-7.058500482437502e-8,0.02
