MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
5.177997030496146e-5,-3.0201252349515428e-6,0
5.321382979879727e-5,-1.587374541999198e-6,0
4.987447009188174e-5,-4.854316043578777e-6,0
6.026852107238957e-5,5.475519466688894e-6,0
5.4549518386019314e-5,-2.1534580908477706e-7,0.295
5.661651718483482e-5,1.8355642135531313e-6,0.005
4.972095762085778e-5,-5.07374771749558e-6,0
5.196746723922432e-5,-2.809490300015316e-6,0.045
5.9270163611355536e-5,4.501180706895091e-6,0.045
4.6600389461085575e-5,-8.201242287947385e-6,0
4.9658127836438414e-5,-5.106194914442641e-6,0
5.896117202489885e-5,4.177337430679717e-6,0
6.0848361889349655e-5,6.082914885431334e-6,0.06
5.690026475509175e-5,2.119922628350812e-6,0.005
4.177694488535322e-5,-1.2981754288006187e-5,0
4.8162076084707827e-5,-6.579644008231078e-6,0
5.411988658316571e-5,-6.51265482311536e-7,0.09
5.1394056385334034e-5,-3.379547486118684e-6,0.1
6.278413141525677e-5,8.009514018255671e-6,0.02
4.798870336707631e-5,-6.766326244300181e-6,0
6.356749500638714e-5,8.828899389091705e-6,0
4.741486271029919e-5,-7.378864610613212e-6,0
6.400703944822062e-5,9.243395054623905e-6,0.04
6.458705827521537e-5,9.849259523891374e-6,0
5.5153799443477555e-5,4.273745943089713e-7,0
5.142596471507534e-5,-3.3403189307007477e-6,-0.38
5.532853955345398e-5,5.35733610029232e-7,0.005
4.810974647119577e-5,-6.684153580847618e-6,0.005
6.760224260125799e-5,1.286579359346507e-5,0
6.47770110390712e-5,1.0017089288090753e-5,0.075
5.68933778984467e-5,2.124072709218661e-6,0.05
6.416272913699664e-5,9.399058532489346e-6,0.025
5.413259602334756e-5,-6.644160826374534e-7,0
5.2310775300472624e-5,-2.4494027428323405e-6,0
5.502527538313259e-5,2.449349358452091e-7,0.01
5.9283762511421206e-5,4.53375663050426e-6,0
4.6184693162065144e-5,-8.528691622587403e-6,0
6.034710396640589e-5,5.599314387222942e-6,0
5.0557919160497034e-5,-4.203465820589724e-6,0
6.0085058695747825e-5,5.344110892107068e-6,0
6.740318318781589e-5,1.2647243416991637e-5,0.085
5.0502022907165224e-5,-4.2947351471711585e-6,0
6.200271832093672e-5,7.216760287012125e-6,0
5.0926053213372165e-5,-3.872581317283519e-6,0
6.173358446370564e-5,6.946369419392751e-6,0
5.239956198599774e-5,-2.388043369538906e-6,0.005
5.500716260771458e-5,2.1456847617007392e-7,0.005
5.561691779585436e-5,8.526420378640598e-7,0.22
4.7964689626943005e-5,-6.821625137550247e-6,0.005
5.672359090854151e-5,2.0314926037612314e-6,0
5.749390116857194e-5,2.7140498591632367e-6,0.005
5.243506276013239e-5,-2.321576456910113e-6,0
4.780851621840869e-5,-6.986896673816245e-6,0
5.745664861932389e-5,2.68577738726683e-6,0.045
7.062498110590616e-5,1.5882677223359454e-5,-0.32
5.2428710267425265e-5,-2.3765684931920107e-6,0
4.876418267375996e-5,-6.0005836919169166e-6,0
4.730678292281696e-5,-7.485343850250903e-6,0
4.730241993764166e-5,-7.4797924976321984e-6,0.03
6.17193728019851e-5,6.974014903827208e-6,0
5.672308282093372e-5,1.957272775560681e-6,0.15
6.879331386991997e-5,1.3999427422325405e-5,0
5.5536071226650884e-5,7.867746381229334e-7,0
4.8841887803616344e-5,-5.96997878908323e-6,0
6.0366475262538056e-5,5.593969122119069e-6,0.03
5.303749738141409e-5,-1.7528246743847564e-6,0.005
5.015917291162043e-5,-4.584665807330635e-6,0
4.8747939745374534e-5,-6.02821412760024e-6,0.115
5.746287179148174e-5,2.688940626843217e-6,0.015
5.4087087028704365e-5,-6.631340842855327e-7,0
4.970906155191986e-5,-5.051054331255966e-6,0
4.9596096465722126e-05,-5.163377050833029e-6,0
4.359505348405733e-5,-1.1152465933472188e-5,0
6.375661076467506e-5,8.972857248519261e-6,0
5.2670813538536846e-5,-2.0917156768257563e-6,0
5.049395262270356e-5,-4.279627188319423e-6,0.125
5.2472369466775366e-5,-2.3278333557630314e-6,0
5.4813602193808306e-5,5.523005359941991e-8,0
5.727046332663543e-5,2.531037381984791e-6,0
5.2221931927815435e-5,-2.557848548478403e-6,0.03
4.9136873479556885e-5,-5.668521728955378e-6,0
5.9490982833545676e-5,4.730879042322278e-6,0.215
4.8930820484746165e-5,-5.88227487939963e-6,0
5.826289640934683e-5,3.4897500906916346e-6,0.015
6.120233776065023e-5,6.4340392687961545e-6,0.015
5.031233983767097e-5,-4.419929894257102e-6,0
5.756108339300954e-5,2.8188685636842957e-6,0
4.80231431876634e-5,-6.7580559215019155e-6,0.02
5.926076763090255e-5,4.528400418091216e-6,0
4.8664292068245986e-5,-6.123740749269802e-6,0.005
5.995416005417081e-5,5.197551391474264e-6,-0.54
5.376528499538069e-5,-9.976397967298433e-7,-0.16
4.7744985709842995e-5,-7.037881202504592e-6,0.025
5.484010240268656e-5,7.731995489090871e-8,-0.505
5.2018497861204285e-5,-2.783618033301849e-6,0
6.727258818735466e-5,1.2543768824003766e-5,0
5.2240567000570343e-5,-2.5258126123500758e-6,-0.54
5.529679247666082e-5,5.231831750629468e-7,0.045
4.8294709714076735e-5,-6.432019747782958e-6,0
5.6766609424889125e-5,2.0227506979525467e-6,0
