MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
1.920211670836093e-6,-2.0048561045094004e-7,0
1.9198373530524005e-6,-2.0084428909716845e-7,0.04
2.3569642894070925e-6,2.3630670494878546e-7,0.065
2.201135141769619e-6,8.052396546553986e-8,0
2.1757995653341545e-6,5.520109592982436e-8,0
1.9436903041629985e-6,-1.769371566001654e-7,0
2.021923747980207e-6,-9.869458822975296e-8,0
1.9964593233625193e-6,-1.2421003606710724e-7,0.1
2.238250402292472e-6,1.1762611990373539e-7,0
2.4413028300980654e-6,3.206446489589787e-7,0.05
2.2420237812941767e-6,1.2136660640260644e-7,0.14
2.0732075903639054e-6,-4.7441387418523104e-8,0
2.6351776177980835e-6,5.145945080231584e-7,0
2.1429424263244486e-6,2.2308639956447607e-8,0
2.00871923158988e-6,-1.1188452014754269e-7,0
2.2456613657439337e-6,1.249963612787175e-7,0.055
2.0486040800868414e-6,-7.206942673199102e-8,0.045
2.1722760027641723e-6,5.160778711432723e-8,0.06
1.9818399402886695e-6,-1.3885812026215304e-7,0
2.403100631365255e-6,2.8241688488250815e-7,0
2.1563686466929375e-6,3.5684074061737016e-8,0.015
2.3082092451621985e-6,1.875930371525447e-7,0
2.2086351489134695e-6,8.799052135299857e-8,0
2.157800699198929e-6,3.71176841901244e-8,0.01
2.379028208152648e-6,2.5837074373202816e-7,0.055
2.48888193130885e-6,3.681940166805342e-7,0.005
1.9047030996291054e-6,-2.1599419660178755e-7,0
1.9475276799281797e-6,-1.7316366132891225e-7,0.005
2.0505436549921444e-6,-7.013092982233183e-8,0.03
2.009806079951637e-6,-1.1087746732363346e-7,0.015
2.0123379686470458e-6,-1.0834639803836143e-7,0.005
2.1861764895030195e-6,6.550096922519622e-8,0.02
2.223686700194639e-6,1.0301584388361373e-7,0.025
2.3986676076525185e-6,2.780209359060093e-7,0.18
2.194653418681313e-6,7.393695051760574e-8,0
2.229307832563223e-6,1.0865548880634179e-7,0.33
2.1284619391027397e-6,7.779179720390772e-9,0.01
2.3059344198767514e-6,1.8523757690624977e-7,0
2.2019039050238483e-6,8.124711873280787e-8,0.18
2.4131339783305504e-6,2.9248817932536754e-7,0.24
2.2033514129610244e-6,8.268664961730287e-8,0.05
2.319561691988819e-6,1.9886279399750074e-7,0
2.247891120980094e-6,1.272778876965086e-7,0
1.8701171365179037e-6,-2.5057346891621535e-7,0.005
1.6771494054024173e-6,-4.434837429506677e-7,0
2.1085245192474987e-6,-1.215542207277931e-8,0.02
2.2110467535325366e-6,9.045146575847874e-8,0
2.1798272969712514e-6,5.921792280594307e-8,0
2.2308185266480695e-6,1.1022974290841869e-7,0
1.855722866395697e-6,-2.6494376267727217e-7,-0.45
2.0756870707895293e-6,-4.4980188142473844e-8,0.085
1.9056147855923547e-6,-2.1505800120780182e-7,0.1
2.2332392009962594e-6,1.125777748028911e-7,0.08
2.235054605187542e-6,1.1438023679921638e-7,0.005
2.0936699796926095e-6,-2.696647100008942e-8,0
1.9308382373969606e-6,-1.898285988977122e-7,0.255
1.923883355115984e-6,-1.9679948522088875e-7,0.035
2.0946867909398273e-6,-2.60028391729783e-8,0.01
2.093802109395757e-6,-2.6877752836718115e-8,0.025
2.3241901548311174e-6,2.0353001019657314e-7,0.075
2.2738835988241397e-6,1.532627719008639e-7,0
2.0338422276866425e-6,-8.685529654384183e-8,0
2.0911928984464366e-6,-2.9449474584497537e-8,0
2.160795038221616e-6,4.010979204660536e-8,0.005
1.8362095255005933e-6,-2.8446634999235166e-7,0.12
1.9765543321904988e-6,-1.4408511304131456e-7,0
1.954383414592548e-6,-1.6629604308260325e-7,0.03
2.220300779496217e-6,9.962800820217943e-8,0.035
2.3639981734745953e-6,2.4333377962759693e-7,0.03
2.4185199887559446e-6,2.979252338330962e-7,0
1.9439644953754812e-6,-1.7672635342858012e-7,0.005
2.0263330618169272e-6,-9.43412644155428e-8,0.06
1.9388596825670054e-6,-1.8179511895755063e-7,0
2.0040043749883636e-6,-1.1663015181129222e-7,0
2.0538096676299e-6,-6.685866175859534e-8,0.08
2.247143684358635e-6,1.2646947594840974e-7,0.015
2.30620693979669e-6,1.8558230443221912e-7,0
2.280061541285691e-6,1.5949671199055881e-7,0
2.3011452811335997e-6,1.8049037042666692e-7,0.13
2.1240058405446218e-6,3.372623628150606e-9,0
2.0516603357082525e-6,-6.898977723712729e-8,0
2.222419743939867e-6,1.0178473360877849e-7,0
2.2654019108353785e-6,1.4479986524651434e-7,0
2.199241244644333e-6,7.857201351157971e-8,0.025
2.0219895799134224e-6,-9.86907448158325e-8,0.015
2.1136731482895165e-6,-7.008679135944718e-9,0.02
1.9781630490842494e-6,-1.4250027146167633e-7,-0.68
2.036569136588253e-6,-8.409009268350864e-8,-0.585
2.129959627286692e-6,9.294440783125246e-9,0.105
2.242418541101191e-6,1.2175041913697894e-7,0.02
2.3389443817792323e-6,2.183454992432665e-7,0
2.2462419623842838e-6,1.2559267653033945e-7,-0.565
2.2600188089947894e-6,1.3939681222485677e-7,0
1.980467662292481e-6,-1.4020216717536282e-7,0.095
2.0921766452263077e-6,-2.846430570191405e-8,0
2.3687333219702258e-6,2.4806106241559433e-7,0.025
2.1673935332910057e-6,4.672525452664722e-8,0.055
2.0984371600607465e-6,-2.2234601392834285e-8,0.055
2.001439270971865e-6,-1.1924773930416243e-7,0.01
1.9543808285739743e-6,-1.6627847842343168e-7,0
