MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
5.319665033698579e-6,6.540546321204266e-7,0
4.218209381848707e-6,-4.478686833353507e-7,0
4.852580718730616e-6,1.8700363341672689e-7,0
4.462036101415547e-6,-2.039002979747906e-7,0.01
4.890976982982314e-6,2.2558621119828093e-7,0
4.367832219528842e-6,-2.980917058376109e-7,0.01
5.071761446202154e-6,4.0609812660186153e-7,0
4.670779049470936e-6,4.929129417408085e-9,0.045
4.058671178658881e-6,-6.070498973753668e-7,0
4.0187513693171914e-6,-6.471733532692481e-7,0.01
4.401777650902964e-6,-2.6375174920323376e-7,0
4.634020962971143e-6,-3.197989309478011e-8,0
4.51672025565876e-6,-1.4922880840151364e-7,0.005
4.713484413934127e-6,4.754552574592896e-8,0.005
4.306254120899715e-6,-3.597485567174985e-7,0
4.937666168592866e-6,2.7173842899019807e-7,0.01
4.642661903073892e-6,-2.3320470033949548e-8,0
5.2715835704271816e-6,6.057421985283806e-7,0.01
4.569554602387199e-6,-9.584297196718605e-8,0
4.478041862587551e-6,-1.8767851979406557e-7,0
4.740788974292882e-6,7.497174235593373e-8,0.1
4.594189269921931e-6,-7.169141685969826e-8,0.035
5.301973679356908e-6,6.366083660608313e-7,0
4.755426322842776e-6,8.966521390152416e-8,-0.315
3.77635742363691e-6,-8.89822062879464e-7,0
4.03063578978825e-6,-6.349717098041996e-7,0
4.33614815592565e-6,-3.2986569489745764e-7,0.005
4.571488174007454e-6,-9.433668940073137e-8,0.115
4.523900807338827e-6,-1.4192580044536385e-7,0.145
4.459895460846022e-6,-2.059277362637113e-7,0.24
4.5643496327380835e-6,-1.014976052210459e-7,0.065
4.301503130468562e-6,-3.643802861857948e-7,0.045
4.586565748773789e-6,-7.95595313651809e-8,0
4.86454498488031e-6,1.9877379110744275e-7,0.315
5.252090150418388e-6,5.863137235551097e-7,0.095
4.71969832958713e-6,5.380243232711024e-8,0.01
5.132969865791838e-6,4.671422259006075e-7,0.03
4.423022672383036e-6,-2.429110938129142e-7,0.005
4.8368419996404336e-6,1.7098944541882322e-7,0.03
4.8664180512709456e-6,2.006695964062999e-7,-0.235
4.3584897311618155e-6,-3.073474643477958e-7,0.175
5.211905500515165e-6,5.463019764978538e-7,0
5.067560178429505e-6,4.017033148323579e-7,0.01
4.456213701033527e-6,-2.096353261354933e-7,0.11
4.766571291656824e-6,1.0079155783049299e-7,0.315
5.206343266933813e-6,5.406014913883484e-7,0.27
4.365148122394214e-6,-3.004612822771202e-7,0
5.547219735468106e-6,8.815639224069027e-7,0
4.594359266503714e-6,-7.147077811908708e-8,0.1
4.8754060320394165e-6,2.0942668981782653e-7,0
5.237462030352751e-6,5.717631319163142e-7,0
4.6550945368506246e-6,-1.0604890353094197e-8,0
4.957491984650034e-6,2.9180558308972147e-7,0
4.075365003776093e-6,-5.904446535304197e-7,0
3.7378610830576196e-6,-9.27784141622201e-7,0
5.2503873454114495e-6,5.850758082909246e-7,0
4.7132573215844975e-6,4.7401693961668376e-8,0.025
3.966721708567756e-6,-6.993557041323762e-7,0
5.235537019166182e-6,5.696196535409647e-7,0.005
4.996103287071046e-6,3.3017120591283256e-7,0.01
4.75841630227797e-6,9.282797334253522e-8,0
4.940194233769343e-6,2.745903087830737e-7,0
4.4926212586716664e-6,-1.7313643920158217e-7,0
4.4405532600102006e-6,-2.2532354921833697e-7,0.04
4.226700278651944e-6,-4.3919042509998897e-7,0.055
4.865064462200973e-6,1.9930473205920229e-07,-0.555
5.187556887698746e-6,5.217807171831179e-7,0.115
4.837223697373829e-6,1.7173368076550677e-7,0
5.357321691789428e-6,6.914523665013661e-7,0
4.791403443870589e-6,1.2538289419050662e-7,0
4.293311938655644e-6,-3.7259993289295855e-7,0.025
4.711177519116723e-6,4.548950518712403e-8,0
4.884887693028562e-6,2.1892008665647113e-7,0
3.962606602920919e-6,-7.034176578935014e-7,0
5.4362070383527825e-6,7.704338628616859e-7,0.065
4.102302782635993e-6,-5.635672320547514e-7,0.14
5.213050957925886e-6,5.471476786506058e-7,0.005
4.454041279046859e-6,-2.1176063060679428e-7,-0.56
3.937864393402474e-6,-7.27897257661314e-7,0
4.865412484426838e-6,1.995501017615364e-7,0.02
5.195102272218255e-6,5.293056404009899e-7,0.045
5.074426902548055e-6,4.0873513414030335e-7,0
5.09090894479749e-6,4.2490396118588516e-7,0
4.610293388572058e-6,-5.55981580691034e-8,0.025
4.453126473964586e-6,-2.1269891555708576e-7,0.205
4.022360746229138e-6,-6.435551685407548e-7,0.03
4.530804913892209e-6,-1.3527144586800156e-7,0
4.299733504746135e-6,-3.6610798933134346e-7,0.175
5.284154199104092e-6,6.18590058663604e-7,0
4.8044270697611175e-6,1.3849991591596834e-7,0.005
4.558425919482658e-6,-1.0736076232031877e-7,-0.465
4.50859102549483e-6,-1.572896640661403e-7,0.02
4.640055768231763e-6,-2.5864593966584692e-8,0
4.474465426887743e-6,-1.911779886593079e-7,0
4.994457272321182e-6,3.288187662714437e-7,0
4.713599831466844e-6,4.779868594706471e-8,0.19
4.4026467472728135e-6,-2.63046319427529e-7,0
4.683646514893095e-6,1.781142737189434e-8,0.08
3.6690706261315088e-6,-9.96768093897704e-7,0
4.527243151790579e-6,-1.3847511245668187e-7,0
