MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.090930442440624e-6,3.042858449819885e-8,0.025
2.149666403580577e-6,8.916833173056027e-8,0.03
2.237681940952591e-6,1.7724263551788245e-7,0
2.1118911240942316e-6,5.137806406652068e-8,0
1.8858425527479756e-6,-1.7465713979036846e-7,0.11
2.311846945128524e-6,2.513699313066997e-7,0.15
2.2885405620104703e-6,2.2805152675997586e-7,0.04
1.9592495734931137e-6,-1.0125591892284902e-7,0.025
1.9962257256764745e-6,-6.42441655374082e-8,0
2.1502901517451687e-6,8.980148623272122e-8,0.065
1.8698209731246564e-6,-1.9062858062635079e-7,0
2.470955377248294e-6,4.104607078370126e-7,0
2.121676770542141e-6,6.114942700419235e-8,0
2.202053335528372e-6,1.4155412870253682e-7,0.01
2.093019179425867e-6,3.255238641475255e-8,0
1.7167177958343057e-6,-3.437450276266851e-7,0
1.8744331780708002e-6,-1.8609443389605573e-7,0
1.917147514367401e-6,-1.4333318959391939e-7,0
1.8444950424426275e-6,-2.1605133584068349e-07,0
2.2183902067124357e-6,1.5786242350324108e-7,0
2.140106067743345e-6,7.95960536198459e-8,0.005
1.67981392896108e-6,-3.8073343251454616e-7,0
2.0636078908712654e-6,3.1912472470141394e-9,0
2.060499584902871e-6,5.188373175535276e-11,0
2.3057364850643956e-6,2.452327790414266e-7,0
2.1103612259042377e-6,4.9885994424236914e-8,0
1.7869153690823252e-6,-2.7359230089174515e-7,0.045
2.4193126570062337e-6,3.588234225226916e-7,0.015
1.9617194559144887e-6,-9.874439576063043e-8,0
2.228004249968215e-6,1.674957878872174e-7,0.005
2.192329168454516e-6,1.318263507038564e-7,0.015
1.6114535897415806e-6,-4.490339397567045e-7,0
2.8059476984859967e-6,7.45519315759613e-7,0
2.3636855285373136e-6,3.0318507737103763e-7,0.015
1.806530002542914e-6,-2.539982099236671e-7,0
2.2909218571498235e-6,2.3051391346229356e-7,0
2.2160784182618205e-6,1.5558779677959934e-7,0.045
2.3106317267017868e-6,2.5016028346369625e-7,-0.66
1.7222664463310597e-6,-3.382578416588622e-7,0
2.161744941684811e-6,1.012922132459515e-7,0
2.1451004131383693e-6,8.463414349679788e-8,0
2.209647230864935e-6,1.4914999373727422e-7,0.02
2.471222013060427e-6,4.1078624642754134e-7,0
2.6552453491765336e-6,5.948069281458412e-7,0
2.111698434178921e-6,5.1206294189865e-8,0.045
1.8359811454716379e-6,-2.2447736085451364e-7,0
2.2059365525993245e-6,1.454295086772417e-7,0.005
1.644199674828265e-6,-4.16337762261243e-7,0
1.6252517297609052e-6,-4.352371267846156e-7,0
2.1706791706470864e-6,1.101805364828179e-7,0.01
2.0508250244690047e-6,-9.664030866107786e-9,0.13
2.1051050907151745e-6,4.458325424838705e-8,0
2.234897509287351e-6,1.744155529587177e-7,0.115
2.055441223660418e-6,-5.005856818507404e-9,0
2.3941378668457573e-6,3.3365422985653927e-7,0.065
1.9272652871963864e-6,-1.332448139035325e-7,0.02
2.1414345418776276e-6,8.095485727277474e-8,0.305
2.2483618159347144e-6,1.8788059373053833e-7,0.15
2.1291313677739637e-6,6.867830068812974e-8,0
1.9795006646724033e-6,-8.09488687963933e-8,0
1.910517025262527e-6,-1.4995962928976426e-7,0
2.25494998930891e-6,1.9447915611259248e-7,-0.345
2.1884014311878527e-6,1.279113219954109e-7,0.02
2.355016037522383e-6,2.9451078854436654e-7,0.005
1.9240979455659523e-6,-1.36367868877052e-7,0
2.185869360396138e-6,1.2537247097321735e-7,0.03
2.0684540027600215e-6,7.95186425039951e-9,0.01
1.934581313402733e-6,-1.2593339319577622e-7,0
1.95569951997695e-6,-1.0478066953867327e-7,0
2.0443832945082206e-6,-1.609463785967602e-8,0
1.957632844667283e-6,-1.0288308511685607e-7,0.015
2.116319975966417e-6,5.587427741371442e-8,0
2.1123307770612445e-6,5.1894437309574215e-8,0
2.444134376754938e-6,3.8368899648699717e-7,0
2.121688724197713e-6,6.117537074634693e-8,0.005
2.0966181318771015e-6,3.614590373068882e-8,0
2.0954153044355917e-6,3.495836334965752e-8,0
2.1709190641910105e-6,1.1041441149550745e-7,0.015
2.2309598285198634e-6,1.704849625772109e-7,-0.63
2.0444860182195496e-6,-1.5992130646957925e-8,0
2.253798794285771e-6,1.933097826045671e-7,0.04
2.1307950331510947e-6,7.032524203143265e-8,0
1.508731700167439e-6,-5.517678415090099e-7,0
2.416612129050647e-6,3.5618917072599567e-7,0
1.7075711649290604e-6,-3.529440048355426e-7,0.02
2.204282900572195e-6,1.4383639880766186e-7,0
1.7527749285786938e-6,-3.077603959883435e-7,0.005
1.9529391505399436e-6,-1.0761651156210306e-7,0
2.1922390737597997e-6,1.3176099583789293e-7,0.27
1.8787595927126892e-6,-1.817559522110379e-7,0.015
1.988168512842769e-6,-7.226509092961297e-8,0
1.9416997564495233e-6,-1.187959966164609e-7,0.1
1.921728622022244e-6,-1.3875479274949587e-7,0
2.3227072902718427e-6,2.6222497785888254e-7,0.06
1.7443419249351993e-6,-3.1616788894905936e-7,0.04
2.0589231351937804e-6,-1.594161392892701e-9,0
2.1202734908078835e-6,5.986096188292933e-8,0
2.1445391813455027e-6,8.404331555744715e-8,0.03
2.2924912372533797e-6,2.3203251822090375e-7,0
1.8881871094376673e-6,-1.7229935880713754e-7,0
