MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.1870927956149455e-6,1.2659778130752474e-7,0.035
2.066608105848262e-6,6.1007464036144655e-9,0.005
2.303948784172979e-6,2.434980988041957e-7,0
1.939342151379288e-6,-1.2117844081838135e-7,0
1.8702355979308515e-6,-1.902671442965964e-7,0.065
2.2301973704820543e-6,1.6971290245193503e-7,0.065
2.2444322308974584e-6,1.8394621417505697e-7,0.08
1.9408727024180656e-6,-1.196279036425052e-7,0.05
2.002266586631473e-6,-5.820510926901612e-8,0
2.1366116263207384e-6,7.611261661100155e-8,0.01
1.9269724870229103e-6,-1.3346593159990762e-7,0
2.415506983233019e-6,3.5500486616824034e-7,0
2.1590834349952858e-6,9.85636984585092e-8,0
2.18709447750176e-6,1.2659607968923404e-7,0.01
2.1077636337404733e-6,4.730194668678411e-8,0
1.8259697470076532e-6,-2.34486598711392e-7,0
1.833534501557161e-6,-2.2700786347140679e-7,0
1.8334962866020562e-6,-2.2698268245302522e-7,0
1.7885444246688919e-6,-2.7200233867374913e-7,0
2.272984666564446e-6,2.124611097709117e-7,0
2.1835143486705273e-6,1.230226825338354e-7,0.04
1.7312067421215405e-6,-3.293342658972076e-7,0
2.111439473347077e-6,5.102304990900475e-8,0
1.986594412095904e-6,-7.38523117665979e-8,0
2.254453648890397e-6,1.9394615117018787e-7,0
2.229608362854183e-6,1.6914864490735758e-7,0
1.7440122344539909e-6,-3.164912502084949e-7,0.12
2.2976082190199304e-6,2.3712296359723605e-7,0.065
1.943170359474768e-6,-1.1729000574389748e-7,0
2.163377890920693e-6,1.0287414206000545e-7,0.015
2.244827068780066e-6,1.8432811812907346e-7,0.025
1.624148972797972e-6,-4.363561383557979e-7,0.225
2.8585718328723973e-6,7.981514460059236e-7,0
2.2613086293059014e-6,2.0080506865971514e-7,0.015
1.870494062466358e-6,-1.9002899177222864e-7,0
2.2922642949240976e-6,2.3182244866082335e-7,0
2.289429766556446e-6,2.2893137691160083e-7,0.035
2.4072685371557545e-6,3.468092527958433e-7,0
1.7547164720402723e-6,-3.05817859516111e-7,0
2.115668704545091e-6,5.5190502302182585e-8,-0.435
2.1739166848040456e-6,1.1345394996198354e-7,0
2.1786281919942503e-6,1.1813470553900807e-7,0.03
2.4830095366428214e-6,4.2257128548828237e-7,0
2.809485502479744e-6,7.490482594102455e-7,0
1.9601151218308624e-6,-1.0039231858605113e-7,0.005
1.8742832910991283e-6,-1.8618403054559973e-7,0
2.2133992762033876e-6,1.5289336226520512e-7,0
1.7034554180972863e-6,-3.5706660084455777e-7,0.005
1.5915202066168028e-6,-4.6897525680933416e-7,0
2.1156692073752412e-6,5.516526100701746e-8,0
2.0241640325702243e-6,-3.632090046279401e-8,-0.67
2.020180754702898e-6,-4.034300435884486e-8,0.005
2.1649406492565474e-6,1.0444771717688096e-7,0.05
2.098040332458217e-6,3.757494127065719e-8,0
2.3089694766424466e-6,2.4848682872002926e-7,0.1
1.9270532104231946e-6,-1.3345448099222333e-7,0.02
2.1138437371641687e-6,5.335091786351498e-8,0.05
2.3648113661841654e-6,3.043284522735723e-7,0.07
2.2036286444610046e-6,1.4316895447785694e-7,0
2.0063163894870603e-6,-5.4109590734152666e-8,0
1.9861119529358677e-6,-7.437146418320939e-8,-0.345
2.317769193770088e-6,2.5731364397374447e-7,0
2.092950134766345e-6,3.24601448281614e-8,0.08
2.2664376394759096e-6,2.059340006899113e-7,0
1.8729159756429958e-6,-1.875572888343502e-7,0
2.1701325352819347e-6,1.0964654635903237e-7,0.08
2.063669469748932e-6,3.1585652743304493e-9,0.005
1.8544680520036799e-6,-2.060506192869127e-7,0
1.9841808112406026e-6,-7.629133886077888e-8,0
2.0685675132003053e-6,8.086241792271132e-9,-0.565
2.055418936840935e-6,-5.096135486937214e-9,0.01
2.021473194521506e-6,-3.896556832860831e-8,0
2.213697240468326e-6,1.5327579871937668e-7,0
2.368746297884641e-6,3.0829445212210427e-7,0
2.062849536870353e-6,2.3412324157146004e-9,0.005
2.071503234597534e-6,1.104309224342348e-8,0
2.2191176372646923e-6,1.586704557127172e-7,0
2.068822477515278e-6,8.309509994530729e-9,0.005
2.2921638883666777e-6,2.3171148280320964e-7,0
2.016698374938488e-6,-4.378656700831929e-8,-0.63
2.2292747259952316e-6,1.6878962098398898e-7,0.09
2.1661828698041846e-6,1.0569391560966146e-7,0.06
1.5264778668652665e-6,-5.340253520697003e-7,0
2.3560543192095697e-6,2.956312653668025e-7,0
1.7430159705152088e-6,-3.1750140482122993e-7,0.015
2.2053576603768634e-6,1.449243106294018e-7,0
1.7758581023076083e-6,-2.8467505411688963e-7,0.005
1.9589599086302984e-6,-1.0160007313908536e-7,0
2.2537153260032865e-6,1.932446892050077e-7,-0.275
1.8158823911550958e-6,-2.446274828371564e-7,0.025
1.9625143636794703e-6,-9.794233852056244e-8,0
1.9054452453441392e-6,-1.5505204374433034e-7,0.095
1.9852053883976397e-6,-7.526600996732302e-8,0
2.4242312356290553e-6,3.637565603031856e-7,0.1
1.8024035222643172e-6,-2.580990136930028e-7,0.085
2.0992945532945832e-6,3.878205115048772e-8,0.01
2.2123829793747544e-06,1.519918316894575e-7,0
2.08410565801137e-6,2.3611061510941945e-8,0.05
2.3017923915932993e-6,2.4131912470470864e-7,0.265
1.8616547799643678e-6,-1.988413033537917e-7,0.145
