MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.0687736810804225e-6,-8.917783246631394e-8,0
1.904562792967602e-6,-2.5341512592924607e-7,0
2.171906473093844e-6,1.3918962973313853e-8,0
1.9915103759035846e-6,-1.665038058590307e-7,0.135
2.5088589827043523e-6,3.508564829673988e-7,0.04
1.7842089659744657e-6,-3.7381875611641746e-7,0.05
1.914979526932663e-6,-2.429905036527291e-7,0
1.844925464993903e-6,-3.130767885983765e-7,0
1.9446924618289546e-6,-2.13321580432857e-7,0.155
2.154576598241366e-6,-3.375324501564414e-9,0
1.8348884660296545e-6,-3.2311896677017504e-7,0
2.016431801866046e-6,-1.4158381173856594e-7,0.115
2.530037256831342e-6,3.7204504646337623e-7,0.08
2.401281142875084e-6,2.4331151210199574e-7,0
2.3090780946369578e-6,1.5110305944254777e-7,0
2.2771227863866507e-6,1.1912859203933034e-7,-0.69
2.3386083311833384e-6,1.8060765089256136e-7,0.075
1.97106178315432e-6,-1.8692949582288508e-7,0
2.274431817066836e-6,1.1641493385117218e-7,0.02
2.2455395337877496e-6,8.750134624979644e-8,0
1.800642465176918e-6,-3.5737865377916123e-7,0.14
2.475427723712232e-6,3.174403930528147e-7,0.245
2.1390202742068927e-6,-1.9009833110428254e-8,0.005
2.3820606981169375e-6,2.2405379231649202e-7,0.035
2.010001564131226e-6,-1.4803075516822696e-7,0.005
1.9637925331486607e-6,-1.9426215477458264e-7,0
2.194125098650172e-6,3.606708264713987e-8,0
1.976142424341827e-6,-1.81794163989224e-7,0
2.4847080381471506e-6,3.26682314496507e-7,0
2.358409576089057e-6,2.0041178455998398e-7,0.135
2.0528358434928078e-6,-1.0515724894855083e-7,0
2.022267345790881e-6,-1.3575981600233433e-7,0.01
2.0110329009628484e-6,-1.469832769768198e-7,0.07
2.6619743481160865e-6,5.039687418101347e-7,0.01
2.3071608058728045e-6,1.4916344439730445e-7,0.165
2.3353094232064184e-6,1.7731042550317433e-7,0.12
1.9911687949996913e-6,-1.6684498784669267e-7,0.135
2.249022845302917e-6,9.104732482001498e-8,0
2.160269537647477e-6,2.2827420753657182e-9,0
2.2268989712521736e-6,6.886612274215054e-8,0
2.2455177837275604e-6,8.748817654280482e-8,0.01
2.1274427387003836e-6,-3.0575414480260574e-8,0.03
2.186303412356914e-6,2.8360647026381968e-8,0
2.2826394880796957e-6,1.246067035254317e-7,0
1.9550286419698146e-6,-2.0299205000129383e-7,0.045
2.520436376641415e-6,3.624695275367129e-7,0
2.284275120477694e-6,1.2624776411840345e-7,0
2.5792918973961918e-6,4.21333754098141e-7,0
1.779184861828535e-6,-3.7878563139637224e-7,0
2.2003327815131132e-6,4.232765634548663e-8,0.13
2.474658781516752e-6,3.1663002384219043e-7,0
1.958199457985004e-6,-1.998094728383748e-7,-0.64
2.609390888422794e-6,4.5141022354588945e-7,0.26
2.28621601499543e-6,1.2818051160157217e-7,0
2.0889447659563558e-6,-6.905167820758784e-8,0
2.255023091801005e-6,9.700867544149005e-8,0.02
2.1947572816388124e-6,3.674362607175574e-8,0.035
2.0700323626074357e-6,-8.798194179870933e-8,0.06
1.7741115227564694e-6,-3.8389616888789833e-7,0
2.1225461992484695e-6,-3.54608349056873e-8,0.135
2.1645489102819853e-6,6.547066399020806e-9,0.245
1.977750682939019e-6,-1.8020183808697965e-7,0
2.307881930752162e-6,1.4986253751125832e-7,0.02
2.128835044215218e-6,-2.918687921071861e-8,0.005
2.2771749251469767e-6,1.1915195312073301e-7,0.025
2.2870362709361835e-6,1.2901958778399613e-7,0.02
2.726877916812273e-6,5.68886286121395e-7,0.05
2.0963276656147706e-6,-6.17134022512511e-8,0.005
1.915288812054048e-6,-2.427158748669056e-7,0
1.7931200946740183e-6,-3.649138137751251e-7,0.03
2.188888108245656e-6,3.085395153257231e-8,0
2.161863097866837e-6,3.8711698263638185e-9,0
1.9685444835025938e-6,-1.8947169582950174e-7,0.11
2.1298228055744628e-6,-2.816523325566145e-8,0
2.1337560018165768e-6,-2.4244539944540123e-8,-0.625
1.9973047204858446e-6,-1.6066207950637957e-7,0
1.870870449655398e-6,-2.871767905288092e-7,0
2.186806898496146e-6,2.8762292566542057e-8,0.005
2.4577466502912017e-6,2.997406391569424e-7,0.02
2.326620241008369e-6,1.6862711236909077e-7,0.265
1.965299664547856e-6,-1.9274210074471387e-7,0.005
1.6487413196267835e-6,-5.092527399813695e-7,0
2.2667492708676493e-6,1.0878130974334432e-7,0
2.1553123710021595e-6,-2.671567589929147e-9,0
2.169938464018512e-6,1.1952545771465317e-8,0
1.937249654504872e-6,-2.2071321008731993e-7,0
1.944338717451495e-6,-2.1365664248207405e-7,0
2.268716448739656e-6,1.1071924914562992e-07,0.215
1.7300460184091036e-6,-4.279773423954136e-7,0.175
2.3660007623057775e-6,2.0807022551250221e-7,0
2.016309362938529e-6,-1.417301712397512e-7,0.005
2.575577711489322e-6,4.175905526437873e-7,0.125
2.3697805592731593e-6,2.1176274018264164e-7,0.015
2.18479427902974e-6,2.675541061092357e-8,0.005
2.2750679349557763e-6,1.1706823954460433e-7,0.165
2.269795114503462e-6,1.1186668155416246e-7,0
1.7473241494106088e-6,-4.107240023754066e-7,0.005
2.2709332939516653e-6,1.1291129461632466e-7,0.01
1.89106937853857e-6,-2.669397171711774e-7,-0.225
2.5779742400509595e-6,4.199693314077546e-7,0.02
