MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
1.8937784426826723e-6,-2.6419795288001867e-7,0
1.992255147951722e-6,-1.6580341866578862e-7,0
2.0557925911766925e-6,-1.0217514345323142e-7,0
2.146547683086364e-6,-1.1460066658419698e-8,0.125
1.996856851196775e-6,-1.6113879436729929e-7,0
2.013172619491173e-6,-1.4483899040462767e-7,0.145
2.450506760997444e-6,2.9249727893476685e-7,0.01
2.2550627317919307e-6,9.707245443524304e-8,0
2.099438383420524e-6,-5.8552233725972516e-8,0
1.952527072894689e-6,-2.0546274212329685e-7,0
1.6017430705586036e-6,-5.562720482588102e-7,0
2.0355521118973785e-6,-1.2239633193689149e-7,0
2.5839985803773994e-6,4.259938397160878e-7,0.015
2.1524786942558875e-6,-5.5194603210129146e-9,-0.51
2.0771630769374208e-6,-8.080753389316796e-8,0
2.156954672949396e-6,-1.043320679294801e-9,-0.55
2.1973385478921517e-6,3.935638541507913e-8,0
2.053709654295169e-6,-1.0428059337763696e-7,0
1.961061594260128e-6,-1.9698907859799775e-7,0
2.0727813371090947e-6,-8.524489386096957e-8,0.02
1.899765204850135e-6,-2.582298198072763e-7,0
1.9259130114067934e-6,-2.3215005399146448e-7,0
2.0263037743372495e-6,-1.3170414876584323e-7,0.235
2.072085317386822e-6,-8.595104120490138e-8,0.005
2.000465885381194e-6,-1.5755014317442306e-7,0.08
2.141462578294445e-6,-1.658365069490131e-8,0
2.0268746505237397e-6,-1.3117468762202654e-7,0
2.0891441050311575e-6,-6.882916483874624e-8,0
2.328983817844104e-6,1.7093688879699088e-7,0
2.4317530355954503e-6,2.737161519555942e-7,0.005
2.14127925112323e-6,-1.6726530392974226e-8,0.155
2.084796922394202e-6,-7.323524760072253e-8,0
1.8450581064944034e-6,-3.12953266211613e-7,-0.205
2.404889753888699e-6,2.468859923576705e-7,0.04
1.9908168596473897e-6,-1.6721779699802042e-7,0.005
2.5473218665041782e-6,3.8935948406260137e-7,0
2.1385014195100355e-6,-1.951570978930839e-8,0.04
2.0138000805105876e-6,-1.442084629615925e-7,0.26
1.9799735052227765e-6,-1.7801161471153737e-7,0
2.3414326721405982e-6,1.8340741032407682e-7,0.005
2.204373946195839e-6,4.6338736969797625e-8,0
2.304573559030723e-6,1.4655022278764472e-7,0.005
2.1912456450283872e-6,3.331428547470594e-8,0
2.226918036039076e-6,6.890556489780319e-8,0.025
2.4266811730992843e-6,2.686895542525214e-7,0.185
2.2217879236023446e-6,6.378116495231456e-8,0.075
2.3160088081842416e-6,1.580029485054313e-7,0.07
2.1857613219569326e-6,2.7781249760105985e-8,0
2.1077689884569265e-6,-5.0248081182591164e-8,0.05
2.346463499894199e-6,1.884701144222456e-7,0.235
2.414904227621849e-6,2.569741742358689e-7,0
1.8391257723995342e-6,-3.1883785245601094e-7,0
2.1987621295174954e-6,4.078148830743977e-8,0
2.129762785200981e-6,-2.8240538994528385e-8,0.235
2.1079674362164686e-6,-5.010337442268309e-8,0
2.1047604989170866e-6,-5.320997268354333e-8,0
2.1588316478971897e-6,8.016256425324999e-10,0.005
2.227651775813776e-6,6.965641855316562e-8,-0.61
1.8258883405217342e-6,-3.3214755911670225e-7,0.015
2.0494880983208763e-06,-1.0848496806770136e-7,0
2.2439342079311813e-6,8.593513601218294e-8,0.2
2.2799222313256675e-6,1.2191455426968644e-7,0.045
2.1230972313169096e-6,-3.490913064452261e-8,0.155
2.0072321333256427e-6,-1.5080954344659502e-7,0
2.0651794954396457e-6,-9.280672584766059e-8,0
2.0582949306605916e-6,-9.977628167567865e-8,0
2.458663596680995e-6,3.006408858274856e-7,0
2.252119224634003e-6,9.409928643899778e-8,0.025
1.8810216272620615e-6,-2.77012350112793e-7,0.025
2.187232206307846e-6,2.92002728841112e-8,0.005
1.8784242435242588e-6,-2.7963063628067e-7,0
2.2651619249903898e-6,1.071543079239623e-7,0.06
2.1919110986182984e-6,3.3909860155945104e-8,0.21
2.249110501884575e-6,9.111075370382693e-8,0.165
1.8630364209416749e-6,-2.9499125373921853e-7,0.02
2.2593241233402773e-6,1.0133287873526076e-7,-0.335
1.7698765901116364e-6,-3.8816510688266524e-7,0.005
2.3140237801592202e-6,1.5602872001696521e-7,0.25
2.5858010821169195e-6,4.277973498423293e-7,0.025
2.2657666189171688e-6,1.0779532697513527e-7,0
1.8227348540222585e-6,-3.35301764306517e-7,0.01
1.8207456311025073e-6,-3.3720864491826317e-7,0
2.06281390167447e-6,-9.516763251171678e-8,0
2.128861825869948e-6,-2.9064635355124934e-8,0
1.7890328509799433e-6,-3.6898668667961765e-7,0.265
2.1204665533347597e-6,-3.7461919426551306e-8,0
1.9037657956667037e-6,-2.542299458069275e-7,0
1.9267084822468633e-6,-2.3131990356972664e-7,0.005
1.7905369613911789e-6,-3.674950143373046e-7,0.015
2.206456827889217e-6,4.847252940476388e-8,0
1.7507261765717558e-6,-4.0726510260380435e-7,0
2.7204247635152975e-6,5.624070999699082e-7,0
1.944636732471423e-6,-2.1340338741349107e-7,0
2.401487428361384e-6,2.434861178968184e-7,0.075
2.337276566016913e-6,1.7928041744830204e-7,0.16
1.6959449754617735e-6,-4.6206277242999415e-7,0
1.872220683141501e-6,-2.858120092247285e-7,0.025
2.3780030264263935e-6,2.1997944806062543e-7,0.01
2.134530288458277e-6,-2.3497776824310535e-8,0.01
2.3293750587309395e-6,1.713721942980806e-7,0.065
