MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.3777666489670343e-6,2.5517234956140556e-8,0.02
2.3464497333084466e-6,-5.728434692708895e-9,0
2.175006330624355e-6,-1.7722060578040377e-7,-0.385
2.2503918672155194e-6,-1.0180660457215219e-7,0
2.062432169117682e-6,-2.897826770320577e-7,0
2.212800177852949e-6,-1.39426420531219e-7,-0.54
2.9415328499427677e-6,5.894301841824489e-7,0
2.1732908643101897e-6,-1.7895682847435258e-7,0.045
2.4200085915297662e-6,6.776961217536126e-8,0.025
2.8458536337208157e-6,4.936467019267532e-7,0.11
2.545931508777987e-6,1.9375483729655584e-7,0
2.1422953500413963e-6,-2.0997788386434291e-7,0.005
2.7952109235917214e-6,4.4297917957070163e-7,0.025
2.41410244984958e-6,6.183180512042696e-8,0
2.7290257885221014e-6,3.76874027331886e-7,0
2.0091277164245504e-6,-3.43100265659535e-7,0
2.0874096933177187e-6,-2.647714906300891e-7,0
2.612666532415492e-6,2.605004542149958e-7,0
2.0004787850577843e-6,-3.517038778544368e-7,0
1.9147184298069813e-6,-4.3753237072508e-7,0.11
2.476473756950679e-6,1.2426269773047062e-7,-0.435
2.1995126280120494e-6,-1.5272697035884076e-7,0.095
2.1448246792033028e-6,-2.074644981331364e-7,0
2.5009041136398208e-6,1.4865872400071644e-7,0.02
1.977058584059961e-6,-3.751316884159639e-7,0
2.801001481422233e-6,4.487799163244155e-7,0.03
1.979672263444565e-6,-3.7260509047953863e-07,0.005
2.2753361546759803e-6,-7.69419831236906e-8,0
2.7426842062292678e-6,3.904921499980896e-7,0
2.1745978325141e-6,-1.7760675663891502e-7,0
2.405846051051419e-6,5.367685697310609e-8,0
2.3117263856189902e-6,-4.0540682111345204e-8,0
2.256005012026248e-6,-9.622937255759911e-8,0.11
2.4458750896373337e-6,9.362366972132108e-8,0.005
2.356737085117494e-6,4.5236168422224665e-9,0
2.162470280378628e-6,-1.8975075345151194e-7,0
2.5170907882381667e-6,1.648573826440458e-7,0.04
2.4141753362681478e-6,6.197738474045255e-8,0
1.98842335502498e-6,-3.6379738750480507e-07,0
2.306827802800135e-6,-4.539974687856052e-8,0.19
2.0972407061934992e-6,-2.5496817223358283e-7,0
2.3024674009151584e-6,-4.977730482857989e-8,0.03
2.348376242604806e-6,-3.802053258339377e-9,0
2.6898668434717084e-6,3.376139199040562e-7,0
2.347494049209919e-6,-4.7403607894569435e-9,0.07
2.2406472913160258e-6,-1.116203076378941e-7,0
2.3296026163364824e-6,-2.2585313178002942e-8,0
2.209533897607833e-6,-1.4270660726511952e-7,0.075
3.016605742993016e-6,6.644259539134723e-7,0
2.790847947420558e-6,4.3866925562463523e-7,0
2.4672048378063257e-6,1.1498900444328886e-7,0.335
1.989660181863334e-6,-3.6256318952654354e-7,0
2.3625819443533675e-6,1.0378767141272504e-8,0
2.1001279921959064e-6,-2.520337801636963e-7,0
2.2083347528325537e-6,-1.4389135928882802e-7,-0.475
2.3640198515931054e-6,1.1834750091588297e-8,0
2.3135174526336007e-6,-3.8618340982843336e-8,0
2.157399061624892e-6,-1.9484256407686917e-7,0.095
2.3307046824384745e-6,-2.1505090585516308e-8,0
2.302016886229279e-6,-5.025695283211729e-8,0.01
2.1314632781205445e-6,-2.207992408342907e-7,0.01
2.573007737078148e-6,2.2075194591630876e-7,0
2.598739769377463e-6,2.4650653459468153e-7,0.015
2.3298705905538488e-6,-2.2351790984198594e-8,-0.645
2.0173317745729314e-6,-3.349627772863961e-7,0
2.468367460125357e-6,1.1619532527040732e-7,0
2.515873206211575e-6,1.6360560657568966e-7,0
1.8746103511346975e-6,-4.776626812907913e-7,0.01
2.5945591346323536e-6,2.4233370429838087e-7,0.075
2.2412328708985e-6,-1.1094205718042982e-7,0
2.939316241958243e-6,5.871002650398305e-7,0.035
2.741959272917119e-6,3.897678421016515e-7,0
2.3568322539344104e-6,4.573589099110542e-9,0.005
2.305452988967395e-6,-4.671834670066932e-8,0
2.3374010506789817e-6,-1.4835626984122108e-8,0.05
2.698116376466813e-6,3.459337743050295e-7,0
2.4984428280999287e-6,1.4621423129745902e-7,0.06
2.478104438258889e-6,1.2588013829584188e-7,0.115
1.9772686664891558e-6,-3.749916007989018e-7,0.02
2.3543983521067027e-6,2.1464558447314985e-9,0.01
2.3852868552399802e-6,3.306048741325007e-8,0.14
2.4072064307798783e-6,5.4986061849282564e-8,0.265
2.360471719145712e-6,8.242462985474929e-9,0.1
2.2415875218158933e-6,-1.1065803876442181e-7,0.035
2.2420132570766815e-6,-1.1020742650191817e-7,0
2.4590940008898286e-6,1.0690615003916549e-7,0
2.3124296319135925e-6,-3.9850668797081215e-8,0
2.1571049407588926e-6,-1.951292333202126e-7,0.205
2.4212232546790245e-6,6.899844544883126e-8,0.155
2.2408605636282983e-6,-1.1138164168367215e-7,0.045
2.4582642412313074e-6,1.0607191153255702e-7,0
2.2836330535164817e-6,-6.857805978588427e-8,0
2.1709914793367834e-6,-1.8126458574740933e-7,0.01
2.1920124647389895e-6,-1.6026519430112352e-7,0
2.2636352333008564e-6,-8.85860927157811e-8,-0.2
2.2749386935615003e-6,-7.731447720815687e-8,0.01
2.485949818153599e-6,1.33767855096667e-7,0
2.128098424412376e-6,-2.241250274376272e-7,0
2.6320384974138588e-6,2.798305043349991e-7,0.28
2.6116278715038483e-6,2.593991363786241e-7,0.03
