MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.188963715835858e-6,3.562557774672292e-8,0.01
2.2167712900060486e-6,6.347918045768175e-8,0
2.2901553399412747e-6,1.3679888312245757e-7,0
2.2087026470311324e-6,5.538816384043077e-8,0.27
2.2818439112467026e-6,1.2849367372613773e-7,0.01
2.3770769482331516e-6,2.2378547435919492e-7,0
2.2632514751953045e-6,1.0994448733425699e-7,-0.34
2.2605355823439575e-6,1.0723194873385467e-7,0
2.304040291058955e-6,1.5075682371745723e-7,0
2.3037366493712418e-6,1.5039576840514269e-7,0.005
2.409621663761518e-6,2.562896873758991e-7,0.01
2.1914318027579537e-6,3.816230862985215e-8,0
2.126906291351841e-6,-2.6427830496777993e-8,0.015
2.1149253721769337e-6,-3.834014162318322e-8,0
2.2514132761967374e-6,9.808599098493076e-8,0.045
2.6006960343776655e-6,4.474101926454921e-7,0
2.240802902015512e-6,8.749558240039868e-8,-0.105
2.065966921242626e-6,-8.736150781285535e-8,0.095
2.6078752066865428e-6,4.54648965889648e-7,0
2.099109672748353e-6,-5.425352541221784e-8,0
2.1797117631971106e-6,2.6414436954946828e-8,0
2.340945632742422e-6,1.8763277914779498e-7,0.15
1.9500520911141065e-6,-2.033249365462897e-7,0
2.1352524066360265e-6,-1.8050211565423524e-8,0
2.216716936962975e-6,6.346375401256044e-8,0
2.1428672075325775e-6,-1.047215156535497e-8,0.02
1.9265436161204412e-6,-2.2674881346940178e-7,0
2.5286277250361513e-6,3.753313281390502e-7,-0.63
1.7911799824957763e-6,-3.621597978875624e-7,0.095
2.016392998800959e-6,-1.3693597897435074e-7,0.12
2.6735876135208914e-6,5.202944053511738e-7,0.26
2.340470017096169e-6,1.8715916711153914e-7,0.18
2.2504755767064282e-6,9.716888300981274e-8,-0.08
2.2811097928058993e-6,1.2784246685104694e-7,0
2.0345720947717277e-6,-1.1874780966147912e-7,-0.53
2.1551160842752843e-6,1.7802470186900622e-9,0.025
2.157830373940627e-6,4.518723883961684e-9,-0.225
2.126147229171403e-6,-2.7147091967161252e-8,0
2.1471836823150897e-6,-6.106265232896924e-9,0
1.7585742191617168e-6,-3.947543938664921e-7,0
1.8684206642814042e-6,-2.8488239366575296e-7,0
2.584939291097653e-6,4.3162091114712366e-7,0.035
2.3808602354636622e-6,2.2758714611492703e-7,0
2.2631360362793733e-6,1.0983193602542852e-7,0
2.2056082347437438e-6,5.2278363444902e-8,0.04
2.2867669105207773e-6,1.334180244572103e-7,0
1.773833280462514e-6,-3.795117623184296e-7,0.045
2.6021660387867836e-6,4.4891814823533326e-7,0
2.078298154012416e-6,-7.501320720748605e-8,0
1.7286695778759658e-6,-4.2470080257261956e-7,0
2.1021148056023353e-6,-5.1178916271044095e-8,0
2.2267372541759576e-6,7.34622035769572e-8,0
1.932521161924028e-6,-2.2078361237465315e-7,0
2.4487789550439773e-6,2.9546228936527805e-7,0.065
2.3667752729583416e-6,2.1347029430740517e-7,-0.66
2.2232034816787893e-6,6.98443733726517e-8,0
2.3198889283987396e-6,1.665557509433757e-7,0.01
2.337990751007663e-6,1.846662960891532e-7,0.035
1.9143010748835256e-6,-2.390147292424816e-7,0
1.991840633084249e-6,-1.6145299180481132e-7,0
1.881131318983582e-6,-2.7219994767457845e-7,0.2
2.243540580570948e-6,9.024512617861191e-8,0
2.308820798612394e-6,1.5548484241068027e-7,0.015
2.0271861222573884e-6,-1.2616518866692683e-07,0.005
2.0552101675290694e-6,-9.810905800766711e-8,-0.605
2.2557379888742003e-6,1.0244096294353966e-7,0
1.968097935649444e-6,-1.852137813435073e-7,0
2.265916450508044e-6,1.1258503098132699e-7,0.025
2.2192144542551314e-6,6.588228382120587e-8,0.02
2.1764216720191454e-6,2.3134564967608463e-8,0
2.3494684617683495e-6,1.9610800370273295e-7,0
1.7104407873883515e-6,-4.429268294753319e-7,0.005
2.007236060340197e-6,-1.460914798867563e-7,0.14
1.924988696472883e-6,-2.2835136702037407e-7,0.045
2.0919755572389952e-6,-6.135571289589415e-8,0.05
2.001112630488118e-6,-1.5220743646571222e-07,-0.42
2.1340638785784825e-6,-1.9252738204245114e-8,-0.66
2.215488720597688e-6,6.218877792840694e-8,0
1.90501842596472e-6,-2.4824897703723537e-7,0
2.078944815441552e-6,-7.436773622526704e-8,0
1.979928146674755e-6,-1.7341459616182497e-7,0.025
2.268685982285277e-6,1.1534896617537704e-7,0.005
2.0406336390892063e-6,-1.1268762031502178e-7,-0.635
1.87203491010321e-6,-2.813333113715899e-7,0
2.1204610558098505e-6,-3.2853150960798774e-8,-0.365
1.9631099961351608e-6,-1.902306887757721e-7,0.03
2.333796827471853e-6,1.805855629993802e-7,0
2.0200572569581797e-6,-1.3326566625504467e-7,0.3
2.342508895354953e-6,1.8922627642525834e-7,0
2.1510602253334913e-6,-2.2266436988660483e-9,0
2.040148989712256e-6,-1.1320401409720126e-7,0
1.8873019938707306e-6,-2.6602673383058215e-7,-0.645
2.2690251444693002e-6,1.1569921295084828e-7,0.04
2.1643168406904397e-6,1.1000049645049082e-8,0.26
2.337325059986719e-6,1.8399057420681597e-7,0.01
2.095051854505354e-6,-5.8236583247994746e-8,0
1.8935223894954895e-6,-2.5984204338747043e-7,0
1.7730173092707276e-6,-3.8032566264945e-7,0.08
2.2131667132254e-6,5.984002572734237e-8,0.045
2.1455075814890268e-6,-7.756474684761372e-9,0
