MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
7.164439033097763e-5,1.103541625719573e-5,0.14
5.579986155351222e-5,-4.810500502949733e-6,0
5.5832789923674306e-5,-4.760977023198221e-6,0
7.054696085849391e-5,9.934103786032877e-6,0.085
6.842430563097968e-5,7.860900542913663e-6,0
6.979777092504591e-5,9.209357692733234e-6,0
6.812106776107218e-5,7.487249512684868e-6,0.01
6.0383215333149364e-5,-2.4991725077194716e-7,0.01
4.842246126449458e-5,-1.2252391848649457e-5,0
6.356107138994533e-5,2.945556743041977e-6,0.215
6.673132488894146e-5,6.199045144859583e-6,0
6.624453367312724e-5,5.648209238274804e-6,0
6.473327555851759e-5,4.13184650952525e-6,0
5.863836990646048e-5,-2.0053260046737355e-6,0
6.287689695466874e-5,2.239285635772803e-6,0.005
5.9705636617684884e-5,-8.882871544291237e-7,0
6.103810942850461e-5,4.091172263426257e-7,0.045
6.05767467089971e-5,-4.9949991260955784e-8,0.06
6.185620383277207e-5,1.2525066703722442e-6,0
6.769013777323687e-5,7.140628422696582e-6,0
6.417089683949034e-5,3.5649102574442093e-6,0
5.242542916262271e-5,-8.149417169270868e-6,0
6.868705873694829e-5,8.066831656627361e-6,0.055
6.623192880660567e-5,5.62198248952761e-6,0.305
6.143089037104225e-5,7.845277956797236e-7,0.005
6.321292597532603e-5,2.621943574066532e-6,0
5.9329167736349835e-5,-1.2745371503602998e-6,0
6.449022941306258e-5,3.863955781778783e-6,0.02
5.698674576342921e-5,-3.621645075959634e-6,0
4.252308103082882e-5,-1.8099290328897344e-5,0
5.669737163444168e-5,-3.928512484896451e-6,0.165
6.240903553958365e-5,1.804367656957906e-6,0
5.29516439465613e-5,-7.701666606738655e-6,0.01
5.6206499426591815e-5,-4.419448162084616e-6,0.17
5.853226459614889e-5,-2.0898368216476502e-6,0.245
6.383940317925881e-5,3.203999952754999e-6,0.01
6.346134981552726e-5,2.841299700433453e-6,0.085
7.307287507119824e-5,1.2522488992352532e-5,0
6.459156228839407e-5,4.004872007181137e-6,0
6.474387366606537e-5,4.154899172353899e-6,0
6.92662644218731e-5,8.671439349638432e-6,0
6.256965119459185e-5,1.9659367655544546e-6,0
5.6285206492896635e-5,-4.3556545537931645e-6,0.015
6.956182477804682e-5,8.928981962862404e-6,0
5.7784708815548154e-5,-2.832631887914605e-6,0
6.554223801140714e-5,4.946362766257706e-6,0
6.297080282115565e-5,2.350482138269716e-6,0.085
5.741461471961508e-5,-3.1757908544094437e-6,0
6.08199134534797e-5,1.515401649820891e-7,0
6.941896678414335e-5,8.831696033704262e-6,0
5.320574743290464e-5,-7.410001245507503e-6,0
6.200635735028932e-5,1.3836854284188238e-6,0.09
5.426177493125159e-5,-6.3746710653517225e-6,0.045
5.477514573441315e-5,-5.862107271500383e-6,0.025
5.5627867398648785e-5,-5.026293244759783e-6,0
6.899566039215489e-5,8.403403811423904e-6,0
5.757297979453246e-5,-3.027536917820095e-6,0
5.251747322609989e-5,-8.13423488146281e-6,0.01
6.299345367777446e-5,2.3574827233685538e-6,0.02
6.0255113045984024e-5,-3.147081872006963e-7,0
5.9494889368375844e-5,-1.1253684239576067e-6,0.225
6.662001955279718e-5,5.998439980409165e-6,0.045
6.77103404758836e-5,7.122785571020418e-6,0
6.402644840933843e-5,3.3913287293269034e-6,0.01
6.334248710126859e-5,2.748399282157532e-6,0
5.889154983649953e-5,-1.7169649200304837e-6,0
5.726958956727603e-5,-3.27006412698172e-6,0
5.6297518215355766e-5,-4.3289304646987324e-6,0.14
5.575744783249582e-5,-4.859857126572331e-6,0
5.617022853946381e-5,-4.4650254009109825e-6,0.05
6.490889993647058e-5,4.302185782552037e-6,0
5.837179346327372e-5,-2.2510130625236212e-6,0.2
5.86260924117739e-5,-1.9943352192552945e-6,0.33
6.292206612010377e-5,2.2872473133306316e-6,0.01
6.870421904587216e-5,8.101691144252187e-6,-0.205
5.91270739149146e-5,-1.4974561213371151e-6,0.115
6.473926474787193e-5,4.141165356070786e-6,0
6.340721301258832e-5,2.8082108055788036e-6,0
6.238609384391065e-5,1.7746883184538431e-6,-0.285
6.004762741769656e-5,-5.165052969013928e-7,0
6.764399309516902e-5,7.03647058210688e-6,0.355
6.15287345066716e-5,9.358582128354831e-7,0
5.713465230237475e-5,-3.4192844691594005e-6,0
6.407866475018427e-5,3.544559984204887e-6,0
6.147838532222378e-5,8.843468785341147e-7,0
6.148492404491243e-5,8.396006537969569e-7,0.005
4.945643052233083e-5,-1.1207250410562031e-5,0
6.569982915693348e-5,5.136384096869895e-6,0
5.965392250460341e-5,-9.762560647152975e-7,0.025
5.360649274606149e-5,-7.044607885281495e-6,0
5.48616561894759e-5,-5.758407650499064e-6,0
5.47283800131961e-5,-5.809771156351507e-6,0
6.554613510378736e-5,4.936581436109089e-6,-0.555
6.141868050154975e-5,7.998578230328235e-7,0.2
5.792749855693974e-5,-2.68599723598828e-6,0
6.57366247398121e-5,5.163989629968224e-6,0
5.814321481104963e-5,-2.4826896143320676e-6,0.105
5.943868346400206e-5,-1.2104296254000779e-6,0
6.509349773346708e-5,4.505300400330925e-6,0
6.560867979100697e-5,4.9608507654230746e-6,0
