MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.042683516386713e-6,-1.116902819947585e-7,0
1.7184445446250141e-6,-4.359738452047734e-7,0.005
1.9108509500265773e-6,-2.4351031286562464e-7,0
2.0076901940081333e-6,-1.467145389655311e-7,0.005
2.095286603284673e-6,-5.907469280030941e-8,0
2.289512998306352e-6,1.351263485221965e-7,0.035
2.5891132087914044e-6,4.347681624505828e-7,0
2.0772554226874505e-6,-7.712362852296817e-8,0.26
2.053372899798885e-6,-1.0098700541139038e-7,0
2.5091439857615534e-6,3.5478140907929666e-7,0.17
2.0776300524585726e-6,-7.671690358979078e-8,0
2.498652025814933e-6,3.4424179097158893e-7,0
2.297030758070867e-6,1.4269685119638886e-7,0
2.1033893009459742e-6,-5.098544464288146e-8,-0.605
1.7068806396588056e-6,-4.475230149031395e-7,0.07
1.95340030596933e-6,-2.0096389443335917e-7,0
1.987882388180458e-6,-1.665165505299049e-7,0.02
2.0310613015615304e-6,-1.2333522775354046e-7,0.01
2.1316678926854774e-6,-2.2706907809033616e-8,-0.63
2.2515668691286496e-6,9.717644407714054e-8,0.02
1.8247546116482687e-6,-3.2967020985985584e-7,0
2.163830901837668e-6,9.442233998568916e-9,0.035
1.8777410723921588e-6,-2.766304475121384e-7,0
2.6826797239543016e-6,5.283392659527486e-7,0
2.402617565212275e-6,2.482760568167652e-7,0
2.1609169765870244e-6,6.53217814561291e-9,0.075
2.140185409133107e-6,-1.4137182692830486e-8,0
1.8997246530269881e-6,-2.546425538235697e-7,0
2.167658842613245e-6,1.3251838788530534e-8,0
1.7555802491917223e-6,-3.9876396010385394e-7,0
2.124477093864793e-6,-2.9884937913227105e-8,0
2.143868651332574e-6,-1.0455198039549529e-8,0
2.2623748345395563e-6,1.0804309912459952e-7,0
2.4195327703213283e-6,2.6517289877625584e-7,-0.59
2.1816078692754408e-6,2.7251249089532693e-8,0
2.4194009466271338e-6,2.6498662713092534e-7,0
1.8912533994399259e-6,-2.6313680149769867e-7,0.16
1.918063090491755e-6,-2.363283924206039e-7,0.12
2.140157494976676e-6,-1.4197621297507012e-8,0
2.2134634584638677e-6,5.908824337153007e-8,0.195
1.9245803676671378e-6,-2.2984433873274312e-7,0
2.0173520924687296e-6,-1.3705905854033418e-7,0.01
2.2128732174501084e-6,5.8581857827477715e-8,0
2.4419926515699848e-6,2.876668150225692e-7,0
2.5109154893262357e-6,3.5656657389082633e-7,0
1.8085721646240093e-6,-3.4579217146890607e-7,0
2.190246655148396e-6,3.5858147862111166e-8,0.025
2.1336861119621038e-6,-2.065147079344243e-8,0
2.08928420880787e-6,-6.50874055818651e-8,0
1.8739503390431012e-6,-2.803991140248874e-7,0
2.294543187269304e-6,1.4019977409074346e-7,0
2.331173919253228e-6,1.7679344453958025e-7,0.08
1.9656583808283884e-6,-1.8871276331766662e-7,0
2.4104044255275458e-6,2.560185227901135e-7,0.03
1.953543400070253e-6,-2.0081404386473878e-7,0
2.0308358129940694e-6,-1.2354159642957718e-7,-0.55
2.232927922029612e-6,7.854931836581703e-8,0.07
2.2228520491731763e-6,6.845940196786859e-8,0.015
1.954326254236319e-6,-2.00025677564164e-7,0
2.0783197977252806e-6,-7.602853952182187e-8,0
1.959211194914115e-6,-1.9515490715049654e-7,0
1.8798977950222676e-6,-2.7440743544770995e-7,0
2.396659238482265e-6,2.42275451211027e-7,0.025
2.3251939098409377e-6,1.7081707099686482e-7,0.085
2.2688536290904295e-6,1.144470405400888e-7,0
1.9539476818339167e-06,-2.0046467665513213e-7,0.005
2.0046174060657358e-6,-1.497845216075211e-7,0.02
1.781042222169063e-6,-3.733514348325251e-7,0.205
2.0751396379758492e-6,-7.926975249428203e-8,0
2.171406833024264e-6,1.7017092428517345e-8,0.03
2.1529572859729566e-6,-1.465881677154002e-9,0
1.9064098824573018e-6,-2.4794990447385423e-7,0
2.1777589098467734e-6,2.3365412204490178e-8,0.015
1.7715046023852101e-6,-3.8287847873519356e-7,0
2.183353964732802e-6,2.895552429771353e-8,0.005
1.6935107927703825e-6,-4.609576312342156e-7,0
2.028312217131057e-6,-1.2607753253124355e-7,0.06
2.4439293340285182e-6,2.8959451079280107e-7,0
2.2045445315384395e-6,5.0163242487077933e-08,0.085
2.2525466678823072e-6,9.81985042619593e-8,0
2.041262172887353e-6,-1.1309823706839861e-7,0
2.0033373571423695e-6,-1.5102860888183134e-7,0
2.158414581927401e-6,4.0526152028652615e-9,0
1.8322241588713246e-6,-3.2216469848855846e-7,-0.68
2.368656385253038e-6,2.1433247439250902e-7,0
1.8604216136056863e-6,-2.939790607714432e-7,0.04
2.499658934711267e-6,3.452950280974365e-7,0.125
2.18508546440757e-6,3.0707719570477463e-8,0.15
2.0976972390549607e-6,-5.6672217607078856e-8,0
2.335678087649726e-6,1.812553056490529e-7,0
2.0849086045217977e-6,-6.94605409162774e-8,0
2.253985432604191e-6,9.958925915487527e-8,0
1.6695607426881683e-6,-4.848363441883885e-7,-0.72
2.4662423716473287e-6,3.1188719912700335e-7,-0.41
1.9014405290937776e-6,-2.5293037976381606e-7,0
1.920682338866218e-6,-2.3370785099841028e-7,0.175
2.133122341874049e-6,-2.126028161131277e-8,0.095
1.9354571809087067e-6,-2.189495902926719e-7,0.005
1.8872287968397283e-6,-2.6715900525942084e-7,0.245
2.5314870521651383e-06,3.771554248982456e-7,0
