MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.07453866253798e-6,-7.98294453163706e-8,0
1.7360919602214594e-6,-4.1831927771573964e-7,0.01
1.9329347705398987e-6,-2.2142210219788795e-7,0
1.9824084377116825e-6,-1.7199272012102805e-7,0.02
2.071012534244359e-6,-8.33495421564967e-8,0
2.277538859458269e-6,1.231486839814444e-7,0.03
2.607457206201339e-6,4.531152997594434e-7,0
2.0667008467774627e-6,-8.767205760040753e-8,0
2.060461257263014e-6,-9.389553170813248e-8,0
2.543401760799546e-6,3.890370547215971e-7,0.1
2.0562890266769817e-6,-9.805685783625951e-8,0
2.4924345699839986e-6,3.380243505390901e-7,0
2.2684001976453852e-6,1.1406038707473254e-7,0
2.125661224003434e-6,-2.8706760131225196e-8,0
1.7019860301229285e-6,-4.524150241130842e-7,0.1
1.950548707942426e-6,-2.038125993292228e-7,0
1.9976922480849856e-6,-1.5669957882324948e-7,0.08
2.016858897106402e-6,-1.3753604874877645e-7,0.025
2.1343440526079593e-6,-2.0026396183037144e-8,-0.22
2.2274815387920203e-6,7.309078879691455e-8,0.025
1.817076122984769e-6,-3.3734573431587476e-7,0
2.1621419521125234e-6,7.751614315987254e-9,0.035
1.8363306208604946e-6,-3.180372194327985e-7,0
2.6343724482740017e-6,4.800311683272884e-7,0
2.356007502600846e-6,2.0166764227613764e-7,0
2.1598844299420527e-6,5.500727337515166e-9,0.085
2.0884864300250782e-6,-6.583552742023269e-8,0
1.8994877237477253e-6,-2.5488126387307465e-7,0
2.142376694558974e-6,-1.2034815051187308e-8,0
1.7664819877225948e-6,-3.8786199195339763e-7,0
2.079861686249642e-6,-7.45049934136599e-8,0
2.151667946669971e-6,-2.6592342283748847e-9,0
2.267509735717358e-6,1.1317924513698508e-7,0
2.4288289590077784e-6,2.744693287931588e-7,-0.605
2.197126624509225e-6,4.2775766199709686e-8,0
2.4135518869662886e-6,2.5914027434570386e-7,0
1.883209110598319e-6,-2.71177641935072e-7,-0.755
1.9654473028853334e-6,-1.889407254590525e-7,0.14
2.1376968107096344e-6,-1.6661941834583695e-8,0
2.2106963403408805e-6,5.632012183176549e-8,0.155
1.8956869172195228e-6,-2.587394692843414e-7,0
1.975027843964512e-6,-1.7938558595442798e-7,0.01
2.248050272139394e-6,9.376325620258363e-8,0
2.4109597647796473e-6,2.566378078683318e-7,0
2.5342164645855185e-6,3.7987298119657177e-7,0
1.8633904382511877e-6,-2.90971314117483e-7,0
2.1867600111422023e-6,3.2371681953913266e-8,0.025
2.1745508145848297e-6,2.0204958098291038e-8,0
2.0900675527938017e-6,-6.43009677336881e-8,0
1.890349019155621e-6,-2.639923650249454e-7,0
2.3107027892433043e-6,1.5635632356347796e-7,0
2.328592959055714e-6,1.7420906062493024e-7,0.05
1.937632753746008e-6,-2.1674410554117786e-7,0
2.410679147064277e-6,2.5628986668690954e-7,0.01
1.942173765505566e-6,-2.1217761086433918e-7,0
2.0570590467894174e-6,-9.731124359813049e-8,0
2.263881219015948e-6,1.0950390732178405e-7,0.08
2.204537457810427e-6,5.014503231592915e-8,0.015
1.9175229976615414e-6,-2.368373589145545e-7,0
2.0712917909592327e-6,-8.30498015258474e-8,0
1.9607002983250867e-6,-1.9367128257619104e-7,0
1.8776013708417158e-6,-2.7670240284494164e-7,0
2.4116383609085747e-6,2.5725506813623066e-7,0.025
2.314481282261313e-6,1.60102285087782e-7,0.07
2.264332993727163e-6,1.0992646154672769e-7,0
2.008643277541549e-6,-1.457648155261948e-7,0.005
1.9715866985628967e-6,-1.828196569314544e-7,0.015
1.8080590059098618e-6,-3.4633673012929303e-7,0.085
2.082116264432596e-6,-7.22944470465947e-8,0
2.1602678804738724e-6,5.8748915487960575e-9,0.015
2.173306104575564e-6,1.887905112463173e-8,0
1.9005082648486173e-6,-2.538568841370381e-7,0
2.1606612084816426e-6,6.266217045802769e-9,0.015
1.7466943422334162e-6,-4.076924971635476e-7,0
2.175420596585605e-6,2.1018247126081135e-8,0
1.67022331030237e-6,-4.84243885736646e-7,0
2.022705068283779e-6,-1.3168185615308748e-7,0.105
2.4187445096845096e-6,2.64406769479586e-7,0
2.227065390940172e-6,7.268116469949515e-8,0.04
2.2704802053795197e-6,1.16134264920853e-7,0
2.0049482465337256e-6,-1.4940729296308851e-7,0
2.0091551525974535e-6,-1.452102221449758e-7,0
2.201287824664131e-6,4.692988151477895e-8,0
1.8142870709362743e-6,-3.401019828946916e-7,-0.615
2.3703845511690095e-6,2.160622683144986e-7,0
1.8458400631045403e-6,-3.085600352270568e-7,0.05
2.5149377440299354e-6,3.605749079460541e-7,0.13
2.189171215800012e-6,3.480064752425793e-8,-0.59
2.1212402838320475e-6,-3.31311981133231e-8,-0.32
2.340574346697256e-6,1.861534724600933e-7,0
2.085624923963858e-6,-6.874430393266628e-8,0
2.269052642949612e-6,1.1466237178126004e-7,0.015
1.621907903269327e-6,-5.32491155382786e-7,-0.69
2.5215022876259174e-6,3.6715098478801166e-7,-0.225
1.9022815599994033e-6,-2.5208976895951806e-7,0
1.87287580209881e-6,-2.815219197699337e-7,0.055
2.1051814528289575e-6,-4.920262555496713e-8,0.085
1.91866688689362e-6,-2.3573844398827594e-7,0.005
1.9057787848193478e-6,-2.486063776713232e-7,-0.665
2.5185922502215795e-6,3.64262861962672e-7,0
