MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.2918263469929694e-6,1.774091268669231e-7,0
1.976831361007685e-6,-1.376354025228732e-7,0
2.224793254170265e-6,1.1038299151278075e-7,0
1.9001446136125412e-6,-2.1438104579440954e-7,0
1.9043136793289398e-6,-2.10131039066197e-7,0
2.4477299404109622e-6,3.333178629266742e-7,0
2.0298332397474104e-6,-8.461320884889378e-8,0
2.0900213826418783e-6,-2.447208376221699e-8,0.015
1.8183690751475648e-6,-2.9611661732098503e-7,0.215
1.9675810285096913e-6,-1.4693110478469774e-7,0.005
2.192291574919413e-6,7.78626637354396e-8,0
2.0237041805915624e-6,-9.081548862255318e-8,0
1.9966069682117916e-6,-1.1789555664165618e-7,0
2.3976005128475576e-6,2.8315813542512114e-7,0
2.02390848021679e-6,-9.058833448927217e-8,0.02
2.0020801179388264e-6,-1.1236200016417896e-7,0
1.95279218561617e-6,-1.6171235507622672e-7,0.005
2.113413850894296e-6,-1.0669858102607677e-9,0.055
2.1936458825957956e-6,7.914925660046369e-8,0.005
2.1937790518762797e-6,7.929104150317112e-8,0.01
1.7880070748019898e-6,-3.2648822085423745e-7,0.045
2.0733929985607487e-6,-4.104630848988933e-8,0
2.0516905216121694e-6,-6.278334383658102e-8,0.215
2.2106020397686277e-6,9.612698101901795e-8,0.065
1.993695558682145e-6,-1.2079666440345526e-7,0.04
2.063336829372339e-6,-5.113340839135727e-8,-0.635
2.2395963739160043e-6,1.2515229126430772e-7,0
2.1244726533833476e-6,9.968406133875618e-9,0.005
2.387565564353609e-6,2.730852175952814e-7,0.01
2.0625921467197434e-6,-5.185988671108088e-8,0
2.4289923356602022e-6,3.1452104050033733e-7,0.04
2.2258668316709066e-6,1.1142344630399314e-7,0
1.9372252276478243e-6,-1.7722764899419375e-7,0
2.2112155998231276e-6,9.676346049536377e-8,0
1.8566506487255551e-6,-2.578555866711296e-7,0.005
2.0896267486235657e-6,-2.4798851889218376e-8,0
2.198008343638529e-6,8.355068693732815e-8,0
2.1237069274967703e-6,9.274660736635632e-9,0
1.9226138463819903e-6,-1.9188422780702652e-7,0.02
1.9779224997587418e-6,-1.365571827199874e-7,0.145
2.045220886000533e-6,-6.926858450551077e-8,0.025
2.0002340796845157e-6,-1.1422166079910756e-7,0
2.122395218160122e-6,7.90093581559681e-9,0.025
2.2026748994473907e-6,8.819434960061212e-8,0.02
2.2230743883874166e-6,1.085606552952978e-7,0
2.0264409503875954e-6,-8.804579575860672e-8,0.035
2.401641388418444e-6,2.87154521241284e-7,0.01
2.3837247331702807e-6,2.6928488644828443e-7,0
2.0312967175765603e-6,-8.311065214927638e-8,0
2.2949710433450644e-6,1.8053340117729632e-7,0
1.921246785248063e-6,-1.9325603929976065e-7,0.01
2.207012215467331e-6,9.254102549260957e-8,0.11
1.9804001420534266e-6,-1.3405094405616326e-7,0
2.4847848473827718e-6,3.703358790002609e-7,-0.51
2.2969708991887683e-6,1.8246592643711422e-7,0
2.1192771598214157e-6,4.797495093411541e-9,0.045
2.1837307984766865e-6,6.930817710193437e-8,0
1.7151795744881454e-6,-3.9928490466856206e-7,0
2.1596352304039574e-6,4.52064779443706e-8,0
1.912900619343518e-6,-2.0154446297993012e-7,0
2.063851703492729e-6,-5.06401722577543e-8,0.02
2.0533842915793815e-6,-6.108454995046308e-8,-0.45
2.1523065987560694e-6,3.7838108574161924e-8,0.245
1.9114106159486156e-6,-2.0310508203169597e-7,0
2.1033712334791083e-6,-1.1089373030959138e-8,0
2.471757690522468e-6,3.572684576397256e-7,0.01
2.252370132018818e-6,1.3786700133855412e-7,0
1.9807975244092428e-6,-1.337083210128931e-7,0
2.001180326194333e-6,-1.1332769514371677e-7,0.005
2.0968495005987366e-6,-1.7661860675088903e-8,0
2.2072738598885627e-6,9.277432061360891e-8,0
1.895646900129693e-6,-2.188286246224136e-7,-0.26
1.7479723080066553e-6,-3.6649950816702857e-7,0
2.1027023226554036e-6,-1.1808692189640979e-8,0
2.241022488930833e-6,1.265437605552089e-7,0.025
2.0383037823492245e-6,-7.618790549057674e-8,0.025
2.2216271204490454e-6,1.0714420385582457e-7,0.04
1.7858926427850042e-6,-3.285788316459426e-7,0
1.939707648696767e-6,-1.7475442909309358e-7,0
2.4307672259076654e-6,3.1630029536267034e-7,0.055
2.080226228936314e-6,-3.421165179873231e-8,0
1.7950296032101034e-6,-3.1944627137237e-7,0
2.125213180752027e-6,1.077501685986526e-8,0
2.354543409812601e-6,2.401580044425478e-7,0
2.327113437699153e-6,2.1265786975810386e-7,-0.405
2.0278064482603804e-6,-8.663198687308693e-8,0
2.112370469616877e-6,-2.113167239525815e-9,0.03
2.064959028722571e-6,-4.957577631747867e-8,0
2.2281717597402867e-6,1.137245084492644e-7,0
1.829414483325907e-6,-2.8504803429363344e-7,0
2.2060868007856187e-6,9.161547593505848e-8,0.11
2.076373992525641e-6,-3.8130534784075466e-8,0.005
2.011725353357474e-6,-1.0274671071286434e-7,-0.485
2.101567715024382e-6,-1.2930791186693824e-8,0
1.825286430110982e-6,-2.892311496838218e-7,0.005
2.2213740697938747e-6,1.0685723362435785e-7,0.005
2.0186009482774195e-6,-9.586040241871263e-8,0
1.9792881120552417e-6,-1.3510433600705252e-7,0
2.107785793551636e-6,-6.678463795317668e-9,0
2.1862239957729746e-6,7.175027247174892e-8,0.1
