MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
1.9456100982535085e-6,-1.751021625129301e-7,0
2.1048964900302612e-6,-1.5758283676836627e-8,-0.46
2.1707360529689017e-6,5.0105364161612266e-8,0
1.6352403289117386e-6,-4.853314977304457e-7,0
2.331648580726017e-6,2.1105085564132597e-7,0
2.0264816966992393e-6,-9.421498785577853e-8,0
2.2270018959051447e-6,1.0638826433151394e-7,0
2.085821165197542e-6,-3.4868976938051685e-8,0
2.0747815196128754e-6,-4.588131712279786e-8,0.175
2.424772441838322e-6,3.04108807415715e-7,0.01
2.2761329644319426e-6,1.555328119007271e-7,0
2.2580172979432857e-6,1.3732045401615434e-7,0.005
2.035837583997816e-6,-8.483218250754376e-8,0.065
1.755335905608055e-6,-3.652985514651652e-7,0
2.1709840800652087e-6,5.0288756547889335e-8,0
2.158664005693142e-6,3.803933315837948e-8,0
2.2349250437503965e-6,1.1425969331235742e-7,0.045
2.136140259419962e-6,1.5425547447156518e-8,0
2.0742669815320923e-6,-4.637680566410563e-8,0
1.9837241320936785e-6,-1.3697352190034097e-7,0.01
1.930650262587035e-6,-1.9003261814087845e-7,0.035
2.6604810694774183e-6,5.398649431731517e-7,0
2.2334582511004413e-6,1.1282640304199898e-7,0
1.7727661314769268e-6,-3.4794180277075705e-7,0
2.048376612168299e-6,-7.219580846262729e-8,0
2.1729151788610206e-6,5.222940866966841e-8,0.005
2.0796003409969776e-6,-4.108757762411042e-8,0.01
1.9545186991900334e-6,-1.661966659460834e-7,0
2.0899209514206797e-6,-3.075215628867145e-8,0.03
1.891100689438587e-6,-2.295836420423969e-7,0.03
1.7445706844667066e-6,-3.7609769306834464e-7,0
1.9523200462090316e-6,-1.683851318812213e-7,0
2.389930695709136e-6,2.693042665313783e-7,0
2.326081977207406e-6,2.054360427777846e-7,-0.59
2.2331575721266e-6,1.1249443095273648e-7,0.06
2.3785579943439473e-6,2.5793393158779486e-7,0
2.1453411857566327e-6,2.4706817085551336e-8,0
2.2012371290034755e-6,8.055905567350141e-8,0.015
1.9667738759825702e-6,-1.53900001089724e-7,0.085
2.043892070668191e-6,-7.679436627883174e-8,0.015
2.299265230623904e-6,1.7864111136134396e-7,0
2.0436407197030918e-6,-7.701961498240983e-8,-0.645
2.3474056613299493e-6,2.267951858841988e-7,0
2.0997120203677584e-6,-2.0960309158879475e-8,0.02
2.0903535809774113e-6,-3.0279645948927404e-8,0
1.8528334323919478e-6,-2.6785737761381156e-7,0.005
2.0635725980998876e-6,-5.713828961750878e-8,0.005
2.117719092021649e-6,-2.9482686259019174e-9,0.055
2.098708419791944e-6,-2.1907834186207786e-8,0
1.9385232261081745e-6,-1.821736963675269e-7,0.005
2.159235420590227e-6,3.859520894822221e-8,0
2.3909340291222272e-06,2.7033114554264603e-7,0
2.2571480476776457e-6,1.3648078421024668e-7,0.04
2.355758809263796e-6,2.3509285192124806e-7,0.035
1.7678646982008666e-6,-3.528407682074075e-7,0
2.0364586668935915e-6,-8.417063384280609e-8,0
2.2305434096779214e-6,1.0993027264316613e-7,0
1.9754504762328624e-6,-1.4520383481542164e-7,0
2.0427956240052126e-6,-7.785579197949755e-8,0
1.968931632430527e-6,-1.5172069069424588e-7,0
2.2450906876737e-6,1.2445647846859308e-7,0
2.398997600591773e-6,2.783733111472175e-7,0
1.7714671044390428e-6,-3.492215814537847e-7,0.025
1.908438146571702e-6,-2.1225325131102314e-7,0.01
2.142718503979552e-6,2.2093197313832746e-8,0
2.6291940605438267e-6,5.085751819972062e-7,0
2.1634445806201868e-6,4.2734405868438685e-8,0
2.3656871648359128e-6,2.4505892905868353e-7,0
1.941634189602767e-6,-1.789817321551368e-7,0
1.9938885865431327e-6,-1.267315617609066e-7,0
1.8080814787268951e-6,-3.125512646701134e-7,0
2.1387779311345057e-6,1.8125746339969774e-8,-0.305
2.2035254922305326e-6,8.28918585549232e-8,0
2.3102395157614833e-6,1.8957962996002387e-7,0.065
1.9578740366711726e-6,-1.6283459165489232e-7,0
1.910865403281552e-6,-2.0976533890881832e-7,0
2.507367500160972e-6,3.867512921679195e-7,0
2.5674025459742446e-6,4.468039454480488e-7,0
1.5754145670175658e-6,-5.452229523489338e-7,0
2.2853366992518087e-6,1.647934276011176e-7,0
1.9810738984285165e-6,-1.3962531670297373e-7,0
2.2431291798981423e-6,1.2248679256920968e-7,0
2.074046164000163e-6,-4.662574160207988e-8,0.04
1.4963373840087721e-6,-6.243782854697955e-7,0
1.8558494039073938e-6,-2.6484583208252755e-7,0.01
2.2117855162599503e-6,9.112306906977619e-8,0.065
2.1418669913364084e-6,2.117972541459956e-8,0
2.076341306978288e-6,-4.428751312623991e-8,0
1.9575418321900873e-6,-1.63101958642331e-7,0
2.554142892438117e-6,4.334748267953437e-7,0.01
2.1120131479260452e-6,-8.654838564159384e-9,0.075
1.8981217265823488e-6,-2.2253219765844267e-7,0
1.9949049042542337e-6,-1.2576756484083963e-7,0.055
2.181169120477135e-6,6.055008861638455e-8,0
2.2578315690870172e-6,1.3718775313142918e-7,0
1.9911683559504355e-6,-1.2953506943746974e-7,0
1.847249632479587e-6,-2.7337090575452193e-7,0
2.2567658704582785e-6,1.3608012391364e-7,0.005
2.343455265308196e-6,2.2277867544495678e-7,0.01
2.5566301888385584e-6,4.3597960560803896e-7,0.07
