MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.2494421644093986e-6,-2.808698835732315e-9,0.02
2.5859899087276933e-6,3.3374275293152067e-7,0
2.5339262376387003e-6,2.8173683005727755e-7,0
2.5729930150878885e-6,3.208285453798476e-7,0
1.939416843487463e-6,-3.1284944447484973e-7,0
2.43803065454029e-6,1.8584959040335302e-7,0
2.5216114060662577e-6,2.6941172252104017e-7,0.265
2.2305307678861603e-6,-2.163402599564268e-8,0
2.4148587428224876e-6,1.6269576639138527e-7,0
2.3334978341667598e-6,8.132519618508916e-8,0
2.3699972370868723e-6,1.1778476207979782e-7,0.115
2.3718970529594507e-6,1.197279639947313e-7,0
2.482910749174008e-6,2.307115960564765e-7,-0.615
2.214368596532157e-6,-3.782439165544993e-8,0
2.0244326747690417e-6,-2.2779632834590836e-7,0.125
2.30744998551927e-6,5.522477484087851e-8,0.045
2.604657340436339e-6,3.524107633434692e-7,0
2.2288718346948966e-6,-2.338691297953943e-8,0
2.230010772367184e-6,-2.2217067536245416e-8,0.055
2.406846404065772e-6,1.5464813371668384e-7,0
2.3913112946037693e-6,1.3907390212786196e-7,0.01
1.8807491667376055e-6,-3.715275432458753e-7,0
2.1784044030544818e-6,-7.382824462109915e-8,0.03
2.3757636473791727e-6,1.2360428455593374e-7,0
2.164669504235549e-6,-8.752615442142453e-8,0
2.2004246246000963e-6,-5.182605757991787e-8,0.005
1.9091047288817684e-6,-3.4313810920838515e-7,0.025
2.3465357582708856e-6,9.437467821338252e-8,0
2.1447556489535984e-6,-1.0739869515552503e-7,0
2.2012678543869755e-6,-5.092473892465144e-8,0
2.14827193675817e-6,-1.0392955160809513e-7,0
2.5628940932942386e-6,3.1069903647540364e-7,-0.595
2.687968008956641e-6,4.3585322958672457e-7,0
2.487187493984353e-6,2.350396813805e-7,0
2.4766595414508795e-6,2.2452738173805998e-7,0
2.1960716997672234e-6,-5.6170727959492515e-8,0.01
2.241077620608395e-6,-1.1145372635357198e-8,0.105
2.7404257192932067e-6,4.882191710664507e-7,0.035
2.440076562587576e-6,1.878996969062463e-7,0
2.508630105039305e-6,2.5643437207678587e-7,-0.485
2.7532639644450918e-6,5.011025089618482e-7,0
2.4080208356817547e-6,1.5585176009635938e-7,0
2.0000786807454155e-6,-2.5210811441356287e-7,0
2.456587182909249e-6,2.0438150312052094e-7,0.175
2.2253319613522995e-6,-2.686684052122246e-8,0
2.046320587968396e-6,-2.0586513706233323e-7,0
2.2518298724115645e-6,-3.705176915280715e-10,0
1.9861509421985723e-6,-2.6605898754528124e-7,0
2.2114358750799954e-6,-4.079410176605069e-8,0.055
2.4270291932554276e-6,1.7479278870913272e-7,0.005
2.584501508348816e-6,3.32325939303435e-7,0
2.4848720751696507e-6,2.326318599377153e-7,0.005
2.2537013811104073e-6,1.4354449517917089e-9,0
1.8315642038498394e-6,-4.207024079960764e-7,0
1.9233125444195516e-6,-3.2892962093411526e-7,0.04
2.0713274498576957e-6,-1.8079892463884751e-7,0
2.442796357020437e-6,1.9060103239543213e-7,0
2.2683129272020605e-6,1.6116830226509117e-8,0
2.070614396490184e-6,-1.8156750359321627e-7,0
1.724182737738901e-6,-5.280420726144764e-7,0
2.158335565446402e-6,-9.38669729477759e-8,0
2.858529350754166e-6,6.06358246205696e-7,0
2.4612713545352762e-6,2.091150337851788e-7,0
2.492138541394021e-6,2.3991132107326063e-7,0.01
2.105280617806162e-6,-1.468503750529093e-7,0
2.758473798851408e-6,5.062819333401247e-7,0.19
2.05115820413077e-6,-2.0106287970556025e-7,-0.65
2.422177244278597e-6,1.7000623860841112e-7,0
2.456580487083731e-6,2.0434293435678263e-7,0
2.210361681622073e-6,-4.183645479050036e-8,0
2.3889634066682844e-6,1.3678393991800598e-7,0
1.7734800942679543e-6,-4.787807239725605e-7,0
2.4853072007220253e-6,2.331184233100858e-7,0
2.6747284016102487e-6,4.2255380453326554e-7,0
2.3020843406250255e-6,4.98931822667803e-8,0
2.5703046960311927e-6,3.181143408875764e-7,-0.1
1.7098587748648658e-6,-5.423500565043815e-7,0
2.449715053443582e-6,1.9747099668343538e-7,0
2.2782544411102685e-6,2.6047976117715697e-8,-0.355
2.2518946594538506e-6,-3.5561433575637116e-10,0
2.29780166991537e-6,4.5639877920278236e-8,0
2.148975504545057e-6,-1.0325202112304588e-7,0.07
2.5017082903601786e-6,2.494785766593566e-7,0.005
1.91348431620993e-6,-3.386923293374755e-7,0
2.632404445193473e-6,3.801834677241711e-7,0.02
2.1426335732734864e-6,-1.0961370169204621e-7,0.005
2.145200191662289e-6,-1.0695469344235154e-7,0
2.0855022366037594e-6,-1.6674010186401576e-7,0.02
2.38117874004207e-6,1.2892009616627397e-7,0
1.9254537678159305e-6,-3.2677296556815615e-7,-0.595
2.3376043169583448e-6,8.545730500852944e-8,0
2.1280683092696035e-6,-1.241548510261259e-7,0.16
2.5145983454735798e-6,2.624406764462073e-7,0
2.2348661268097895e-6,-1.7386450975598323e-8,0
2.508765471143387e-6,2.5657955511515504e-7,0
2.3763272859925314e-6,1.2409809472757605e-7,0.025
2.4103441578295214e-6,1.5812977978924004e-7,0.08
2.177849051041787e-6,-7.440923882107154e-8,0.005
2.426461861884329e-6,1.742787849889904e-7,0
2.0447899323001485e-6,-2.0743378314314053e-7,0.25
