MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.0134882933643737e-6,-1.4096192909540672e-7,0.04
2.3301541053355424e-6,1.7575485136978043e-7,0
1.963966781489681e-6,-1.9044029437698118e-7,0
2.0798281089723704e-6,-7.459481483729214e-8,0
2.4521280401982636e-6,2.9766653123153297e-7,0
1.904580918817347e-6,-2.4980628142101666e-7,0
2.415337398537499e-6,2.6092635732721805e-7,-0.61
2.504335717034454e-6,3.499886867908142e-7,0
2.3059705141370953e-6,1.5152642998284004e-7,0.02
2.3381265102740795e-6,1.8381417406621027e-7,0
2.3286280920150677e-6,1.741688112022466e-7,0
1.934177641903619e-6,-2.2028503642412823e-7,0.005
1.8450770846172742e-6,-3.093871081272237e-7,0.015
1.7700580535351056e-6,-3.8436799913665885e-7,0
2.1094987579170046e-6,-4.4896481246059496e-8,0
2.370603951714318e-6,2.1615854632006658e-7,0
1.886449252626407e-6,-2.679903253932636e-7,0.23
2.1604305839464117e-6,6.03255526920865e-9,0
2.4313548216195818e-6,2.769257698509442e-7,0.015
2.056669237714667e-6,-9.776065688693603e-8,0.275
2.10322829984775e-6,-5.1201691066982136e-8,0.17
2.1520396151078143e-6,-2.3614201033472777e-9,0
2.0925946388689964e-6,-6.18098880467155e-8,0
2.128798618846158e-6,-2.5543158330698646e-8,0
2.333842735371239e-6,1.793824516271858e-7,0
1.957465827827389e-6,-1.9697602784363166e-7,0.09
1.9258546748780417e-6,-2.2859164154453991e-7,0.065
2.1192919463349668e-6,-3.512503547020707e-8,0
2.047512335748533e-6,-1.0689055331358776e-7,0
2.752852216522614e-6,5.984449742674203e-7,0.075
2.202269229509144e-6,4.780193969100566e-8,0
1.8867932764038164e-6,-2.6765151075858197e-7,0.095
2.353173108396997e-6,1.9875729335760983e-7,0.335
2.1527774378789955e-6,-1.666560812685347e-9,0.025
2.3844147540600813e-6,2.2997582912298586e-7,0.01
2.4537773790231044e-6,2.9934452656976697e-7,0.015
2.120046767329141e-6,-3.4413367957508715e-8,0
2.238012979455791e-6,8.361719715854753e-8,0
1.9417482285346315e-6,-2.1265613923016069e-7,0
2.1480926067775334e-6,-6.32419222990066e-9,0
2.253144483192494e-6,9.87092456855576e-8,0.06
2.1930805810530314e-6,3.868077578017548e-8,0
2.475244699433789e-6,3.208290398354352e-7,0.155
2.038246766567941e-6,-1.1613468581361808e-7,0
2.2447845733282803e-6,9.035231017195944e-8,0.07
2.0644541672057335e-6,-8.999024279643386e-8,0.03
1.8106885416360185e-6,-3.437751673873723e-7,0.005
1.9707229370867926e-6,-1.837161086054584e-7,0.14
1.976389891656286e-6,-1.7809284627023914e-7,0
1.8534684829528212e-6,-3.010110238743646e-7,0
2.5961531224628944e-6,4.417326967842694e-7,0.05
2.1318139092211696e-6,-2.2622391765980687e-8,0.085
2.3051346542081146e-6,1.507060794625481e-7,0.085
2.4358872163999783e-6,2.81454982193341e-7,0.025
2.454604244669484e-6,3.001567631588653e-7,0.01
1.9713061363679718e-6,-1.8312066539405425e-7,0
1.8402432332011227e-6,-3.141833483066847e-7,0
1.8586727568661686e-6,-2.9578237411453934e-7,0.035
1.986589986753243e-6,-1.6782491749522954e-7,0
2.114309759926315e-6,-4.014244215311269e-8,0.005
2.105932786626116e-6,-4.855140449788742e-8,0
2.2264113000742165e-6,7.196147019883359e-8,0.01
2.6154385748045347e-6,4.610573986113531e-7,0
2.0477292198598855e-6,-1.066734798915725e-7,0
2.342531027837618e-6,1.8812485688357583e-7,0
2.8833039923843993e-6,7.289007018884686e-7,0.08
2.3104162868289885e-6,1.5599647403163887e-7,0.185
1.8285876147188111e-6,-3.2584182422967786e-7,0
1.8746711287716696e-6,-2.7980639934477304e-7,0
2.1006712592275026e-6,-5.374178342565372e-8,0
2.065803055946192e-6,-8.861708144514147e-8,0
1.9117626783140116e-6,-2.4269030927892564e-7,0.015
2.1343798294186526e-6,-1.9984072072154467e-8,0
2.331579149850926e-6,1.7713028237442696e-7,0.005
2.4766844023192237e-6,3.222666849400646e-7,0.09
2.138389310410905e-6,-1.6052879760475315e-8,0.015
2.3413936911803264e-6,1.8699692033719018e-7,0
2.114888312875502e-6,-3.953233681408541e-8,0
2.0682836282079357e-6,-8.617866257998319e-8,0.01
1.6567546785837712e-6,-4.976920937238561e-7,-0.55
2.6340190005030046e-6,4.796065073803258e-7,0.1
2.059634509238807e-6,-9.479031182424435e-8,0
2.08418275785518e-6,-7.030799892948635e-8,0
1.992131201641338e-6,-1.6230314141718604e-7,0.195
1.951185976090696e-6,-2.0328494364174608e-7,0
2.1432633264665932e-6,-1.1118380757180191e-8,0
2.1078392491863218e-6,-4.6564463753728805e-8,0
2.0272884719242695e-6,-1.2712717339324885e-7,0
1.948553133296373e-6,-2.0588872858440243e-7,0.09
2.3320086286703315e-6,1.77598659222844e-7,0
2.4718782990934736e-6,3.174453298487867e-7,0.03
2.3896999181800924e-6,2.353098100016382e-7,0
2.198731884502762e-6,4.430487029916108e-8,0.2
1.8245592741609061e-6,-3.298332920237401e-7,0
2.7581045776126995e-6,6.036934154141082e-7,0.05
2.166241674118411e-6,1.184028401268744e-8,0
2.4046059765452494e-6,2.501454643821788e-7,0
2.6793521027052128e-6,5.250001698647866e-7,0
2.209413935024006e-6,5.500209719344618e-8,0
2.1927863581415814e-6,3.8313954204838295e-8,0
