MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.4388881407126535e-6,8.46244407526342e-8,0
2.05958343381331e-6,-2.946185549235203e-7,0
2.5618028042696913e-6,2.076167894787817e-7,0
2.423795720786275e-6,6.9604688800462e-8,0
2.3639646527998014e-6,9.795826219072268e-9,0
2.3429278923260823e-6,-1.1223576008023705e-8,0
2.4506209311250992e-6,9.645633138821719e-8,0
2.5648636443042297e-6,2.1064722620478538e-07,0.02
2.2450447413302116e-6,-1.0918886537925054e-7,0.01
1.9818831452838697e-6,-3.7239122564425295e-7,0.005
2.394270094655166e-6,3.9996402572128886e-8,0
2.4924596193042953e-6,1.3829116920549555e-7,0
2.0525134040697288e-6,-3.01724848466578e-7,0.035
2.146682659808032e-6,-2.075573416299159e-7,0.01
2.494554572341561e-6,1.4045504088400219e-7,0
2.6856458784779798e-6,3.3145674233514554e-7,0.25
3.1712408603140123e-6,8.171162061987314e-7,0
2.289378062289866e-6,-6.489978292556486e-8,0
2.203632046153125e-6,-1.5056691157866453e-7,0
2.3984575141159087e-6,4.423647050277868e-8,0.05
2.5802908118987307e-6,2.2607223396531317e-7,0.02
2.4333617328495672e-6,7.919031577430236e-8,0
2.6603697788565064e-6,3.0620096591271737e-7,0
2.345126973438138e-6,-9.063121587105094e-9,0
2.5204944093324047e-6,1.663234692705906e-7,0
2.6697652208414945e-6,3.155745310345903e-7,0.23
2.3839276978397867e-6,2.971738119028622e-8,0.13
2.7154589625477945e-6,3.612759203552862e-7,-0.6
2.2639495201409858e-6,-9.026093052644235e-8,0.185
2.1280995778438443e-06,-2.26121948533331e-7,0.14
2.778902233686448e-6,4.247093064912999e-7,0.135
2.184655115319634e-6,-1.6955301352483686e-7,-0.23
2.2512629895288715e-6,-1.0298178263701275e-7,0.01
2.596521062836276e-6,2.4225834659552524e-7,0
2.1759690043624024e-6,-1.7821163043219013e-7,0
2.969599137720889e-6,6.15461108716131e-7,0
2.746536705414921e-6,3.92307936705194e-7,0
2.2633738585243194e-6,-9.085842442912994e-8,0.01
1.9771776187116354e-6,-3.7705795574549673e-7,0.07
2.3675347403667996e-6,1.3276759196489963e-8,0
2.320332419449944e-6,-3.3910997323527425e-8,0.005
2.3388076689133775e-6,-1.541004807981139e-8,0.06
2.368985717044573e-6,1.47775758929658e-8,0.21
2.0878633541968502e-6,-2.6641947884376016e-7,0
2.5071020711144084e-6,1.5288518436740172e-7,0.04
2.16074498272001e-6,-1.9345379158597354e-7,0
2.1313590293949854e-6,-2.228189196540331e-7,0
2.150631933776785e-6,-2.0364570783248936e-7,0
2.2548160834112836e-6,-9.939210637188723e-8,-0.65
2.5977076290074884e-6,2.435541347189929e-7,0
2.294108596795865e-6,-6.010390636690399e-8,0.17
2.0077840035195333e-6,-3.464993949198192e-7,0
2.1736182292658965e-6,-1.8062152426834288e-7,0.005
2.033597459523565e-6,-3.2055219023330305e-7,0
2.5013907315527087e-6,1.47197866994242e-7,-0.425
2.29901230534659e-6,-5.518682729688251e-8,0
2.4026899691739562e-6,4.844975727558154e-8,0.005
2.1288679503507797e-6,-2.2531934344982575e-7,0
2.792165356870813e-6,4.380164173289902e-7,0
2.4001604207219087e-6,4.5964899876849155e-8,0
2.4715489135269488e-6,1.1739228917340138e-7,0
2.2761666440339686e-6,-7.805951742712037e-8,0.03
2.451148123692826e-6,9.697385542684068e-8,0
1.9978457232235973e-6,-3.56319090197843e-7,0
2.284647902135971e-6,-6.944006446407691e-8,0
2.277264316827444e-6,-7.690199623044958e-8,0
2.4635883705577466e-6,1.0935991789862154e-7,0.015
2.384618976136406e-6,3.0384668217031676e-8,0
2.530248168824291e-6,1.761015169166047e-7,0
2.177369318246529e-6,-1.768102957988571e-7,0
2.3971667159770027e-6,4.3000038318918857e-8,0
2.296984029985762e-6,-5.725297346659275e-8,0.01
2.3700147823513427e-6,1.583656290882196e-8,0
2.69638950469548e-6,3.4220157534514684e-7,0.26
2.2479692410733167e-6,-1.0623220384697874e-7,0
2.349467634206653e-6,-4.663729606946276e-9,0
2.3890222082049684e-6,3.4770864539845904e-8,0
2.210466270132093e-6,-1.4366337034832366e-7,0
2.4296379508036714e-6,7.541131096633346e-8,0.02
2.453220232910699e-6,9.906996589204021e-8,0
2.3008771190837516e-6,-5.334158026393254e-8,0.075
2.3107115403250185e-6,-4.350164495015019e-8,0.105
2.384072266469333e-6,2.991143537689478e-8,0
2.3191729396144266e-6,-3.509438876281301e-8,0
2.655859548621113e-6,3.0166647934648514e-7,0.17
2.3143104812324345e-6,-3.9915925637568076e-8,0.04
2.7680939076953012e-6,4.138990559310329e-7,0.075
2.45090807900409e-6,9.677598507618068e-8,0
2.3160947384591528e-6,-3.810837967577196e-8,-0.515
2.3758821004761463e-6,2.1735123416632973e-8,0
2.1265132862232457e-6,-2.2774386419177616e-7,0
2.4597268141082373e-6,1.0551189365659574e-7,0.04
2.8159168175333783e-6,4.617036530579766e-7,0.005
2.162934372168883e-6,-1.9126170223482396e-7,0
2.181059999284733e-6,-1.731682888300723e-7,0.065
2.857454906528257e-6,5.032376107194647e-7,0.02
2.550257413372243e-6,1.960189666361245e-7,0
2.381550765724858e-6,2.730702459818879e-8,0.005
2.2161808659907643e-6,-1.3800170320155125e-7,0
2.3705723781259417e-6,1.6379111892339538e-8,0
