MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.4338835460224137e-6,7.9619603798875e-8,0
2.061769686607007e-6,-2.9243248784782683e-7,0
2.5760206104318026e-6,2.2183403857511942e-7,0
2.4131031370803136e-6,5.8912024342716584e-8,0
2.383026806955491e-6,2.8858090062588993e-8,0
2.336557423612808e-6,-1.7594589912794945e-8,0
2.4448078011214257e-6,9.064317916973597e-8,0
2.5641674274900272e-6,2.0995036189686012e-7,0.02
2.236171368985072e-6,-1.1806346353004927e-7,0.01
1.9797358992524215e-6,-3.745391469078818e-7,0.005
2.39243256461162e-6,3.815842889554055e-8,0
2.484836768739043e-6,1.306660330735454e-7,0
2.068599226973984e-6,-2.8563805130277233e-7,0.04
2.1505339073174267e-6,-2.0370543792724848e-7,0.01
2.49910462845596e-6,1.4500650667659264e-7,0
2.6770023226152984e-6,3.228142297689862e-7,0.315
3.1833419734523603e-6,8.292179314406401e-7,0
2.2834707210262756e-6,-7.080685382021557e-8,0
2.2044813536404618e-6,-1.4971733303559275e-7,0
2.3981098207501586e-6,4.388813567901551e-8,0.04
2.5721727451181287e-6,2.1795456217110764e-7,0.02
2.4407876057597884e-6,8.661331351855761e-8,0
2.664301179711885e-6,3.1013317517758487e-7,0
2.3413563379259028e-6,-1.2834178622078696e-8,0
2.513130446172996e-6,1.5895986106850836e-7,0
2.656436125210705e-6,3.022447449502197e-7,0.22
2.387985704451924e-6,3.3774167287337066e-8,0.105
2.6971508242321515e-6,3.429673295807234e-7,-0.595
2.2758542727653733e-6,-7.835594531269141e-8,0.185
2.1332319755693114e-6,-2.209891606780312e-7,0.145
2.779550820583227e-6,4.253597078074378e-7,0.15
2.1837099982802e-6,-1.7049876619046335e-7,-0.32
2.2431290785724054e-6,-1.1111725042423082e-7,0.01
2.591360042587939e-6,2.370966384535045e-7,0
2.1662735593991654e-6,-1.8790665924028892e-7,0
2.9588442434218106e-6,6.047042956502935e-7,0
2.7436397807994595e-6,3.8941090486521725e-7,0
2.2637067588203304e-6,-9.0524286232573915e-08,0.015
1.978392045438724e-6,-3.7584419884550966e-7,0.07
2.366136662439151e-6,1.1879198864583884e-8,0
2.3159835288532475e-6,-3.8258954699887936e-8,0.005
2.3298080634715575e-6,-2.4411577387861705e-8,0.06
2.371447282094288e-6,1.7239143175196148e-8,0.21
2.090198937442427e-6,-2.6408389344423353e-7,0
2.491563373674271e-6,1.37346956856077e-7,0.045
2.1497550998678187e-6,-2.0444554914123002e-7,0
2.12627165333665e-6,-2.2790808862749313e-7,0
2.1517003457594522e-6,-2.0257808262647002e-7,0
2.2570301842389365e-6,-9.71779244590687e-8,-0.65
2.591083236335125e-6,2.3692973238009785e-7,0
2.2963698116453955e-6,-5.784313913737016e-8,0.165
2.0133879123049537e-6,-3.4089528226477485e-7,0
2.1660269086490706e-6,-1.8821198412066753e-7,0.005
2.0317921814113295e-6,-3.2235586312490127e-7,0
2.513963808060861e-6,1.597716276729999e-7,-0.435
2.3103766544638625e-6,-4.382153974580305e-8,0
2.4008610280014512e-6,4.662218951845265e-8,0.005
2.127540869713562e-6,-2.2664482966061605e-7,0
2.793852298792501e-6,4.3970102108104035e-7,0
2.398390875979781e-6,4.4195452139073054e-8,0
2.4750355361507767e-6,1.2087761867951574e-7,0
2.2703185108910415e-6,-8.390752806286539e-8,0.03
2.457259403606309e-6,1.0308563630823108e-7,0
1.9937117578294213e-6,-3.604537639922967e-7,0
2.2879490059485667e-6,-6.613944786904024e-8,0
2.28689341361898e-6,-6.727309673826287e-8,0
2.460416891699358e-6,1.0618822621044633e-7,0.015
2.3936635574810752e-6,3.942947876645064e-8,0
2.5152956035647598e-6,1.6114717368509446e-7,0
2.1733196025762494e-6,-1.8085886994423373e-7,0
2.3947642179079664e-6,4.0597998621771937e-8,0
2.3017951140671595e-6,-5.244129022641264e-8,0.01
2.3651111558942164e-6,1.093082426129044e-8,0
2.692261184948649e-6,3.380743275893661e-7,0.305
2.246448797153897e-6,-1.0775305381793831e-7,0
2.342684061650032e-6,-1.1447177709622558e-8,0
2.3891565124088693e-6,3.490623719848429e-8,0
2.2067035641172795e-6,-1.47425647473165e-7,0
2.437955382185062e-6,8.372951105062309e-8,0.025
2.46036109301424e-6,1.0621056338477875e-7,0
2.300707792285273e-6,-5.351390634400488e-8,0.055
2.31922941212783e-6,-3.4982890700918646e-8,0.125
2.3904963957243775e-6,3.6335450459001885e-8,0
2.3321516517382523e-6,-2.211368732685237e-8,0
2.6394443645399573e-6,2.852507319744957e-7,0.175
2.314195099206307e-6,-4.003048347633875e-8,0.045
2.7602642313461896e-6,4.0606895268469055e-7,0.075
2.4443599226395128e-6,9.022361236843413e-8,0
2.3347270268004985e-6,-1.947478893371546e-8,-0.505
2.3674225193586757e-6,1.3274683220432238e-8,0
2.1370624368054546e-6,-2.1719447391932433e-7,0
2.462363261827237e-6,1.0814526048008588e-7,0.03
2.8285698661722214e-6,4.743588762179396e-7,0.005
2.1609900370011006e-6,-1.932055664832788e-7,0
2.161711502353933e-6,-1.9251673871178988e-7,0.07
2.8600331913108932e-6,5.05816333979392e-7,0.02
2.5561852987461623e-6,2.019465319635927e-7,0
2.3869095413367762e-6,3.266456344741542e-8,0.005
2.2190601064171692e-6,-1.3512269420312696e-7,0
2.370228128256882e-6,1.6034442849033327e-8,0
