MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.5413656594677693e-6,1.871224470129107e-7,0
2.305608524196038e-6,-4.855214751908754e-8,0
2.745030961583603e-6,3.908393949370037e-7,0.16
2.58812244432171e-6,2.3392293944546338e-7,0.14
2.287181018769003e-6,-6.70752096709748e-8,0
2.494697353864826e-6,1.4061153450817264e-7,0
2.3853232950363116e-6,3.120405863643594e-8,0
2.473041919521011e-6,1.1884106961068674e-7,0.21
2.0116013567452617e-6,-3.426425613056727e-7,0.015
1.8470848041127297e-6,-5.071420293423223e-7,-0.325
2.309104601640523e-6,-4.511047059174711e-8,0.105
2.1606046445768256e-6,-1.9354420231654235e-7,0
2.450516448488606e-6,9.63439991713555e-8,0
2.519604966100013e-6,1.654195936684477e-7,0
2.538938959402135e-6,1.8481344940313172e-7,0
2.2697330322627895e-6,-8.447701939640062e-8,0.24
2.4581388132927836e-6,1.0391882522664542e-7,0.04
2.242935912611672e-6,-1.1127311665082296e-7,-0.585
2.4733519889570975e-6,1.19148522945145e-7,0.145
2.6544741696807027e-6,3.002666265344844e-7,0.055
2.5861193834358508e-6,2.3191408178746543e-7,0.075
2.36439468527418e-6,1.0257340625763334e-8,0
2.3421632144811905e-6,-1.1975884349757493e-8,0
2.4918055518643606e-6,1.3763580999526236e-7,0
2.715953430398528e-6,3.617883299750213e-7,0
2.5348495534659693e-6,1.8069407989984575e-7,0
2.447725540010115e-6,9.351479711872112e-8,0.09
2.6761892170657586e-6,3.2197593969995887e-7,0.035
2.2263646340036924e-6,-1.2779872706925043e-7,0
2.4113272170491915e-6,5.708853174579698e-8,0.005
2.6467078879382223e-6,2.925097584255409e-7,0.155
2.366241419201029e-6,1.2000138169820928e-8,0.005
2.5226533885963674e-6,1.6844841950636181e-7,0.105
2.9053258586281007e-6,5.511095466931293e-7,0.005
2.455938681196623e-6,1.0177134458166926e-7,0
2.6724953741945887e-6,3.183406282519785e-7,0
2.5491191388491332e-6,1.9487881971869124e-7,0.01
2.1008748768031236e-6,-2.5333984666142673e-7,-0.5
2.1747555643120737e-6,-1.7949121875637797e-7,0.01
2.329300978734691e-6,-2.486107554877659e-8,0
2.363920444575833e-6,9.637995586064818e-9,0
2.3653103966834544e-6,1.1115819718021669e-8,0
2.375626146107487e-6,2.1430216762263753e-8,0
2.1260154405560735e-6,-2.2817673007213824e-7,0
2.3824300277037213e-06,2.818343164845416e-8,0
2.484599729998887e-6,1.3041558768411842e-7,0
2.384309744903695e-6,3.0168745456249366e-8,0
2.2051569043032035e-6,-1.490423432159993e-7,0
2.282971842502007e-6,-7.126405030033478e-8,0.025
3.1926188814285435e-6,8.384590034599127e-7,0.34
2.0959437643748147e-6,-2.582793593713939e-7,0.14
2.1120632329539316e-6,-2.422022373249622e-7,0.01
2.506769067260191e-6,1.525529546902993e-7,0.035
2.4576340414852932e-6,1.0350258986713268e-7,0
2.8147505405205914e-6,4.605975802846052e-7,0
2.0949232579698566e-6,-2.592999224565462e-7,0.145
2.140627171029044e-6,-2.1364847766491834e-7,0
2.2522706996898225e-6,-1.0191638942003145e-7,0
2.7924816135466086e-6,4.382881508852021e-7,0.09
2.237501675984487e-6,-1.1666001345389532e-7,0
2.38171054140898e-6,2.756366892842088e-8,0
2.086888759396994e-6,-2.6731587164818825e-7,0
2.6934273797378633e-6,3.392551395581256e-7,0
1.954743024066382e-6,-3.993931731205436e-7,0
2.2913297506910575e-6,-6.27872854641609e-8,0
2.5159996790819165e-6,1.6178190487714516e-7,0.015
2.4597087525638524e-6,1.0549698184481038e-7,0.065
2.3943934302983305e-6,4.015394885592549e-8,0
2.597318626059789e-6,2.4320729518523266e-7,0
2.225953419637373e-6,-1.2824134924371844e-7,0
2.219649777538618e-6,-1.3456914365439498e-7,0.105
2.4817798252451145e-6,1.275901350183961e-7,0
2.2228172278980142e-6,-1.3138007476487523e-7,0
2.4889162208541743e-6,1.3474482706610225e-7,0
2.2846153044952828e-6,-6.953743582116534e-8,0
2.548004755567345e-6,1.9382976249426865e-7,0
2.2954081229007667e-6,-5.8854915133688126e-8,0
2.6618228251806655e-6,3.0765246568476015e-7,0
2.097569652422311e-6,-2.566582076307666e-7,0.06
2.647873791750628e-6,2.937427922122815e-7,0
2.3591068680451785e-6,4.8869017194030915e-9,0.04
2.43705541835489e-6,8.282471883169773e-8,0.015
2.3238725368920318e-06,-3.0276654797156685e-8,0
2.796065975457639e-6,4.418560180119435e-7,0.015
2.3716121144069155e-6,1.7427581005535765e-8,0
2.461300969902879e-6,1.0711698478771403e-7,0
2.7875348468251693e-6,4.333143867762956e-7,0
2.4131941360645138e-6,5.9037221030178165e-8,0
2.363981021092697e-6,9.783589027256845e-9,0
2.4705030908376447e-6,1.164146342963468e-7,0
1.954014323361848e-6,-4.0023839414815574e-7,0.005
2.3590691151639376e-6,4.845117584362235e-9,0.03
2.8041617235391085e-6,4.499555971609892e-7,0.03
2.1441977189649612e-6,-2.1002490853794243e-7,0.115
2.202413993768251e-6,-1.5176875823030845e-7,0
2.6088365450225754e-6,2.546486412802196e-7,-0.49
2.6780735850057997e-6,3.23877505643555e-7,0.13
2.0706621961255896e-6,-2.835481159696451e-7,0
2.2170505047844583e-6,-1.3711933448457005e-7,0
2.464173362002245e-6,1.0997496560694042e-7,0.295
