MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.0492998971723203e-6,-1.1075754731415532e-7,0.005
2.1777062896833533e-6,1.7682091659199095e-8,0.24
2.147922634874687e-6,-1.2102838569671981e-8,0.225
2.1514949111548134e-6,-8.515924707075406e-9,0
2.2423426170001787e-6,8.237295995527915e-8,0
1.991322335136722e-6,-1.687375209458164e-7,0
2.340704783551196e-6,1.806969190570884e-7,0
2.043871071969163e-6,-1.1620044065296931e-7,0
1.896236926483107e-6,-2.637526062876372e-7,0
2.253485510527259e-6,9.349700512362169e-8,0
2.3178542700813844e-6,1.5780630450101808e-7,0.01
2.4936092752202315e-6,3.335981825314249e-7,0.2
2.274354014923602e-6,1.1436542783627157e-7,0
2.1175861006928592e-6,-4.245380902545559e-8,0.03
1.8819183966646375e-6,-2.781637546789284e-7,0
2.3137701359866087e-6,1.537457815697918e-7,0.11
1.8594022202800282e-6,-3.006672987060366e-7,0
2.0780904113653275e-6,-8.188965661515279e-8,0
2.178135782408303e-6,1.8106390453631604e-8,0.1
2.287701784785882e-6,1.2769589363081923e-7,0
2.3181738320672794e-6,1.5810311148389823e-7,0
2.07819458983565e-6,-8.186802552767602e-8,0
2.236570981607389e-6,7.651998271573923e-8,0
2.111850495448441e-6,-4.818487908342384e-8,0.08
2.138869026490444e-6,-2.1141184521900058e-8,0
2.2789995120939013e-6,1.189736336687508e-7,0.09
2.0993349869177246e-6,-6.071754785508254e-8,0.005
2.022751927171086e-6,-1.3729059841427471e-7,0.055
2.3653627362565597e-6,2.053593941248044e-7,0
2.1338040301532797e-6,-2.6233304157297077e-8,0.08
2.135354327711169e-6,-2.4672674842629584e-8,0.23
2.1766379466192898e-6,1.6643878261168866e-8,0
2.7121454703172962e-6,5.521761942545167e-7,0
2.220808270706216e-6,6.082074705704433e-8,0
2.076123793618792e-6,-8.390941185543176e-8,0.155
2.2721962638337e-6,1.1217103653760053e-7,0.13
2.096871176720859e-6,-6.31099515729927e-8,0
2.439449316732016e-6,2.794693345631316e-7,0
2.3291183677755435e-6,1.691459481723001e-7,0
2.262843080949165e-6,1.0285145575716914e-7,0
2.0494623683748243e-6,-1.1058340315506232e-7,0.03
2.1940276541723227e-6,3.4038372865308196e-8,0
2.1098520299461357e-6,-5.0142313664514047e-08,0
2.384737862866284e-6,2.247016790757339e-7,0.025
1.927390769165334e-6,-2.3261294787246812e-7,0
1.973967659960428e-6,-1.860854301405368e-7,0.015
2.246515963059524e-6,8.64515204768157e-8,0
2.4484034583029585e-6,2.8840098188320785e-7,0
2.1810170632791034e-6,2.100822789452561e-8,0
2.346100132681852e-6,1.8612705030063294e-7,0
2.0842460816937323e-6,-7.575689810357389e-8,0
1.8362002960138438e-6,-3.238875471101021e-7,0
2.054945763225617e-6,-1.0512180519284264e-7,0
2.021106231832204e-6,-1.3895233504257477e-7,0.01
2.238019062358818e-6,7.796248777558467e-8,0
2.0948710124440396e-6,-6.518250512455027e-8,0.015
2.066062002595096e-6,-9.397078330530828e-8,0.14
2.2897981592628833e-6,1.297905677377642e-7,0
2.309598976301765e-6,1.496004176204657e-7,0
2.012765100451232e-6,-1.4726710660939447e-7,0.21
2.559077187008716e-6,3.990859159130888e-7,0
2.09083020879911e-6,-6.91904148880651e-8,0
2.1957469569246746e-6,3.567699543571834e-8,0
2.0966534460186174e-6,-6.341501274320649e-8,0
2.385452528553102e-6,2.2554675649544277e-7,0
2.0870443363550965e-6,-7.300134031384964e-8,0.01
2.1460909269891566e-6,-1.3884023687960045e-8,0
2.0987168243528756e-6,-6.12918059356149e-8,0
1.916021652866503e-6,-2.4401880597491045e-7,0.125
2.08918609320059e-6,-7.090114928498537e-8,0
1.9886992282063545e-06,-1.713452468005139e-7,0.035
1.889263731648863e-6,-2.7076904937362033e-7,-0.265
2.0303766664698648e-6,-1.2963476173133427e-7,0
2.384768145638247e-6,2.248286541078892e-7,0
1.8018862928229377e-6,-3.5812894241427086e-7,0
1.9657504329783443e-6,-1.9424033344650483e-7,0
2.349674440741903e-6,1.8964526593168162e-7,0.045
2.274292325834074e-6,1.142711275409214e-7,0.205
2.243176761563136e-6,8.313685663785541e-8,0.025
2.14347976211201e-6,-1.6527344676720013e-8,0
1.9627521031898646e-6,-1.9728324364531868e-7,0.21
2.0618337940721353e-6,-9.817650429289059e-8,0
2.1982229793605464e-6,3.818535249999755e-8,0.03
1.990083910828436e-6,-1.699438162861e-7,-0.325
2.123673287337456e-6,-3.631178125074186e-8,0
1.953178161771676e-6,-2.068668902321935e-7,0.06
2.0973881715529753e-6,-6.267741211929412e-8,0
2.2600872602610633e-6,1.0010193977727511e-7,0
2.1840004461828226e-6,2.3988930765161953e-8,0
1.9645172886093077e-6,-1.9555767057533035e-7,0.005
1.9933305796187374e-6,-1.6666348120863982e-7,0
2.2763485274839096e-6,1.1632071891976014e-7,0.08
2.1883409602902145e-6,2.8347515919069365e-8,0
1.940835548477578e-6,-2.191953579738781e-7,-0.415
1.9937561913826974e-6,-1.6627220237375174e-7,-0.475
2.313320479932717e-6,1.5330021880977096e-7,0.19
2.1828281728882324e-6,2.2811671697153813e-8,0
2.0628508088957306e-6,-9.718247127032952e-8,0.135
1.985792704684988e-6,-1.741908533198222e-7,0
2.063248813338972e-6,-9.676483648302092e-8,0
