MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.0065752273329504e-6,-1.1018755527503199e-7,0.235
2.2299384438961683e-6,1.1316999194321831e-7,0.02
2.1975719852132514e-6,8.084229625504591e-8,0
2.120325782540462e-6,3.541517528127258e-9,0
2.7107698134180747e-6,5.941062380393492e-7,0
2.204615302343213e-6,8.788733779740987e-8,0
1.94637060119631e-6,-1.7034694001882843e-7,0
1.9066630830895275e-6,-2.101252467884285e-7,0.005
2.0639941881331944e-6,-5.2749160843745814e-8,0
2.2264356309106174e-6,1.096928721622259e-7,0
2.116551985782719e-6,-1.9877232027010202e-10,0
1.8824516576259227e-6,-2.3431967007547793e-7,0.12
1.9169698184585705e-6,-1.9978258595843013e-7,0
2.0925624286084244e-6,-2.4235184645782228e-8,0
1.9470832329119903e-6,-1.696919887334003e-7,0.055
2.0172318476038163e-6,-9.951682561237796e-8,0
1.89734442143219e-6,-2.1947410952960488e-7,0
2.22956145250483e-6,1.1284422018975615e-7,0
2.2221501161923514e-6,1.0540144096071736e-7,-0.48
2.1705465557430713e-6,5.3772256603523696e-8,0.02
2.4464193479608208e-6,3.296753079690129e-7,0.185
2.1493869056892756e-6,3.2619884451357e-8,0.04
2.0308289597557027e-6,-8.589894216204375e-8,0
2.2628310404093716e-6,1.4605332002870509e-7,0.005
1.8395550986124524e-6,-2.7726558675444936e-7,0
2.3617992756722435e-6,2.450355587679809e-7,0.03
1.989830276388031e-6,-1.2687312711034958e-7,0
2.2468574285003006e-6,1.3010397091339775e-7,0.195
2.0545970658128162e-6,-6.218517616563001e-8,0.015
2.4338404815284453e-6,3.1711691158564646e-7,0
2.02729858950487e-6,-8.945984161345955e-8,-0.53
2.3652369087702798e-6,2.4850309402413285e-7,0
1.94383700340076e-6,-1.7289959960586908e-7,0
2.360155117129526e-6,2.4343011936323045e-7,0
2.038713915430717e-6,-7.8033194584326e-8,0
1.782880655036171e-6,-3.339077813779845e-7,0.025
2.1369351320620797e-6,2.0216898339864286e-8,0
2.0577705203114737e-6,-5.9031501761230844e-8,0.005
2.1840445591331173e-6,6.729198191723906e-8,-0.675
2.2163168737745417e-6,9.964142717699964e-8,0
2.3146809798480246e-6,1.9790415390408268e-7,0.005
1.8900912341731766e-6,-2.2668240432788256e-7,0.1
2.1069593316800365e-6,-9.830746017791547e-9,0.005
2.6560947391068718e-6,5.393587368940355e-7,0.155
1.9777381847407364e-6,-1.3904077184878628e-7,0.03
1.7903881773944101e-6,-3.2633542034143925e-7,0
2.435933113658334e-6,3.1918944430164853e-7,0.24
2.1570651945081704e-6,4.03499830448073e-8,0
1.8786092054147985e-6,-2.38170993412945e-7,0.03
2.245069818365799e-6,1.2833427649572292e-7,0
1.909437606716972e-6,-2.0731203963009204e-7,0
2.3225098707847144e-6,2.0578057162212726e-7,0
2.2392907219866888e-6,1.2255579533215767e-7,0
1.876513937575293e-6,-2.4022868319928394e-7,0
2.072083538760767e-6,-4.467943366504024e-8,0.145
1.7540848903504799e-6,-3.627009929640934e-7,0.02
1.946021640100693e-6,-1.707227986902371e-7,0
2.5438047540194625e-6,4.27055213039762e-7,0.07
2.3272184521515252e-6,2.10467814089621e-7,0.165
1.8145491374879841e-06,-3.021950432635645e-7,0
2.2532625481785132e-6,1.3646448356108288e-7,0
2.391681348051337e-6,2.7493823634483495e-7,0.33
2.3748698968114266e-6,2.5808919886294304e-7,0.005
2.158679896564076e-6,4.193632911986267e-8,0
2.140132476809119e-6,2.3407779178308276e-8,0
2.3409142265829933e-6,2.241979178890796e-7,0
2.4430266885456057e-6,3.2628360532360733e-7,0.23
2.5525724586155793e-6,4.3593014113996187e-7,0
2.255261203538637e-6,1.3850472928234046e-7,0.125
2.6565125258310087e-6,5.397887022656756e-7,0
2.037595405950467e-6,-7.915652761314451e-8,0
1.971851484401729e-6,-1.4494994378333458e-7,0.005
1.9813190102026794e-6,-1.3547861807183814e-7,0
2.122510756335116e-6,5.753526616802951e-9,0.28
1.8483604730039527e-6,-2.6840605428846145e-7,-0.5
2.0701284002677873e-6,-4.657710969357965e-8,0
2.0708724653289735e-6,-4.589798051735095e-8,0.045
2.510765068094377e-6,3.940390376094838e-7,0
1.9808707295925897e-6,-1.358684625901718e-7,0
2.3070589903282354e-6,1.90317908709825e-7,0
1.964557657681889e-6,-1.5223684012410922e-7,0.005
1.8278831913704545e-6,-2.888958917846018e-7,0.065
2.2466039739459153e-6,1.298645071284854e-7,0
2.175476368192733e-6,5.8752857894917024e-8,0
2.0110374685423695e-6,-1.0573109739508979e-7,0.06
2.179589656746959e-6,6.283311792087964e-8,0.2
2.066321376447454e-6,-5.044528938624726e-8,0.095
2.132237828220409e-6,1.547590366468565e-8,0.12
2.257072471631836e-6,1.4029895271550074e-7,0.025
1.8482107780113846e-6,-2.6855026063976605e-7,0
2.2491076353399843e-6,1.3238366196599572e-7,0
2.49300868817246e-6,3.762448319627465e-7,0.01
2.039146521651024e-6,-7.761675691386749e-8,0.175
2.202659019185374e-6,8.590666456809171e-8,0.32
2.6510512650828746e-6,5.343779631888923e-7,0
2.058231159321805e-6,-5.855067836735284e-8,0.005
1.9003774200796966e-6,-2.1642684028377879e-7,0
1.90975366786493e-6,-2.069949755861833e-7,0
2.326159531905996e-6,2.0939078107962139e-7,0.01
2.199554744464361e-6,8.2819043885074e-8,0
