MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.0662371166041193e-6,-5.053184818137879e-8,0.06
2.243678503134564e-6,1.2691151269728085e-7,0.02
2.1771363506657575e-6,6.040466200285533e-8,0
2.0828618668886294e-6,-3.3929493291617873e-8,0
2.714401226530265e-6,5.977343262936196e-7,0
2.245546698639908e-6,1.2881671947795326e-7,0
1.9340191716940218e-6,-1.827020632128029e-7,0
1.9536707572547047e-06,-1.6311862386209076e-7,0.005
2.0407059196209833e-6,-7.6041051499387e-8,0
2.264847134145021e-6,1.481092953226071e-7,0
2.119480739750577e-6,2.7310202943553464e-9,0
1.855672386467028e-6,-2.611014699599457e-7,0.105
1.9256641059654843e-6,-1.9109002783512797e-7,0
2.090079755938786e-6,-2.6715949391631354e-8,0
1.9714007327680674e-6,-1.4537772978662212e-7,0.035
1.983885176807653e-6,-1.3286079019403375e-7,0
1.87260760092339e-6,-2.4420895761601e-7,0
2.2369323936187197e-6,1.202089244317639e-7,0
2.27346372719934e-6,1.5671960649665805e-7,-0.14
2.1250604750512367e-6,8.28709604272504e-9,0.025
2.393585785103309e-6,2.768379288048406e-7,0.14
2.150709179872379e-6,3.394114293620021e-8,0.045
2.0163502158371805e-6,-1.0036993366879798e-7,0
2.275432042172961e-6,1.5865807874271275e-7,0.015
1.89178772365096e-6,-2.2503224228698215e-7,0
2.4146574624377818e-6,2.9789896649978776e-7,0.04
1.974125296381275e-6,-1.4257963673658393e-7,0
2.2691820642162085e-6,1.5242747251675848e-7,0.15
2.060120175389163e-6,-5.666042190710652e-8,0.015
2.487713167395976e-6,3.709939479779045e-7,0
2.0276470689673425e-6,-8.91132240271597e-8,-0.64
2.3953681479030664e-6,2.786337748361678e-7,0
1.9112360949361055e-6,-2.0550155293896921e-7,0
2.3710187641608263e-6,2.542901712837553e-7,0
2.0583361915771114e-6,-5.841077789336957e-8,0
1.8070092604991071e-6,-3.097734681617448e-7,0.05
2.141250806600736e-6,2.453746090036457e-8,0
2.0574919487145763e-6,-5.931188721886027e-8,0.005
2.195984411063621e-6,7.923103099771734e-8,0.26
2.198267073447355e-6,8.158629205723411e-8,0
2.342115803197826e-6,2.2533674841951346e-7,0.005
1.9384770234467183e-6,-1.782975883579674e-7,0.07
2.1205997634595642e-6,3.812911913425587e-9,0.005
2.628774786424122e-6,5.120371660716217e-7,0.155
1.9842758769632988e-6,-1.325001194579789e-7,0.045
1.7577455447470049e-6,-3.5898316297466873e-7,0
2.451266535631115e-6,3.345202947818704e-7,0.155
2.1291956724693145e-6,1.2476570135366848e-8,0
1.9467879275014178e-6,-1.699928205634027e-7,0.02
2.300986058392202e-6,1.842602988910702e-7,0
1.9595435476459407e-6,-1.5720371362992758e-7,0
2.2741944550193904e-6,1.5746682882233908e-7,0
2.159553642546286e-6,4.2816270123258174e-8,0
1.868579783134237e-6,-2.4816207362055034e-7,0
2.0623212565005166e-6,-5.444220657790932e-8,0.145
1.7283775626910776e-6,-3.8840420810593023e-7,0.1
1.984224041024512e-6,-1.3251070391573361e-7,0
2.5635484782459987e-6,4.4680470580038544e-7,0.125
2.3717072156550357e-6,2.5494992499319746e-7,0.07
1.8078067114919226e-6,-3.0894297659844747e-7,0
2.3003449880036147e-6,1.8354513986906795e-7,0
2.3889165353610292e-6,2.7216690624221053e-7,0.16
2.359490941219011e-6,2.4271407348674943e-7,0.01
2.092804561278414e-6,-2.394198342525744e-8,0
2.1195240838074503e-6,2.7938748087263934e-9,0
2.3288575495991982e-6,2.1213831476407652e-7,0
2.4712224114670068e-6,3.544822059753372e-7,0.285
2.496674686918835e-6,3.8002758831756634e-7,0
2.2303491180027212e-6,1.1359014316758564e-7,0.11
2.6969415653446834e-6,5.802195088333573e-7,0
2.032338987746697e-6,-8.440654440611262e-8,0
1.954387473586464e-6,-1.624139526712476e-7,0.005
2.008135701364587e-6,-1.0866333781889281e-7,0
2.1095513168255603e-6,-7.206500828305096e-9,0.265
1.8574064207691347e-6,-2.593574747600247e-7,0
2.08779660748959e-6,-2.891276816407995e-8,0
2.087274045426579e-6,-2.9495368423781977e-8,0.045
2.4778526411507084e-6,3.611238429085395e-7,0
1.9789666536432958e-6,-1.377720445788766e-7,0
2.272201956132782e-6,1.5545639645675457e-7,-0.42
1.977965284086894e-6,-1.3883247849177938e-7,0.005
1.8357477627275883e-6,-2.8102943865515595e-7,0.07
2.262829921070518e-6,1.4608962910056532e-7,0
2.192091359014769e-6,7.536648017225644e-8,0
2.00075316126014e-6,-1.1601428277607795e-7,0.09
2.197733083496525e-6,8.098015188806596e-8,0.325
2.0407942052176587e-6,-7.596777280571843e-8,0.2
2.128534141703537e-6,1.1770672773692148e-8,0.105
2.2955357019291334e-6,1.7876724944243528e-7,0.035
1.8656956195674872e-6,-2.510637340308319e-7,0
2.2406095785264687e-6,1.238821005905555e-7,0
2.4405372544177876e-6,3.2376891407670526e-7,0.01
2.0520861101174937e-6,-6.468053844410626e-8,0.09
2.2306962466302004e-6,1.1393509252277668e-7,0.08
2.6657845943087217e-6,5.491094750043057e-7,0
2.077643517518778e-6,-3.913716256409572e-8,0.005
1.905152489167936e-6,-2.1164745029222942e-7,0
1.9108610722098258e-6,-2.0588702609958266e-7,0
2.3430637549160857e-6,2.262941767466886e-7,0.01
2.2473520649569897e-6,1.3062666979646308e-7,0
