MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
3.892749090560471e-6,2.4910443854331275e-7,0
3.5905301716101543e-6,-5.309444207624026e-8,0.015
4.2749223045034975e-6,6.31404630106469e-7,0.195
3.6818341275940296e-6,3.8444607082799285e-8,0
4.286997779712681e-6,6.434601655624928e-7,0.075
3.4149166705584812e-6,-2.2867821352245965e-7,0.105
3.6356992970994028e-6,-7.724554836330277e-9,0
3.581538568799821e-6,-6.192763560008974e-8,0
4.219989997944706e-6,5.763559002092133e-7,0
3.6857866970916962e-6,4.21816266094055e-8,0.015
3.5090794666231637e-6,-1.3455506183313037e-7,0.02
4.06636954300161e-6,4.2278889237690186e-7,0.04
3.2054091967210967e-6,-4.382042157369259e-7,0.11
3.648025108325681e-6,4.4388197800726554e-9,0.04
3.2528413982279315e-6,-3.9081751858904836e-7,0.005
3.615747007595376e-6,-2.78129867631316e-8,-0.64
3.3143420398772728e-6,-3.293026953526956e-7,0.005
3.3885636887002866e-6,-2.5498577218729947e-7,0
3.3782879512271e-6,-2.6535376084213526e-7,0.02
3.173951198158713e-6,-4.697172803974636e-7,0.01
3.5671570478242283e-6,-7.641638087863e-8,0.185
3.878398964543524e-6,2.3482482397696458e-7,0.055
3.871927326117722e-6,2.2836768228673421e-7,0.11
3.580849300888569e-6,-6.274302210063087e-8,0.06
3.6740406967209103e-6,3.0436431813218866e-8,0.04
3.7450460751887927e-6,1.0154995857103443e-7,0
3.5592788139591493e-6,-8.431233922689962e-8,0.07
3.106442442346869e-6,-5.369790106446448e-7,0
3.6827741701051268e-6,3.916105950074744e-8,0.035
3.4909960852597268e-6,-1.524216235848641e-7,0
3.896164696217335e-6,2.526931535579147e-7,0
3.839064367041653e-6,1.9537451717899223e-7,0
4.2539277064629174e-6,6.103669642321119e-7,0.035
3.0306650455621662e-6,-6.129287169759357e-7,0
3.7704085507013253e-6,1.2691412968168781e-7,0
4.051194677457864e-6,4.0756297222055426e-7,0.01
3.673417280358788e-6,2.996052110570968e-8,0
3.983235706604931e-6,3.396869320293483e-7,0.145
4.200855019722626e-6,5.572548615073725e-7,0.015
3.4481244169226295e-6,-1.9539099880228062e-7,0
4.407892283007116e-6,7.644521020339079e-7,0
3.937335119349144e-6,2.9374769587697805e-7,0.035
3.831920625581825e-6,1.8834752866681014e-7,0.07
3.2430474858853577e-6,-4.0043479355544865e-7,0
3.895514260774421e-6,2.518838928666778e-7,0.005
3.5567909963058343e-6,-8.682722928810004e-8,0.035
3.875411763840971e-6,2.3181918640369226e-7,0.03
3.7265139976358288e-6,8.293579320806099e-8,0.095
3.7242312546849027e-6,8.082493808458935e-8,0
3.5508114525273902e-6,-9.254296689076291e-8,0
3.697584605981559e-6,5.406075060165882e-8,0
3.961501807634778e-6,3.1812295533784064e-7,0
3.3234823541057713e-6,-3.202276006214477e-7,0.005
3.878662940473461e-6,2.352245788628249e-7,0
3.1851124639722035e-6,-4.58506887838217e-7,0.08
3.5124973929537884e-6,-1.312197282654637e-7,0
3.39791369706217e-6,-2.4549360493397734e-7,0
3.6988548649510423e-6,5.52667321124245e-8,0.055
2.9002525682911285e-6,-7.434279817120082e-7,0.02
3.588830116720556e-6,-5.469512309563829e-8,0
4.39789639862548e-6,7.545410812592745e-7,0
3.92814149069233e-6,2.846070798828704e-7,0.315
4.261645459776704e-6,6.181198393884202e-7,0.15
3.445702099648296e-6,-1.9779587970891744e-7,0
3.6885317466917596e-6,4.4905079092938393e-8,0.025
3.80856629303554e-6,1.6531006064912645e-7,0
3.919529760579906e-6,2.759046557260225e-7,0.01
3.6916941568624398e-6,4.8174506001030794e-8,0
3.694521775271571e-6,5.095747599159761e-8,0.21
3.6742557959785276e-6,3.068824683150062e-8,0.165
3.453387572395538e-6,-1.902183698454518e-7,0.08
3.1494130830146956e-6,-4.941277917858145e-7,0
4.2399462301468595e-6,5.96416070294814e-7,0.13
3.2739807676198317e-6,-3.694108988661071e-7,0
4.450721688822781e-6,8.071234498274738e-7,0.005
4.074623321808307e-6,4.3106641768098085e-7,0.075
3.7457051582374634e-6,1.0216696940290592e-7,-0.265
3.3627190936342834e-6,-2.80820376700186e-7,0
3.8316871871387096e-6,1.880117012875715e-7,0.005
3.4532923117605714e-6,-1.9039679966192935e-7,0
3.3422450326257967e-6,-3.0133647532459837e-7,-0.68
3.502436963079305e-6,-1.4115301032791017e-7,0.115
4.104735523070651e-6,4.6125693781040586e-7,0
3.637568099611545e-6,-6.018495663506762e-9,0.095
3.5307861116174424e-6,-1.1290780452477555e-7,0
3.7888512566529625e-6,1.4527343799641822e-7,0.055
3.6542341007095893e-6,1.0710478884901064e-8,0
3.3765098118329297e-6,-2.6717482381699573e-7,0
3.706119559822014e-6,6.263915717563684e-8,0
3.150093240406536e-6,-4.93315485832202e-7,0
4.103152960920005e-6,4.5962712779124005e-7,0.22
3.956713720505762e-6,3.132108207859474e-7,0
3.532699799270032e-6,-1.1080535893270848e-7,0
3.5190250234568806e-6,-1.246211629690741e-7,0.015
3.861720663364878e-6,2.1824676674664367e-7,0
3.370426970770502e-6,-2.730674817591483e-7,0
3.4988918363419355e-6,-1.44762612578897e-7,0.005
3.589163379428572e-6,-5.451849062199088e-8,0
3.659443941473937e-6,1.5936190173593267e-8,0
3.7970451015961937e-6,1.533519819840734e-7,0
