MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
5.484501548171493e-6,-8.010445446060554e-7,-0.665
7.491287123420248e-6,1.2066433652879737e-6,0
6.541487900545704e-6,2.5613227855381117e-7,0
6.7826866311659555e-6,4.973318890677536e-7,-0.635
7.286903540072739e-6,1.001615347936413e-6,-0.625
5.035932854486705e-6,-1.2496207533735372e-6,0
5.936576170574489e-6,-3.491267111399576e-7,0.01
5.940785668842097e-6,-3.4470901528083075e-7,0.215
5.735490085820401e-6,-5.502183873273836e-7,0
7.733698512906423e-6,1.4486049922024513e-6,0
7.115992836565647e-6,8.305543357972622e-7,0.05
6.3294844034532655e-6,4.44930659887488e-8,0
6.760727189875526e-6,4.7543885898060355e-7,0
6.384044945844697e-6,9.816804701912041e-8,0
8.842927148449336e-6,2.557830994897037e-6,0.275
6.376409908347438e-6,9.112653482468146e-8,0
6.842790196600955e-6,5.576534544121658e-7,0
5.162978153641946e-6,-1.122743117759617e-6,0.025
6.214309388435551e-6,-7.130416117051564e-8,0.035
6.206563505195175e-6,-7.914333912784067e-8,0.01
5.841884706530755e-6,-4.4375663236395636e-7,0.025
6.471192026820975e-6,1.8579292224818466e-7,-0.605
5.933190704530664e-6,-3.519790589773253e-7,0
6.1397295876234685e-6,-1.4582262545193015e-7,0.07
6.20392681371647e-6,-8.156015404658934e-8,0.155
6.356193652592858e-6,7.09154564970671e-8,0
7.4823069114808095e-6,1.1972501790497026e-6,0
6.1408555817267065e-6,-1.4470098241459172e-7,0.07
5.3977988323344774e-6,-8.878405978335336e-7,0.05
5.854590158623887e-6,-4.3102123672700275e-07,0.02
6.932544000651704e-6,6.469893521904302e-7,0.02
8.01248493527714e-6,1.7274774818287763e-6,0
6.302933134557519e-6,1.7273206313062062e-8,0.005
6.149538104895306e-6,-1.3538295802029144e-7,0
5.133861927059691e-6,-1.1514926992839403e-6,0
6.5117994164274235e-6,2.263612163488915e-7,0.175
7.219687739302404e-6,9.343461715194401e-7,0.18
5.878979975184795e-6,-4.062150120992536e-7,0
7.470781243632447e-6,1.1853916523463237e-6,0.065
7.337010910621256e-6,1.051902879742883e-6,0
7.0997573122589155e-6,8.143828718631952e-7,0.135
6.641069449023033e-6,3.556707990909347e-7,0.25
6.853296050163396e-6,5.680592510243221e-7,0
6.022465862920564e-6,-2.6282651762077334e-7,0
6.751912212562991e-6,4.666377462403393e-7,0
6.884101693296836e-6,5.985461505947364e-7,0.015
6.693747464908675e-6,4.081103986586232e-7,0.005
5.347044434287525e-6,-9.385246762799726e-7,-0.72
5.528185791741533e-6,-7.574669664039968e-7,0.05
6.846002261828453e-6,5.611756136941759e-7,0
7.57171259989588e-6,1.2864338402795995e-6,0.245
7.266576857054354e-6,9.811243668611525e-7,0.04
6.104786054204438e-6,-1.8078478978389433e-7,0.055
5.128288396575996e-6,-1.1571263692150557e-6,0
6.474076902885894e-6,1.8846321168053405e-7,0.015
5.90117571477921e-6,-3.839808937666778e-7,0
6.735366953323124e-6,4.5002778933933563e-7,-0.405
6.471398174498518e-6,1.8557730335100332e-7,0
6.89632695969261e-6,6.107799704135885e-7,0.02
5.353028233598969e-6,-9.326930296504887e-7,0.02
7.519929350505233e-6,1.2348593034777756e-6,0
6.831168507226664e-6,5.461619736851775e-7,0
6.025658411146722e-6,-2.599460280383603e-7,0.045
6.039799784282879e-6,-2.46094698932442e-7,0
7.0461963069497665e-6,7.604777412295594e-7,0
5.849635027340583e-6,-4.359847223006641e-7,0.05
6.72683873272786e-6,4.415411724112417e-7,0
5.896561198505412e-6,-3.892976490971201e-7,0
6.546689222901422e-6,2.6115415009075884e-7,0.035
5.89868084230756e-6,-3.86751399670815e-7,0
6.031547477519615e-6,-2.5396764670448935e-7,0.13
6.343231749662512e-6,5.798795690237224e-8,0
6.364645293795641e-6,7.958066663538155e-8,0
5.5703619357839075e-6,-7.151870886118461e-7,0.25
5.638502326813384e-6,-6.472417212360914e-7,0.005
7.19478980169374e-6,9.096193381008532e-7,0
5.946406657837602e-6,-3.394206371698516e-7,0
6.2363161444850424e-6,-4.874519294206792e-8,0
6.441902059891575e-6,1.5668747682828778e-7,0
6.712928420188056e-6,4.27529929596937e-7,0.2
5.984634083557191e-6,-3.005912532805244e-7,0
6.401774091746738e-6,1.1624697022816211e-7,0.04
6.483076578491583e-6,1.9780454576290297e-7,0
5.8187902952167525e-6,-4.663496518170218e-7,0
6.086218790585662e-6,-1.9878884978619116e-7,0
6.019578112262825e-6,-2.6575927307592727e-7,0
6.7058876015958104e-6,4.209842835550814e-7,0
6.93762183198406e-6,6.525979250188163e-7,0
7.499639399316057e-6,1.2142961879058056e-6,0.095
5.775327539380005e-6,-5.104884354933947e-7,0
6.498765570536753e-6,2.1369955143013543e-7,0
6.2179816259571466e-6,-6.783910972640861e-8,0
5.453272911107033e-6,-8.3259014761361e-7,0
5.6002232876151006e-6,-6.854096139707888e-7,0.08
5.393847396050797e-6,-8.915901554740202e-7,0
5.868588558318558e-6,-4.1690876353916993e-7,0.245
7.135591688472286e-6,8.504115680718627e-7,0
7.347476627266392e-6,1.0619877034445669e-6,0.025
5.1050796501847744e-6,-1.1805300160450115e-6,0.215
6.09671236435482e-6,-1.886730605110687e-7,0
