MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
4.9820797651646135e-6,-1.3042807297092285e-6,0.05
5.766693624413878e-6,-5.189768750030188e-7,0
6.247263821052191e-6,-3.8845354655148157e-8,0.165
7.048435401138729e-6,7.627150184474907e-7,0
6.9988151531879e-6,7.133610474946427e-7,0
5.689555010745501e-6,-5.963976954564965e-7,0
6.590587689749857e-6,3.046625477742815e-7,0
5.796088627338622e-6,-4.90263660381518e-7,0.01
6.261620676029042e-6,-2.4864309136063408e-8,0
7.940987101926182e-6,1.655322264402792e-6,0
7.083326933496941e-6,7.970286215558398e-7,0.005
5.331946995138198e-6,-9.5388941932395e-7,0
6.613133667067713e-6,3.271990796277491e-7,0
6.930991038686605e-6,6.446187221731403e-7,0
7.979121164599015e-6,1.6934304628468677e-6,0
6.106686114359117e-6,-1.794226098839058e-7,0.215
6.6152308106757954e-6,3.2939663071329674e-7,0
5.417679284784579e-6,-8.68726221739946e-7,0
6.999285206984122e-6,7.132431267636852e-7,0.095
7.0553247513683735e-6,7.69180080046894e-7,0.025
7.193257927743502e-6,9.071930595772049e-7,0.055
5.811162612217582e-6,-4.7466548928398743e-7,0
6.5960369895312975e-6,3.1009599706699474e-7,0
6.881847720586018e-6,5.958072048484197e-7,0.12
6.29641226775854e-6,1.0035319094603423e-8,0
5.739602501647378e-6,-5.464275350830495e-7,0
7.5720827175973376e-6,1.2868048595060523e-6,0
5.194990404390235e-6,-1.0909691740079719e-6,0
5.812985084285151e-6,-4.732295140774667e-7,0.045
6.325422585092964e-6,3.9429093300902276e-8,0
6.231856162192607e-6,-5.445483677313234e-8,0.015
6.7295023750653794e-6,4.43576711469662e-7,0
5.904377765217334e-6,-3.8196212275909413e-7,0.015
6.261346899978248e-6,-2.4407368047763e-8,0
6.230703042524833e-6,-5.474330972921049e-8,0
7.373385955680323e-6,1.0872827412899967e-6,0.02
6.491887794410266e-6,2.05411192872873e-7,0
5.2545060063492675e-6,-1.031121654985201e-6,0
6.340332871632255e-6,5.423811215043983e-8,0.195
6.8720133250985535e-6,5.864585989501236e-7,0
6.941670558014631e-6,6.554653398510579e-7,0.01
5.723205339389157e-6,-5.629094469494778e-7,-0.38
6.387956922863066e-6,1.0172200085312166e-7,0.03
6.222110459181433e-6,-6.412697613755735e-8,0.02
5.912701498275029e-6,-3.733505542097282e-7,0
6.47086458177277e-6,1.8494859431783528e-7,0
5.893733768810992e-6,-3.9249778347849596e-7,0.065
5.923961492430362e-6,-3.618567605068179e-7,0
6.0702419473860706e-6,-2.1581721440067092e-7,-0.145
6.546168670559078e-6,2.6035458053907947e-7,0
6.009950808030937e-6,-2.762084849317059e-7,0.115
6.090059663237633e-6,-1.9631792650853796e-7,0
6.183447974706685e-6,-1.0231325700493787e-7,0
6.549119698726124e-6,2.631310080797311e-7,0
6.739671318042972e-6,4.5389124507966283e-07,0
5.540566469635617e-6,-7.454821131458455e-7,0
6.609898022066959e-6,3.2365680309176524e-7,0.015
5.95755394583195e-6,-3.287947834534899e-7,0.01
6.6648824608750255e-6,3.787959483519954e-7,0.085
6.786933005384239e-6,5.016472635688274e-7,0
6.808790521467694e-6,5.232517637093759e-7,0
5.7673834661978135e-6,-5.18965552726014e-7,0
6.706305484040541e-6,4.204763118198507e-7,0
6.2980471147117865e-6,1.1536938185896517e-8,0
6.5897644352777945e-6,3.034437212195984e-7,0.005
6.173578924914176e-6,-1.1251600297690345e-7,0.25
4.97945213919775e-6,-1.3065468941686476e-6,0
6.4605347411946405e-6,1.7462732657735903e-7,0
8.25404968302606e-6,1.9680380775155546e-6,0.015
6.0692092315065574e-6,-2.1704080796991488e-7,0.03
5.590859649720043e-6,-6.95470105756546e-7,0.01
5.7755825016550124e-06,-5.107827155614863e-7,0.005
6.987148169642282e-6,7.015021964151824e-7,0
5.970392257511689e-6,-3.159592297946601e-7,0.005
5.871331770591139e-6,-4.1505215698012246e-7,0
6.545782965291421e-6,2.5975063366434626e-7,0.285
6.158510685734393e-6,-1.278752779865222e-7,0
6.785593645994144e-6,5.001960243250502e-7,0
4.7948535378301685e-6,-1.491688004391367e-6,0
5.939776048548383e-6,-3.4632599049622125e-7,-0.57
6.839971409595103e-6,5.545025889214239e-7,0
6.337966994484991e-6,5.161637409545339e-8,0.005
6.714772121358369e-6,4.2931358890219154e-7,0
5.678166121806209e-6,-6.076773229074517e-7,0
6.438889782748973e-6,1.5336361900486484e-7,0
5.531385739870522e-6,-7.545822556592751e-7,0
5.822270889868529e-6,-4.638934150247298e-7,0.17
6.570394522603052e-6,2.8431426561836835e-7,0.135
7.526595086431311e-6,1.2408355939858008e-6,0
5.0950246743735515e-6,-1.1916017761026687e-6,0.005
7.276073924618627e-6,9.906006113558075e-7,0
6.281717306186056e-6,-4.124918244752251e-9,0
6.676392979284021e-6,3.901521005200692e-7,0.005
5.9301609402791445e-6,-3.555303671709531e-7,0
6.223813592557368e-6,-6.233861895299508e-8,0.09
6.194890341928859e-6,-9.108890794196079e-8,0
5.509954623438055e-6,-7.759618511171684e-7,0
7.308901406199759e-6,1.0227810168994545e-6,0.01
6.236967885184725e-6,-4.889726382295567e-8,0
6.138624261530405e-6,-1.4734523820836287e-7,0
