MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
5.174284797115694e-6,-1.1075626752116153e-6,0
7.603042896305278e-6,1.3218920661633992e-6,0
6.189630336024912e-6,-9.192557998527473e-8,0
7.133797624154756e-6,8.521636447023084e-7,0
6.882205486603284e-6,6.004181064306335e-7,0.215
5.173119852905509e-6,-1.1088266261816137e-6,0
5.407454323312816e-6,-8.746602010545335e-7,0.025
5.912334576116642e-6,-3.6956722752778945e-7,0.245
5.810594303587953e-6,-4.7157370477668434e-7,0
7.351995641379502e-6,1.0702629468872793e-6,0.18
7.141126967723442e-6,8.594983207510509e-7,0
6.163643947144728e-6,-1.1790081856644097e-7,0
6.81189304184313e-6,5.301592103812425e-7,-0.345
6.1611039988202e-6,-1.2127707337827865e-7,0
9.093136872242562e-6,2.811732672971523e-6,-0.31
6.319173903331967e-6,3.730551007219418e-8,0.17
6.770520432619631e-6,4.888733901226017e-7,0
4.9397391140993855e-6,-1.3425278718404153e-6,0.01
5.720463458160597e-6,-5.613394305181707e-7,0
6.3423330659330265e-6,6.04231597561844e-8,0.095
5.934990575510768e-6,-3.472108575708344e-7,0
6.139905960569651e-6,-1.417338088682829e-7,0
5.9246938732856164e-6,-3.570019310372707e-7,0
5.960056862779724e-6,-3.220319302582597e-7,0.02
6.134553376792971e-6,-1.4747994801445064e-7,0.01
6.212843098017308e-6,-6.869240433693413e-8,0
6.680876299585729e-6,3.9948250208088344e-7,0
6.072915650330606e-6,-2.0879206383550565e-7,0
5.48703290284345e-6,-7.950030327352753e-7,0.055
5.9202113432030345e-6,-3.617016728862943e-7,0.215
6.530878675779609e-6,2.4882063653364204e-7,0
7.911770048738283e-6,1.630457872503488e-6,0
6.6092857195487104e-6,3.271594195547456e-7,0.005
6.255737476553828e-6,-2.5342025439245575e-8,0
5.389300779336063e-6,-8.92389503157065e-7,0
6.00774651686614e-6,-2.740435872278235e-7,0
7.505639220347724e-6,1.2239160847582475e-6,0.155
6.1651138982093085e-6,-1.1675623024565151e-7,0.265
7.195843862907147e-6,9.141763504477707e-7,0
7.466716376531272e-6,1.185078369150827e-6,-0.305
7.30609332090555e-6,1.0243090964184854e-6,0.105
6.671406258149526e-6,3.896691024646293e-7,0
6.639501339267094e-6,3.577126019221888e-7,-0.72
5.450108222857327e-6,-8.31475756690736e-7,0
6.8495173605313434e-6,5.678098144545896e-7,0
6.947916555608948e-6,6.661343198821613e-7,0.195
6.8333874970676885e-6,5.515623415547344e-7,0.115
5.754408750569949e-6,-5.276706041384971e-7,0.01
4.843211481285233e-6,-1.438825653010678e-6,-0.67
6.972636910801709e-6,6.913970437538718e-7,0
7.0575566090243476e-6,7.758444199251757e-7,-0.52
7.1274070612711385e-6,8.455102981019813e-7,0.025
6.5658800444700365e-6,2.8393219800915135e-7,0.045
5.555084676362431e-6,-7.267071363797895e-7,0
6.73419699495386e-6,4.522128338552145e-7,0.01
5.731230521722277e-6,-5.505125634824859e-7,0
6.414394869343679e-6,1.326847485599858e-7,0
6.589232216625867e-6,3.071416835592755e-7,0.01
6.848387599798885e-6,5.665097626622595e-7,0.06
5.326308259013997e-6,-9.559327211344782e-7,0.005
7.540590547919391e-6,1.2590041842192035e-6,0
6.79814043469761e-6,5.168259438775857e-7,0
5.859843146117395e-6,-4.2218852429720675e-7,0.035
6.116727717126962e-6,-1.657459936343919e-7,0
6.8680534464467136e-06,5.857793685470902e-7,0
6.115267155080864e-6,-1.6659259864937327e-7,-0.665
7.031976554797639e-6,7.502703689565848e-7,-0.39
5.603201149815238e-6,-6.790746616175402e-7,0.005
6.149060917326875e-6,-1.330630481249928e-7,0.005
5.976991202420207e-6,-3.0470039481422797e-7,0
5.96145423705409e-6,-3.204967766290423e-7,0.085
6.335110792104519e-6,5.340198241110539e-8,0
5.810394459943592e-6,-4.709040455358471e-7,0
5.989749658964768e-6,-2.9215485092215497e-7,0.21
5.573333876019429e-6,-7.088139611299837e-7,0.005
7.511310059707966e-6,1.229766182898051e-6,0
5.699445517554583e-6,-5.827103205496842e-7,0.005
6.121220500030881e-6,-1.6045350737070585e-7,0
6.2043242199165565e-6,-7.735761548055553e-8,0
6.5851063327112234e-6,3.034069390311922e-7,0
6.367420743118023e-6,8.584344831585878e-8,0
6.6089801302484876e-06,3.26956378691734e-7,0.005
5.986253136095045e-6,-2.9543268027787395e-7,0
6.242041868286342e-6,-3.928614666692809e-8,0
5.896162084127306e-6,-3.8521986632511496e-7,0
6.443592435255239e-6,1.6182146098608908e-7,0
6.933178291742716e-6,6.520292066064525e-7,0
6.6090907683975536e-6,3.2760809341725317e-7,0
6.838765773638212e-6,5.568423344048945e-7,0.03
5.573953410462816e-6,-7.084368349941083e-7,0
6.18895948538757e-6,-9.263147204896516e-8,0
6.324513553495627e-6,4.226113172522972e-8,0
5.953614389883045e-6,-3.286328849383402e-7,0
5.787833149232746e-6,-4.941295658422717e-7,0.12
4.906269939407254e-6,-1.3752776899361718e-6,0
5.49383272341806e-6,-7.882490449429014e-7,0.045
6.672881706682126e-6,3.9123621432379796e-7,0
6.95456732178622e-6,6.728019722584966e-7,0.23
5.494229339877256e-6,-7.878152580831354e-7,0.045
6.151838538099316e-6,-1.2982426511376488e-7,0
