MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
5.0884445308122045e-6,-1.1938187492427366e-6,0.2
5.857277301888388e-6,-4.2434568973181983e-7,0
6.0447520956197805e-6,-2.3736049166278582e-7,0.3
7.033625990344392e-6,7.518897535890856e-7,0
6.371005365940156e-6,8.966456669257105e-8,0
5.610346710064608e-6,-6.714686696696059e-7,0
6.711896487041062e-6,4.298064666830026e-7,0.1
5.66947005502445e-6,-6.128475536598677e-7,0.025
6.3800611137506635e-6,9.762441713023762e-8,0
7.796625365776986e-6,1.5147951507227252e-6,-0.35
6.6574754787260195e-6,3.753769502556903e-7,0.095
4.901730731691695e-6,-1.3802376427379803e-6,0
6.4790110992627766e-6,1.9711423884682944e-7,0
6.846369253302325e-6,5.639986167516042e-7,0.005
8.159836421784282e-6,1.878231042579115e-6,0
6.747589072485598e-6,4.655095528399711e-7,0.1
5.850827475240857e-6,-4.3110256295886276e-7,0
5.393463285153538e-6,-8.890747213885497e-7,0
6.973246044024601e-6,6.91220809524995e-7,0.17
6.946127361380007e-6,6.640365076410193e-7,0.07
7.772480967138168e-6,1.490398657327252e-6,0.025
5.923555697158857e-6,-3.5830734008257536e-7,0
6.5807371874312235e-6,2.9871100536926766e-07,-0.595
6.899538211762012e-6,6.175267451385969e-7,0.24
6.315056172697524e-6,3.2578564229668315e-8,0
5.777938019220981e-6,-5.042983680575431e-7,0.07
6.549326015649621e-6,2.681054885395051e-7,0
5.411835461969255e-6,-8.697151048969731e-7,0
6.18924861012938e-6,-9.292073039512961e-8,0.075
6.1547478997712116e-6,-1.272817797798309e-7,0
5.873529875821362e-6,-4.087986948347888e-7,0.01
6.7423633912647206e-6,4.6048563011880097e-7,0
6.2497042110144646e-6,-3.26446342835407e-8,0.015
6.462116252569994e-6,1.8056306909430832e-7,0
6.269047430658998e-6,-1.2463674582408046e-8,0
7.009947139930693e-6,7.279021429218435e-7,0.125
6.495084184130491e-6,2.1255429100475176e-7,0
4.997803381326598e-6,-1.2840643906630867e-6,0
6.0808644010953704e-6,-2.0115965443878726e-7,0
6.414266750838763e-6,1.3257149110212918e-7,0
7.2968594987826786e-6,1.0147634387847048e-6,0.035
6.1857140295298546e-6,-9.615461297796113e-8,0
6.414493474688784e-6,1.3216071860833178e-7,0.015
5.864272786953742e-6,-4.1811500480215537e-7,0.005
5.794507293467429e-6,-4.875516325741902e-7,0
6.2977325863341495e-6,1.6130619515108967e-8,0
6.0345651543850335e-6,-2.475725953654528e-7,0.155
6.309045625478629e-6,2.698497252873189e-8,-0.595
5.5592799766003495e-6,-7.228798287822746e-7,-0.505
6.246885753773118e-6,-3.496393444879509e-8,0
5.711653383174992e-6,-5.706275577294084e-7,0.025
6.09785269541787e-6,-1.8455249574222953e-7,0
6.0920294228970025e-6,-1.8982664353572875e-7,0
6.7475720883714595e-6,4.655429920730203e-7,0.225
6.576806412633791e-6,2.950048568961527e-7,0
5.641040213275252e-6,-6.412843218372987e-7,0.015
6.1101293011598745e-06,-1.7222423862151004e-7,0.005
6.18336960182766e-6,-9.902054517396675e-8,0.01
6.903327349940139e-6,6.213181055336747e-7,0.25
6.372246346468721e-6,9.058080238988353e-8,0
6.281829582858205e-6,1.3204580595616077e-10,0
5.5829153112061624e-06,-6.99502626855808e-7,0.005
6.724166604024882e-6,4.422326264741372e-7,0
6.338524369182907e-6,5.6052940808903885e-8,0
6.6406827011028125e-6,3.582650927169695e-7,0
6.224100366829276e-6,-5.7909115273591105e-8,0
5.049503863281475e-6,-1.2324495818105686e-6,0
5.683194145885134e-6,-5.988127932576859e-7,0
7.924592278744326e-6,1.6425132915803831e-6,0.005
6.4033919382115284e-06,1.2123579383793714e-7,0.075
5.842021031031726e-6,-4.402817056559094e-7,0.02
5.892519044166327e-6,-3.8977175598364776e-7,0.025
6.744970219376837e-6,4.6311335387683173e-7,0
6.673490940446173e-6,3.9121262326413664e-7,0.015
6.164985945712206e-6,-1.172308347263673e-7,0.04
6.628066728475389e-6,3.46059217822825e-7,-0.505
6.194519541839088e-6,-8.778186700308943e-8,0.015
6.628587124203601e-6,3.469486963553203e-7,0
4.350970754524479e-6,-1.931654176673403e-6,0.005
6.150598144229997e-6,-1.3154758507882836e-7,0.15
6.645432732002973e-6,3.636050495520182e-7,0
6.428115835062262e-6,1.4574276497536508e-7,0
6.215404072841691e-6,-6.636626226241838e-8,0
5.9540598608672745e-6,-3.2783262756908014e-7,0
6.177861766821922e-6,-1.036002879073461e-7,0
6.2474205202202815e-6,-3.4604582890840343e-8,0
6.2242303130447824e-6,-5.78383499572066e-8,-0.51
6.071893059688188e-6,-2.1009834590357545e-7,0
6.820496569661668e-6,5.385155334886038e-7,-0.465
4.880185359938853e-6,-1.402413688744164e-6,0.005
6.728919046821843e-6,4.47142718708049e-7,0
6.102742628879636e-6,-1.7933058225949595e-7,-0.38
6.630724403438794e-6,3.4843285641350527e-7,0.005
5.913365289004446e-6,-3.683006323224047e-7,0
5.854653944437444e-6,-4.2731467755408036e-7,0
5.873144781224298e-6,-4.0899667964500177e-7,0.265
5.657974882584468e-6,-6.240245100447294e-7,0
6.814738869942502e-6,5.325201641065424e-7,0.005
6.481805797977347e-6,1.9985298047531242e-7,0
6.116707578952445e-6,-1.6525006837631028e-7,0
