MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
5.120625073041379e-6,-1.1612379388714622e-6,0.06
5.713773307190002e-6,-5.673523484728271e-7,0
6.181013344148541e-6,-1.0072151668705231e-7,0.04
7.047350204924095e-6,7.659792317687985e-7,0
7.07428701842668e-6,7.930983267234736e-7,0
5.714572099214721e-6,-5.670101015808893e-7,0
6.201961497258185e-6,-7.965643252894062e-8,0.33
5.212619946041753e-6,-1.0691357499353904e-6,-0.73
6.466828609084014e-6,1.847805352206411e-7,0
7.686368036243893e-6,1.4050404040288899e-6,0
6.910497901300034e-6,6.286694726337361e-7,0.01
5.05657636784047e-6,-1.2245595517135221e-6,0
7.072073983640886e-6,7.907217344083062e-7,0
6.662926581827497e-6,3.8094416133338526e-7,0
7.956618311401343e-6,1.6753890071768972e-6,0
5.872843255062914e-6,-4.088493617737665e-7,0.16
7.049561032389462e-6,7.682366000899554e-7,0
5.688299071806712e-6,-5.937356809027072e-7,0
6.64822549895381e-6,3.666267787855171e-7,0.145
6.655805062939424e-6,3.7402250245066603e-7,0.005
7.3887415523976685e-6,1.1070496718701417e-6,0.015
5.6640802227013485e-6,-6.173334266507124e-7,0
6.889379490877098e-6,6.081321111095495e-7,0
7.358121009907441e-6,1.0765863278300314e-6,0.095
6.151122331225834e-6,-1.3096879662000126e-7,0
5.809865899589769e-6,-4.7171557274072737e-7,0
7.009088891298062e-6,7.283596973639561e-7,0
5.082369633747673e-6,-1.1990813738188555e-6,0
6.265394133178704e-6,-1.6259758953141023e-8,0.14
5.845776059944939e-6,-4.3582019598975563e-7,0
6.10413959499802e-6,-1.7787527985535513e-7,0
6.526108242966341e-6,2.447964471463671e-7,0
6.200011266820256e-6,-8.17838144218097e-8,0.035
6.099148626397286e-6,-1.822862173572748e-7,0
6.004848689046361e-6,-2.761373333026729e-7,0
6.786665556675177e-6,5.050461893579828e-7,0.075
6.6037311900981904e-6,3.217192518922829e-7,0
5.158847467206893e-6,-1.1224131655745984e-6,0
6.122780903857699e-6,-1.5889795855761336e-7,0.125
6.950870761737364e-6,6.699482372946042e-7,0
7.236286390361164e-6,9.544837522618143e-7,0.005
5.859051876584282e-6,-4.225103609656333e-7,0
6.755998676153838e-6,4.7441817436877366e-7,0.13
6.447544271146607e-6,1.6571566268441807e-7,0.005
5.573356739677308e-6,-7.084215067959532e-7,0.07
6.8262947504628925e-6,5.450593474176646e-7,0
5.95890640496628e-6,-3.2298878105185836e-7,0.01
6.089394654092289e-6,-1.9207066164372843e-7,0
6.005529987594573e-6,-2.761468155781932e-7,0.155
6.7151919394487125e-6,4.339746815967827e-7,0
6.419515092021125e-6,1.377850626999022e-7,0.015
6.118383603593577e-6,-1.633238411430371e-7,0.075
6.2011536399261535e-6,-8.039719090635611e-8,0
6.000144902187829e-6,-2.8133793315843203e-7,0
6.832486347149196e-6,5.511556118903416e-7,0
5.86318720233653e-6,-4.185456018784839e-7,0.075
6.5075917284139186e-6,2.2575093711285632e-7,0.01
6.413426810992716e-6,1.316083481883723e-7,0.01
6.752402705915695e-6,4.7081264304582594e-7,0.135
6.878034281134425e-6,5.969575397035686e-7,0
6.531682832671827e-6,2.5038515569952847e-7,0
6.109460685543806e-6,-1.72356022183906e-7,0.005
6.54658631141235e-6,2.6525015477174564e-7,0
6.583546076840667e-6,3.0168465162683236e-7,0
6.8768495456311865e-6,5.949244794145602e-7,0
6.0368297026183805e-6,-2.447381235337609e-7,0
5.30753959001791e-6,-9.74041884276855e-7,0
5.898560290358848e-6,-3.830957889117137e-7,-0.65
8.058627095450315e-6,1.777081671778258e-6,0.025
6.676306054515591e-6,3.946586608033487e-7,0.095
5.558368119190149e-6,-7.235004922090393e-7,0.01
5.929105076309321e-6,-3.526351424415486e-7,0.055
6.6535061021457534e-6,3.7255965261717706e-7,0
6.232716303666813e-6,-4.922545340957374e-8,0.005
5.958485307249265e-6,-3.2335925489512806e-7,0.02
6.540107030549915e-6,2.585568109420011e-7,-0.53
6.029407376133953e-6,-2.525991612423173e-7,0
6.826262985075451e-6,5.45335091804433e-7,0
4.552368045390714e-6,-1.7297539670202421e-6,0
5.910362469699235e-6,-3.7133490438101546e-7,0.14
6.446937949656455e-6,1.6569443029967877e-7,0
5.998005673841296e-6,-2.839308921398498e-7,0
7.1002282867891735e-6,8.191340288404846e-7,0
5.954671563905273e-6,-3.265764626170231e-7,0
6.167309116976814e-6,-1.1380470525290676e-7,0
5.493898412342584e-6,-7.877399392858253e-7,0
6.1855721106337835e-6,-9.613888761639266e-8,0.045
6.247973931493252e-6,-3.3655822055389526e-8,0.25
7.352405060712651e-6,1.0710785512152432e-6,0
5.391679652859006e-6,-8.904925089747717e-7,0
6.67075217403321e-6,3.8942815266340693e-7,0
6.068008398194243e-6,-2.1326946124056168e-7,0
6.394590411926157e-6,1.1275209945205144e-7,0.005
6.033035359468854e-6,-2.483863078689419e-7,0
6.135103933861845e-6,-1.4657942051077288e-7,0.1
5.904343311998729e-6,-3.7716921901798093e-7,0
5.758316506153041e-6,-5.229770084541618e-7,0
7.250927215425451e-6,9.693655311121541e-7,0.095
6.2848477413362964e-6,3.492768330670692e-9,0
5.994077657148054e-6,-2.87361728845692e-7,0
