MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
5.10936001482176e-6,-1.172554974729345e-6,0.015
5.664203852474347e-6,-6.169794536958762e-7,0
6.150054797921997e-6,-1.316178751559205e-7,0.135
7.1114494010276185e-6,8.303119616470677e-7,0
7.0774054663005725e-6,7.963782305475675e-7,0
5.676508483180544e-6,-6.049936022262115e-7,0
6.6074749330658325e-6,3.2594650384465405e-7,-0.355
5.62508009328039e-6,-6.567807005586346e-7,0.02
6.255743594728282e-6,-2.624947443630177e-8,0
8.08879662587586e-6,1.8075949306667338e-6,0
7.029146584655999e-6,7.473131014312795e-7,0
5.219113340700323e-6,-1.0622448714259214e-6,0
6.607018879215723e-6,3.2553727442874436e-7,0
6.84616169049197e-6,5.642383726012223e-7,0
7.926522922955666e-6,1.6452919339837724e-6,0
6.2076869393629765e-6,-7.39602154792296e-8,0.16
6.4204138840253775e-6,1.38966964579601e-7,0
5.3882283221399616e-6,-8.937513203666203e-7,0
6.959684853214196e-6,6.780741881640129e-7,0.065
7.03452143911108e-6,7.528516524624162e-7,0.03
7.239926353404042e-6,9.58373995922912e-7,0.08
5.833401550929545e-6,-4.480294321390632e-7,0
6.749968227042161e-6,4.684996367476657e-7,0
6.848069724063621e-6,5.664689749623752e-7,0.08
6.40350965729987e-6,1.2156311474775804e-7,0
5.713979373129193e-6,-5.675811040450895e-7,0
7.4938444579462035e-6,1.2130909857915873e-6,0
5.3002221930595015e-6,-9.812811651477293e-7,0
5.873557731777179e-6,-4.082025588242333e-7,0.04
6.39522963827233e-6,1.1374992102075599e-7,0
6.207726335611764e-6,-7.413600196792824e-8,0.01
6.606326103217786e-6,3.248144440370915e-7,0
5.876439132249132e-6,-4.054356234373113e-7,0.015
6.203230558727634e-6,-7.811876929941786e-8,0
6.129170738360061e-6,-1.5184362224474056e-7,0
7.136851252034298e-6,8.551658035638177e-7,0.01
6.628381307093046e-6,3.4638274341691756e-7,0
5.315325943096118e-6,-9.658207369744877e-7,0
6.205314592256541e-6,-7.6289562770393e-8,-0.57
6.732085867036487e-6,4.510489488906977e-7,0
6.811744425303644e-6,5.299496162791684e-7,0.005
5.778712083101692e-6,-5.028434123360848e-7,0
6.49745319209358e-6,2.157492695625818e-7,0.055
6.189995189629542e-6,-9.183395066891808e-8,0.01
5.842027769351859e-6,-4.395466098933154e-7,0
6.455461802420079e-6,1.740552496820591e-7,0
5.793635632766256e-6,-4.881751732732642e-7,0.03
5.947079440472401e-6,-3.342816574480878e-7,0
5.903064925569765e-6,-3.785484760759905e-7,0
6.588695182808806e-6,3.072729830150278e-7,0
6.17441151415946e-6,-1.0726567873486913e-7,0.125
6.115214495407924e-6,-1.6669123946377872e-7,0
6.319185217214913e-6,3.794357526010206e-8,0
6.579360626806667e-6,2.978854615576232e-7,0
6.8214524419197384e-6,5.401640536623065e-7,0
5.551996299060698e-6,-7.295194454082221e-7,0
6.556263469153678e-6,2.7449191405071184e-7,0.015
6.115200654238075e-6,-1.666556200879965e-7,0.015
6.6902025247144225e-6,4.085801778042075e-7,0.09
6.7911954925579055e-6,5.103474922285578e-7,0
6.6889468366888755e-6,4.078229988585536e-7,0
5.766289157453941e-6,-5.156491226299132e-7,0
6.654431433701203e-6,3.731063171041882e-7,0
6.31195039489729e-6,2.997977126328877e-8,0
6.741833499089143e-6,4.59942117735368e-7,0
6.0165516026698045e-6,-2.6509608204994264e-7,0.26
5.016947057927932e-6,-1.2644849907328392e-6,0
6.255525945618547e-6,-2.5994371107285197e-8,0
8.134440700379735e-6,1.852890828907272e-6,0.015
5.97683841161375e-6,-3.0499519647897435e-7,0.02
5.558974530988913e-6,-7.228793314156822e-7,0.025
5.758604859610859e-6,-5.232968741641919e-7,0.005
6.806743723211377e-6,5.255723779357124e-7,0
6.002588754995936e-6,-2.7927104489788855e-7,0.01
5.86259038614981e-6,-4.192858098989172e-7,0.015
6.6271323125347115e-6,3.456108194344054e-7,-0.315
6.215752052307973e-6,-6.617603672820494e-8,0
6.834965081478846e-6,5.540676160487035e-7,0
4.774230590353192e-6,-1.5078819145908362e-6,0
5.9428549656445085e-6,-3.388567022072353e-7,0.12
6.689930242868372e-6,4.0883704092942173e-7,0
6.315350843480263e-6,3.345922315212135e-8,0.005
6.725172373615782e-6,4.442390738829127e-7,0
5.714963980319804e-6,-5.663928054572276e-7,0
6.3538629672846195e-6,7.283194512042179e-8,0
5.437052474690949e-6,-8.444913547173139e-7,0
5.798082864349539e-6,-4.836327905471949e-7,0.14
6.537897733108864e-6,2.5627503527358985e-7,0.14
7.45641504807546e-6,1.175094124663545e-6,0
5.101201898359454e-6,-1.1809889557945485e-6,0.005
7.221419819239062e-6,9.403166248911354e-7,0
6.223462882398199e-6,-5.788410596119231e-8,0
6.7852848681451355e-6,5.035393429919655e-7,0.005
6.072734222189251e-6,-2.0853073641580178e-7,0
6.19032632742418e-6,-9.13494014370686e-8,0.105
6.142214142075574e-6,-1.393215751621657e-7,0
5.495687177188018e-6,-7.85737743876913e-7,0
7.20225031003105e-6,9.205957322172554e-7,0.02
6.2232302400939635e-6,-5.8259492643486513e-08,0
5.954968971101134e-6,-3.26592285380678e-7,0
