MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.1802420902031243e-6,2.714066357323297e-8,0
2.315749840757893e-6,1.6265967402673277e-7,0
2.395019850954542e-6,2.419900961453392e-7,0
2.3935114405328113e-6,2.4045403506922635e-7,0.045
2.21307596648205e-6,6.003545232557972e-8,0
1.9199451152005565e-6,-2.3304389991929408e-7,0
1.9136512946992593e-6,-2.394104514336082e-7,-0.63
2.0165446626645974e-6,-1.365637982242429e-7,0
2.3490066734001513e-6,1.9600123734031528e-7,0
1.9182269377046678e-6,-2.3486440400954933e-7,0
2.032658465134638e-6,-1.2039757430304388e-7,-0.585
1.9765733174228316e-6,-1.7651427898113247e-7,0.005
1.8328619119266903e-6,-3.202426354020904e-7,0
2.0558355766192715e-6,-9.722391623945281e-8,0.21
2.4619908045073003e-6,3.09081681291179e-7,0
1.964088980786415e-6,-1.889046823660978e-7,0
2.065394922649451e-6,-8.767246771845816e-8,0.065
2.041830833221864e-6,-1.1121595504037796e-7,0
2.3334412815489588e-6,1.8040407080310849e-7,0
2.2370876400559586e-6,8.409013938059928e-8,0
2.1505062809752664e-6,-2.5170751921654853e-9,0
2.1705849149573405e-6,1.7557447307692265e-8,0
2.1031762988840227e-6,-4.9886901259954544e-8,0.06
2.0871180362013834e-6,-6.594887508759583e-8,0.065
2.073708767054688e-6,-7.93302304863408e-8,0
2.0307059204044317e-6,-1.22324562447651e-7,0
2.0766052644599696e-6,-7.644766359893307e-8,-0.5
2.2759095820839968e-6,1.2293332149915237e-7,0
1.9560338686357016e-6,-1.9700091636654093e-7,0
2.0749005543307214e-6,-7.813053517824464e-8,0
2.1636324983753214e-6,1.0550024498456878e-8,0
2.27138138339128e-6,1.1839988595829799e-7,0
1.5919560313794147e-6,-5.611450450387912e-7,0.005
2.477579809206825e-6,3.2451090816398854e-7,0.01
1.9744508317203227e-6,-1.7859608441139764e-7,0
2.394299516978889e-6,2.412520101541249e-7,0.115
1.8591125330488765e-6,-2.9397162122357655e-7,0.025
2.0215115755157675e-6,-1.315737916707249e-7,0
1.9109274642528003e-6,-2.4217891657185577e-7,0
2.07310627037289e-6,-7.992417919655547e-8,0
2.2592062479594874e-6,1.061704738763991e-7,0
2.4537644324282165e-6,3.007591090098405e-7,0
2.221214816522089e-6,6.815098495371874e-8,0.025
1.940317622841944e-6,-2.1273384152920018e-7,0
2.242390635353917e-6,8.934060487353346e-8,0.2
2.0120849111933037e-6,-1.4097874183216508e-7,0.13
2.4326836773530298e-6,2.7961302814516474e-7,0.01
2.1738962618344223e-6,2.0815898935655496e-8,0.01
2.2864938596860877e-6,1.334695147875431e-7,0
2.5025973448987935e-6,3.495686963367328e-7,0
2.1524268805431887e-6,-5.780095435614644e-10,0
1.7863545086939918e-6,-3.6674591096796936e-7,0
2.109591158236296e-6,-4.341998511125933e-8,0
2.0331263773682505e-6,-1.1996885115106438e-7,0
2.2243666142720298e-6,7.13572861449352e-8,0
1.9377339101013078e-6,-2.1531622667048113e-7,0
2.053263654228787e-6,-9.97860709095466e-8,0
2.659136326183618e-6,5.061176864978867e-7,0
2.2382216777330166e-6,8.517577502031859e-8,-0.55
1.882982977190861e-6,-2.701026076357138e-7,0.02
2.0701596699328906e-6,-8.291634385371172e-8,0.025
2.157845721107415e-6,4.778248310355337e-9,0.04
1.8882310801606608e-6,-2.6482853261733386e-7,0
1.9276934270209287e-6,-2.2531213973719932e-7,0
2.173153725754715e-6,2.0138499609578806e-8,0
2.3095659397585757e-6,1.5648634658083082e-7,0
1.7877740467096236e-6,-3.6531268420680884e-7,0.025
1.7540521243019783e-6,-3.9902071729103204e-7,0.175
2.074678766297074e-6,-7.835042483916866e-8,0
2.168154932335442e-6,1.5103202194444167e-8,0.275
2.61189523956319e-6,4.588155921247949e-7,0.005
2.7248966799992497e-6,5.718997714626584e-7,0
2.1018540623098444e-6,-5.121400365959428e-8,0.045
2.177091852763078e-6,2.4063340348656758e-8,0
1.998853388044062e-6,-1.542269367349469e-7,0.02
1.8953673176205438e-6,-2.577437656503534e-7,0
1.82919652808205e-6,-3.2387295855473843e-7,0.2
2.1234535004884275e-6,-2.9602518079596684e-8,0.23
1.7822750171242324e-6,-3.708451355555198e-7,0
2.0506439630925606e-6,-1.023510123393523e-7,0
2.089168542377618e-6,-6.386351656451072e-8,0
2.006577286486666e-6,-1.4648594871602416e-7,0.165
2.3522417424797045e-6,1.9919865135831216e-7,0.275
2.1932041390989393e-6,4.013285860859916e-8,0.02
1.948110324471474e-6,-2.049684922261763e-7,0.02
2.1146428948393914e-6,-3.8359830077383527e-8,0
2.1390594946014554e-6,-1.3977378567897603e-8,0
1.908105143595119e-6,-2.4498318110022233e-7,0.015
2.4483378700699936e-6,2.952815194795511e-7,0.035
2.2605713482673522e-6,1.0749016106870179e-7,0
1.7661542886453117e-6,-3.869263950179169e-7,0.05
2.169518724184536e-6,1.6519756711463885e-8,0
2.3963672841148466e-6,2.4331741820704523e-7,0.105
2.1750122866742876e-6,2.193405610029231e-8,0.015
2.1663397146194273e-6,1.3349833501430374e-8,0
2.1575636424406472e-6,4.497815568882402e-9,0.035
1.8636341399366724e-6,-2.894227115807224e-7,0
2.1700211862908694e-6,1.6969178010528552e-8,0.26
2.1279269625246304e-6,-2.5116836716021494e-8,0
1.952300255954843e-6,-2.007184937680151e-7,0
