MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.187792758089252e-6,3.4698937018129425e-8,0
2.149864534453663e-6,-3.226986641235996e-9,0
2.487291261811881e-6,3.342736577238714e-7,0
2.402865692929362e-6,2.4982174131438217e-7,0.11
2.2230445489697053e-6,6.99992712455133e-8,0.225
1.9779311631582484e-6,-1.750393372745851e-7,0
1.846425718310964e-6,-3.0664328773077896e-7,0.105
2.1405865264325458e-6,-1.2510482818584023e-8,0
2.2905082322531e-6,1.3752820739898475e-7,0
1.9717763650348122e-6,-1.8129201935890294e-7,0.025
2.0671647632116567e-6,-8.588851125312935e-8,0.18
1.959441276863274e-6,-1.9364934210064354e-7,0
1.8256440033945818e-6,-3.2744190718914104e-7,0.01
2.0096132878253902e-6,-1.434464532901192e-7,0.115
2.4222715034603126e-6,2.6934960664914965e-7,0
1.959575889685637e-6,-1.9343007406635858e-7,0
2.0485305129709696e-6,-1.0452139780958714e-7,-0.655
2.009123866374936e-6,-1.4391615335007658e-7,0
2.3338412838198118e-6,1.8079523579905833e-7,0.125
2.1056063041557425e-6,-4.739566261957595e-8,0
2.1184025102131333e-6,-3.461232306822826e-8,0
2.202564613089996e-6,4.954046994853911e-8,0
2.0501870216475013e-6,-1.0288335047736741e-7,0.02
2.1308690733192905e-6,-2.220400426800051e-8,0.01
1.9871520379618175e-6,-1.6588174045539807e-7,0
2.0504327173056873e-6,-1.0260145109741714e-7,0
2.0536127917327445e-6,-9.944612295920141e-8,0.08
2.422734381157489e-6,2.6975629895342745e-7,0
1.9699434156256757e-6,-1.8310310502478443e-7,0
2.1834592829210253e-6,3.04396062072998e-8,0
1.975810221053241e-6,-1.7728593119326063e-7,0
2.204133983760645e-6,5.115579113368351e-8,0
1.6142918664858425e-6,-5.388025431385391e-7,0.005
2.525332476427202e-6,3.7226699129977446e-7,0.015
1.9930278957521804e-6,-1.6001103231688686e-7,0
2.491267598650278e-6,3.3822660073568044e-7,0.075
1.8283163325442927e-6,-3.247536183281774e-7,0.085
1.9288291659321283e-6,-2.2425219805666253e-7,0.01
1.8154648785244685e-6,-3.3763009048337623e-7,0
2.07369389693641e-6,-7.932395022280936e-8,0
2.367143069604215e-6,2.1411236015678182e-7,0
2.447823309927587e-6,2.948153163340184e-7,0
2.2168152269708608e-6,6.375819864345988e-8,0.045
1.982264487920765e-6,-1.7078213771726246e-7,0
2.2630021397816196e-6,1.0994650647910831e-7,0.05
2.0624045581874778e-6,-9.066084958764265e-8,0.03
2.3491695700693235e-6,1.9608834757101068e-7,0.005
2.1869791333215765e-6,3.3897098037916074e-8,0.005
2.214720190375413e-6,6.169090478014282e-8,0
2.4861160278956256e-6,3.3310013309473253e-07,0
2.132467509189569e-6,-2.0549506623557257e-8,0
1.8584943844904889e-6,-2.9459260873054837e-7,0.005
2.144945836924506e-6,-8.085148041625524e-9,0
2.044610361681163e-6,-1.0848099745497385e-7,0
2.1868175796319237e-6,3.381293413262654e-8,0
1.9767872589205813e-6,-1.7625548768218647e-7,0
1.991530671229226e-6,-1.6152593673990357e-7,0.26
2.6051530004420748e-06,4.5213058857518363e-7,-0.48
2.2267509054002787e-6,7.36974199067042e-8,0.09
2.023378635406525e-6,-1.296872584366504e-7,0.055
2.0677958679854825e-6,-8.527762630050616e-8,0.015
2.0490766011613946e-6,-1.0399051878495768e-7,0.03
1.8284971801574366e-6,-3.2455772401907004e-7,0
1.940882137925529e-6,-2.1211955917366244e-7,0
2.1274548505064e-6,-2.5581580257449942e-8,0
2.366321003774378e-6,2.1324069880646056e-7,0
1.908573027392598e-6,-2.445028612996225e-7,0.035
1.776351881936738e-6,-3.767184445568894e-7,0.105
2.1005300549083323e-6,-5.2502979096535895e-8,0
2.1522030892663097e-6,-8.398736733861153e-10,-0.19
2.693887554772192e-6,5.408254069777519e-7,0.01
2.6885230295379334e-6,5.355247396404694e-7,0
2.0400968668394613e-6,-1.129782564585069e-7,0.025
2.221579223962406e-6,6.855283810447421e-8,0
1.957703038851104e-6,-1.953666800036391e-7,0.05
1.8860505042087386e-6,-2.6705635296497833e-7,0
1.8750059905853652e-6,-2.7806675012231883e-7,0.04
2.1029786315846273e-6,-5.0091750896652524e-8,0.015
1.8271331897741346e-6,-3.2597819645485694e-7,0.005
2.0913946405275262e-6,-6.160965633661419e-8,0
2.1076224014883736e-6,-4.5408165832427904e-8,0
1.992202295761965e-6,-1.608614425580024e-7,0.06
2.338971342100008e-6,1.8593817116718815e-7,0
2.1531038320299766e-6,3.419642846669286e-11,0.01
1.8887778739700479e-6,-2.6430544364464126e-7,0.005
2.1109136674767556e-6,-4.207835537173299e-8,0
2.218025834013375e-6,6.49993862605891e-8,0
1.9110514457389864e-6,-2.420198413033425e-7,0.045
2.372476126672539e-6,2.194221934415097e-7,0.035
2.172589966377829e-6,1.950385897786511e-8,0
1.804750252545108e-6,-3.483309763607778e-7,0.02
2.2175332314148305e-6,6.452985531146815e-8,0
2.3285765180056147e-6,1.755369642603144e-7,0.26
2.1466693087245246e-6,-6.402141554673335e-9,0.02
2.2239128505855228e-6,7.093796054069568e-8,0
2.244366192126188e-6,9.13093951421251e-8,0.03
1.9191065368895603e-6,-2.3393900133783509e-7,0
2.3722583277535458e-6,2.1922326833234695e-7,-0.62
2.2537064215097627e-6,1.0065393393765554e-7,0.08
2.0034913760412357e-6,-1.4952271381596383e-7,0
