MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.1864785840417507e-6,3.33847929478992e-8,0
2.276394305348555e-6,1.233048832927075e-7,0
2.4901227769608404e-6,3.371008894004213e-7,0
2.389129169742278e-6,2.360995711619962e-7,0
2.1890240129427926e-6,3.598019233219674e-8,-0.595
2.024476889001106e-6,-1.2848133120135774e-7,0
1.8407716590392244e-6,-3.1230038358143197e-7,0.05
2.0399142166007264e-6,-1.1319192026459924e-7,0
2.2535697229643787e-6,1.0057344455083327e-7,0
2.0566799526272515e-6,-9.638987994997628e-8,0.015
2.111198506907178e-6,-4.1848166272839826e-8,-0.5
1.870180138588875e-6,-2.8290999922131465e-7,0.005
1.7972388323645759e-6,-3.558575342665904e-7,0
1.947923278874283e-6,-2.0513510692710123e-7,0.315
2.5124996162155847e-6,3.595878197582003e-7,0
2.018412743742072e-6,-1.3458107736785685e-7,0
2.06503415896661e-6,-8.800899304217679e-8,0
1.9682102967998906e-6,-1.848258914022294e-7,0
2.2640896663309515e-6,1.1104064048195195e-7,0.12
2.117318353168389e-6,-3.567930491166216e-8,0
2.1844863371546562e-6,3.147115398338673e-8,0
2.1463372752086012e-6,-6.690397750253041e-9,0
2.0391552447562714e-6,-1.1390754624140964e-7,0.065
2.129916400856428e-6,-2.3152150979699472e-8,0.02
2.028739838506732e-6,-1.2429909784839045e-7,0
2.019315005694501e-6,-1.3372719155746449e-7,0
2.0880004793206116e-6,-6.505816687985e-8,0.085
2.348164446609156e-6,1.9518313497446373e-07,0
1.9948367202872727e-6,-1.5820861968718346e-7,0
2.1846662015486107e-6,3.1658085660191126e-8,0
2.084081142714122e-6,-6.900716076674307e-8,0
2.174065740678042e-6,2.1086836393124918e-8,0
1.6471418071395023e-6,-5.059487717989919e-7,0.01
2.5547342076712837e-6,4.0167090031240084e-7,0.015
1.9397562700207405e-6,-2.1330403025043854e-7,0.2
2.475675122377818e-6,3.22626034191531e-7,0.03
1.8229867340698045e-6,-3.300945075096484e-7,0.025
1.917973264662265e-6,-2.3510377349600376e-7,0.02
1.8455417727480335e-6,-3.075542747210669e-7,0
2.02197870366233e-6,-1.310533499548905e-7,0
2.3438604500801878e-6,1.9083199514990933e-7,0
2.497394524398831e-6,3.443953204829153e-7,0
2.378292862683228e-6,2.2525055431654728e-7,0.13
1.927908546620859e-6,-2.2514237799531322e-7,0
2.2832134795242557e-6,1.3015640959568309e-7,0.05
1.980106482450377e-6,-1.729706384101526e-7,0.015
2.300112295211463e-6,1.470311285761694e-7,0.005
2.3144030842578038e-6,1.613271188455334e-7,0.005
2.283523736389506e-6,1.3049622979599552e-7,0
2.5142630375932075e-6,3.612542025677179e-7,0
2.148150176812167e-6,-4.845345058512862e-9,0
1.8866741920135327e-6,-2.664159114795783e-7,0
2.154954263238828e-6,1.9125085376492376e-9,0
2.0983442119862134e-6,-5.473778593056977e-8,0
2.1067336878661327e-6,-4.626441620914079e-8,0
2.005452583872936e-6,-1.4759006940534558e-7,0
2.0644082039935894e-6,-8.865276700520397e-8,0.075
2.59463066590232e-6,4.416108063726165e-7,0
2.2384326544532894e-6,8.53788806853828e-8,0.065
2.0236893829262034e-6,-1.2939021535318673e-7,0.01
2.1323784479319704e-6,-2.0692972284019894e-8,0.015
2.0776835749752555e-6,-7.538541892226913e-8,0.02
1.8487989924404134e-6,-3.0424688750307904e-7,0
1.9646760721123462e-6,-1.8832792818834764e-7,0
2.171398824036628e-6,1.8370056623084887e-8,0
2.310143692699522e-6,1.5706162256656775e-7,0
1.9103353946642873e-6,-2.427391945236668e-7,0.05
1.8326260544472746e-6,-3.204546421758936e-7,0.03
2.168243110452686e-6,1.5221998897474442e-8,0
2.0938147911339533e-6,-5.923050146627862e-8,0
2.6451121550540064e-6,4.920460196128351e-7,0.005
2.6414595185318003e-6,4.884695590828825e-7,0
2.0716806462588235e-6,-8.138822192305107e-8,0.035
2.1101251132628575e-6,-4.290646724025571e-8,0
1.9543303927302277e-6,-1.9874194540470126e-7,0.04
1.9213044479524007e-6,-2.317989600597592e-7,0
1.8495147888350293e-6,-3.0355236961987497e-7,0.145
2.042415349319656e-6,-1.10658043305234e-7,0.015
1.7460962066490651e-6,-4.0702866265118763e-7,0
2.0940998063676105e-6,-5.889156356408964e-8,0
2.042191732909887e-6,-1.1082687987995499e-7,0
1.9479128200280643e-6,-2.0514830638640458e-7,0.17
2.3154096003440377e-6,1.6237120494810853e-7,-0.63
2.0759553698726467e-6,-7.711640669816334e-8,0.01
1.9310743760607338e-6,-2.2200215795686873e-7,0.015
2.1464574964519722e-6,-6.536693197278787e-9,0
2.347094650367986e-6,1.9408078246796467e-7,0
1.8190796768655504e-6,-3.3399314154192173e-7,0.055
2.5097658212744875e-6,3.567201820153798e-7,0.05
2.1289114293782725e-6,-2.4178520950934866e-8,0
1.7565343409744069e-6,-3.965487689966407e-7,0.025
2.2190206668497533e-6,6.604538009824523e-8,0
2.262448971830154e-6,1.0939088676886754e-7,0.035
2.1546150065471876e-6,1.5501374722726168e-9,0.03
2.163240781465342e-6,1.0272657873233726e-8,0
2.260524563094963e-6,1.0746641227910026e-7,0.015
1.860409180105088e-6,-2.9264883102064766e-7,-0.315
2.3281527867718796e-6,1.751109572717402e-7,0.2
2.275618301391097e-6,1.225714243702214e-7,0.14
2.04783135727202e-6,-1.0518327528852289e-7,0
