MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.1399041307975188e-6,-2.516948725050927e-8,0.05
2.3171686236273742e-6,1.521109335561599e-7,0.155
2.0328788617577243e-6,-1.3215254688059287e-7,0
2.1272013587862886e-6,-3.789157231315343e-8,0
2.571380940023083e-6,4.0629014149251573e-7,0
2.3409647922071744e-6,1.7590691473057253e-7,0.145
2.268876527666085e-6,1.0384318284373251e-7,0
2.149539525191749e-6,-1.5506063530956737e-8,0
2.418655492032606e-6,2.5360969347965057e-7,-0.645
2.0433832186495274e-6,-1.2170499336161546e-7,0.01
1.8280472997097942e-6,-3.370303443500644e-7,0.235
2.094982611030982e-6,-7.009862594942184e-8,0.02
1.9350394821995842e-6,-2.3004986694885598e-7,0.01
2.036098700326663e-6,-1.2896239921567077e-7,0
2.5153548798957128e-6,3.503021661988015e-7,0.105
2.0144779397784445e-6,-1.5056565804028034e-7,0
2.077130798549347e-6,-8.795645889181358e-8,0.015
2.0779788839093263e-6,-8.706111726042298e-8,0
2.250407750800345e-6,8.530509654880446e-8,0
2.303441696065457e-6,1.3836997659666394e-7,0.035
2.5761433369539127e-6,4.110744089458329e-7,0.02
1.912559892661382e-6,-2.5250187654368704e-7,0
2.280929135589519e-6,1.1587718392547242e-7,-0.495
2.207178725869871e-6,4.21272200606948e-8,0
1.9346326192028825e-6,-2.304233172939485e-7,0
2.1932116056828565e-6,2.8154558113779872e-8,-0.615
2.5496373838897076e-6,3.8461341891227186e-7,0
1.8807557153021445e-6,-2.843525188278573e-7,0
1.9581850938535053e-6,-2.068774202024226e-7,0
2.1056069690351044e-6,-5.940359096623382e-8,0
1.9002754872659353e-6,-2.647830124830053e-7,0
2.3117824022401177e-6,1.467320904852132e-7,-0.48
1.965994820249021e-6,-1.9901424786139543e-7,0
1.8953032594575352e-6,-2.697117477346023e-7,0
2.2732001221129653e-6,1.0816079425934878e-7,0
2.2761728214287243e-6,1.1107742970639656e-7,0
2.062106093974379e-6,-1.0299234061816875e-7,0
2.263093096759778e-6,9.799957009337668e-8,0
2.1820793969437315e-6,1.6987085269537516e-8,0.005
2.32036715426571e-6,1.5532029323694907e-7,0
2.1642185462154302e-6,-8.353351754752936e-10,0
2.1249819221450246e-6,-4.006928976119095e-8,0
2.3119148397913206e-6,1.4683889646149862e-7,0.02
2.4716308544114e-6,3.0657187546301314e-7,0.045
2.367746638238439e-6,2.0265263244390042e-7,0
2.0567834721828195e-6,-1.0827919500300264e-7,-0.52
2.1858366097965697e-6,2.080543383686795e-8,0
2.3382315616734292e-6,1.7321563710870346e-7,0
2.3288463098868018e-6,1.638309754758982e-7,0
2.626732381940513e-6,4.616993279327186e-7,-0.34
2.3988813657286254e-6,2.3385242441442688e-7,0
2.489385789455086e-6,3.243449783890684e-7,-0.435
2.0887554196610664e-6,-7.623989030258738e-8,0
2.6498740335668835e-6,4.847864478907393e-7,0
2.1322365591075277e-6,-3.2810844364794537e-08,0
2.124583454201307e-6,-4.0463703244175695e-8,0
1.819362296635606e-6,-3.457088827213406e-7,0
2.4379665518265865e-6,2.7289577255673605e-7,0.015
2.1067071434282207e-6,-5.837087692084353e-8,0.04
1.8695385860368528e-6,-2.955545867910914e-7,0.01
2.2476969484920787e-6,8.267985386001265e-8,0
2.3218356222031217e-6,1.5675744357623866e-7,0.015
2.2762027055589468e-6,1.1115637989334015e-7,0
2.0037026415344817e-6,-1.6136194666116488e-7,-0.41
2.379989118425742e-6,2.1497272505499598e-7,0
2.0212346279052925e-6,-1.437743908000444e-7,0
2.4179802721535078e-6,2.529523381766818e-7,0
2.3497325621071246e-6,1.8467612586114955e-7,0.155
2.1439412174749977e-6,-2.111236345914147e-8,0
2.1552565348792554e-6,-9.79767607323101e-9,0
2.4293125256389993e-6,2.642700813038079e-7,-0.21
2.194529621666319e-6,2.943628717555491e-8,0
2.1201911831376216e-6,-4.489751629643823e-8,0.015
1.8629475352800259e-6,-3.0215761604779345e-7,0
1.909834444579282e-6,-2.5526542899667605e-07,0
2.1332863296999506e-6,-3.178411362880773e-8,0.09
2.497084774262041e-6,3.320831164249638e-7,0
2.2662553109447756e-6,1.0117267191855906e-7,0.005
1.88320054166999e-6,-2.8184494742844455e-7,0
2.2444105323380845e-6,7.941022352075944e-8,0
2.388351949274188e-6,2.2330384490898413e-7,-0.625
2.236776843288053e-6,7.175940311632267e-8,0
2.5795988362171664e-6,4.145920889248034e-7,0
2.1362661584253347e-6,-2.8781244938436147e-8,0
2.203610443566614e-6,3.85416953313511e-8,0.07
2.1848854279338807e-6,1.982617640727824e-8,0.29
2.3777398197844595e-6,2.1267579910444478e-7,0.04
2.685078896971125e-6,5.200702839597282e-7,0
2.005853141682759e-6,-1.5923778080129124e-7,0.02
2.2155311242303786e-6,5.047529378632287e-8,-0.59
2.273078513938194e-6,1.080001357867122e-7,0.015
2.161741786065867e-6,-3.262002133408437e-9,0
2.202040803914289e-6,3.695515140511585e-8,0.02
2.4472221079936195e-6,2.8218150745829005e-7,0
2.0172381714100482e-6,-1.4783940143481277e-7,0.065
2.299107044474143e-6,1.3402797307437986e-7,0.015
2.2845374032562856e-6,1.1948931203042967e-7,0
2.085777241779337e-6,-7.924445047047257e-8,0
2.456808062917663e-6,2.9173629305823123e-7,0.015
2.4508425116504726e-6,2.8579209556567343e-7,0.165
