MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.2641566981738113e-6,1.1108161264594685e-7,0.01
2.425409732468671e-6,2.7233609229848634e-7,0.015
2.66036446490959e-6,5.07320752554663e-7,0.06
2.318175838252127e-6,1.6516166841784585e-7,0
2.3164373048510366e-6,1.633816092305729e-7,0.135
1.9066990662713352e-6,-2.4634770922404845e-7,0
2.1083488680371958e-6,-4.472696625401618e-8,0.02
2.188885317712857e-6,3.578684246718922e-8,0
2.1495873913338346e-6,-3.4410328741962813e-9,0
2.3183672419704725e-6,1.6534544561463972e-7,0
2.0609678746014586e-6,-9.210500133693955e-8,0.035
1.7968689093544942e-6,-3.5620678685732707e-7,0.205
2.034718472211545e-6,-1.1833004854744367e-7,0
1.964963625407258e-6,-1.8811210525659928e-7,0.06
2.246725422462395e-6,9.372078688119068e-8,0
2.162725064404864e-6,9.724040111458443e-9,0
2.065430629123534e-6,-8.76560314605479e-8,0.01
2.0414668000193544e-6,-1.1162157280364404e-7,0.015
2.459129199287065e-6,3.0608372513507567e-7,0.19
2.347489212487201e-6,1.9447030689456745e-7,0
2.2060173630504596e-6,5.2975272264998986e-8,0
1.7687687112777525e-6,-3.843286206550722e-7,0.005
2.2590091463983725e-6,1.059796327135265e-7,0
2.1005994529285768e-6,-5.24823661457452e-8,0.01
2.124840399841701e-6,-2.8193477210058936e-8,0
1.9263504051467924e-6,-2.2666497342560542e-7,0
1.993472174830995e-6,-1.5959465107850958e-7,0.19
2.1962596088483336e-6,4.3208438290087694e-8,-0.46
2.308652917391607e-6,1.5561467285318819e-7,0
2.183341707855787e-6,3.027734119531722e-8,0.095
2.0628689921632003e-6,-9.020769456358213e-8,0.02
2.1313632697782895e-6,-2.1709264399483175e-8,0.03
1.8259926755928277e-6,-3.2706716703578833e-7,0
2.047779774279665e-6,-1.0530957028298538e-7,0.01
2.254817074480726e-6,1.0173658585355127e-7,0.01
2.41056143300741e-6,2.5753553054952417e-7,0
1.7528935407397982e-6,-4.001903921413419e-7,0.07
2.243329391201572e-6,9.026959844060655e-8,0.11
2.187752104997335e-6,3.470067121980058e-8,-0.45
2.2203624984731065e-6,6.737897214170729e-8,0
2.1290704752984557e-6,-2.397628663053375e-8,0
2.153046032128317e-6,2.1851841447428918e-11,0
2.2296537222542933e-6,7.657032015551124e-8,0
2.1426328521643636e-6,-1.0436994629103858e-8,0.045
1.8250891437596285e-6,-3.2798151114954433e-7,-0.58
2.2497570388103037e-6,9.666279026099289e-8,0
2.2834206986075534e-6,1.3030254795265427e-7,0
1.991390783742994e-6,-1.6172722038354515e-7,0
2.0563076806768204e-6,-9.675152571997359e-8,-0.55
2.2035602027883744e-6,5.0477297220408165e-8,0.005
2.1304384961981306e-6,-2.2616767534344718e-8,-0.53
1.9469281661382894e-6,-2.061400607911157e-7,0.26
2.2737846659732196e-6,1.2078187899555725e-7,0
2.207559820432206e-6,5.449252125921955e-8,0.05
2.4195105634117463e-6,2.664602172669506e-7,0.12
1.949210674742242e-6,-2.0387851462300155e-7,0.01
1.7928003243554029e-6,-3.6025265623018667e-7,0
2.5201529978853575e-6,3.671250026471284e-7,0
2.2654030113856303e-6,1.1232318071541236e-7,0.01
2.050706024945175e-6,-1.0231645462155382e-7,0
1.978083016833382e-6,-1.7501124845997751e-7,0
2.0370662513672295e-6,-1.1598870635121105e-7,0
2.13243817637822e-6,-2.0627064676870256e-8,0.09
2.2533891261522335e-6,1.0035989965295755e-7,0
1.9441983331219814e-6,-2.088618211676385e-7,0
2.2778448851804855e-6,1.2476414936235524e-7,0.015
2.031756760121665e-6,-1.2135505879529164e-7,0
1.8606954972909263e-6,-2.924202861398495e-7,0
2.382236410616788e-6,2.2919678993538194e-7,0
1.9645065500414595e-6,-1.885085350761262e-7,0
2.053678145331445e-6,-9.938270942810856e-8,-0.725
2.3640226940340703e-6,2.1099188993234376e-7,0
2.2859739114296216e-6,1.32914333206835e-7,0.08
1.9805755243853097e-6,-1.725078507669453e-7,0.015
2.042794489647983e-6,-1.1028986602878988e-7,0
1.919312793978024e-6,-2.3379218067443032e-7,0.005
1.8091919539642e-6,-3.438613955214498e-7,0
2.1951498595684193e-6,4.209513895958583e-8,0.305
2.090015369805114e-6,-6.311127150215867e-8,0
2.3047109461566425e-6,1.516432084036623e-7,0.04
1.926554960606392e-6,-2.264771883381256e-7,0
2.0476223463479205e-6,-1.0542951613179419e-7,0
1.9341686689284484e-6,-2.1888319892748866e-7,0
1.997435696337206e-6,-1.556142094261137e-7,0
1.6730379908206693e-6,-4.800628917545069e-7,0.005
1.8466384555557824e-6,-3.06403177570691e-7,0
2.4190852330619443e-6,2.660367371926098e-7,0.15
1.8702760508071617e-6,-2.828246522351696e-7,0.005
2.609442389216285e-6,4.563824632686231e-7,0.02
2.2028652596257917e-6,4.98311440289001e-8,0
1.6830079964670817e-6,-4.7006094419321795e-7,0
1.9840998963043265e-6,-1.6893304137788335e-7,0
2.3882559200123043e-6,2.35153715726355e-7,0
2.126344660363851e-6,-2.6698748734621526e-8,0
1.8124189827047916e-6,-3.405504350989519e-7,0
2.1943173513060193e-6,4.126295740758401e-8,-0.67
2.1712485245461066e-6,1.820971521071524e-8,0
2.216275007513228e-6,6.322590176965903e-8,-0.185
1.8380891994451473e-6,-3.1498250268713335e-7,-0.72
1.9543827268528755e-6,-1.9863811986264857e-7,0
