MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.1312818680815736e-6,4.151220866555061e-8,0
2.1382501312110035e-6,4.8472812633759686e-8,0
2.0938515924553113e-6,4.06838169153545e-9,0
2.230238869582183e-6,1.4039394281240013e-7,0
1.8019704934199154e-6,-2.878661556982021e-7,0.005
2.1490006379659845e-6,5.92080126532446e-8,-0.31
1.7839916813477718e-6,-3.0583405012274413e-7,0.02
2.1799001193213086e-6,9.006983593962125e-8,0.01
2.2349708154987613e-6,1.4515158714922816e-7,0.005
2.064176715885564e-6,-2.566663289127469e-8,0
1.8510325116306821e-6,-2.3880233671835784e-7,0.015
2.3544731801203144e-6,2.6465752685445043e-7,0.005
1.8678057726610498e-6,-2.2200311878495248e-7,-0.665
2.116730112331793e-6,2.6901364657549997e-8,0.01
1.9993603377484505e-6,-9.046273276192007e-8,0.02
1.9987751931390167e-6,-9.099237265830507e-8,0
1.991007515474066e-6,-9.884816013827625e-8,0
2.053988229613851e-6,-3.583273613938509e-8,0.01
2.0799531837100687e-6,-9.850095679664328e-9,0.145
1.985565404727735e-6,-1.0427719381089773e-7,0
2.5228721094842987e-6,4.3312571091025376e-7,0
2.158953407049191e-6,6.917749434787179e-8,0
2.007071126493355e-6,-8.269033045515961e-8,0
1.730086588273135e-6,-3.59729679521581e-7,0.23
2.15625356112642e-6,6.651932734191845e-8,0
2.107674912748563e-6,1.7857833326528905e-8,0.015
1.9610795636441184e-6,-1.287380024694862e-7,0.06
2.118828820121705e-6,2.8997054756785268e-8,0.005
1.8632138128811594e-6,-2.2658055867763593e-7,0
2.04990311169225e-6,-3.993260368595486e-8,0
2.345156175000118e-6,2.553584020692501e-7,0.06
2.1793026688176354e-6,8.951021039482754e-8,-0.495
2.552184033547856e-6,4.624241833756093e-7,0
2.3904425012259845e-6,3.0063352187137405e-7,0.04
1.6661649634563675e-6,-4.236505538746105e-7,-0.365
2.1597033676708906e-6,6.991801314415458e-8,0
2.0879212765850178e-6,-1.8974489557344043e-9,0
2.2035169024760773e-6,1.1373027304306671e-7,0
1.973172807148718e-6,-1.1661028653631167e-7,0
2.1170543242993647e-6,2.7212763445971788e-8,0
2.6660537597621724e-6,5.763183092616364e-7,0
2.1091687297343026e-6,1.941074689426614e-8,0
1.9036096040258152e-6,-1.8619329421376564e-7,0
2.2828632606229295e-6,1.930901600905033e-7,0
2.1701941380961866e-6,8.044257755135398e-8,0
2.1899199707677666e-6,1.001057061772448e-7,0.015
1.9988061559686396e-6,-9.102042013486855e-8,0.01
2.23599531495048e-6,1.4616105903253462e-7,0.01
2.211295055265004e-6,1.2149363961433402e-7,0.085
2.2497637126242524e-6,1.5993857188645322e-7,0
2.167660188873657e-6,7.78588317085216e-8,0.145
2.145836721576113e-6,5.6050488253522876e-8,0
2.465099290768407e-6,3.753258113275981e-7,0
2.472274796945304e-6,3.825204672730509e-7,0
2.4514031089118363e-6,3.6160568075427333e-7,0.04
1.8590543263586651e-6,-2.307760790715152e-7,0.005
1.9815889170017357e-6,-1.0821422489981636e-7,-0.62
2.2816203985925745e-6,1.91830001224913e-7,0.285
2.158750212387884e-6,6.89706650436328e-8,0
1.7732742389449777e-6,-3.165593330628491e-7,0.02
2.3679446436003e-6,2.7813820632049956e-7,0.02
1.7637055228546792e-6,-3.261015831779179e-7,0
2.4823250832749596e-6,3.9252077815021826e-7,0.025
2.0149217376211834e-6,-7.491197117071024e-8,0
1.941541602537626e-6,-1.482237477568038e-7,0
2.270201109507807e-6,1.804115393289063e-7,-0.635
2.3735688107554998e-6,2.8376310567068686e-7,0.03
1.933374061317533e-6,-1.5641550618394895e-7,0
2.1477784073566006e-6,5.7979737941860065e-8,0.205
2.5618347001024815e-6,4.7210919183138247e-7,0
2.199875441465927e-6,1.1004103265488397e-7,0
2.3951713001745913e-6,3.053653271223311e-7,0.025
1.9340656766985746e-6,-1.5572047882717043e-7,0
2.178514859634197e-6,8.872478158006291e-8,-0.08
2.3937157590351503e-6,3.0392298063008917e-7,0.125
1.9942333662522117e-6,-9.55478318698244e-8,0
1.9276206680665463e-6,-1.6217241702809471e-7,0
2.2870783387849574e-6,1.9727760844023834e-7,0.065
2.121924691599396e-6,3.2156240060143836e-8,0
2.3144780394273757e-6,2.246718648224455e-7,0.025
2.4917881154882817e-6,4.020373135310562e-7,0
2.1047390891527503e-6,1.49165820662045e-8,0.015
1.868845753770975e-6,-2.209405966729916e-7,0
2.0610755343302637e-6,-2.87394251508033e-8,0.035
1.7666856895259414e-6,-3.231076266768662e-7,0
1.8830065210438173e-6,-2.0677627368625994e-7,0
2.1268305491984724e-6,3.708088481935157e-8,0
2.306245932332099e-6,2.164183690023247e-7,0
2.1865964057950598e-6,9.688747147407195e-8,0
1.807887297782229e-6,-2.819596977798877e-7,0
1.9084794461250913e-6,-1.8134589310603298e-7,0.02
2.204609217562464e-6,1.1474845218906182e-7,0
1.9091165324563965e-6,-1.80710583913557e-7,0.01
1.918397595267912e-6,-1.7137668191280486e-7,0
2.0496129605737118e-6,-4.019668787824671e-8,0.075
1.8186294830497576e-6,-2.71185042671207e-7,0.145
1.7342582656019342e-6,-3.555382631459381e-7,0
2.1625881378298842e-6,7.277697171570452e-8,0.025
1.768106809839816e-6,-3.2168379647368185e-7,0
1.920519020546055e-6,-1.6929709362012434e-7,0.05
