MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.2989077978123596e-6,2.0901233770409534e-7,-0.48
2.4216226369687696e-6,3.3171817917176936e-7,0.065
2.104574875663436e-6,1.466070321087809e-8,0.11
2.1343152535208763e-6,4.435836026606132e-8,0
1.931674669665425e-6,-1.5826378057748336e-7,0.01
2.3362662366749293e-6,2.464183004990961e-7,0
1.7107330713876599e-6,-3.792174351924249e-7,0
2.400859349721503e-6,3.1093543944982206e-7,0.005
2.2109333058954785e-6,1.2098449845066028e-7,0
2.0351289102798536e-6,-5.480507155153358e-8,0.01
2.1178273902499085e-6,2.7922749906705847e-8,-0.53
2.2254705452898143e-6,1.3554002148197242e-7,0.02
2.1956537319360967e-6,1.0575287513858722e-7,-0.485
1.8804917198187858e-6,-2.094440126682029e-7,0.015
2.0771879566212857e-6,-1.2706049460908808e-8,0
1.6009152285372168e-6,-4.890224006875998e-7,0.05
1.7690741201920593e-6,-3.208416294303573e-7,0
1.8948173319719205e-6,-1.951181592774187e-7,0.005
1.9657278201870132e-6,-1.242035141302278e-7,0.01
2.44773203896342e-6,3.57825772406839e-7,0.04
2.2093161406056157e-6,1.194191029596503e-7,0
2.0578872643665397e-6,-3.201942888553244e-8,-0.475
2.209301826746282e-6,1.1943485552556866e-7,0
1.8557291778133654e-6,-2.342155039941618e-7,0.01
2.4121527984856028e-6,3.2228466196548846e-7,0
2.2241851558467884e-6,1.342960459083109e-7,0
1.9553620879406243e-6,-1.345637333360905e-7,0.045
1.996374925594626e-6,-9.352643382976034e-8,0
1.7881385274049976e-6,-3.017315961723055e-7,0
2.4438734829802833e-6,3.5396255592679e-7,0.035
2.2435522206917243e-6,1.5360902617334026e-7,0
1.8779842337683037e-6,-2.1191305710599463e-7,0
2.5919780055743494e-6,5.021232103302742e-7,0
2.217910765089414e-6,1.2802691153723788e-7,0
2.0797924013066342e-6,-1.0118514364720888e-8,0.215
2.421762943833224e-6,3.318819338032908e-7,0
2.2175180300154926e-6,1.2760433437730702e-7,0.05
1.7945878336273727e-6,-2.9532062598092156e-7,0
2.129747845774721e-6,3.991336539777013e-8,0
2.366770616561579e-6,2.7684142507256035e-7,0.01
2.3284285158115916e-6,2.3855206127743054e-7,0
2.0952398606937713e-6,5.346078693069245e-9,0
1.9305320684e-6,-1.5941014295084433e-7,0.02
2.448899808637904e-6,3.5899934946626024e-7,0.105
2.1689752656100313e-6,7.905587431522588e-8,0.025
2.4651035857404733e-6,3.752231585851806e-7,0
2.353585810037044e-6,2.6366974209990345e-7,0.025
2.1571270363005475e-6,6.715427396164486e-8,0
2.2617343559550577e-6,1.7185620815374226e-7,0
2.2385889879613485e-6,1.4868973251647156e-7,-0.585
1.8346941733216524e-6,-2.552243837078416e-7,-0.58
2.172643058254543e-6,8.27133039682515e-8,0.01
2.4545096317368584e-6,3.6460249951131285e-7,0.045
2.597553791438638e-6,5.076380101171063e-7,0.005
2.262521640132034e-6,1.7261017221381626e-7,0.045
1.785889661067763e-6,-3.0403592538585935e-7,0.17
2.1715511530765907e-6,8.164817035194449e-8,-0.57
2.538082941287102e-6,4.481690192464916e-7,0.005
2.0957340265317047e-6,5.86986257433697e-9,0
1.8369132185867484e-6,-2.5297874692409297e-7,0
2.0833854941595475e-6,-6.543016339288776e-9,0.025
1.9327898519792947e-6,-1.570746394308209e-7,0
2.0873851578155987e-6,-2.557338952269284e-9,0.005
2.1075736162316592e-6,1.7651676393337647e-8,0.04
2.0175777440433686e-6,-7.232277767055262e-8,0
2.325221874040493e-6,2.3530927317383376e-7,0.035
2.3426837086644124e-6,2.5278541346318574e-7,0.245
1.8240701520336816e-6,-2.65882418786223e-7,0
1.9049345044921145e-6,-1.8494820749614948e-7,0
1.972917104133292e-6,-1.1692488870063134e-7,0
2.1323445212315673e-6,4.2406495380786777e-8,0
1.997312762980288e-6,-9.261632316681645e-8,0.02
2.053005125661428e-6,-3.6885483777338025e-8,0
2.4934700031200687e-6,4.0359181037563643e-7,0
2.1816537321032047e-6,9.174019344859729e-8,0.07
2.5052872876284465e-6,4.1544293004347477e-7,0
1.9572994242058734e-6,-1.3264745501229137e-7,0.005
2.0421393098847404e-6,-4.7801867624763793e-8,0.005
2.094025067775648e-6,4.108298549132528e-9,0.08
1.9528059532755005e-6,-1.371345600476026e-7,0.005
2.1712870469110704e-6,8.138532301027457e-8,-0.51
2.184082918829689e-6,9.416208998302978e-8,0.04
1.8218737218667141e-6,-2.679878370148714e-7,0
2.31893368486673e-6,2.2902869578789177e-7,0.11
2.1362289717276235e-6,4.6359879095625444e-8,0
2.08967589960196e-6,-2.5295640582179146e-10,0.03
2.161159498690751e-6,7.124897435872857e-8,0.13
2.030158974607481e-6,-5.978644324833305e-8,0
2.346957615935197e-6,2.5707505035887924e-7,0
2.0786582642757074e-6,-1.129562331225742e-8,0
2.160892082092204e-6,7.09928022035733e-8,0
2.1750130044111465e-6,8.50761238158082e-8,0
2.187732311049404e-6,9.784510414334591e-8,0
1.9905128935066387e-6,-9.943466159456626e-8,0
2.016417716909464e-6,-7.349250198573909e-8,-0.66
1.995936474430876e-6,-9.39573660052595e-8,0
1.8546797155892196e-6,-2.3521807881121682e-7,0
2.0285829174954534e-6,-6.129441331215179e-8,0
2.275293741735664e-6,1.8541132313365515e-7,0
2.25669871983821e-6,1.6678707614181664e-7,0.075
