MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.111024231328868e-6,2.1225357178522587e-8,0
2.324527750761268e-6,2.347795743112835e-7,0
1.8610395509004354e-6,-2.2875731825577894e-7,0.015
1.9036685937153477e-6,-1.8611675890567446e-7,0.075
1.973824646230013e-6,-1.1595137488162876e-7,0.21
2.124763328794837e-6,3.502135595412348e-8,0
1.6005607835610246e-6,-4.892075660606344e-7,0
2.175096520156756e-6,8.52909389392753e-8,0
2.158989553252003e-6,6.918091329910503e-8,0
2.2299426401931905e-6,1.401466956135744e-7,0.005
2.0966428887937263e-6,6.864384674010182e-9,0.055
2.3269082750709832e-6,2.3714681743558508e-7,0.185
2.092565216266284e-6,2.7564662685719556e-9,0.005
2.2183285749482713e-6,1.2853988425542973e-7,0.015
1.876361026795062e-6,-2.1340114693346733e-7,0
2.0633764242938904e-6,-2.6348973105050354e-8,0
2.064734688503821e-6,-2.506714571248736e-8,0
2.2860642732738863e-6,1.9628292378504053e-7,0.015
1.7167649564706722e-6,-3.730400099083431e-7,0.015
2.3672709764233e-6,2.7745708155335614e-7,0
2.5076550664522936e-6,4.1788916913865214e-7,0.04
2.36437545772579e-6,2.7457403615649413e-7,0.005
1.7365366121004967e-6,-3.531927175193239e-7,0
1.740112948481556e-6,-3.496665498609053e-7,0
2.0389944237510324e-6,-5.073730904803231e-8,0
2.207580243425699e-6,1.1781188210602256e-7,0.115
1.9591780390727973e-6,-1.3061427238725276e-7,0.025
2.153188265895626e-6,6.337168100278845e-8,0
2.043977645820792e-6,-4.582584547385693e-8,0
2.196777520028903e-6,1.0696881504013156e-7,0
2.183734863715542e-6,9.39597100002576e-8,0.075
2.5309885355733397e-6,4.4126468541016985e-7,0
2.8699384109624522e-6,7.801651333416703e-7,0
2.2451592154465787e-6,1.5537201539406188e-7,0.02
1.7627812196656091e-6,-3.270158790374955e-7,0.03
2.495764180513867e-6,4.060562263769052e-7,0
2.1942058893366352e-6,1.044447002451765e-7,-0.515
2.2284731907075256e-6,1.3874139550729136e-7,0
2.1069547997586247e-6,1.718962703511906e-8,-0.48
2.2748761341199865e-6,1.8512400014214503e-7,0
2.374308045034532e-6,2.845395313738619e-7,0.06
2.0389673389263895e-6,-5.075597787673747e-8,0
2.213211070422348e-6,1.2345568788929562e-7,0
2.3955987913159072e-6,3.058645213832589e-7,0
1.9417074281598553e-6,-1.480378266471849e-7,0
2.2506026810875243e-6,1.6084860512299848e-7,0
2.3278092552731116e-6,2.380413316888097e-7,0.07
1.868412066436026e-6,-2.2137165558544503e-7,0.12
2.297463167654143e-6,2.076972579401204e-7,0.135
2.3637959164337204e-6,2.7402343887594773e-7,0.025
1.9769733610234625e-6,-1.1283545156448582e-7,0
2.1572121031181783e-6,6.741995553727342e-8,0.005
2.4716574992534116e-6,3.8186778146154234e-7,0
1.9366993631466946e-6,-1.5309246076844473e-7,0.045
2.1325231147648726e-6,4.274419645400318e-8,0.055
1.8784097051997272e-6,-2.114083874249495e-7,0
2.1062837455053406e-6,1.6476058736225596e-8,0
2.300932457328183e-6,2.1115259877468872e-7,0.03
2.1831195157706366e-6,9.332509258774823e-8,0.01
1.894691848084805e-6,-1.9508583654681556e-7,0.26
2.099178100868013e-6,9.393859904949231e-9,0.03
1.7487447834560233e-6,-3.4098723597220103e-7,0
2.0916696063122213e-6,1.886604196199571e-9,0.02
2.2264688532625266e-6,1.3668544607603472e-7,0.005
2.1130711668840576e-6,2.3298211642153176e-8,0.12
2.320577379114466e-6,2.3080008925535633e-7,0.03
2.087906948670465e-6,-1.869010270993954e-9,0.105
1.8627326776590533e-6,-2.270635657553033e-7,0
2.218585159186402e-6,1.2881989945479067e-7,0.235
2.184269518016841e-6,9.454358277038999e-8,0
2.041600488098033e-6,-4.820751385081756e-8,0.005
2.210927234460147e-6,1.2116468672052073e-7,0.315
1.8901624095441046e-6,-1.995894199480208e-7,0
2.442640996922459e-6,3.5286633510767107e-7,0.025
2.214914925019936e-6,1.2515731805218255e-7,0
2.0117985932673272e-6,-7.78930087869112e-8,0
1.7798021573808196e-6,-3.0994478245227606e-7,0
2.1151044051922317e-6,2.5276011288433152e-8,0
2.209930780613165e-6,1.202353167356618e-7,0
2.2903030448395256e-6,2.0052814565685306e-7,0.02
2.4082077335958577e-6,3.184955291235525e-7,0
2.0947458205627325e-6,4.964223763725961e-9,0.05
1.9856779174539107e-6,-1.040487591791317e-7,0
1.968828461059393e-6,-1.2091661054092205e-7,0
1.8251393399751697e-6,-2.646337863165815e-7,0
1.9557360030505315e-6,-1.340171435648685e-7,0
2.0633722993852043e-6,-2.6388407016741945e-08,0
1.94245983378466e-6,-1.473554388486953e-7,0
2.5768508673512616e-6,4.872847284581594e-7,0
2.0469706738119656e-6,-4.2795190450806156e-8,-0.08
1.797918730713714e-6,-2.9184900356526987e-7,0
2.36263266468737e-6,2.7283387065035745e-7,0
1.820621962587543e-6,-2.691651787956051e-7,0.11
2.1985213651341345e-6,1.0872943045248107e-7,0.005
2.172113497816934e-6,8.233674535673696e-8,0.035
2.2507319631512194e-6,1.6093609001177623e-7,0.005
1.5914036692567062e-6,-4.983755520693301e-7,0
2.467098678769601e-6,3.7730984701500604e-7,0
2.021902183193392e-6,-6.783510088148592e-8,0
2.100450786780135e-6,1.0656134935560502e-8,0.005
