MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.0729230970128126e-6,-1.685410577545454e-8,0
2.331536196386289e-6,2.417940628923754e-7,0.085
1.7117912539293129e-6,-3.7798870044680745e-7,0.005
1.8864633119507327e-6,-2.032931356255041e-7,0.13
2.2172775886003024e-6,1.2756657793489e-7,0
2.0833298464847007e-6,-6.402817029349528e-9,0
1.5903727632385827e-6,-4.993976783662645e-7,0.085
2.0822350244499377e-6,-7.529990874721727e-9,0.01
2.0786777758180903e-6,-1.1095674631866893e-8,0.01
2.3242119648706697e-6,2.344761579647914e-7,0.145
2.095377731987595e-6,5.656402139453398e-9,0
2.4473713301392467e-6,3.5765896781836395e-7,0
2.113390566107384e-6,2.363869962884735e-8,0.05
1.9719684769408574e-6,-1.1775833205440734e-7,0
2.0040861509970475e-6,-8.56350313410692e-8,0
1.686594610077178e-6,-4.0315042092620156e-07,0
2.0064391446452143e-6,-8.33286479490214e-8,0.015
2.2609700129033197e-6,1.7127898895963334e-7,0
1.7172139308130644e-6,-3.725790044017963e-7,0
2.3833330081629242e-6,2.9356220783705035e-7,0
2.1846099987121127e-6,9.485041929491178e-8,0.01
2.336592660887395e-6,2.4681574612106516e-7,0
2.2167803618549556e-6,1.2713482681891985e-7,0
1.7515998157510158e-6,-3.3812921359177573e-7,0
2.2057287567706747e-6,1.1597938748220127e-7,0.05
2.321779006597204e-6,2.3208657854378868e-7,0
2.1635113895670985e-6,7.375092334283017e-8,0.01
2.034253188615264e-6,-5.552944744913191e-8,0
2.1439109230330985e-6,5.41519172392313e-8,0.02
2.210099363746891e-6,1.2031285063995866e-7,0
1.946335307499978e-6,-1.4340079729113775e-7,0
2.244994325389728e-6,1.5525499345359072e-7,0.165
2.795523991745321e-6,7.057847746216872e-7,0.01
2.34891525302005e-6,2.5916526613545263e-7,0.015
2.003886778501376e-6,-8.589337558428944e-8,0
2.450970874525596e-6,3.613023877935273e-7,0
2.525235685912196e-6,4.355161645480665e-7,-0.52
2.1530068481099138e-6,6.329852213882158e-8,0
2.1585860417634575e-6,6.88523557651477e-8,0
2.136723102098188e-6,4.700657369127725e-8,0
2.1359720286238264e-6,4.6203975128111804e-8,0
2.0643726509227143e-6,-2.5347263728492387e-8,0
2.2143998472907706e-6,1.2467460010323617e-7,0
2.6671965336600615e-6,5.774769052890871e-7,0.2
2.2068804691975075e-6,1.1713131935708887e-7,0.04
1.8153823287737585e-6,-2.743338792637884e-7,0
2.6756342027897333e-6,5.858789275103859e-7,0.01
2.1391407870300674e-6,4.940128718766701e-8,-0.685
2.2450905208493367e-6,1.5533473502526985e-7,0.03
2.095159760083195e-6,5.3957920170821795e-9,0.015
1.7829543583942178e-6,-3.0680422271445184e-7,0.185
2.1897710157018e-6,9.99670200330094e-8,0
2.3600909804911753e-6,2.70306170283563e-7,0
2.1607542228533525e-6,7.098649130732327e-8,0.005
2.0568372590636436e-6,-3.294238496875934e-8,0
1.91263738200365e-6,-1.771305422287872e-7,0.015
2.091591302335247e-6,1.795357574829737e-9,0
2.5617067242152304e-6,4.7197040904223276e-7,0.045
2.1132978924356694e-6,2.3552083111555432e-8,0.15
1.816700427536383e-6,-2.730436787923285e-7,0
1.9563039758677255e-6,-1.3346406369851848e-7,0.015
2.1129425102895205e-6,2.320512868858593e-8,-0.345
2.1213717908127125e-6,3.1596496573582654e-8,0.005
2.301222283498713e-6,2.1147896948292554e-7,0.07
2.0022418556856964e-6,-8.752636637354705e-8,0.015
2.2729781494901563e-6,1.8322973225459726e-7,0.03
2.103551508596422e-6,1.3804693221319831e-8,0.14
1.619943133817533e-6,-4.698423783022765e-7,0.005
2.3009141858497477e-06,2.1119685336745687e-7,0
1.8693786990710237e-6,-2.2034776962442937e-7,0
1.8539116546923837e-6,-2.3582221724771645e-7,0
2.029879547901123e-6,-5.987055286260645e-8,0.115
1.8559832073680283e-6,-2.337250672002078e-7,0
2.5481008831599903e-6,4.583478575043154e-7,0.005
2.00196770721858e-6,-8.775306656327864e-8,0
2.203167383099864e-6,1.1350405466181712e-7,0
2.0004327849403623e-6,-8.926207500092875e-8,0
1.829556085285257e-6,-2.6025080958391734e-7,0
2.202525144567923e-6,1.1282134487922146e-7,0
2.1613693655212157e-6,7.163279769184516e-8,-0.585
2.3482639595271457e-6,2.585290604695256e-7,0.165
2.0465662583779345e-6,-4.313844613745843e-8,0
1.6629198822124178e-6,-4.267415109865391e-7,0
1.941264669848123e-6,-1.484960714309702e-7,0.075
1.891188907516796e-6,-1.985278768906751e-7,0
2.102687049942634e-6,1.2958846335453521e-8,0
2.2656304185668094e-6,1.758956612485374e-7,0.25
1.9811510677405823e-6,-1.0863820060769135e-7,0
2.6072383163260076e-6,5.175946295649103e-7,0
2.0873605222098713e-6,-2.392793338468202e-9,0.06
2.0549943710769816e-6,-3.473480143623142e-8,0
1.9043817848761856e-6,-1.853777638188836e-7,0.06
2.201196073612315e-6,1.1151651206964263e-7,0
2.096088750570049e-6,6.317864450489097e-9,0
2.0023824595091283e-6,-8.737140277048638e-8,0.065
2.3924114910641903e-6,3.026556774254896e-7,0.005
1.9813481302913076e-6,-1.0841214838186453e-7,0.045
2.3728267300150477e-6,2.830740990683589e-7,0.025
2.246587307998789e-6,1.5685137523036018e-7,0.29
2.2511737555658666e-6,1.6143621090203287e-7,0.235
