MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.1455395828285658e-6,5.567899154068634e-8,-0.62
2.1323282859367696e-6,4.2481546214667706e-8,0
1.9904861102774897e-6,-9.937883448940533e-8,-0.21
2.095394794414195e-6,5.4837512619698715e-9,0
1.852318095021667e-6,-2.3759080231333662e-7,0
2.0512613931793586e-6,-3.859433954922498e-8,0
1.6790778540696647e-6,-4.10788694938935e-7,0
2.163426619505718e-6,7.352287662909518e-8,0.005
2.184478555173235e-6,9.45812801744772e-8,0
2.095858805133033e-6,5.942350508325589e-9,0
1.96985030231311e-6,-1.200432030656895e-7,0.01
2.3621963356292764e-6,2.723219817613032e-7,0.015
2.030852833075766e-6,-5.903909661875151e-8,0.015
2.169187316233896e-6,7.927644675276291e-8,0
1.889960498441461e-6,-1.9991555450293852e-7,0.185
2.0502452831895566e-6,-3.9567448315014356e-8,0
2.0013116341368444e-6,-8.859865743393592e-8,0
2.0634669498524164e-6,-2.6433789624968896e-8,0
1.952870414914554e-6,-1.3701185196834942e-7,0.055
2.1992319385742922e-6,1.0932314186140601e-7,0
2.5694460430193227e-6,4.796280263280606e-7,0
2.209670782339529e-6,1.1980889810858654e-7,0.185
1.8405619533229222e-6,-2.4924797863479233e-7,0
1.6901649035073725e-6,-3.9972753706651877e-07,0.07
2.138609934907144e-6,4.879503636645577e-8,0
2.1065819502467507e-6,1.6715464146166424e-8,0.165
1.8639665112750795e-6,-2.259227728274027e-7,0.03
2.0452209744719638e-6,-4.4697217241873586e-8,0
1.9025593714902304e-6,-1.8731984651743084e-7,0.095
2.0899938345325497e-6,9.423814173459283e-11,0
2.381451127093715e-6,2.91589965565886e-7,0.075
2.4120032562774616e-6,3.221639191747228e-7,0
2.710983036287102e-6,6.211514653736705e-7,-0.425
2.3672547524465265e-6,2.7738454623171813e-7,0.055
1.73111147003054e-6,-3.5877634232295286e-7,0.07
2.2704853589318503e-6,1.8067289986045675e-7,0
2.1331251741971757e-6,4.3245197159924586e-8,0.015
2.208142574168985e-6,1.1830501544296545e-7,0
2.1015536093124375e-6,1.1712047612855159e-8,0
2.1711949243828435e-6,8.131414659329206e-8,0.025
2.59850145341242e-6,5.086704384649199e-7,0
2.1202910746397206e-6,3.047343645035116e-8,0
2.0355088654501473e-6,-5.4353265671602814e-8,0
2.3486774142533214e-6,2.588580409523811e-7,0
2.088428836151539e-6,-1.3982388957778367e-9,0
2.2240597140977067e-6,1.3417997888676147e-7,0.015
2.1573780539011933e-6,6.749765246949479e-8,0.025
2.1658199766075582e-6,7.592760550012567e-8,0.005
2.252827512179662e-6,1.6296146846561666e-7,0.09
2.3456539127435483e-6,2.557741284048287e-7,0.005
2.0400860094669453e-6,-4.979293102169713e-8,0.055
2.1398268264190204e-6,4.996184566674611e-8,0.185
2.490705233382306e-6,4.0083881294838977e-7,0.03
2.210898043253683e-6,1.2104494355902328e-7,0
2.208388286423881e-6,1.1849826521748152e-7,0.005
1.7670075279621876e-6,-3.229075080735111e-7,0
2.1565429812919244e-6,6.666906961827478e-8,0.045
2.3401576176573166e-6,2.5029680510046945e-7,0.09
2.10858455602064e-6,1.8716371481541926e-8,0.145
1.7800765507398252e-6,-3.0981181864120354e-7,0.08
2.2544772336012342e-6,1.6460681873609052e-7,0.055
1.7723656470478893e-6,-3.1748928534081066e-7,0
2.334287194768756e-6,2.444078754954004e-7,0.015
2.035179436913439e-6,-5.471156162062396e-8,0.005
2.028166592916969e-6,-6.16678520026781e-8,0
2.3204944834621726e-6,2.306274359370475e-7,0.05
2.2999717729784832e-6,2.1008970626679168e-7,0.005
1.903353722782835e-6,-1.8652886930925484e-7,0.06
2.193153883950654e-6,1.03307000774433e-7,0
2.3691974523595394e-6,2.7939538077892403e-7,0
2.143005611496268e-6,5.3088665407097225e-8,0
2.3637894538730325e-6,2.739216330222005e-7,0.035
1.8866544726391828e-6,-2.0321743022688742e-7,-0.555
2.2873078743729453e-6,1.9745942685500674e-7,0
2.2193293384774907e-6,1.2946326112373007e-7,0.095
1.9478105465544417e-6,-1.4200617791726433e-7,0
1.8927525986515398e-6,-1.9708988036382102e-7,0
2.327932040078783e-6,2.3804637231117366e-7,0.01
2.1982243420444226e-6,1.0842802121380224e-7,0
2.3755560345322384e-6,2.8567759041142613e-7,0
2.4014708688753175e-6,3.116628615024153e-7,0
2.1121215588747662e-6,2.223655196198493e-8,0.015
1.919805785185109e-6,-1.7003288261263627e-7,0
2.082952927167093e-6,-6.913245533257673e-9,0.245
1.6774352251392385e-6,-4.1242406526753595e-7,0
1.8625073997981782e-6,-2.2732817092641078e-7,0
2.0813349014116387e-6,-8.479821928530917e-9,0
2.2221243029444753e-6,1.3222120054834363e-7,0
2.3260684179422087e-6,2.3632435195708457e-7,0
1.8823045677279102e-6,-2.075889824254551e-7,0.005
1.922295297287916e-6,-1.675872903411646e-7,0.06
2.2142632519125216e-6,1.2433981504078594e-7,0
1.8375303173648041e-6,-2.5238176049602325e-7,0.005
2.0224060060408332e-6,-6.744540129499654e-8,0
2.230528958005101e-6,1.40657755970941e-7,0.06
1.994867651690064e-6,-9.500849038335257e-8,0.08
1.632296420405144e-6,-4.5756722064360656e-7,0
2.28284572762956e-6,1.9297137057061598e-7,0.02
1.866476528998049e-6,-2.2337006742700892e-7,0
1.9891038717064203e-6,-1.0076755332155684e-7,0.195
