MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.021751138060486e-6,-6.82959774728209e-8,0.015
2.1788828129703782e-6,8.883124582304002e-8,0.01
2.1652985126208103e-6,7.534642637752054e-8,0
1.9842143621371543e-6,-1.0581302936241155e-7,0.25
1.8906154257854148e-6,-1.9942332454059298e-7,0.08
2.522631703262453e-6,4.326835023643616e-7,0
2.0732156323007368e-6,-1.6816074999703724e-8,0.06
2.148954238978423e-6,5.8917743224196075e-8,0.025
2.3372920560992676e-6,2.472896506772182e-7,0
2.0693590051174554e-6,-2.0652123154940582e-8,0
2.007923133889006e-6,-8.207258396786265e-8,0
2.3346364145910895e-6,2.446406460332451e-7,0
2.063900723686999e-6,-2.6160015235143773e-8,0
2.4941221885702556e-6,4.041223025808005e-7,-0.485
2.2813895615710446e-6,1.9141718297199794e-7,0
1.992741764544871e-6,-9.727685158888999e-8,0
2.098118577784513e-6,8.07736406760462e-9,0.01
1.8547158598718142e-6,-2.35298708309295e-7,0
1.6907577503959576e-6,-3.99311063463692e-7,0
2.639055406093577e-6,5.490026811860726e-7,0
1.8365310144185988e-6,-2.5353936196403916e-7,0
2.090253465199979e-6,1.7154063058910673e-10,0.005
2.0872348894316018e-6,-2.718005792656797e-9,0
1.8942077171261534e-6,-1.9581005852198353e-7,0
2.2530380375990692e-6,1.6301564164378223e-7,0.08
2.248118426219636e-6,1.5809640011688052e-7,0.115
2.016196800378826e-6,-7.381311087517606e-8,0
2.3195781185933383e-6,2.295497896948051e-7,0.035
1.933589907897053e-6,-1.5644110174295455e-7,0.215
2.4967032534308497e-6,4.067050073575107e-7,-0.305
2.1215213041737143e-6,3.1506374489898013e-8,0
1.7974900073673322e-6,-2.925461723490841e-7,0.295
2.7573249895301225e-6,6.67320594796017e-7,0.065
2.410440970943187e-6,3.2042123768061257e-7,0.065
1.901285705916437e-6,-1.887799764582754e-7,0.005
2.4737508610821744e-6,3.8379062939741804e-7,0
2.0887614123219894e-6,-1.2707671825928913e-9,0.065
2.1972442704282427e-6,1.0721090200116468e-7,0.035
1.8729516253585398e-6,-2.1700005149394297e-7,0
2.4205316982318223e-6,3.305486705740268e-7,0
2.134431284032054e-6,4.4426597464730654e-8,0
2.331552463116064e-6,2.4154118769659227e-7,0.26
2.4859711640163304e-6,3.96027529460663e-7,0
2.581640317150847e-6,4.916420397582666e-7,0.335
1.9279811799439e-6,-1.6204444155731857e-7,-0.305
2.2900483231330525e-6,2.000684849168266e-7,0
2.1938753614476024e-6,1.0382956876386906e-7,0
1.7683639533931286e-6,-3.2170815099208384e-7,0
2.208203371248887e-6,1.1818637777605279e-7,0.29
2.0906577872284486e-6,6.296785370896175e-10,0.11
2.061541373322671e-6,-2.8472742909513294e-8,0
1.9571313886521627e-06,-1.3293625470034433e-7,0.005
2.6130399852386654e-6,5.230566506353451e-7,0
2.284939241220608e-6,1.9491658123538258e-7,0.09
2.355941072716446e-6,2.659191301790376e-7,0.08
2.1731944986346097e-6,8.314526592778648e-8,0
2.028309025620336e-6,-6.174170700867787e-8,0.01
2.112166319725776e-6,2.210936716484646e-8,0
2.3525442134480187e-6,2.6254308545026195e-7,0
1.730309340578039e-6,-3.5970984642474944e-7,0
2.111125563554104e-6,2.1120754663539464e-8,0
2.172418945327073e-6,8.239430189516117e-8,0.12
1.976544664234685e-6,-1.1349579628894269e-7,0.045
2.288863607778327e-6,1.9883717170765535e-7,0.055
1.9771669324311912e-6,-1.1287483123956222e-7,0.035
2.3092543675454225e-6,2.1922341519153842e-7,0.015
2.1377524494451085e-6,4.772062507651942e-8,0.05
1.99811600410525e-6,-9.19418626177393e-8,0
2.0509163975663603e-6,-3.9073647384313406e-8,0
2.115923844276532e-6,2.590879635666621e-8,0
2.1492786481971096e-6,5.923631660020856e-8,0.01
2.355348204235408e-6,2.6533397248340585e-7,0.145
1.9922221405068565e-6,-9.777521784160026e-8,0
2.563305069723496e-6,4.7332051808068876e-7,0
2.101636280578308e-6,1.1609269638390706e-8,0.145
2.1629216234342033e-6,7.293440408118191e-8,0
2.0174324715076744e-6,-7.255045290643914e-8,0
1.78162363295269e-6,-3.0845331386419874e-7,0.005
2.3441962712545182e-6,2.5419971968865253e-7,0
1.911979600996646e-6,-1.7809974467097867e-7,0
2.3845055850727026e-6,2.9448897010897477e-7,0.1
2.1583529298554395e-6,6.835081918343811e-8,0
1.6180421344719604e-6,-4.719858722601611e-7,0
2.1821521567573873e-6,9.215189656464062e-8,0
1.733165865342532e-6,-3.5687192682043457e-7,-0.645
2.1418232172614166e-6,5.179203252214659e-8,0.06
2.1519252747548975e-6,6.1900303728879e-8,0.125
1.9397272137475783e-6,-1.5033479008552675e-7,0
2.2864434181340705e-6,1.9645983887706108e-7,0
1.9776490707655143e-6,-1.12389623938558e-7,0.045
2.1542090860202625e-6,6.421220810792771e-8,0
2.203190236338661e-6,1.1321141484166297e-7,0
1.9946872725956002e-06,-9.536974991619651e-8,0
2.2543058792268198e-6,1.6429448308319384e-7,-0.53
1.7690280829557576e-6,-3.209959730088308e-7,0
2.008239595999709e-6,-8.179479488112929e-8,0.07
2.0423029871991072e-6,-4.7647462705913134e-8,0
2.124598236780786e-6,3.4560972048680583e-08,0.03
2.2819964784402827e-6,1.9203888265761916e-7,0
2.2058136599558706e-6,1.1582254349495891e-7,0
