MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.223692241228206e-6,1.3383161639346498e-7,-0.555
2.0392235835130483e-6,-5.061774937309416e-8,0
2.1362641257820693e-6,4.6432379867122895e-8,0
2.101212297648769e-6,1.1294193360544824e-8,0
1.589231056187859e-6,-5.006802934476307e-7,0.01
2.387103009369894e-6,2.97251582437319e-7,-0.435
1.9410153924107475e-6,-1.4884481555954565e-7,0
1.95681246378627e-6,-1.3308679328027928e-7,0.01
2.3046547158751323e-6,2.1476965009259442e-7,0.005
2.217377600636859e-6,1.274857145788788e-7,0.005
2.2261740437914103e-6,1.3629564330652766e-7,0.035
2.3976727861167378e-6,3.0780229826998795e-7,0.045
1.78966770341903e-6,-3.0024189813682155e-7,0.005
2.4042932922913283e-6,3.1439596339333243e-7,0
1.917926519375443e-6,-1.7191351809664467e-7,0
2.11176405234189e-6,2.194134692934391e-8,0
2.1130211856836407e-6,2.315398200947172e-8,-0.69
1.9517711262854765e-6,-1.3813225506975614e-7,0
1.8470097651134088e-6,-2.428497025253051e-7,0
2.0155784431284967e-6,-7.43555837046106e-8,0
2.101381556303129e-6,1.1495230852198723e-8,0.015
2.38735925218238e-6,2.974860427912285e-7,0.04
1.80169738235688e-6,-2.881483252964445e-7,0
1.845614266693611e-6,-2.4427093020529256e-7,0.105
2.1805587613580346e-6,9.072111294139429e-8,0
2.207918631568281e-6,1.1803278215705149e-7,0.015
1.8174772672185732e-6,-2.723587905467673e-7,0
2.162389377609343e-6,7.250932246016806e-8,0.03
1.9973664248541293e-6,-9.250116489001315e-8,0
2.0214924886230265e-6,-6.839733444563567e-8,0.01
2.255710215669383e-6,1.6586527543327456e-7,0
2.49588391073981e-6,4.060294607088899e-7,0.17
2.376178969624288e-6,2.863005811554187e-7,0.025
2.306540413998539e-6,2.1667752921117335e-7,0.15
1.6532232596974796e-6,-4.3665583504770566e-7,0
1.9925870430914913e-6,-9.723373447123595e-8,0
2.026242632007849e-6,-6.362165249851337e-8,0
2.1853229088577375e-6,9.54513126488754e-8,0.1
2.019990855965027e-6,-6.986860234592385e-8,0
2.262849973211361e-6,1.7295698692687544e-7,0.005
2.4394113343369668e-6,3.495460337671341e-7,0.06
2.3975079140894645e-6,3.076760660780664e-7,0
2.192774905411594e-6,1.0293273606520881e-7,0
1.9921870556354974e-6,-9.766290069823658e-8,0
2.076112398005831e-6,-1.3737480240028077e-8,0
2.3926790273270532e-06,3.0282116598945307e-7,0.215
2.107888475594546e-6,1.8030214293252023e-8,0
1.9798003019866797e-6,-1.100893711314388e-7,0.025
2.3301563947679427e-6,2.402862084571744e-7,0.065
2.3394402180728258e-6,2.49540025121231e-7,0
2.120479230695869e-6,3.061972764006882e-8,0
2.0215869806510033e-6,-6.82518754802075e-8,0
2.3510452130958075e-6,2.6119529993928746e-7,0
2.2118569791446405e-6,1.2201134079681264e-7,0
2.154425221633246e-6,6.450564289273153e-8,0
1.9059676820666796e-6,-1.839441152207133e-7,0
2.0950907838190387e-6,5.23772460792049e-9,0
1.8914209190356141e-6,-1.9847925902816144e-7,0.015
2.1164578472773746e-6,2.6548161758954692e-8,0
1.5413527600088552e-6,-5.485762245904802e-7,0.005
2.191671922069874e-6,1.0182037398720479e-7,0
1.9885350427554623e-6,-1.0130753445358743e-7,0
2.7282134072686175e-6,6.38387544598662e-7,0
2.0820144517551703e-6,-7.863784975969956e-9,0.065
1.9458011578311044e-6,-1.4408086630168793e-7,0.09
2.1120351492979313e-6,2.2159011745515046e-8,0.115
2.113743553936565e-6,2.3866924072635243e-8,0.09
2.0727165410725092e-6,-1.7123569922561366e-8,0
2.0766339366958647e-6,-1.323297584510108e-8,-0.545
2.205099684935469e-6,1.152536585830033e-7,0
2.2036802033969985e-6,1.1377487759145488e-7,0.005
2.2796033251121567e-6,1.8973048067527644e-7,0.04
1.848119433072016e-6,-2.417356690564976e-7,0
2.1664724389231525e-6,7.661434632266762e-8,0
2.4375687081048836e-6,3.4772965889551254e-7,0
2.125172697855247e-6,3.535078823557747e-8,0
2.059265344789169e-6,-3.050977307073044e-8,0
2.0020520827483637e-6,-8.782681436281248e-8,0.105
2.3058070967309063e-6,2.1601578392704823e-7,0
2.3723170346956155e-6,2.824586665478579e-7,0.19
2.2335651811267076e-6,1.4372800333839476e-7,0
2.0512435122361378e-6,-3.862938572685159e-8,0.215
2.1103125340520924e-6,2.0465505794486915e-8,0
2.1845210145985586e-6,9.467235147997411e-8,0
1.8209616583286268e-6,-2.6892197504346795e-7,0.2
1.8337067308388082e-6,-2.561394707129017e-7,0
1.986303215493143e-6,-1.0355504806158766e-7,0
2.2152309722079425e-6,1.2533668122260977e-7,0
2.143868683687584e-6,5.409942383738375e-8,0
1.7931335126199058e-6,-2.9675351367830503e-7,0.135
1.8441076202924413e-6,-2.457841822289808e-7,0.035
2.1532366880907533e-6,6.334529887352946e-8,0.01
2.058683740340733e-6,-3.121528702854093e-8,0.005
2.2006427510241446e-6,1.1078169067646471e-7,-0.55
2.0171699435476977e-6,-7.271784520479496e-8,0.03
2.0748106543169834e-6,-1.505111868249642e-8,0
1.7649481705410676e-6,-3.2489702245064313e-7,0
2.119986356666119e-6,3.008936088455538e-8,0.015
2.0662063946948473e-6,-2.365543039672957e-8,0
1.939088535243058e-6,-1.5074446528429153e-7,0
