MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.108727149357879e-6,-1.1949127701749162e-8,0
2.4339822711392756e-6,3.1327855543605845e-7,0.005
2.2285700785924604e-6,1.0788279216189522e-7,0.095
2.131755761196258e-6,1.1069957733256253e-8,0.25
2.0696863547375032e-6,-5.103219462343489e-8,0
1.925403999098767e-6,-1.9535702544426492e-7,0
2.2827194031660713e-6,1.6202852123170519e-7,0.035
2.2103969608911642e-6,8.978892400035577e-8,0
2.1085822278759596e-6,-1.2023028763685772e-8,0
1.8743590758980899e-6,-2.463323426676878e-7,-0.07
1.820149833666701e-6,-3.005707439923677e-7,0.01
2.1867659639160567e-6,6.608477798819567e-8,0.295
2.366516660609929e-6,2.4582472907097587e-7,0.025
2.4446210189608323e-6,3.239809073468658e-7,0
2.253886531648261e-6,1.3330622991192253e-7,0
2.4235682892188716e-6,3.0288978558112855e-7,0.105
1.7823625371152196e-6,-3.3834818201072813e-7,0.035
1.9500441917787806e-6,-1.7068091458627422e-7,0
1.99454641222298e-6,-1.261602103780346e-7,0.03
2.148055144319863e-6,2.7392230602663047e-8,0
1.9896319118448758e-6,-1.3102245453144867e-7,0
2.1142520346619534e-6,-6.3825672019790505e-9,0
2.044489405780488e-6,-7.616738894711262e-8,0
1.908034982775601e-6,-2.126276632374857e-7,0
1.991725819385042e-6,-1.2900104553681402e-7,0
2.0934244071261176e-6,-2.7283084607643282e-8,0.015
2.162707738076367e-6,4.2046416043328705e-8,0
2.266065583171459e-6,1.4540941406404606e-7,0
2.3684189280913454e-6,2.4771919945043577e-7,0.015
1.9846937654808864e-6,-1.3595039813962818e-7,0
1.9128941786498638e-6,-2.0777950613559693e-7,0
2.1180823684606755e-6,-2.573339022426957e-9,0
2.1365030014536492e-6,1.581671859929301e-8,0.175
2.407580404270377e-6,2.8687501760327197e-7,0
2.0654533820265126e-6,-5.5224361231176465e-8,0
2.2806468845157203e-6,1.5993214568021942e-7,0.005
2.1376340324583997e-6,1.6946692923403007e-8,0.15
2.4340274178282662e-6,3.1334744128419524e-7,0.09
2.280364673167077e-6,1.5970580171442706e-7,0
2.2578572264053015e-6,1.3717508411004165e-7,0.16
1.7676950916386452e-6,-3.5299030424151835e-7,0
1.9121254105443063e-6,-2.0860684436407872e-7,0
2.1645335709781212e-6,4.390366350914832e-8,0
2.0538901908863087e-6,-6.683224458514658e-8,0
2.203856601786505e-6,8.320516507009933e-8,0
2.000151313069534e-6,-1.2053865483807603e-7,0.31
2.51881135106622e-6,3.9819306426436273e-7,0
1.6256735883693365e-6,-4.950338300924173e-7,-0.71
1.973230087974622e-6,-1.475048955756897e-7,0
2.1699366609549125e-6,4.926395951732054e-8,0
2.328027698150564e-6,2.073321546508522e-7,0.015
1.8491173466906008e-6,-2.7159578725177714e-7,0.025
2.205162950366446e-6,8.452774434786203e-8,0
2.3806286522953886e-6,2.599541348141665e-7,0.23
1.8930317603954398e-6,-2.2764120627516426e-7,0
2.165596018821294e-6,4.48566720945287e-8,0
2.471523910696692e-6,3.5085210308039015e-7,0.175
2.1310264108656e-6,1.0379687795936122e-8,0
2.2164563558124855e-6,9.575071705125726e-8,0.015
2.2436162183492636e-6,1.229709922007105e-7,0
2.1941300683818358e-6,7.344244650431264e-8,0.11
2.1133801419977208e-6,-7.283794163925883e-9,0
1.9811553990363283e-6,-1.3953707109992663e-7,0.205
2.1261504334426706e-6,5.455008429411379e-9,0.05
2.1571493498475905e-6,3.6453529093649626e-8,0.06
2.1964676678488737e-6,7.576662306663096e-8,0.02
2.009994561439458e-6,-1.1071752100411114e-7,0.015
2.1649121018627064e-6,4.420402776317278e-8,0.025
2.2781123063531427e-6,1.5746036608033087e-7,0
2.2275715135254844e-6,1.0690055288753441e-7,0
2.0320808893181405e-6,-8.86305644465235e-8,0.015
2.3327725677928402e-6,2.1206215856828248e-7,0.005
2.457871122811277e-6,3.37259383605959e-7,0
2.1450662561022873e-6,2.4373615100103942e-8,0.085
2.30497293397055e-6,1.8428951529370074e-7,0.12
2.418929027587504e-6,2.9824021226587674e-7,0.035
1.9643273163148756e-6,-1.5637330117335146e-7,0.07
2.0908932547545006e-6,-2.9806756071670824e-8,0.05
2.3321884752048466e-6,2.1151790702111927e-7,-0.435
2.1091728185710907e-6,-1.1455885817190924e-8,0
2.2068478669570053e-6,8.614100281301163e-8,0.01
2.27963444528299e-6,1.5891677110357882e-7,0
2.0224172176211216e-6,-9.82352486900151e-8,0
2.3887538521490945e-6,2.6810618802386444e-7,0
1.895323577860569e-6,-2.2541970572054203e-7,0
2.113170066258241e-6,-7.547554221609688e-9,0.005
2.207805354734001e-6,8.713999259446492e-8,0
2.132463021065791e-6,1.1722567624383729e-8,0
1.981772974692268e-6,-1.3886936254037252e-7,0
2.132607849369387e-6,1.1933170124822644e-8,0
2.094225634699689e-6,-2.6436375262783862e-8,0
2.619451938533833e-6,4.98777311222498e-7,0.05
2.009754648854163e-6,-1.1097943195759186e-7,0
2.420387905951427e-6,2.996923636788829e-7,0.01
2.438014320164121e-6,3.1732425640806915e-7,0.02
2.324503035899416e-6,2.038932371267732e-7,0
2.0343025412508204e-6,-8.638616991241133e-8,0.255
2.091783081893979e-6,-2.8948656558558383e-8,0
2.01520074431475e-6,-1.0546931113464275e-7,0
2.0132226976970002e-6,-1.0744707996446224e-7,0
