MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
1.6438008410841098e-6,-4.768396066207048e-7,0
2.3131924267312795e-6,1.9249030072332474e-7,0.005
2.0551187567954883e-6,-6.553795086794434e-8,0
2.0936309113972718e-06,-2.7084620330408705e-8,0.01
2.1534299170012528e-6,3.273898203426384e-8,0.09
2.1623015109741216e-6,4.16073545433937e-8,0.055
1.9352739316660816e-6,-1.8534478742671113e-7,0
1.9730757568971052e-6,-1.4753978506198973e-7,0
2.0736383864703486e-6,-4.691459114747332e-8,0
1.8680253975959875e-6,-2.527053318734929e-7,0
2.112991721536275e-6,-7.732595409537524e-9,0
2.123287272529922e-6,2.5997115365994363e-9,0.145
2.058451538401952e-6,-6.224890326866905e-8,0.025
2.16299991974037e-6,4.231189185521789e-8,0.135
1.9837014871794737e-6,-1.3696362048842837e-7,0
2.4119499831233092e-6,2.912447069913782e-7,0.01
2.207023648051873e-6,8.632188823631814e-8,0.02
1.961628333409965e-6,-1.5909729703222908e-7,0
2.1402058966516598e-6,1.9487960132846817e-8,0.005
1.7798402718262107e-6,-3.408782662772669e-7,0.01
2.091160951541901e-6,-2.9513871036002114e-8,0
2.200725798976985e-6,8.006230457102693e-8,0
2.4227716728344148e-6,3.020793942504207e-7,0.01
1.5786479290083138e-6,-5.421010823225547e-7,0
1.6499039983120994e-6,-4.708339067849288e-7,0
1.9555173228320537e-6,-1.6523239761423448e-7,0
2.1211130454904923e-6,4.530183461692872e-10,0
1.8076197612626512e-6,-3.1310701725240084e-7,0.01
2.762938113183068e-6,6.42296423303268e-7,0
2.1119044590841373e-6,-8.714727152137058e-9,0
1.6745449434330681e-6,-4.4617691218107326e-7,0.01
2.1876570376788424e-6,6.707881843259766e-8,0
2.345797874524991e-6,2.2510479377346736e-7,0.02
2.1801293975644423e-6,5.9452761559941615e-8,-0.15
1.9468639177671343e-6,-1.738131830408829e-7,0
1.8264077145703069e-6,-2.943310378367148e-7,0
2.294294516197134e-6,1.737785021221905e-7,0
2.0128847088049234e-6,-1.0775284277897423e-7,0
2.8431669094983246e-6,7.225111574976628e-7,0.15
2.2451669404284086e-6,1.244740326511451e-7,0.04
2.096726249418032e-6,-2.394539374894755e-8,0
2.1637891267865583e-6,4.307691416960413e-8,0.005
2.2256777206574515e-6,1.0504730053151334e-7,0
1.9790942898170473e-6,-1.4157091071775873e-7,0
2.3367770032399495e-6,2.1612654811320464e-7,0
2.220039336764842e-6,9.934238961673003e-8,0.03
2.154064055783951e-6,3.341769965803376e-8,0
1.983531174576127e-6,-1.3717269075452786e-7,0.035
2.0665837251950712e-6,-5.4154077846479965e-8,0
1.8736063722450847e-6,-2.4707480157148964e-7,0
2.0682660700846437e-6,-5.247396305918528e-8,0
1.8375273396340217e-6,-2.831748593684624e-7,0.125
2.2684305108123636e-6,1.4781357450477371e-07,0
2.0201761323317544e-6,-1.0053802995291239e-7,0.005
1.7562493571947706e-6,-3.64426843386112e-7,0
2.24062610483228e-6,1.1999406066665052e-7,0
2.1752500655840214e-6,5.456737449671678e-8,0.285
2.2845488268789167e-6,1.6385768372317865e-7,0.035
2.095151752393494e-6,-2.5461557915384957e-8,0
2.2953555423618685e-6,1.7470637830863112e-7,0
2.1472302681252013e-6,2.6577421982088012e-8,0
1.939006184178732e-6,-1.8169879183127512e-7,0.04
1.96067045253522e-6,-1.5998499973524094e-7,0
2.477432726639026e-6,3.5679439942370994e-7,0
2.080417753074856e-6,-4.029948137251882e-8,0.005
2.193028042027619e-6,7.231333340906864e-8,0
2.288926633221036e-6,1.6825828199673597e-7,0
2.271413858804627e-6,1.5067558732040353e-7,0
1.67794132077803e-6,-4.4277993003272174e-7,0.005
2.18700810523048e-6,6.626563962885967e-8,0
1.8720746647904535e-6,-2.4858349033096693e-7,0
2.7741625169114973e-6,6.535820812741955e-7,0
2.179569862009287e-6,5.891802064672547e-8,0
1.951961468884516e-6,-1.6874733782201723e-7,0.035
2.173073216601855e-6,5.236148441001287e-8,0.005
2.558662129349574e-6,4.379746704058496e-7,0.01
2.0887232804465064e-6,-3.1991676320286546e-8,0
2.1782714006052685e-6,5.7556641614997514e-8,0
2.2331752107912644e-6,1.1255563007850356e-7,0
1.8989209439605866e-6,-2.2175847304906072e-7,0
2.6525884418360458e-6,5.319452632562838e-7,0
2.220477857423094e-6,9.984414114427854e-8,0
2.0537611649869423e-6,-6.694329008016808e-8,0.015
1.9237886815546334e-6,-1.9695665663177485e-7,0
1.931849134314817e-6,-1.888109231773516e-7,0
2.2592976855445898e-6,1.3856649219712303e-7,0
2.3122898340121143e-6,1.9160923995675815e-7,0.165
1.7401750043577304e-6,-3.8057432328542086e-7,0
1.8476130656782474e-6,-2.731219273893748e-7,0.005
1.744216437978408e-6,-3.7645547369624664e-7,0
2.232255949781772e-6,1.1156713979720844e-7,0.075
2.0372828582008944e-6,-8.342599472965783e-8,0.025
2.1613132055990762e-6,4.0605775326607584e-8,0.02
2.141044489676248e-6,2.031339336183713e-8,0
1.9780356770842667e-6,-1.426615059629821e-7,0.095
2.3637596414775955e-6,2.4313766757433355e-7,0
1.8594454428650322e-6,-2.6120706922538875e-7,0
2.3103319541845263e-6,1.896573948068081e-7,-0.615
2.0827291996316593e-6,-3.793152415887402e-8,0
1.8080362560182187e-6,-3.126431285593867e-7,0
