MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.1356742280065898e-6,1.4981833531546584e-8,0.08
2.5218343653458132e-6,4.0113579282907705e-7,0
2.1943151606485056e-6,7.362850739600635e-8,0.16
2.2043544899254767e-6,8.368159767735417e-8,0
2.1598825003368556e-6,3.918629645438543e-8,0.04
1.98067586501775e-6,-1.400770148618502e-7,0
2.356199224700079e-6,2.3551429857548988e-7,0.055
2.051139605020449e-6,-6.949688948765243e-8,0
2.022799803846003e-6,-9.781569699829351e-8,0
1.991287925734731e-6,-1.2940344898293432e-7,0.26
1.840761506885341e-6,-2.799707812062291e-7,0
2.216991705610663e-6,9.629470120842143e-8,0.025
2.4569551059390415e-6,3.362694946779099e-7,0.055
2.3226769933342656e-6,2.0200756886468163e-7,0
2.2676608431770814e-6,1.47082524676323e-7,0
2.5317253755839247e-6,4.1104459399088354e-7,0.05
1.7576776416898116e-6,-3.630275605254196e-7,0.17
2.1040145040937697e-6,-1.670054877056515e-8,0.01
2.004463934613921e-6,-1.1623321990672509e-7,0.115
2.2921745486396156e-6,1.7152820654897648e-7,0
2.089645521554648e-6,-3.1004421804925466e-8,0
2.1152284758945237e-6,-5.425277848081222e-9,0
1.896506488193773e-6,-2.2416060900254385e-7,0
2.0396891297201084e-6,-8.097158620934409e-8,0
1.9844496095504184e-6,-1.3626317553527835e-7,0
2.0566419178892785e-6,-6.406803121083993e-8,0.015
2.129097623754138e-6,8.419948780424846e-9,0
2.216621795938085e-6,9.598532870691568e-8,0
2.1641002101485407e-6,4.340406597747038e-8,0.04
2.240714351639847e-6,1.2008108381367233e-7,0
1.9041615174452035e-6,-2.165214093285961e-7,0
2.1256457077320905e-6,4.974702364490824e-9,0
2.004925241445036e-6,-1.1577931884332315e-7,0.025
2.3130870269067578e-06,1.9238587085190772e-7,0.005
1.9135844753594832e-06,-2.0711530857753236e-7,0.14
2.26464750922796e-6,1.4392145575969905e-7,0
1.9745878966675677e-6,-1.4610807674619864e-7,0.15
2.4392712177616073e-6,3.1860067781608324e-7,0.25
2.198041104473816e-6,7.73906497880672e-8,0
2.2233480197604083e-6,1.0265625739525053e-7,0.04
1.5275675617834792e-6,-5.931008598980547e-7,0
1.9968578249629077e-6,-1.2387576506234232e-7,0
2.204266979004819e-6,8.362736905576096e-8,0
2.021231671918699e-6,-9.949302217204803e-8,0
2.267096228352428e-6,1.4646258403583358e-7,0
2.1010370371548066e-6,-1.9640667808795696e-8,0
2.478267135272324e-6,3.57645497685577e-7,0
1.7009897669368335e-6,-4.197160478408568e-7,0.21
2.035357038620166e-6,-8.537712652523232e-8,0
2.0502272754913484e-6,-7.044515871912349e-8,0
2.3648689929884584e-6,2.4420059682339625e-7,-0.32
1.934407480245656e-6,-1.8629528604541258e-7,0.055
2.029289562948153e-6,-9.134915077868567e-8,0
2.3614494531433295e-6,2.407721931768636e-7,0.16
1.8858180578305874e-6,-2.3485641889586795e-7,0
2.310986029321394e-6,1.9025977742004318e-7,0.005
2.453403539925979e-6,3.327414888104618e-7,0
2.182953650480966e-6,6.231136441603446e-8,0
2.1805763008979578e-6,5.987769688076128e-8,0.04
2.1697544521299623e-6,4.9111997172390785e-8,0
2.288391658162782e-6,1.6770671053156772e-7,0.11
2.155431819593246e-6,3.476780306044258e-8,0
1.913007927806851e-6,-2.0766232124769247e-7,0
1.9920936509256914e-6,-1.2861484436077487e-7,0.01
2.0171678564881246e-6,-1.0350385558244302e-7,0
2.189991802461715e-6,6.929811810774122e-8,0.05
1.981038907764459e-6,-1.3966440154389304e-7,0.03
2.059671380195214e-6,-6.105184678695252e-8,0
2.0693997285231393e-6,-5.1246813377314736e-8,0
2.3340072327167635e-6,2.1333016214042377e-7,0.2
2.1945790222108333e-6,7.387149860704768e-8,0.01
2.3993639078451173e-6,2.7866022970612914e-7,0.01
2.4239575229383938e-6,3.03369400789788e-7,0
2.139787892064152e-6,1.9081028734824203e-8,0.015
2.2538393182718582e-6,1.3317254745459638e-7,0
2.242509849975314e-6,1.2180187274501985e-7,0.01
1.9818166384693933e-6,-1.3889033587677346e-7,0.025
1.9918360235835473e-6,-1.2888216186057733e-7,0.01
2.2627514379826722e-6,1.4206872567201766e-7,0.14
2.1957595619918857e-6,7.512051662328379e-8,0
2.109414219321165e-6,-1.1304411394186254e-8,0.005
2.2514047493537205e-6,1.30690009314538e-7,0
2.090739367032777e-6,-2.988940282722119e-8,0
2.305782743560956e-6,1.8511963473355486e-7,0
1.7793718236004706e-6,-3.413657890272148e-7,0
2.13107087356243e-6,1.03427629938313e-8,0
2.339879587164853e-6,2.1923359002473663e-7,0
2.100553627236692e-6,-2.01826525403348e-8,0
1.998414787815731e-6,-1.2224920623193915e-7,0
2.196373833639408e-6,7.570309804083575e-8,0
2.0008836431304853e-6,-1.1978250329391927e-7,0
2.6240207712286843e-6,5.033529458120523e-7,0.14
1.977431425712727e-6,-1.4328988408307541e-7,0.005
2.3905432991437744e-6,2.698546823831638e-7,0.035
2.2130175611841237e-6,9.231479791371733e-8,0.015
2.2353975424615796e-6,1.1478096173800356e-7,0
1.974653529917749e-6,-1.460467124592135e-7,0.075
2.087673222171552e-6,-3.304620714295048e-8,0
1.8813581702502544e-6,-2.393223011304402e-7,0
1.992052097911352e-6,-1.285961455443907e-7,0
