MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.209372647782286e-6,9.25586023059477e-8,0.005
2.142884989067999e-6,2.6051539834259786e-8,0
2.03445221215475e-6,-8.231383821388772e-8,0
2.0482927753612224e-6,-6.853011714880175e-8,0
1.861996596316249e-6,-2.5481509113689517e-7,0.04
2.339607675916653e-6,2.2290254846235592e-7,0
1.97458093348295e-6,-1.4220080763349685e-7,0
1.811930896209437e-6,-3.0485689063664e-7,0
2.126785914792665e-6,9.959849539553646e-9,0
2.298328848876198e-6,1.8156049439610467e-7,0
2.16477775815413e-6,4.8071834347629404e-8,0
1.8065263362049223e-6,-3.102945351185493e-7,0.005
2.000986446531186e-6,-1.1582356763906176e-7,0.015
2.0875034456431276e-6,-2.9320367838647776e-8,0.005
2.2600360132706106e-6,1.4323377267810855e-7,0.015
2.361230430946813e-6,2.4440587274021654e-7,0
1.5848198574380695e-6,-5.319892827182482e-7,-0.28
2.3700442811025627e-06,2.532941296862212e-7,0
2.13762414835449e-6,2.0867822939640844e-8,0
2.023879863261722e-6,-9.290618117940852e-8,0
1.9891108657299917e-6,-1.2767294049087497e-7,0
1.8111387143282136e-6,-3.0563139415351603e-7,0
1.8477931976136613e-6,-2.690372334984703e-7,0.005
2.405339642407065e-6,2.8859475044329394e-7,0
2.2829484316225766e-6,1.661887208187496e-7,0
1.6977792791116948e-6,-4.190259939201857e-7,-0.52
2.0947190791721615e-6,-2.200574778066233e-8,0
1.9143879917963325e-6,-2.0241216936778272e-7,0.195
2.215657407624796e-6,9.889593006962016e-8,0
1.9006781648787355e-6,-2.1604716284817637e-7,0
2.011187030458913e-6,-1.0559666008991276e-7,0
1.9729439131600072e-6,-1.4383544146900905e-7,0
2.4830242475699877e-6,3.6627649235732027e-7,0
2.033907715106019e-6,-8.28781467615558e-8,0
2.065878162650755e-6,-5.092975231935082e-8,0.025
1.934284706156102e-6,-1.8253176172822182e-7,0.01
1.914198210904017e-6,-2.0261052468217856e-7,0.035
2.2965438104736353e-6,1.797696594135756e-7,0
2.121891726723743e-6,5.100307928773695e-9,0.175
1.8434877355431642e-6,-2.733212369654403e-7,0.07
2.141414490206316e-6,2.4609203443937132e-8,0.01
2.015178718618665e-6,-1.016024204480992e-7,0
1.7513153035996794e-6,-3.6548491262666795e-7,0
2.2975040941538646e-6,1.8072090777032647e-07,0.18
1.93819314443425e-6,-1.7858699889405916e-7,0
1.962529423695252e-6,-1.5425506076749418e-7,0
2.3154090102254465e-6,1.9859767551255735e-7,0
2.069631610733425e-6,-4.715159030999061e-8,0
2.293758010688812e-6,1.7695059327305085e-7,0.005
2.3477965130460457e-6,2.3101587689311475e-7,0.18
2.212404957967035e-6,9.564254813076989e-8,0
1.930478355017209e-6,-1.8630603284164326e-7,0
2.230422274797079e-6,1.1366626708086969e-7,0
2.202478046361523e-6,8.562742659812272e-8,0
2.7409638904848363e-6,6.242207277068479e-7,0
2.057321158119701e-6,-5.949310479480552e-8,0.005
2.1308820844967963e-6,1.4089064410693907e-8,0.115
1.8554161979977187e-6,-2.613987501370874e-7,0.025
2.0317173323098084e-6,-8.50431562604559e-8,0
2.317423272990438e-6,2.0063242048284913e-7,0.07
2.115850310817033e-6,-9.525825872547242e-10,0.025
2.266266328895527e-6,1.4950320195439292e-7,0
2.2622135847676527e-6,1.4538299398070277e-7,0.005
2.3962609145225356e-6,2.7950982513735846e-7,0
2.208992119026784e-6,9.220717062607963e-8,0.225
2.077778942117426e-6,-3.9015999426794676e-8,0.165
1.829454112031902e-6,-2.8737682216894986e-7,0
2.328658416341899e-6,2.118739900469624e-7,0.125
2.0937649894118377e-6,-2.298137293910152e-8,0
1.8139338543219495e-6,-3.0281234655149535e-7,0
1.9362639299792035e-6,-1.805572812157985e-7,0.015
2.5608036967500747e-6,4.440236641839457e-7,0.07
2.1880903118282207e-6,7.131838412777203e-8,0
2.103556225282678e-6,-1.3180017391367649e-8,0
1.9181691333282264e-6,-1.986284660804305e-7,0.25
2.2490539693957605e-6,1.322984336143973e-7,0
1.9849706611728903e-6,-1.318357486812527e-7,0.04
2.0530151388360445e-6,-6.378056957800915e-8,0.14
2.2031289933428554e-6,8.629879276855767e-8,0
1.9456931543588085e-6,-1.711262863046681e-7,0.005
2.130074906389364e-6,1.3275414911251282e-8,0.04
1.8630671424345976e-6,-2.537325305040916e-7,-0.7
2.0857073565169677e-6,-3.1084033603745454e-8,0.18
2.064305575396762e-6,-5.249054857159319e-8,0.11
2.195061297465766e-6,7.82740065391474e-8,0.195
2.5572055878666188e-6,4.404527111517842e-7,0
2.059418246915397e-6,-5.741218100263623e-8,0
2.4058018601774465e-6,2.890472143429745e-7,0
2.1357537051389435e-6,1.9030024344113273e-8,0
2.0590774128070544e-6,-5.77090031611549e-8,-0.325
1.856818890726838e-6,-2.599730074359652e-7,0
2.106787973458756e-6,-1.0030289210316568e-8,0.01
1.9265844835764034e-6,-1.902381943441611e-7,0.01
2.0167851049235857e-6,-1.0000725261249955e-7,0.33
1.9996165703086843e-6,-1.1713457713835584e-7,0
2.282952348230553e-6,1.6617594148560234e-7,-0.43
2.2107529101904835e-6,9.392597265622804e-8,0
2.3791964051163633e-6,2.6240657548526337e-7,0.045
2.2084537982812594e-6,9.164619954094011e-8,0.02
1.8964501598111413e-6,-2.2036000113523357e-7,0.06
