MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.0411881149968565e-6,-7.559120918154694e-8,0
1.9395707952094967e-6,-1.7718186560378157e-7,0
1.8265994953566735e-6,-2.9018619408682775e-7,0
2.088155016431578e-6,-2.8641023631093e-8,0.2
2.028117210683364e-6,-8.87043229241824e-8,0.015
1.5397540777001613e-6,-5.770822000977783e-7,0.01
2.240329755676277e-6,1.2354567927419514e-7,-0.525
2.0640112073166185e-6,-5.2830092427957884e-8,0.005
1.8340923274228932e-6,-2.827192938981149e-7,0.12
1.9060418248028463e-6,-2.1076645244977322e-7,0.11
2.0182772720359984e-6,-9.849233832459614e-8,0
2.2174832036990437e-6,1.0069534344514518e-7,0.29
2.269621915118622e-6,1.528753117546744e-7,0
2.147305637532908e-6,3.0515524593877074e-8,-0.65
2.0655106668649264e-6,-5.124152838487106e-8,0
1.9692752951367257e-6,-1.4751661103429292e-7,0
1.893133447180641e-6,-2.2371395632658775e-7,0
2.3962907716859433e-6,2.7948447041403757e-7,0.005
2.02546072008201e-6,-9.137201899767077e-8,0
2.0506832369689103e-6,-6.61033353427376e-8,0
1.9923445928038177e-6,-1.2443926490690595e-7,0
2.4424728063631948e-6,3.256881355812036e-7,0.1
2.6967353463603e-6,5.799096021885663e-7,0
2.1808020274526224e-6,6.397631079735344e-8,0.005
2.157456826181746e-6,4.071400966254579e-8,0
2.085843538211643e-6,-3.094871218967121e-8,-0.645
2.3868016976087946e-6,2.7003056730201535e-7,0
2.2868974922865537e-6,1.7011525149879247e-7,-0.59
2.151862817528414e-6,3.5121851399422255e-8,0
2.243229916876185e-6,1.2643682861079863e-7,0.125
2.06722858161178e-6,-4.9605336988056695e-8,0
1.925544720495777e-6,-1.9128309644789176e-7,0
1.9683761650423892e-6,-1.4844596548657663e-7,0.01
1.8962372735486556e-6,-2.2058072556119246e-7,0.02
2.133791658024086e-6,1.6963988584972612e-8,0
2.574004429132543e-6,4.5726725995565156e-7,0
1.8831401478329915e-6,-2.3365634142680225e-7,0
2.275928350936356e-6,1.5912872236900632e-7,0.04
2.126624836279932e-6,9.854937853548407e-9,0
1.896818263984006e-6,-2.1997566778841903e-7,0
2.2996413615002013e-6,1.8284745179064643e-7,0.065
2.3980603608884577e-6,2.813058515482858e-7,0
2.0882461794083174e-6,-2.854619977787909e-8,-0.635
2.0262815799854027e-6,-9.052671634812714e-8,0.045
2.1940113368492163e-6,7.72909255697396e-8,0
2.083694524823558e-6,-3.3073002628780656e-8,0
2.198827634782777e-6,8.200463781138368e-8,0
2.3052420455802416e-6,1.884047190525706e-7,0
2.070042080363697e-6,-4.677161337340863e-8,0.01
1.985618400414933e-6,-1.3115738754676531e-7,0
2.075937301034234e-6,-4.0878873920346945e-8,0.01
2.078053868792864e-6,-3.8753144685488295e-8,0.025
2.299179620860095e-6,1.8245925641202643e-7,0
2.099112780682421e-6,-1.7708900280632988e-8,0
2.4012803067164426e-6,2.8446516588842564e-7,0.005
2.1763534537809547e-6,5.9568946506605156e-8,-0.035
1.9718239700856205e-6,-1.4498319404254722e-7,0.085
1.9330244286590823e-6,-1.8376333359770847e-7,0
2.6132998808647563e-6,4.965232772152772e-7,0.13
2.1827836958645114e-6,6.60021186760229e-8,0
1.8184071876543388e-6,-2.9842400537327674e-7,0.015
1.919924115419006e-6,-1.968733385870891e-7,-0.26
1.984467791772388e-6,-1.3234401186446033e-7,0.035
2.0993166559474893e-6,-1.7504177472482673e-8,0.005
2.1121562791574416e-6,-4.62826439673325e-9,0
2.4291452762678133e-6,3.124112659574907e-7,0
2.003544572714187e-6,-1.1326605302675041e-7,0.03
1.7814435525442818e-6,-3.3533722413603415e-7,0
2.2297775789021824e-6,1.130172581020883e-7,0
2.2093816668732805e-6,9.257818582242283e-8,0.025
2.0243321882271722e-6,-9.247494739017537e-8,0.045
2.2257055848850843e-6,1.0891942183843817e-7,-0.675
2.250594570405907e-6,1.338461134248181e-7,0
1.8764586989487149e-6,-2.403805859130248e-7,0
2.058906222022947e-6,-5.789153068092023e-8,0.2
2.0963535269357488e-6,-2.0434424499171656e-8,0
1.9200937690805657e-6,-1.9671859399328362e-7,0.06
2.26810828077275e-6,1.512958942917475e-7,0.005
1.960003907962963e-6,-1.5681713227744254e-7,0.01
2.0778659434768455e-6,-3.894590700936895e-8,0.035
2.121591175185633e-6,4.771962308636191e-9,0
1.9636836747129318e-6,-1.5310126647627432e-7,0
2.0883927576744446e-6,-2.8428971511340605e-8,0.005
2.1218815417769183e-6,5.077295935906889e-9,0.045
2.1695940627661665e-6,5.281049626659762e-8,0
2.3578489367630087e-6,2.410436220523504e-7,0.015
2.378168935187126e-6,2.6140072511227076e-7,0
2.0760753368103977e-6,-4.075581849893872e-8,0
2.33409911313233e-6,2.1729442978069003e-7,0.01
2.4394062218029905e-6,3.2264113603741596e-7,0
2.222731278175741e-6,1.0599444115078072e-7,0
1.830474676421543e-6,-2.8630787188621556e-7,0
2.0644109330989354e-6,-5.24393863043926e-8,0
2.4232557189946147e-6,3.0645491492231616e-7,0.03
1.922906310610691e-6,-1.9390282014419835e-7,0.1
1.960313751537647e-6,-1.5648206992346925e-7,-0.33
2.0836783392806897e-6,-3.311775897130165e-8,0.235
1.8657936962908906e-6,-2.5098124295297453e-7,0
2.047014575799813e-6,-6.979326143408127e-8,0.055
2.2942364760527263e-6,1.7744491818072473e-7,0.12
