MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.176583993254955e-6,2.350862286226718e-8,0.03
2.4816079064623857e-6,3.285761324756109e-7,0
1.8556600265186018e-6,-2.9739433350439715e-7,0
2.6202828474083998e-6,4.6727294473247747e-7,0
2.3054710058364293e-6,1.5247477174240575e-7,0
2.2474995407687215e-6,9.444199785546559e-8,0.15
2.297228686523464e-6,1.4421838834877133e-7,0
2.0239705612520697e-6,-1.291090330779454e-7,0.02
2.2499045863048156e-6,9.685581860929827e-8,-0.48
1.976722231510695e-6,-1.763667161208682e-7,0.005
2.231999813466618e-6,7.891945559224123e-8,0.01
2.100445636204573e-6,-5.265968528678222e-8,0
2.3291205339853e-6,1.761787630955025e-7,0
1.9205529009827815e-6,-2.3252868289858063e-7,0.03
2.099073417945423e-6,-5.393084763216649e-8,0
1.988093925837971e-6,-1.649846496404317e-7,0.04
1.93719911421424e-6,-2.1578549621870112e-7,0
2.1291419704423275e-6,-2.3922500507755907e-8,0.1
2.2943916837556593e-6,1.4136615117343875e-7,0
2.0071913619111867e-6,-1.4586613466816e-7,0
1.8712563391837446e-6,-2.818118491232369e-7,-0.545
2.145360736787637e-6,-7.704268240038558e-9,0.12
2.513294422837101e-6,3.6027389498982653e-7,0
2.714468074111582e-6,5.614051089480876e-7,0.015
2.100707162520835e-6,-5.235086904920028e-8,-0.61
1.9605927258167173e-6,-1.9247576868608453e-7,0.19
2.1775570887770726e-6,2.4495100173771434e-8,0.105
1.964526765223262e-6,-1.8854875287965812e-7,0.07
2.123696479033368e-6,-2.931811472206558e-8,0
2.1411949869191296e-6,-1.1837072630416222e-8,0
2.3000178936899947e-6,1.469438092294162e-7,0
2.328218429173621e-6,1.7517391719235054e-7,-0.44
1.945483248606659e-6,-2.0752896993603276e-7,0
2.3428349192814216e-6,1.8976132120762657e-7,0.01
2.8442001091484443e-6,6.911583225382989e-7,0.05
2.1039716473664098e-6,-4.911192835299616e-8,0
1.789286814350253e-6,-3.638242878700737e-7,0
2.0697368202298246e-6,-8.335574703810522e-8,0
2.242041618981821e-6,8.899151044017284e-8,-0.55
2.1020254961650593e-6,-5.1020562422121606e-8,0
2.047992993718175e-6,-1.0506045209357495e-7,0
2.205003759946929e-6,5.197177945781561e-8,0
2.291047398910209e-6,1.3798567904899083e-7,0.07
2.338796382450102e-6,1.857365286611623e-7,0.055
2.2117336865752463e-6,5.876338847521367e-8,0
2.1404595845069615e-6,-1.2638136376308395e-8,0
2.1875599795535964e-6,3.4485398127115374e-8,0.015
2.324214998775743e-6,1.711184110431141e-7,0
2.3426288399438813e-6,1.8953085914263923e-7,0
2.1972465512167543e-6,4.419396115562524e-8,-0.57
2.389198895244269e-6,2.3613052156368218e-7,0.01
2.150539368214064e-6,-2.538721349254481e-9,0.03
2.0459675882848865e-6,-1.0708962245031816e-7,-0.08
2.1786576874131496e-6,2.562039007614203e-8,0
1.9665912325922237e-6,-1.8645706403086493e-7,0
1.780226358982754e-6,-3.728864518393049e-7,0
1.8976841030772031e-6,-2.553923067205588e-7,0.08
1.6915920035532363e-6,-4.61490912774809e-7,0.135
1.870671177143353e-6,-2.824311362670251e-7,0
2.0382409396839742e-6,-1.1485353055951109e-7,0
2.262185107606354e-6,1.0914211394319473e-7,0
1.9967956380356255e-6,-1.5625244402628358e-7,0
2.140743244380625e-6,-1.2304053467748767e-8,0
2.559295386387299e-6,4.062232048640535e-7,0.005
1.6861998415022427e-6,-4.6692834386297123e-7,0
2.25393614913274e-6,1.0093598413418726e-7,0
1.7660762677085004e-6,-3.8703132359541035e-7,0
1.6333056744856291e-6,-5.198114643167884e-7,0.005
1.933950821582361e-6,-2.191071848611781e-7,0
2.1557074399613057e-6,2.6202016240040036e-9,0.005
1.856272415311674e-6,-2.9684248266770295e-7,0
2.2806039836166404e-6,1.2750510271386518e-7,0
1.9764260043304734e-6,-1.7657662765568906e-7,0
2.0501355781054227e-6,-1.0293029347296922e-7,0.175
2.2192906942492034e-6,6.624349183415034e-8,0
2.007421271029886e-6,-1.4565066575156216e-7,0.08
2.116142850381243e-6,-3.694223832673149e-8,0.005
2.1699777648449943e-6,1.6967967487735437e-8,0
1.9410957434607133e-6,-2.1194746604613623e-7,0
1.4891119872595472e-6,-6.639904892247195e-7,0.01
2.039026471274401e-6,-1.1402664693627162e-7,0
2.5724217567819286e-6,4.1935123245129267e-7,0.01
2.055748146392988e-6,-9.73702584661229e-8,0
2.3358276104559804e-6,1.8277541123823405e-7,0.195
2.281407255514039e-6,1.283546466390728e-7,0.25
1.985025817363374e-6,-1.6806865721363806e-7,0.005
1.8385571511317824e-6,-3.1447292637765134e-7,0
2.1274518690860435e-6,-2.5577710404678378e-8,0
2.2399187128587483e-6,8.683746274662507e-8,0.005
2.1147293045105583e-6,-3.825923757860838e-8,0
1.5895858917353669e-6,-5.634931255776854e-7,0
1.8986914840388633e-6,-2.544096332146584e-7,0.005
2.363181427497394e-6,2.101202819165815e-7,0.055
1.9108618743443318e-6,-2.4224499384772893e-7,0
1.9476170938572383e-6,-2.0544238458874985e-7,0
2.072473841274346e-6,-8.0575412135242e-8,0
2.1910911696318833e-6,3.797262741911389e-8,0
1.7794165087525475e-6,-3.735842540603107e-7,0
2.226897994349632e-6,7.384144608879594e-8,0.185
2.402015074155994e-6,2.4895133161784153e-7,0.035
