MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.2480507293692937e-6,9.499833633574983e-8,0.275
2.5089179061932385e-6,3.558870356012989e-7,0
1.8939921757150024e-6,-2.5907160100258063e-7,0
2.5098461939683288e-6,3.568148038479713e-7,0
2.2446907729017575e-6,9.168429704498049e-8,0
1.9296171162915224e-6,-2.2346481116930494e-7,0.04
2.336619872236259e-6,1.8362791373682796e-7,0
2.0946842272756848e-6,-5.837018036691788e-8,0
2.280711060665106e-6,1.276545691969444e-7,0.17
1.8504104062789817e-6,-3.026706657510703e-7,0.07
2.0084017861385475e-6,-1.4468793108179945e-7,0.005
2.1697882958082917e-6,1.66983548932631e-8,0
2.2716075015980226e-6,1.1863339412221396e-7,0
1.8465254500047629e-6,-3.065577986338663e-7,0.055
2.1583769266552942e-6,5.354889342501501e-9,0
1.937254118484112e-6,-2.1581789225122437e-7,0.115
1.939667617311282e-6,-2.1330061022506452e-7,0
2.1682017819999756e-6,1.513693725307963e-8,0.07
2.140503038970353e-6,-1.253086426677985e-8,0
1.9921024653886804e-6,-1.6096894855377464e-7,0.1
1.8775810097350197e-6,-2.7547730725607786e-7,0
2.0440508342403712e-6,-1.090211929816176e-7,0.075
2.379735871989806e-6,2.2668110688739418e-7,0.11
2.5424675049712834e-6,3.893916638825212e-7,0.015
2.159588604393616e-6,6.5259643611259575e-9,0.105
2.0482191358225382e-6,-1.0482521257348943e-7,0
2.382628440242123e-6,2.2957611495788566e-7,0.115
2.170367619523568e-6,1.7309789219210892e-8,0.225
2.12584068699586e-6,-2.719734139733365e-8,0
2.1146037826164375e-6,-3.844746118752962e-8,0
2.313681011930283e-6,1.6061067505623861e-7,0.02
2.1653686050826518e-6,1.2330322288200969e-8,0
1.9866787032072833e-6,-1.6633636279683728e-7,0
2.1867989478522507e-6,3.372970460102653e-8,0.03
2.738439818556455e-6,5.853905410430072e-7,0.035
2.1269952241231507e-6,-2.6086011392090214e-8,0.01
1.8496570005552396e-6,-3.034613002594888e-7,0
2.3028634371738317e-6,1.4978022819966964e-7,0.005
2.2706291560875555e-6,1.1757919687493957e-7,-0.63
2.2452478919727715e-6,9.222116040319417e-8,0
2.1621227902420417e-6,9.053995926877611e-9,0.045
2.097097853686389e-6,-5.593041522200526e-8,0
2.2021491627184786e-6,4.9096040949381246e-8,-0.62
2.1627977303519793e-6,9.724561841339963e-9,0.04
2.2959784311637183e-6,1.4301339633482346e-7,0
2.086136974648798e-6,-6.696664743954805e-8,0
2.2922136514527373e-6,1.3915193807390036e-7,0.05
2.2023982677792174e-6,4.9298058780733456e-8,0
2.1442715323339436e-6,-8.844721964829106e-9,0
2.264186437528967e-6,1.11131568709677e-7,0.16
2.231569482630731e-6,7.850639899942279e-8,0.075
2.1539507890659387e-6,8.663002865061388e-10,0.015
2.154149262945313e-6,1.073177621768728e-9,0.015
2.389500160784768e-6,2.3648034327250488e-7,0
2.000535905402842e-6,-1.5248523692890092e-7,0
1.8415160312698582e-6,-3.1159185303941683e-07,0
1.8649623540557184e-6,-2.8811381975135665e-7,0.14
1.7186546085234662e-6,-4.344301126507633e-7,0.085
1.9540612830863774e-6,-1.9904049240015986e-7,0
2.09021260156942e-6,-6.286771594032902e-8,0.02
2.1845772517965332e-6,3.1514805109988944e-8,0.105
1.8573033817067536e-6,-2.9574423549005857e-7,0
2.2761380439658515e-6,1.2307738691319515e-7,0.09
2.4847618397786626e-6,3.3170342717936397e-7,0.025
1.6842473921840648e-6,-4.688786366391362e-7,0
2.1472677025859275e-6,-5.750002146642785e-9,0
1.8111621269208592e-6,-3.4195917147705757e-7,0
1.5605622969199463e-6,-5.925465865425083e-7,0.01
1.6556345058953661e-6,-4.974455449530124e-7,-0.715
2.1676653158459476e-6,1.4566854948938613e-8,0
1.7407632751779851e-6,-4.1233872231316584e-7,0.005
2.1186334532840225e-6,-3.4450501977256744e-8,0.005
2.0491582847291692e-6,-1.0388026508878489e-7,0
2.0794915443618393e-6,-7.35926966860534e-8,0.01
2.1983137365402076e-6,4.527964808653806e-8,0
1.908918182944503e-6,-2.4416917360714497e-7,0.005
2.190719569658333e-6,3.76473929675214e-8,0.035
2.3186094283169805e-6,1.656079185197168e-7,0
2.034468764061838e-6,-1.1859938497060795e-7,0.135
1.6221190006026826e-6,-5.310022138571569e-7,0
1.970598109592864e-6,-1.8245592670329548e-7,0
2.757971595620258e-6,6.049262221696772e-7,0.05
1.7830249147747926e-06,-3.7009011325639384e-7,0
2.3417119324598864e-6,1.8863148731063095e-7,0.005
2.210357687204479e-6,5.7299216015271883e-8,0.17
1.988460297524534e-6,-1.646408507804953e-7,0
1.758768301917632e-6,-3.9428431059973514e-7,0
1.996742439008913e-6,-1.5630780157427359e-7,0
2.1222506209673946e-6,-3.083479737375772e-8,0.005
2.1710968318764113e-6,1.8121340165655474e-8,0
1.5157499143217765e-6,-6.373167936807311e-7,0
1.8699451683887905e-6,-2.8316383995419247e-7,0.005
2.2881299533874344e-6,1.350926442383882e-7,0
1.924980617954457e-6,-2.2811566871616674e-7,0.005
2.018718024605067e-6,-1.3433501121484782e-7,0
1.951888311975432e-6,-2.0117045129164346e-7,0
2.2135684553886224e-6,6.046615972199465e-8,0.005
1.8256509421393923e-6,-3.2737779592062476e-7,0
2.423022220055315e-6,2.699766187724828e-7,0.245
2.4511835285759234e-6,2.981506504579068e-7,0
