MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.0538024010741995e-6,-2.04385545354846e-8,0.07
1.984828366882884e-6,-8.941080098745502e-8,0.1
2.304198573754753e-6,2.299866107052795e-7,0
2.0364224081231714e-6,-3.782794099627118e-8,0.035
1.9055510530694391e-6,-1.6868740845887854e-7,0.22
2.297187643877096e-6,2.229899428707327e-7,0
1.9394028661626066e-6,-1.3483955525084302e-7,0.06
1.9400648907048506e-6,-1.3417465609899538e-7,0.13
1.6156762396627179e-6,-4.5854827808500255e-7,0
1.916151780021276e-6,-1.5805743748431578e-7,0
1.8345602994743118e-6,-2.3969653418332015e-7,0.015
2.3313882826066597e-6,2.5714177979363486e-7,0
2.3322228728572433e-6,2.5802963968923897e-7,0
1.9936061322810977e-6,-8.060737605453116e-8,0
2.0825784851765204e-6,8.323486545558368e-9,0.01
2.314395311205724e-6,2.4015480980410507e-7,0.025
2.3613759160365082e-6,2.871426548006761e-7,0.04
2.053903931248616e-6,-2.031958858672578e-8,0
2.2071882350643097e-6,1.3293145096127112e-7,0
1.9623164278747413e-6,-1.1192748760158188e-7,0.065
1.6787762449017017e-6,-3.954843812875586e-7,0.035
1.9566133492995257e-6,-1.1757360184772026e-7,0
1.750219878693348e-6,-3.2403152512516796e-7,0.075
2.2680363224924933e-6,1.9376136048188109e-7,0
2.1122206098759816e-6,3.795951693363886e-8,0.005
2.1043957042891544e-6,3.0159571074994675e-8,0.06
2.33471144061842e-6,2.605046595544058e-7,0
2.3215936473835275e-6,2.4738621265507635e-7,0
2.1931349999108876e-6,1.1888466080689497e-7,0.015
1.6496247225662125e-6,-4.245775773087379e-7,0
1.9470456316503394e-6,-1.2718224768670793e-7,0
1.8694703420922845e-6,-2.04774046384526e-7,0.1
2.1866883810936427e-6,1.1244826351841653e-7,0.02
2.4658448047375777e-6,3.9162384320001743e-7,0.07
2.2445529431904915e-6,1.703770394706483e-7,0
2.0517530547371047e-6,-2.2466368017615144e-8,0
1.9507756196782813e-6,-1.2344987909529425e-7,0
2.1282515395637217e-6,5.401869399679349e-8,0.115
1.9328973014636163e-6,-1.4135891046429537e-7,0.015
1.9696840066275487e-6,-1.0455106231488376e-7,0.225
2.246600675444373e-6,1.7240428282105924e-7,0
1.72205910676872e-6,-3.521962731523054e-7,0.045
2.0483402970662175e-6,-2.5944436714553375e-8,0
1.968298901748187e-6,-1.0596867157319778e-7,0
1.9046066931245657e-6,-1.6963602658126576e-7,0.08
1.961127239942756e-6,-1.1308940890519814e-7,0
1.95962459030707e-6,-1.1463201125938571e-7,0.01
2.0203278245518145e-6,-5.3937402424431015e-8,0
2.2051101812296428e-6,1.308990852749714e-7,0
2.124415468293225e-6,5.021781102843015e-8,0
1.8585106754956817e-6,-2.1571081010196558e-7,0
2.1747166234992518e-6,1.0050332805489059e-7,0
2.653111569160285e-6,5.788817721597006e-7,0.005
2.186830552597866e-6,1.1261761143299686e-7,0
2.330031198661875e-6,2.5583995466094133e-7,0
1.9596150496533607e-6,-1.1465391342224684e-7,0
1.9456447727775964e-6,-1.2859575619306174e-7,0.105
2.031837047881794e-6,-4.2365674340349993e-8,0
2.1798191077931636e-6,1.0559594988690524e-7,-0.64
2.0552607254280026e-06,-1.89874153655456e-8,0.015
1.971001782513969e-6,-1.0319529194335874e-7,0
1.6294115007179833e-6,-4.4486447587421816e-7,0.005
1.82352350495456e-6,-2.507104124027659e-7,0
2.3748762670383874e-6,3.006350223716536e-7,0.02
2.086430556619608e-6,1.2228983814477345e-8,0
1.840076547962028e-6,-2.3406801106795604e-7,0
1.9189823403052606e-6,-1.552579638458562e-7,0.14
1.6559297045897461e-6,-4.182829344767658e-7,0
1.6640178474605506e-6,-4.102396975702582e-7,0.025
1.7775619113510021e-6,-2.966647607810513e-7,0
1.9756933106344155e-6,-9.856415339681845e-8,0.015
2.228098576822864e-6,1.5384461979683905e-7,0.005
2.150877756435858e-6,7.665098392506397e-8,0.22
2.293530459589705e-6,2.19315739435344e-7,-0.405
2.1423341777140975e-6,6.81133541191592e-8,-0.08
1.938674734029301e-6,-1.355091840316014e-7,0
2.1641811164837825e-6,8.991092768639853e-8,0
2.227662007376991e-6,1.5340734839663918e-7,0.005
1.9109642925102248e-6,-1.6322886859321263e-7,0
2.130873561488727e-6,5.662034183229192e-8,0.005
1.8937704353347908e-6,-1.8043258882272096e-7,0
1.950134834713085e-6,-1.2409638908972287e-7,-0.455
2.309924324413723e-6,2.3570284207075077e-7,0.175
2.0696773778175658e-6,-4.537933510628811e-9,0
2.1750003566101953e-6,1.0072670203475909e-7,0
2.388047655593651e-6,3.138325775908779e-7,0.29
1.8546243299381784e-6,-2.1965193165551787e-7,0
1.9762387204507156e-6,-9.794092703074853e-8,0
2.300653863561783e-6,2.2641345551688286e-7,0.005
2.183981968910832e-6,1.0972729409586268e-7,0.005
1.7295112193916664e-6,-3.447389166916226e-7,0.095
1.812103363905794e-6,-2.621539624281244e-7,0.01
2.136749483546743e-6,6.257019625699467e-8,0
1.8840271287325416e-6,-1.9019205278525409e-7,0
2.1103749596547777e-6,3.6206688144857504e-8,0
2.343899112261373e-6,2.697007489610437e-7,0
2.079853194187799e-6,5.628007538338586e-9,-0.4
1.7939600378378266e-6,-2.8024722097286235e-7,0
1.8135261889700367e-6,-2.607497218010124e-7,0
1.878558282153136e-6,-1.9565717515268588e-7,0
