MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.360153027357933e-6,2.3947187841599773e-7,0.105
1.8334143617510235e-6,-2.873045462548074e-7,0.01
2.420745134340333e-6,3.000473741543441e-7,0.005
2.0597901459210927e-6,-6.089324667390982e-8,-0.375
1.8097139516828565e-6,-3.109827640984664e-7,-0.575
1.7714350601844878e-6,-3.4928171131987096e-7,0.03
2.152747997871542e-6,3.20774473544505e-8,0
2.413881008642464e-6,2.9322658447905604e-7,0
1.973504115438605e-6,-1.4720605178153435e-7,0.025
1.8093325780949469e-6,-3.113611778488012e-7,0
2.00799130316129e-6,-1.1270503929239339e-7,0.12
2.4895179766128483e-6,3.688799529094622e-7,0
2.1523232646061302e-6,3.158134684766445e-8,0
2.367940978727627e-6,2.4724574257006806e-7,0.02
2.0763280333134923e-6,-4.439709279768778e-8,0
2.0321673675106496e-6,-8.850077137523283e-8,0
2.146228395902033e-6,2.5505290387473067e-8,0
2.0630625121316752e-6,-5.761197958864539e-8,0
2.0111918468569544e-6,-1.0950025173928069e-7,0.19
2.091803238152096e-6,-2.8917253718230283e-8,0
2.080802558820915e-6,-3.9845750257616605e-8,0
2.026840328851389e-6,-9.383562623199726e-8,0
2.3388480522876793e-6,2.1814047538704085e-7,0.02
1.795116122834903e-6,-3.2556453477383675e-7,0
2.215631966800597e-6,9.495634725020796e-8,-0.31
2.226145604478573e-6,1.0547637293245593e-7,0
2.0146392843685033e-6,-1.06054657868504e-7,0.135
2.1885131576718535e-6,6.786255826451981e-8,0
2.3358692917874595e-6,2.1518135030595963e-7,0.05
1.9722782716191936e-6,-1.4839428845558888e-7,0
2.899568802306935e-6,7.789064404778446e-7,0.05
2.000779166507023e-6,-1.1993510526053797e-7,0.015
2.4249011678755106e-6,3.042304245520766e-7,0.255
2.198609353807131e-6,7.790630765891482e-8,0.005
1.7329790720289495e-6,-3.877356948284172e-7,0.03
2.109820426384776e-6,-1.0848093181525798e-8,0
2.3063679030087983e-6,1.856623756357756e-7,0.01
2.1168954685592985e-6,-3.812450773410525e-9,0.015
1.872203798714169e-6,-2.484852535927784e-7,0
2.0141134409869674e-6,-1.0656731224800709e-7,0
1.8479164511088276e-6,-2.7280912125116073e-7,0
2.123488586204403e-6,2.7885029102447946e-9,0.03
2.1323968475654286e-6,1.174174782847537e-8,0
2.045080809554784e-6,-7.561689046808873e-8,0.065
2.0989114911642145e-6,-2.1788439447112397e-8,0.025
2.489724711104246e-6,3.6914707200796927e-7,0
2.2519449224926277e-6,1.31249957461832e-7,0.035
1.9012967472313586e-6,-2.1935885766488638e-7,0
2.3167369998443015e-6,1.960725436267463e-7,0
2.019697593471958e-6,-1.0102551828095052e-7,0.005
1.9375859164931197e-6,-1.8309064910404517e-7,0
1.748546547326779e-6,-3.721663518096996e-7,0.035
2.1951205142916153e-6,7.44703253935386e-8,0
2.0171801668753257e-6,-1.0346295254648475e-7,0
1.9386003365836573e-6,-1.8209951335224072e-7,0.095
2.0929177175216576e-6,-2.7793139031340173e-8,0.01
2.0714304504178336e-6,-4.924010650053656e-8,0
2.121063920489853e-6,3.9665447870707035e-10,0
1.890832930979998e-6,-2.2989643861048847e-7,0
2.3229636641119205e-6,2.0231508861268122e-7,0
1.9377946853270445e-6,-1.8289577773278333e-7,-0.535
2.1287562152760594e-6,8.088915131598817e-9,0
2.107976745267615e-6,-1.2681579579787439e-8,0
2.653534423210347e-6,5.328386158515164e-7,0.005
1.8169007663006465e-6,-3.0383687967594495e-7,0
2.3060413786279292e-6,1.853546948843432e-7,0.065
2.290918998664129e-6,1.7027524839674513e-7,0
2.203909824701671e-6,8.326004275582832e-8,0
2.191250072830874e-6,7.056232715962896e-8,0.105
2.2334833068257653e-6,1.1279122358764937e-7,0.06
1.7130209519252904e-6,-4.076784834183833e-7,-0.195
2.001628992537968e-6,-1.1908951119132816e-7,0
1.9846799817281764e-6,-1.3603177126009224e-7,0.01
1.987571334961103e-6,-1.3311530585702336e-7,-0.32
2.05690044023471e-6,-6.376662139928602e-8,0
2.1851062179188224e-6,6.443247675125275e-8,0
2.2756761671453023e-6,1.5501955399233048e-7,0
2.2494307268164515e-6,1.287817653089496e-7,0
2.3106416509175303e-6,1.9001346968416932e-7,0
2.363800275205765e-6,2.431097577604291e-7,0.035
2.1154660968186016e-6,-5.2113710197199125e-9,0
2.026294572070101e-6,-9.435049772354986e-8,0
2.300256938980321e-6,1.7955580504991354e-7,0
1.8285235253845162e-6,-2.9217089779320916e-7,-0.38
2.1293934988642042e-6,8.673661490155027e-9,0.005
2.3845347876091936e-6,2.638484588296519e-7,0.045
2.263061979271757e-6,1.4236643297471652e-7,0.03
2.318463180058992e-6,1.9777218504601902e-7,0.035
1.950830443729424e-6,-1.6982630502537787e-7,0
1.9266953795862344e-6,-1.940022213653414e-7,0.14
2.1143678205099183e-6,-6.2781473614270666e-9,0
1.859201058987486e-6,-2.6153982207399726e-7,0
1.960297340970755e-6,-1.603809270667167e-7,0
2.233271037959267e-6,1.1258040667205816e-7,0.065
2.272880080762321e-6,1.5221198449599794e-7,0
2.1825580856497666e-6,6.192457122133899e-8,0
1.8928670691196203e-6,-2.2783957773608866e-7,0.025
1.8949779341110615e-6,-2.2575036654925994e-7,0
1.988183626483097e-6,-1.3254440612842088e-7,0
2.0295969852151552e-6,-9.10566771156196e-8,0
